"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"EA Perry",2019-07-07,"England","Australia",2,"10.0",4,22,7,2.2,49,"Australia Women tour of England","2019",1168024,"St Lawrence Ground","Canterbury","England","Australia","England","field","EA Perry","Australia",NA,"194"
"T Putthawong",2023-04-19,"Zimbabwe","Thailand",2,"6.1",2,6,6,0.972972972972973,32,"Zimbabwe Women tour of Thailand","2023",1368830,"Terdthai Cricket Ground, Bangkok","Bangkok","Thailand","Zimbabwe","Thailand","bat",NA,"Thailand",NA,"78"
"C Murray",2024-01-23,"Zimbabwe","Ireland",2,"6.5",0,31,6,4.53658536585366,23,"Ireland Women tour of Zimbabwe","2023/24",1415982,"Harare Sports Club","Harare","Ireland","Zimbabwe","Zimbabwe","field","C Murray","Ireland",NA,"81"
"S Ecclestone",2022-03-31,"South Africa","England",2,"8.0",0,36,6,4.5,29,"ICC Women's World Cup","2021/22",1243937,"Hagley Oval, Christchurch","Christchurch","England","South Africa","South Africa","field","DN Wyatt","England",NA,"137"
"S Luus",2020-01-30,"New Zealand","South Africa",1,"10.0",0,45,6,4.5,26,"South Africa Women in New Zealand ODI Series","2019/20",1187716,"Seddon Park","Hamilton","New Zealand","South Africa","South Africa","field","S Luus","South Africa","6",NA
"A Shrubsole",2017-07-23,"India","England",2,"9.4",0,46,6,4.75862068965517,32,"ICC Women's World Cup","2017",1085975,"Lord's","London","England","India","England","bat","A Shrubsole","England",NA,"9"
"LM Kasperek",2021-04-07,"Australia","New Zealand",1,"10.0",0,46,6,4.6,28,"Australia Women tour of New Zealand","2020/21",1249242,"Bay Oval, Mount Maunganui","Mount Maunganui","Australia","New Zealand","New Zealand","field","RL Haynes","Australia",NA,"71"
"E Bisht",2017-02-19,"Pakistan","India",1,"10.0",7,8,5,0.8,55,"ICC Women's World Cup Qualifier","2016/17",1073427,"P Sara Oval","Colombo","India","Pakistan","India","field","E Bisht","India","7",NA
"S Ismail",2022-06-17,"Ireland","South Africa",2,"8.5",4,8,5,0.90566037735849,48,"South Africa Women tour of Ireland","2022",1316647,"Castle Avenue, Dublin","Dublin","South Africa","Ireland","South Africa","bat",NA,"South Africa",NA,"189"
"RS Gayakwad",2017-07-15,"New Zealand","India",2,"7.3",1,15,5,2,36,"ICC Women's World Cup","2017",1085971,"County Ground","Derby","India","New Zealand","New Zealand","field","M Raj","India",NA,"186"
"E Bisht",2017-07-02,"Pakistan","India",2,"10.0",2,18,5,1.8,49,"ICC Women's World Cup","2017",1085955,"County Ground","Derby","India","Pakistan","India","bat","E Bisht","India",NA,"95"
"Nahida Akter",2021-11-15,"Zimbabwe","Bangladesh",1,"10.0",4,21,5,2.1,51,"Bangladesh Women in Zimbabwe ODI Series","2021/22",1288322,"Queens Sports Club, Bulawayo","Bulawayo","Zimbabwe","Bangladesh","Zimbabwe","bat","Nahida Akter","Bangladesh","7",NA
"JL Gunn",2013-07-01,"Pakistan","England",2,"10.0",1,22,5,2.2,47,"Pakistan Women in England ODI Series","2013",627006,"Louth Cricket Club",NA,"England","Pakistan","England","bat","JL Gunn","England",NA,"111"
"K Ndlovu",2023-04-19,"Thailand","Zimbabwe",1,"9.0",2,22,5,2.44444444444444,42,"Zimbabwe Women tour of Thailand","2023",1368830,"Terdthai Cricket Ground, Bangkok","Bangkok","Thailand","Zimbabwe","Thailand","bat",NA,"Thailand",NA,"78"
"IJR Zwilling",2022-11-24,"Thailand","Netherlands",1,"9.4",2,25,5,2.58620689655172,45,"Netherlands Women tour of Thailand","2022/23",1344505,"Royal Chiangmai Golf Club","Chiang Mai","Thailand","Netherlands","Netherlands","field","N Chaiwai","Thailand",NA,"99"
"A Khaka",2022-01-31,"West Indies","South Africa",2,"8.0",1,26,5,3.25,32,"West Indies Women tour of South Africa","2021/22",1277093,"The Wanderers Stadium, Johannesburg","Johannesburg","South Africa","West Indies","West Indies","field","CA Henry",NA,NA,NA
"DM Kimmince",2019-07-04,"England","Australia",1,"7.4",0,26,5,3.39130434782609,25,"Australia Women tour of England","2019",1168023,"Grace Road","Leicester","England","Australia","England","bat","DM Kimmince","Australia","4",NA
"HC Knight",2016-06-20,"Pakistan","England",1,"8.4",1,26,5,3,40,"ICC Women's Championship","2016",946545,"Grace Road","Leicester","England","Pakistan","England","field","HC Knight","England","7",NA
"JL Jonassen",2019-02-24,"New Zealand","Australia",2,"8.0",1,27,5,3.375,29,"Rose Bowl","2018/19",1144983,"Karen Rolton Oval","Adelaide","Australia","New Zealand","New Zealand","field","EA Perry","Australia",NA,"95"
"KH Brunt",2019-02-28,"India","England",1,"10.0",2,28,5,2.8,45,"England Women tour of India","2018/19",1172162,"Wankhede Stadium","Mumbai","India","England","India","bat","KH Brunt","England","2",NA
"KH Brunt",2016-06-27,"Pakistan","England",2,"9.5",0,30,5,3.05084745762712,39,"ICC Women's Championship","2016",946549,"County Ground","Taunton","England","Pakistan","England","bat","TT Beaumont","England",NA,"202"
"CE Dean",2023-09-14,"Sri Lanka","England",2,"6.0",0,31,5,5.16666666666667,19,"Sri Lanka Women tour of England","2023",1336085,"Grace Road, Leicester","Leicester","England","Sri Lanka","Sri Lanka","field","NR Sciver-Brunt","England",NA,"161"
"DJS Dottin",2016-02-24,"South Africa","West Indies",2,"8.5",0,34,5,3.84905660377358,33,"ICC Women's Championship","2015/16",907389,"Buffalo Park","East London","South Africa","West Indies","West Indies","bat","DJS Dottin","West Indies",NA,"16"
"Ghulam Fatima",2022-11-09,"Ireland","Pakistan",1,"10.0",1,34,5,3.4,40,"Ireland Women tour of Pakistan","2022/23",1308235,"Gaddafi Stadium, Lahore","Lahore","Ireland","Pakistan","Ireland","bat","Ghulam Fatima","Pakistan","5",NA
"KL Cross",2021-06-30,"India","England",1,"10.0",0,34,5,3.4,40,"India Women tour of England","2021",1260095,"The Cooper Associates County Ground, Taunton","Taunton","India","England","England","field","KL Cross","England","5",NA
"OU Ranasinghe",2023-05-04,"Bangladesh","Sri Lanka",2,"6.0",0,34,5,5.66666666666667,17,"Bangladesh Women tour of Sri Lanka","2023",1368851,"Sinhalese Sports Club Ground, Colombo","Colombo","Sri Lanka","Bangladesh","Sri Lanka","bat",NA,"Sri Lanka",NA,"58"
"Anam Amin",2021-11-08,"West Indies","Pakistan",1,"10.0",2,35,5,3.5,46,"West Indies Women tour of Pakistan","2021/22",1288209,"National Stadium, Karachi","Karachi","West Indies","Pakistan","Pakistan","field","DJS Dottin","West Indies",NA,"45"
"HR Huddleston",2017-06-24,"Sri Lanka","New Zealand",1,"10.0",1,35,5,3.5,41,"ICC Women's World Cup","2017",1085945,"County Ground","Bristol","New Zealand","Sri Lanka","New Zealand","field","HR Huddleston","New Zealand","9",NA
"Sadia Yousuf",2013-07-19,"Ireland","Pakistan",2,"9.0",1,35,5,3.88888888888889,36,"Pakistan Women in Ireland ODI Series","2013",644945,"YMCA Cricket Club","Dublin","Ireland","Pakistan","Pakistan","bat",NA,"Pakistan",NA,"89"
"LMM Tahuhu",2021-09-21,"England","New Zealand",1,"10.0",1,37,5,3.7,47,"New Zealand Women tour of England","2021",1260105,"Grace Road, Leicester","Leicester","England","New Zealand","New Zealand","field","ML Green","New Zealand","3",NA
"DB Sharma",2023-12-30,"Australia","India",1,"10.0",0,38,5,3.8,32,"Australia Women tour of India","2023/24",1406079,"Wankhede Stadium, Mumbai","Mumbai","Australia","India","Australia","bat","A Sutherland","Australia",NA,"3"
"C Murray",2022-08-24,"Netherlands","Ireland",2,"10.0",0,39,5,3.9,35,"Ireland Women tour of Netherlands","2022",1328486,"VRA Ground, Amstelveen","Amstelveen","Ireland","Netherlands","Netherlands","field",NA,"Ireland",NA,"210"
"Fatima Sana",2021-07-18,"West Indies","Pakistan",2,"7.0",0,39,5,5.57142857142857,20,"Pakistan Women tour of West Indies","2021",1267329,"Coolidge Cricket Ground, Antigua","Coolidge","Pakistan","West Indies","West Indies","field","Fatima Sana","Pakistan",NA,"22"
"LM Kasperek",2018-07-13,"England","New Zealand",1,"9.4",0,39,5,4.03448275862069,30,"ICC Women's Championship","2018",1126729,"Grace Road","Leicester","England","New Zealand","England","bat","SFM Devine","New Zealand","4",NA
"MJG Nielsen",2016-10-11,"South Africa","New Zealand",2,"10.0",0,39,5,3.9,36,"ICC Women's Championship","2016/17",935813,"Diamond Oval","Kimberley","South Africa","New Zealand","South Africa","field","M du Preez","South Africa","4",NA
"Urooj Mumtaz",2007-01-22,"South Africa","Pakistan",1,"6.5",0,40,5,5.85365853658537,19,"Pakistan Women tour of South Africa","2006/07",271465,"Harlequins","Pretoria","South Africa","Pakistan","Pakistan","field",NA,"South Africa",NA,"84"
"HRA Rainey",2023-10-21,"Ireland","Scotland",1,"9.0",0,41,5,4.55555555555556,36,"Ireland Women v Scotland Women","2023/24",1403685,"Desert Springs Cricket Ground, Almeria","Almeria","Ireland","Scotland","Ireland","bat",NA,"Ireland",NA,"33"
"M Kapp",2022-03-14,"England","South Africa",1,"10.0",1,45,5,4.5,36,"ICC Women's World Cup","2021/22",1243919,"Bay Oval, Mount Maunganui","Mount Maunganui","England","South Africa","South Africa","field","M Kapp","South Africa","3",NA
"A Mohammed",2019-11-01,"India","West Indies",2,"10.0",0,46,5,4.6,37,"India Women in West Indies","2019/20",1202249,"Sir Vivian Richards Stadium, North Sound",NA,"West Indies","India","West Indies","bat","SR Taylor","West Indies",NA,"1"
"JL Jonassen",2016-02-22,"New Zealand","Australia",1,"9.0",0,50,5,5.55555555555556,26,"ICC Women's Championship","2015/16",916663,"Bay Oval","Mount Maunganui","New Zealand","Australia","Australia","field","MM Lanning","Australia","8",NA
"HM Rowe",2022-03-26,"Pakistan","New Zealand",2,"10.0",1,55,5,5.5,38,"ICC Women's World Cup","2021/22",1243933,"Hagley Oval, Christchurch","Christchurch","New Zealand","Pakistan","Pakistan","field","SW Bates","New Zealand",NA,"71"
"S Luus",2017-07-15,"Australia","South Africa",1,"10.0",0,67,5,6.7,26,"ICC Women's World Cup","2017",1085969,"County Ground","Taunton","Australia","South Africa","Australia","bat","EA Perry","Australia",NA,"59"
"D van Niekerk",2017-07-02,"West Indies","South Africa",1,"3.2",3,0,4,0,20,"ICC Women's World Cup","2017",1085956,"Grace Road","Leicester","South Africa","West Indies","South Africa","field","M Kapp","South Africa","10",NA
"JI Rodrigues",2023-07-19,"Bangladesh","India",2,"3.2",0,3,4,0.9,17,"ICC Women's Championship","2023",1382167,"Shere Bangla National Stadium, Mirpur","Dhaka","India","Bangladesh","Bangladesh","field","JI Rodrigues","India",NA,"108"
"Anam Amin",2015-10-06,"Bangladesh","Pakistan",1,"10.0",5,7,4,0.7,53,"Bangladesh Women in Pakistan ODI Series","2015/16",923327,"Southend Club Cricket Stadium","Karachi","Pakistan","Bangladesh","Bangladesh","bat","Anam Amin","Pakistan","6",NA
"Nida Dar",2022-03-21,"West Indies","Pakistan",1,"4.0",0,10,4,2.5,15,"ICC Women's World Cup","2021/22",1243927,"Seddon Park, Hamilton","Hamilton","West Indies","Pakistan","Pakistan","field","Nida Dar","Pakistan","8",NA
"O Kirsten",2017-01-20,"Bangladesh","South Africa",1,"10.0",5,10,4,1,52,"South Africa Women in Bangladesh ODI Series","2016/17",1041525,"Sheikh Kamal International Cricket Stadium","Cox's Bazar","Bangladesh","South Africa","Bangladesh","bat","O Kirsten","South Africa","8",NA
"Sana Mir",2019-05-06,"South Africa","Pakistan",1,"6.0",1,11,4,1.83333333333333,29,"Pakistan Women tour of South Africa","2019",1177015,"Senwes Park","Potchefstroom","South Africa","Pakistan","Pakistan","field","Sana Mir","Pakistan","8",NA
