"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","eliminator"
271465,6,"South Africa","Pakistan","female","2006/07",2007-01-22,"Pakistan Women tour of South Africa","2","Harlequins","Pretoria","Pakistan","field",NA,"LM Engelbrecht","A Crafford","PJ du Plessis",NA,NA,"South Africa",NA,84,NA,NA,NA
271466,6,"Pakistan","South Africa","female","2006/07",2007-01-24,"Pakistan Women tour of South Africa","3","Sinovich Park, Sinoville","Pretoria","Pakistan","bat",NA,"BM White","A Crafford","PJ du Plessis",NA,NA,"South Africa",6,NA,NA,NA,NA
276226,6,"New Zealand","Australia","female","2006/07",2007-03-05,"Women's Quadrangular Series",NA,"MA Chidambaram Stadium, Chepauk","Chennai","New Zealand","bat","S Nitschke","GA Pratapkumar","S Ravi","Rangachari Vijayaraghavan","K Srinivasan","RS Madugalle","Australia",6,NA,NA,NA,NA
312291,6,"South Africa","Netherlands","female","2007/08",2008-02-21,"ICC Women's World Cup Qualifying Series",NA,"Stellenbosch University 1",NA,"South Africa","bat","C Brits","RN Birkenstock","AM Muller","Merwin Julius",NA,NA,"South Africa",NA,227,NA,NA,NA
312295,6,"Ireland","South Africa","female","2007/08",2008-02-22,"ICC Women's World Cup Qualifying Series",NA,"Stellenbosch University 1",NA,"Ireland","bat","OV Anderson","RN Birkenstock","JA Hanekom","R Steyn",NA,NA,"South Africa",7,NA,NA,NA,NA
312296,6,"Pakistan","Netherlands","female","2007/08",2008-02-22,"ICC Women's World Cup Qualifying Series",NA,"Stellenbosch University 2",NA,"Pakistan","bat","L Egging","D van Kerwel","AM Muller","JC Paleker",NA,NA,"Pakistan",NA,94,NA,NA,NA
341302,6,"Sri Lanka","India","female","2008",2008-05-08,"Women's Asia Cup",NA,"Welagedara Stadium","Kurunegala","Sri Lanka","bat","SL Pujare","Nilantha Bopage","BPJ Mendis","Kapila Kottahachchi",NA,NA,"India",8,NA,NA,NA,NA
341306,6,"India","Sri Lanka","female","2008",2008-05-11,"Women's Asia Cup",NA,"Welagedara Stadium","Kurunegala","India","bat","A Rawat","RA Kottahachchi","KK Jayaweera","RR Wimalasiri",NA,NA,"India",NA,177,NA,NA,NA
357962,6,"England","India","female","2008/09",2009-03-10,"ICC Women's World Cup","7","North Sydney Oval","Sydney","England","field","CMG Atkins","BG Jerling","Shahul Hameed","MG Kumutat","Sarika Prasad","DT Jukes","England",9,NA,NA,NA,NA
383283,6,"England","Australia","female","2009",2009-06-29,"Australia Women in England ODI Series","1","County Ground","Chelmsford","Australia","bat","SJ Taylor","NL Bainton","MJD Bodenham",NA,"JW Lloyds","DT Jukes","England",9,NA,NA,NA,NA
423387,6,"South Africa","West Indies","female","2009/10",2009-10-21,"West Indies Women in South Africa ODI Series","3","Boland Bank Park","Paarl","South Africa","field","C Brits","AT Holdstock","CD Isaacs","IH van Kerwel",NA,"CJ Mitchley","South Africa",7,NA,NA,NA,NA
527679,6,"South Africa","England","female","2011/12",2011-10-21,"England Women in South Africa ODI Series","1","Senwes Park","Potchefstroom","South Africa","field","LS Greenway","LB Gcuma","CD Isaacs","R Ellis",NA,"D Govindjee","England",NA,62,NA,NA,NA
527680,6,"South Africa","England","female","2011/12",2011-10-23,"England Women in South Africa ODI Series","2","Senwes Park","Potchefstroom","South Africa","field","CM Edwards","R Ellis","LB Gcuma","CD Isaacs",NA,"D Govindjee","England",NA,96,NA,NA,NA
527681,6,"South Africa","England","female","2011/12",2011-10-25,"England Women in South Africa ODI Series","3","Senwes Park","Potchefstroom","England","field","HC Knight","LB Gcuma","CD Isaacs","R Ellis",NA,"D Govindjee","England",5,NA,NA,NA,NA
542852,6,"England","India","female","2012",2012-07-01,"India Women in England ODI Series","1","Lord's","London","England","bat","M Raj","NGB Cook","SJ O'Shaughnessy",NA,NA,"DT Jukes","India",5,NA,NA,NA,NA
542853,6,"England","India","female","2012",2012-07-04,"India Women in England ODI Series","2","County Ground","Taunton","England","field","A Sharma","PK Baldwin","P Willey",NA,NA,"DT Jukes","India",NA,14,NA,NA,NA
542854,6,"England","India","female","2012",2012-07-05,"India Women in England ODI Series","3","County Ground","Taunton","England","field","M Raj","PK Baldwin","P Willey",NA,NA,"DT Jukes","England",3,NA,NA,NA,NA
542856,6,"England","India","female","2012",2012-07-11,"India Women in England ODI Series","5","Sir Paul Getty's Ground","Wormsley","England","field","GA Elwiss","NL Bainton","DJ Millns",NA,NA,NA,"England",NA,29,"D/L",NA,NA
584546,6,"Australia","New Zealand","female","2012/13",2012-12-12,"Rose Bowl","1","Sydney Cricket Ground",NA,"Australia","bat","SW Bates","NR Johnstone","BNJ Oxenford",NA,"RG Patterson","DJ Harper","New Zealand",8,NA,NA,NA,NA
584547,6,"Australia","New Zealand","female","2012/13",2012-12-14,"Rose Bowl","2","North Sydney Oval","Sydney","Australia","field","AE Satterthwaite","BNJ Oxenford","RG Patterson",NA,"NR Johnstone","DJ Harper","Australia",4,NA,NA,NA,NA
584549,6,"Australia","New Zealand","female","2012/13",2012-12-19,"Rose Bowl","4","North Sydney Oval","Sydney","Australia","bat","AE Satterthwaite","BNJ Oxenford","RG Patterson",NA,"NR Johnstone","DJ Harper","Australia",NA,7,NA,NA,NA
594891,6,"India","West Indies","female","2012/13",2013-01-31,"ICC Women's World Cup","1","Brabourne Stadium","Mumbai","West Indies","field","MDT Kamini","S George","M Hawthorne","BB Pradhan","Sarika Prasad","DT Jukes","India",NA,105,NA,NA,NA
594894,6,"England","Sri Lanka","female","2012/13",2013-02-01,"ICC Women's World Cup","3","Brabourne Stadium","Mumbai","Sri Lanka","field","LE Kaushalya","GO Brathwaite","BB Pradhan","Sarika Prasad","VA Kulkarni","DT Jukes","Sri Lanka",1,NA,NA,NA,NA
594897,6,"India","England","female","2012/13",2013-02-03,"ICC Women's World Cup","6","Brabourne Stadium","Mumbai","India","field","CM Edwards","S George","Sarika Prasad","R Pandit","GO Brathwaite","DT Jukes","England",NA,32,NA,NA,NA
