"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Austin",3,53,70,75.7142857142857,17.6666666666667,7,0,0,0,0,23
"A Balbirnie",21,888,1141,77.8264680105171,46.7368421052632,96,13,2,2,5,126
"A Bhattarai",2,6,7,85.7142857142857,6,0,1,1,0,0,6
"A Bonora",15,330,738,44.7154471544715,23.5714285714286,24,3,1,0,2,68
"A Bulow",10,164,234,70.0854700854701,18.2222222222222,17,5,1,0,1,57
"A Cassim",2,8,23,34.7826086956522,4,0,0,0,0,0,8
"A Cawley",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"A Dagar",8,133,169,78.698224852071,22.1666666666667,6,7,2,0,0,35
"A Dennison",7,133,193,68.9119170984456,19,16,0,0,0,1,73
"A Ferguson",4,114,107,106.542056074766,28.5,10,5,0,0,1,83
"A Gbla",5,20,41,48.780487804878,6.66666666666667,0,0,2,0,0,12
"A Goenka",2,12,17,70.5882352941177,6,1,0,0,0,0,12
"A Gorawara",2,41,53,77.3584905660377,20.5,6,1,0,0,0,22
"A Gordon",2,9,18,50,Inf,1,0,2,0,0,6
"A Harinath",4,34,51,66.6666666666667,11.3333333333333,2,0,1,0,0,12
"A Harrison",1,5,8,62.5,5,0,0,0,0,0,5
"A Hepburn",1,32,34,94.1176470588235,32,1,1,0,0,0,32
"A Hoilett",1,12,43,27.906976744186,12,0,0,0,0,0,12
"A Hutchinson",1,7,6,116.666666666667,Inf,0,0,1,0,0,7
"A Iqbal",1,10,20,50,10,1,0,0,0,0,10
"A Javid",24,390,485,80.4123711340206,26,24,2,9,0,0,42
"A Johnson",4,77,59,130.508474576271,19.25,9,3,0,0,1,60
"A Kapil",4,137,160,85.625,45.6666666666667,15,1,1,0,1,59
"A Karvelas",5,63,70,90,21,2,0,2,0,0,26
"A Kaul",3,8,24,33.3333333333333,2.66666666666667,0,0,0,0,0,4
"A Khan",8,110,149,73.8255033557047,18.3333333333333,7,4,2,0,0,34
"A Kind-David",2,9,15,60,4.5,0,1,0,0,0,9
"A Krishna",11,36,63,57.1428571428571,3.6,1,1,1,0,0,8
"A Lambert",5,137,203,67.487684729064,27.4,15,1,0,0,1,51
"A Liaqat Ali",1,0,5,0,0,0,0,0,0,0,0
"A Lyth",45,1826,1818,100.4400440044,42.4651162790698,215,34,2,4,9,144
"A Mansale",27,619,1146,54.0139616055846,26.9130434782609,42,11,4,0,4,69
"A McDaid",1,6,9,66.6666666666667,6,0,1,0,0,0,6
"A Mehdi",1,1,2,50,1,0,0,0,0,0,1
"A Mene-Ejegi",3,25,31,80.6451612903226,25,3,0,2,0,0,19
"A Morris",8,40,59,67.7966101694915,5.71428571428571,4,1,1,0,0,24
"A Mpeka",1,0,5,0,0,0,0,0,0,0,0
"A Mutreja",30,1022,1403,72.8439059158945,35.2413793103448,107,10,1,2,7,108
"A Nao",2,6,27,22.2222222222222,6,0,0,1,0,0,6
"A Nsensha",5,54,159,33.9622641509434,10.8,3,0,0,0,0,34
"A Otwani",14,318,452,70.353982300885,22.7142857142857,36,3,0,0,3,88
"A Patmore",2,192,264,72.7272727272727,96,21,2,0,1,1,101
"A Peters",1,7,18,38.8888888888889,7,0,0,0,0,0,7
"A Poulose",6,85,106,80.188679245283,14.1666666666667,11,3,0,0,0,42
"A Ramesh",3,22,75,29.3333333333333,7.33333333333333,3,0,0,0,0,11
"A Randhawa",1,36,26,138.461538461538,36,3,2,0,0,0,36
"A Rangaswamy",5,34,86,39.5348837209302,6.8,2,0,0,0,0,16
"A Raza",1,6,9,66.6666666666667,6,1,0,0,0,0,6
"A Rehman",2,26,36,72.2222222222222,13,2,2,0,0,0,20
"A Rosslee",2,3,22,13.6363636363636,1.5,0,0,0,0,0,2
"A Sakande",4,4,9,44.4444444444444,1.33333333333333,0,0,1,0,0,2
"A Sarma",4,93,179,51.9553072625698,23.25,7,2,0,0,0,42
"A Shahzad",14,146,174,83.9080459770115,14.6,8,3,4,0,0,39
"A Sheikh",5,5,17,29.4117647058824,1.25,0,0,1,0,0,3
"A Shukla",1,5,3,166.666666666667,5,1,0,0,0,0,5
"A Sidhu",5,13,55,23.6363636363636,3.25,1,0,1,0,0,9
"A Thyagarajan",11,214,368,58.1521739130435,23.7777777777778,21,1,2,1,0,102
"A Vala",15,493,630,78.2539682539683,35.2142857142857,41,4,1,0,4,87
"A Venkatesh",1,51,52,98.0769230769231,51,6,0,0,0,1,51
"A Vijayan",1,26,25,104,26,2,1,0,0,0,26
"A Virdi",8,31,61,50.8196721311475,5.16666666666667,2,0,2,0,0,8
"A Wright",1,0,2,0,NA,0,0,1,0,0,0
"AA Jasani",4,14,80,17.5,3.5,0,0,0,0,0,6
"AA Obanda",31,759,968,78.4090909090909,24.4838709677419,72,27,0,1,3,115
"AA Onikoyi",3,51,39,130.769230769231,17,5,3,0,0,0,25
"AA Premji",1,6,18,33.3333333333333,Inf,1,0,1,0,0,6
