"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aitken",4,4,28,14.2857142857143,1,0,0,0,0,0,2
"A Beggs",2,11,37,29.7297297297297,5.5,1,0,0,0,0,10
"A Campbell",34,639,825,77.4545454545455,19.96875,75,8,2,0,5,76
"A Capsey",18,376,499,75.3507014028056,23.5,41,1,2,0,3,78
"A Clarke",1,1,5,20,1,0,0,0,0,0,1
"A Cranstone",26,543,663,81.9004524886878,23.6086956521739,63,1,3,0,2,69
"A Dowse",8,189,242,78.099173553719,23.625,21,1,0,1,0,105
"A Edward",2,14,46,30.4347826086957,7,2,0,0,0,0,10
"A Edwards",2,30,46,65.2173913043478,15,4,0,0,0,0,29
"A Freeman",3,8,89,8.98876404494382,2.66666666666667,0,0,0,0,0,4
"A Glen",8,130,131,99.236641221374,26,12,2,3,0,1,53
"A Griffiths",30,659,975,67.5897435897436,22.7241379310345,73,2,1,0,3,80
"A Hartley",17,83,123,67.479674796748,10.375,8,0,9,0,0,26
"A Hunter",1,7,4,175,7,1,0,0,0,0,7
"A Kolan",2,14,72,19.4444444444444,7,0,0,0,0,0,8
"A Lee",4,9,12,75,3,0,0,1,0,0,9
"A Mohammed",2,29,77,37.6623376623377,29,3,0,1,0,0,20
"A Ndiraya",5,92,198,46.4646464646465,18.4,12,0,0,0,0,35
"A Norgrove",7,136,287,47.3867595818815,19.4285714285714,18,0,0,0,0,48
"A Patel",2,3,5,60,3,0,0,1,0,0,2
"A Scantlebury",1,6,16,37.5,6,1,0,0,0,0,6
"A Shrubsole",3,101,73,138.356164383562,50.5,8,6,1,0,1,61
"A Steyn",1,22,27,81.4814814814815,22,4,0,0,0,0,22
"A Stonehouse",19,311,469,66.3113006396589,16.3684210526316,35,1,0,0,1,51
"A Surenkumar",7,75,96,78.125,18.75,6,0,3,0,0,25
"A Wellington",6,118,92,128.260869565217,29.5,9,5,2,0,0,31
"A Williams",1,5,4,125,5,1,0,0,0,0,5
"AA Alleyne",2,17,23,73.9130434782609,17,2,0,1,0,0,12
"AC Jayangani",3,185,162,114.197530864198,61.6666666666667,23,5,0,1,1,111
"AC Mushangwe",3,55,124,44.3548387096774,27.5,9,0,1,0,0,39
"AD Carr",30,509,750,67.8666666666667,18.8518518518519,45,1,3,0,2,99
"AD Presland",3,10,29,34.4827586206897,5,1,0,1,0,0,5
"AE Dyson",7,74,181,40.8839779005525,12.3333333333333,6,0,1,0,0,25
"AE Jones",5,334,305,109.508196721311,83.5,37,9,1,2,0,163
"AG Gordon",3,9,39,23.0769230769231,4.5,1,0,1,0,0,7
"AG Rao",3,8,49,16.3265306122449,2.66666666666667,0,0,0,0,0,6
"AH Maqsood",7,25,96,26.0416666666667,5,3,0,2,0,0,14
"AJ Freeborn",35,1082,1650,65.5757575757576,32.7878787878788,119,1,2,1,4,107
"AJ Kenealy",2,10,13,76.9230769230769,5,0,1,0,0,0,10
"AJ Macleod",17,310,450,68.8888888888889,18.2352941176471,40,0,0,0,1,79
"AL MacDonald",9,179,269,66.542750929368,19.8888888888889,18,2,0,0,1,92
"AN Davidson-Richards",30,834,1125,74.1333333333333,27.8,74,10,0,1,8,101
"ASS Fletcher",2,26,57,45.6140350877193,13,3,0,0,0,0,15
"AZ Monaghan",18,161,193,83.419689119171,16.1,17,2,8,0,0,34
