"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Aitken","Ghulam Fatima",1,6,0,5,0,0,1,16.6666666666667,Inf
"A Aitken","Jahanara Alam",0,1,1,1,0,0,0,0,0
"A Aitken","Javeria Khan",0,2,1,2,0,0,0,0,0
"A Aitken","Maham Tariq",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Aitken","P Siaka",1,6,1,5,0,0,1,16.6666666666667,1
"A Aitken","Panna Ghosh",0,2,0,2,0,0,0,0,NA
"A Aitken","Rumana Ahmed",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Aitken","Salma Khatun",0,2,0,2,0,0,0,0,NA
"A Aitken","Sana Mir",0,3,0,3,0,0,0,0,NA
"A Beggs","E Mbofana",5,7,1,5,1,0,4.28571428571429,71.4285714285714,5
"A Beggs","J Nkomo",4,12,0,9,0,0,2,33.3333333333333,Inf
"A Beggs","L Tshuma",0,3,0,3,0,0,0,0,NA
"A Beggs","P Marange",2,15,1,14,0,0,0.8,13.3333333333333,2
"A Campbell","A Hartley",44,43,0,26,5,2,6.13953488372093,102.325581395349,Inf
"A Campbell","A Stonehouse",1,2,0,1,0,0,3,50,Inf
"A Campbell","AD Presland",5,10,0,5,0,0,3,50,Inf
"A Campbell","AE Dyson",4,2,0,1,1,0,12,200,Inf
"A Campbell","AN Davidson-Richards",9,20,2,17,2,0,2.7,45,4.5
"A Campbell","AZ Monaghan",7,10,0,6,1,0,4.2,70,Inf
"A Campbell","C Skelton",17,18,0,8,2,0,5.66666666666667,94.4444444444444,Inf
"A Campbell","CE Dean",9,16,1,10,1,0,3.375,56.25,9
"A Campbell","CK Boycott",19,14,0,9,3,1,8.14285714285714,135.714285714286,Inf
"A Campbell","CL Tryon",10,8,0,2,1,0,7.5,125,Inf
"A Campbell","CM McCarthy",2,2,0,0,0,0,6,100,Inf
"A Campbell","CM Taylor",13,30,0,20,1,0,2.6,43.3333333333333,Inf
