"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"LA Dawson",2023-08-29,"Warwickshire","Hampshire",1,"6.5",0,15,7,2.19512195121951,29,"One-Day Cup","2023",1347565,"Edgbaston, Birmingham","Birmingham","Warwickshire","Hampshire","Hampshire","field",NA,"Hampshire","9",NA
"BA Hutton",2022-08-20,"Leicestershire","Nottinghamshire",2,"8.1",2,26,7,3.18367346938776,38,"Royal London One-Day Cup","2022",1298016,"Grace Road, Leicester","Leicester","Nottinghamshire","Leicestershire","Leicestershire","field",NA,"Nottinghamshire",NA,"105"
"ND Laegsgaard",2022-08-05,"Malaysia","Denmark",2,"9.0",7,6,6,0.666666666666667,50,"CWC Challenge League","2022",1326349,"Maple Leaf North-East Ground, King City","King City","Denmark","Malaysia","Malaysia","field","ND Laegsgaard","Denmark",NA,"91"
"B Kynman",2016-05-27,"Nigeria","Jersey",1,"6.3",1,18,6,2.76923076923077,30,"ICC World Cricket League Division Five","2016",979837,"Farmers Cricket Club Ground","St Martin","Jersey","Nigeria","Jersey","field","B Kynman","Jersey","10",NA
"Hammad Saeed",2017-04-29,"Thailand","Saudi Arabia",1,"8.1",0,21,6,2.57142857142857,35,"ICC World Cricket League Asia Region Division One","2017",1089487,"Royal Chiangmai Golf Club",NA,"Thailand","Saudi Arabia","Saudi Arabia","field","Hammad Saeed","Saudi Arabia","1",NA
"Mohammed Irfan (2)",2018-04-30,"Bermuda","Uganda",2,"10.0",4,23,6,2.3,48,"ICC World Cricket League Division Four","2018",1144326,"UKM-YSD Cricket Oval","Bangi","Uganda","Bermuda","Bermuda","field","Mohammed Irfan (2)","Uganda",NA,"189"
"Mudassar Bukhari",2016-01-27,"United Arab Emirates","Netherlands",1,"10.0",2,24,6,2.4,48,"ICC World Cricket League Championship","2015/16",952189,"Sheikh Zayed Stadium","Abu Dhabi","United Arab Emirates","Netherlands","Netherlands","field",NA,"Netherlands","7",NA
"S Waqas Ahmed",2017-06-10,"Belgium","Norway",2,"10.0",4,24,6,2.4,47,"ICC World Cricket League Europe Region Division One","2017",1101732,"Sportpark Duivesteijn","Voorburg","Norway","Belgium","Norway","bat","S Waqas Ahmed","Norway",NA,"33"
"DI Stevens",2018-06-01,"Surrey","Kent",2,"6.1",0,25,6,4.05405405405405,19,"Royal London One-Day Cup","2018",1127810,"Kent County Cricket Ground, Beckenham","Beckenham","Kent","Surrey","Surrey","field",NA,"Kent",NA,"220"
"G Hoey",2023-09-05,"Northern Knights","Leinster Lightning",2,"7.2",0,26,6,3.54545454545455,22,"Cricket Ireland Inter-Provincial Limited Over Cup","2023",1375535,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Leinster Lightning","Northern Knights","Leinster Lightning","bat","S Lynch","Leinster Lightning",NA,"170"
"RG Mukasa",2014-10-30,"Nepal","Uganda",1,"3.5",0,27,6,7.04347826086956,9,"ICC World Cricket League Division Three","2014/15",785993,"Kinrara Academy Oval","Kuala Lumpur","Nepal","Uganda","Nepal","bat","RG Mukasa","Nepal",NA,"62"
"J Sumerauer",2022-06-21,"Italy","Jersey",2,"7.3",0,32,6,4.26666666666667,34,"CWC Challenge League","2022",1317956,"Kyambogo Cricket Ground, Kampala","Kampala","Jersey","Italy","Jersey","bat","J Sumerauer","Jersey",NA,"88"
"Rizwan Cheema",2012-04-12,"Namibia","Canada",1,"8.5",0,34,6,3.84905660377358,33,"ICC World Cricket League Championship","2012",543891,"Wanderers Cricket Ground","Windhoek","Namibia","Canada","Namibia","bat",NA,"Namibia",NA,"21"
"CJC Wright",2022-08-20,"Nottinghamshire","Leicestershire",1,"10.0",1,35,6,3.5,40,"Royal London One-Day Cup","2022",1298016,"Grace Road, Leicester","Leicester","Nottinghamshire","Leicestershire","Leicestershire","field",NA,"Nottinghamshire",NA,"105"
"JW Dernbach",2015-09-19,"Gloucestershire","Surrey",1,"8.4",0,35,6,4.03846153846154,34,"Royal London One-Day Cup","2015",804869,"Lord's, London","London","Gloucestershire","Surrey","Surrey","field","JMR Taylor","Gloucestershire",NA,"6"
"EB Ringera",2022-08-10,"Uganda","Kenya",2,"8.1",1,36,6,4.40816326530612,32,"CWC Challenge League","2022",1326864,"Grainville, St Saviour","St Saviour","Kenya","Uganda","Uganda","field","EB Ringera","Kenya",NA,"36"
"CG Williams",2015-01-23,"Canada","Namibia",1,"10.0",1,37,6,3.7,40,"ICC World Cricket League Division Two","2014/15",812801,"United Cricket Club Ground","Windhoek","Namibia","Canada","Namibia","field","CG Williams","Namibia","8",NA
"GG White",2016-06-08,"Lancashire","Northamptonshire",2,"10.0",0,37,6,3.7,35,"Royal London One-Day Cup","2016",947383,"County Ground, Northampton","Northampton","Northamptonshire","Lancashire","Lancashire","field",NA,"Northamptonshire",NA,"76"
"S Mahmood",2019-04-24,"Northamptonshire","Lancashire",1,"10.0",0,37,6,3.7,33,"Royal London One-Day Cup","2019",1167076,"Old Trafford, Manchester","Manchester","Northamptonshire","Lancashire","Lancashire","field",NA,"Lancashire",NA,"45"
"T Jamtsho",2017-05-01,"Bahrain","Bhutan",1,"10.0",1,38,6,3.8,45,"ICC World Cricket League Asia Region Division One","2017",1089490,"Royal Chiangmai Golf Club",NA,"Bahrain","Bhutan","Bhutan","field","Tahir Dar","Bahrain",NA,"55"
"BJ McCarthy",2021-05-22,"Munster Reds","Leinster Lightning",2,"9.3",0,39,6,4.10526315789474,41,"Cricket Ireland Inter-Provincial Limited Over Cup","2021",1259530,"Pembroke Cricket Club, Sandymount, Dublin","Dublin","Leinster Lightning","Munster Reds","Munster Reds","field","BJ McCarthy","Leinster Lightning",NA,"93"
"LM Benkenstein",2022-08-14,"Glamorgan","Essex",2,"10.0",0,42,6,4.2,30,"Royal London One-Day Cup","2022",1297993,"County Ground, Chelmsford","Chelmsford","Essex","Glamorgan","Essex","bat",NA,"Essex",NA,"103"
"TE Kane",2019-08-20,"Northern Knights","Leinster Lightning",1,"8.2",0,42,6,5.04,35,"Cricket Ireland Inter-Provincial Limited Over Cup","2019",1178135,"Civil Service Cricket Club, Stormont, Belfast","Belfast","Northern Knights","Leinster Lightning","Leinster Lightning","field",NA,"Leinster Lightning","7",NA
"RI Walker",2023-08-06,"Kent","Leicestershire",2,"6.5",0,43,6,6.29268292682927,22,"One-Day Cup","2023",1347507,"Kent County Cricket Ground, Beckenham","Beckenham","Leicestershire","Kent","Kent","field",NA,"Leicestershire",NA,"264"
"CS Sandri",2017-09-06,"Cayman Islands","Italy",2,"9.2",0,46,6,4.92857142857143,30,"ICC World Cricket League Division Five","2017",1118458,"Willowmoore Park A Field","Benoni","Italy","Cayman Islands","Italy","bat","DG Crowley","Italy",NA,"122"
