"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Austin","2016","Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",1,7,9,77.7777777777778,7,1,0,0,0,0,7
"A Austin","2019","Cricket Ireland Inter-Provincial Limited Over Cup","North-West Warriors",2,46,61,75.4098360655738,23,6,0,0,0,0,23
"A Balbirnie","2015","Royal London One-Day Cup","Middlesex",1,8,17,47.0588235294118,8,1,0,0,0,0,8
"A Balbirnie","2017","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",2,75,85,88.2352941176471,37.5,10,0,0,0,0,40
"A Balbirnie","2017/18","ICC Cricket World Cup Qualifier","Ireland",1,68,75,90.6666666666667,68,4,1,0,0,1,68
"A Balbirnie","2018","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",3,39,73,53.4246575342466,13,6,0,0,0,0,25
"A Balbirnie","2019","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,350,399,87.719298245614,87.5,37,7,0,1,2,125
"A Balbirnie","2021","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",4,218,277,78.7003610108303,109,24,3,2,1,1,126
"A Balbirnie","2022","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",5,110,201,54.726368159204,22,10,2,0,0,1,62
"A Balbirnie","2023","Cricket Ireland Inter-Provincial Limited Over Cup","Leinster Lightning",1,20,14,142.857142857143,20,4,0,0,0,0,20
"A Bhattarai","2010","ICC World Cricket League Division Four","Nepal",1,6,7,85.7142857142857,6,0,1,0,0,0,6
"A Bhattarai","2013","ICC World Cricket League Division Three","Nepal",1,0,0,NA,NA,0,0,1,0,0,0
"A Bonora","2010","ICC World Cricket League Division Four","Italy",3,56,137,40.8759124087591,28,5,0,1,0,0,37
"A Bonora","2013","ICC World Cricket League Division Three","Italy",3,54,139,38.8489208633094,18,4,1,0,0,0,42
"A Bonora","2014","ICC World Cricket League Division Four","Italy",4,137,256,53.515625,34.25,8,2,0,0,2,68
"A Bonora","2016/17","ICC World Cricket League Division Four","Italy",5,83,206,40.2912621359223,16.6,7,0,0,0,0,32
"A Bulow","2014","ICC World Cricket League Division Four","Denmark",2,5,3,166.666666666667,5,1,0,1,0,0,4
"A Bulow","2016/17","ICC World Cricket League Division Four","Denmark",5,88,127,69.2913385826772,17.6,8,3,0,0,0,45
"A Bulow","2018","ICC World Cricket League Division Four","Denmark",1,57,61,93.4426229508197,57,7,2,0,0,1,57
"A Bulow","2018/19","ICC World Cricket League Division Three","Denmark",2,14,43,32.5581395348837,7,1,0,0,0,0,10
"A Cassim","2016","ICC World Cricket League Division Five","Tanzania",2,8,23,34.7826086956522,4,0,0,0,0,0,8
"A Cawley","2021","Cricket Ireland Inter-Provincial Limited Over Cup","Munster Reds",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"A Dagar","2016","ICC World Cricket League Division Five","Tanzania",3,73,75,97.3333333333333,73,5,4,2,0,0,35
"A Dagar","2017","ICC World Cricket League Africa Region Qualifiers","Tanzania",5,60,94,63.8297872340426,12,1,3,0,0,0,25
"A Dennison","2016","Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,73,102,71.5686274509804,36.5,8,0,0,0,1,73
"A Dennison","2017","Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",2,23,29,79.3103448275862,11.5,3,0,0,0,0,23
"A Dennison","2018","Cricket Ireland Inter-Provincial Limited Over Cup","Northern Knights",3,37,62,59.6774193548387,12.3333333333333,5,0,0,0,0,22
"A Ferguson","2010","ICC World Cricket League Division Four","Argentina",4,114,107,106.542056074766,28.5,10,5,0,0,1,83
