"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aitken","2016/17","ICC Women's World Cup Qualifier","Scotland",4,4,28,14.2857142857143,1,0,0,0,0,0,2
"A Beggs","2017","Women's Quadrangular Series (in South Africa)","Ireland",2,11,37,29.7297297297297,5.5,1,0,0,0,0,10
"A Campbell","2020","Rachael Heyhoe Flint Trophy","Northern Diamonds",5,70,81,86.4197530864197,14,6,3,0,0,0,43
"A Campbell","2021","Rachael Heyhoe Flint Trophy","Northern Diamonds",7,223,256,87.109375,31.8571428571429,26,5,0,0,2,76
"A Campbell","2022","Rachael Heyhoe Flint Trophy","Central Sparks",6,89,151,58.9403973509934,14.8333333333333,13,0,0,0,1,50
"A Campbell","2023","Rachael Heyhoe Flint Trophy","Central Sparks",12,237,290,81.7241379310345,23.7,27,0,2,0,2,68
"A Campbell","2024","Rachael Heyhoe Flint Trophy","Central Sparks",4,20,47,42.5531914893617,5,3,0,0,0,0,13
"A Capsey","2020","Rachael Heyhoe Flint Trophy","South East Stars",6,141,218,64.6788990825688,28.2,17,0,1,0,1,73
"A Capsey","2021","Rachael Heyhoe Flint Trophy","South East Stars",7,142,170,83.5294117647059,20.2857142857143,16,0,0,0,1,78
"A Capsey","2022","Rachael Heyhoe Flint Trophy","South East Stars",2,70,88,79.5454545454545,70,4,1,1,0,1,64
"A Capsey","2023","Rachael Heyhoe Flint Trophy","South East Stars",3,23,23,100,7.66666666666667,4,0,0,0,0,18
"A Clarke","2020","Rachael Heyhoe Flint Trophy","Thunder",1,1,5,20,1,0,0,0,0,0,1
"A Cranstone","2020","Rachael Heyhoe Flint Trophy","South East Stars",6,116,192,60.4166666666667,19.3333333333333,11,0,0,0,0,46
"A Cranstone","2021","Rachael Heyhoe Flint Trophy","South East Stars",6,123,156,78.8461538461538,30.75,15,1,2,0,0,42
"A Cranstone","2022","Rachael Heyhoe Flint Trophy","South East Stars",3,43,52,82.6923076923077,14.3333333333333,6,0,0,0,0,27
"A Cranstone","2023","Rachael Heyhoe Flint Trophy","South East Stars",6,124,163,76.0736196319018,20.6666666666667,14,0,0,0,1,69
"A Cranstone","2024","Rachael Heyhoe Flint Trophy","South East Stars",5,137,100,137,34.25,17,0,1,0,1,63
"A Dowse","2023","Rachael Heyhoe Flint Trophy","Sunrisers",4,161,175,92,40.25,18,1,0,1,0,105
"A Dowse","2024","Rachael Heyhoe Flint Trophy","Sunrisers",4,28,67,41.7910447761194,7,3,0,0,0,0,13
"A Edward","2022","CG United Women's Super50","Windward Islands",2,14,46,30.4347826086957,7,2,0,0,0,0,10
"A Edwards","2022","CG United Women's Super50","Leeward Islands",2,30,46,65.2173913043478,15,4,0,0,0,0,29
"A Freeman","2022","CG United Women's Super50","Leeward Islands",3,8,89,8.98876404494382,2.66666666666667,0,0,0,0,0,4
