"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"N de Klerk",2023-05-06,"Northern Diamonds","The Blaze",1,"9.1",3,33,7,3.6,44,"Rachael Heyhoe Flint Trophy","2023","1347417","Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","The Blaze","The Blaze","field",NA,"The Blaze","4",NA
"P Siaka",2017-02-11,"Scotland","Papua New Guinea",1,"7.0",1,19,6,2.71428571428571,32,"ICC Women's World Cup Qualifier","2016/17","1073414","Mercantile Cricket Association Ground","Colombo","Papua New Guinea","Scotland","Papua New Guinea","field","K Anderson","Scotland",NA,"7"
"A Hartley",2022-07-16,"South East Stars","Thunder",1,"10.0",5,24,6,2.4,50,"Rachael Heyhoe Flint Trophy","2022","1297936","Trafalgar Road Ground, Southport","Southport","South East Stars","Thunder","South East Stars","bat",NA,"South East Stars",NA,"52"
"BA Langston",2024-07-10,"Sunrisers","Northern Diamonds",1,"10.0",1,24,6,2.4,46,"Rachael Heyhoe Flint Trophy","2024","1427838","Clifton Park Ground, York","York","Sunrisers","Northern Diamonds","Northern Diamonds","field",NA,"Northern Diamonds","4",NA
"A Capsey",2023-05-01,"Western Storm","South East Stars",2,"7.5",0,28,6,3.57446808510638,30,"Rachael Heyhoe Flint Trophy","2023","1347414","County Ground, Bristol","Bristol","South East Stars","Western Storm","South East Stars","bat",NA,"South East Stars",NA,"207"
"CM Taylor",2020-09-27,"Northern Diamonds","Southern Vipers",2,"10.0",0,34,6,3.4,47,"Rachael Heyhoe Flint Trophy","2020","1229350","Edgbaston, Birmingham","Birmingham","Southern Vipers","Northern Diamonds","Northern Diamonds","field","CM Taylor","Southern Vipers",NA,"38"
"H Graham",2024-06-30,"South East Stars","The Blaze",2,"6.0",0,39,6,6.5,16,"Rachael Heyhoe Flint Trophy","2024","1427831","Kent County Cricket Ground, Beckenham","Beckenham","The Blaze","South East Stars","South East Stars","field",NA,"The Blaze",NA,"133"
"VN Watts",2022-06-23,"Guyana","Jamaica",1,"5.2",1,5,5,0.9375,29,"CG United Women's Super50","2022","wi_212062","Guyana National Stadium, Providence",NA,"Guyana","Jamaica","Jamaica","field",NA,"Jamaica","8",NA
"Nashra Sandhu",2017-02-10,"Papua New Guinea","Pakistan",2,"6.0",2,11,5,1.83333333333333,30,"ICC Women's World Cup Qualifier","2016/17","1073409","Nondescripts Cricket Club Ground","Colombo","Papua New Guinea","Pakistan","Pakistan","bat","Ayesha Zafar","Pakistan",NA,"236"
"Sana Mir",2017-02-13,"Scotland","Pakistan",1,"10.0",3,14,5,1.4,52,"ICC Women's World Cup Qualifier","2016/17","1073420","Colombo Cricket Club Ground",NA,"Pakistan","Scotland","Scotland","bat","Sana Mir","Pakistan","6",NA
"CA Henry",2022-06-23,"Guyana","Jamaica",1,"6.0",3,18,5,3,31,"CG United Women's Super50","2022","wi_212062","Guyana National Stadium, Providence",NA,"Guyana","Jamaica","Jamaica","field",NA,"Jamaica","8",NA
"T Putthawong",2021-11-23,"Pakistan","Thailand",1,"9.0",3,18,5,2,45,"ICC Women's Cricket World Cup Qualifier","2021/22","1286907","Takashinga Sports Club, Highfield, Harare","Harare","Pakistan","Thailand","Pakistan","bat",NA,"Pakistan",NA,"52"
"LF Higham",2023-04-22,"Central Sparks","The Blaze",2,"10.0",2,19,5,1.9,48,"Rachael Heyhoe Flint Trophy","2023","1347406","Trent Bridge, Nottingham","Nottingham","The Blaze","Central Sparks","The Blaze","bat",NA,"The Blaze",NA,"59"
"Poonam Yadav",2017-02-13,"Zimbabwe","India",1,"7.5",2,19,5,2.42553191489362,39,"ICC Women's World Cup Qualifier","2016/17","1073417","P Sara Oval","Colombo","India","Zimbabwe","Zimbabwe","bat","Poonam Yadav","India","9",NA
"S Ismail",2017-05-07,"Zimbabwe","South Africa",1,"8.5",2,25,5,2.83018867924528,44,"Women's Quadrangular Series (in South Africa)","2017","1089520","Senwes Park","Potchefstroom","South Africa","Zimbabwe","Zimbabwe","bat","S Ismail","South Africa","8",NA
