"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth",2,59,36,163.888888888889,29.5,4,4,0,0,1,50
"AB de Villiers",7,218,169,128.994082840237,54.5,19,5,3,0,1,52
"AD Hales",43,1180,837,140.979689366786,29.5,136,42,3,0,6,82
"AD Russell",18,184,131,140.458015267176,12.2666666666667,15,12,3,0,0,35
"ADS Fletcher",9,158,138,114.492753623188,17.5555555555556,14,8,0,0,0,34
"AJ Hosein",10,115,95,121.052631578947,19.1666666666667,6,6,4,0,0,31
"AJ Tye",1,1,1,100,Inf,0,0,1,0,0,1
"AM Rossington",3,104,69,150.724637681159,34.6666666666667,16,2,0,0,1,69
"AP Devcich",11,280,207,135.265700483092,28,26,12,1,0,2,70
"Aamer Azmat",3,43,34,126.470588235294,14.3333333333333,6,0,0,0,0,33
"Aamer Jamal",13,167,110,151.818181818182,20.875,15,10,5,0,1,87
"Aamer Yamin",16,153,115,133.04347826087,11.7692307692308,8,11,3,0,0,35
"Abbas Afridi",8,68,43,158.139534883721,13.6,7,4,3,0,0,27
"Abdul Bangalzai",4,15,23,65.2173913043478,3.75,0,1,0,0,0,14
"Abdul Nasir",2,1,4,25,1,0,0,1,0,0,1
"Abdullah Shafique",26,678,499,135.871743486974,28.25,59,26,2,0,5,75
"Abrar Ahmed",7,18,23,78.2608695652174,3,2,1,1,0,0,12
"Adil Amin",1,7,7,100,Inf,1,0,1,0,0,7
"Agha Salman",26,529,441,119.954648526077,22.0416666666667,46,17,2,0,3,64
"Ahmed Daniyal",4,10,20,50,5,1,0,2,0,0,6
"Ahmed Safi Abdullah",2,9,13,69.2307692307692,Inf,1,0,2,0,0,8
"Ahmed Shehzad",43,1077,897,120.066889632107,26.2682926829268,109,32,2,0,9,99
"Ahsan Ali",18,444,335,132.537313432836,26.1176470588235,49,13,1,0,3,73
"Ahsan Hafeez",5,56,40,140,11.2,6,2,0,0,0,20
"Aimal Khan",1,0,2,0,NA,0,0,1,0,0,0
"Aizaz Cheema",1,0,0,NA,NA,0,0,1,0,0,0
"Akbar-ur-Rehman",3,15,19,78.9473684210526,5,1,0,0,0,0,11
"Akif Javed",4,7,10,70,Inf,1,0,4,0,0,7
"Ali Shafiq",1,0,0,NA,0,0,0,0,0,0,0
"Amad Butt",14,127,88,144.318181818182,14.1111111111111,9,8,5,0,0,27
"Anamul Haque",1,3,9,33.3333333333333,3,0,0,0,0,0,3
"Anwar Ali",36,323,229,141.048034934498,14.6818181818182,19,19,14,0,0,28
"Arafat Minhas",1,1,1,100,1,0,0,0,0,0,1
"Arif Yaqoob",2,10,8,125,Inf,0,1,2,0,0,9
"Arish Ali",1,0,1,0,0,0,0,0,0,0,0
"Arshad Iqbal",4,5,11,45.4545454545455,5,0,0,3,0,0,2
"Asad Shafiq",16,280,267,104.868913857678,18.6666666666667,31,5,1,0,1,51
"Ashar Zaidi",2,8,16,50,4,0,0,0,0,0,6
"Ashir Qureshi",1,0,1,0,0,0,0,0,0,0,0
"Asif Afridi",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"Asif Ali",73,1209,771,156.809338521401,22.3888888888889,70,92,19,0,3,75
"Athar Mahmood",1,0,0,NA,NA,0,0,1,0,0,0
"Awais Zia",2,22,30,73.3333333333333,11,2,0,0,0,0,19
"Azam Khan",50,1140,776,146.907216494845,25.3333333333333,100,63,5,0,6,97
"Azhar Ali",7,183,172,106.395348837209,26.1428571428571,22,3,0,0,1,61
"Azhar Mahmood",2,14,12,116.666666666667,Inf,2,0,2,0,0,12
"Azmatullah Omarzai",3,26,14,185.714285714286,13,3,1,1,0,0,16
"B Laughlin",1,3,2,150,Inf,0,0,1,0,0,3
"B Muzarabani",3,0,7,0,0,0,0,0,0,0,0
"BA King",3,69,45,153.333333333333,34.5,7,4,1,0,0,46
"BAC Howell",1,2,1,200,Inf,0,0,1,0,0,2
"BB McCullum",19,323,277,116.606498194946,19,29,16,2,0,0,44
"BCJ Cutting",26,481,306,157.18954248366,22.9047619047619,33,33,5,0,2,53
"BJ Haddin",17,327,250,130.8,25.1538461538462,25,15,4,0,4,73
"BJ Hodge",4,93,61,152.459016393443,46.5,6,6,2,0,1,85
"BM Duckett",6,90,84,107.142857142857,15,12,1,0,0,0,47
"BR Dunk",27,596,412,144.660194174757,27.0909090909091,41,34,5,0,3,99
"BRM Taylor",4,17,17,100,4.25,0,1,0,0,0,13
