"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Wahab Riaz",87,"325.5",3,2539,111,22.8738738738739,7.7923273657289,17.6126126126126,819,1,0,"4/17"
"Hasan Ali",81,"308.4",2,2480,108,22.962962962963,8.03455723542117,17.1481481481481,749,4,0,"4/15"
"Shaheen Shah Afridi",72,"270.5",4,2174,103,21.1067961165049,8.02707692307692,15.7766990291262,690,3,2,"5/4"
"Shadab Khan",83,"300.4",1,2310,91,25.3846153846154,7.68292682926829,19.8241758241758,652,2,1,"5/28"
"Faheem Ashraf",70,"230.5",1,1944,78,24.9230769230769,8.42166064981949,17.7564102564103,504,1,1,"6/19"
"Mohammad Amir",75,"274.2",6,2089,72,29.0138888888889,7.61482381530984,22.8611111111111,713,3,0,"4/25"
"Haris Rauf",57,"214.1",0,1950,66,29.5454545454545,9.10505836575875,19.469696969697,458,1,0,"4/23"
"Imad Wasim",85,"279.3",2,1961,63,31.1269841269841,7.01610017889088,26.6190476190476,660,0,1,"5/23"
"Usama Mir",43,"151.4",0,1248,59,21.1525423728814,8.22857142857143,15.4237288135593,310,0,1,"6/40"
"Imran Tahir",42,"156.0",2,1100,56,19.6428571428571,7.05128205128205,16.7142857142857,309,0,0,"3/7"
"Sohail Tanvir",59,"211.5",2,1680,56,30,7.93076317859953,22.6964285714286,529,2,0,"4/13"
"Mohammad Hasnain",39,"142.5",2,1280,51,25.0980392156863,8.96149358226371,16.8039215686275,347,2,0,"4/25"
"Mohammad Nawaz (3)",57,"188.4",1,1348,50,26.96,7.14487632508834,22.64,471,1,0,"4/13"
"Rumman Raees",48,"162.2",0,1289,48,26.8541666666667,7.94045174537988,20.2916666666667,371,1,0,"4/25"
"Umaid Asif",47,"173.2",0,1459,48,30.3958333333333,8.41730769230769,21.6666666666667,379,1,0,"4/23"
"Shahid Afridi",50,"168.4",5,1210,46,26.304347826087,7.17391304347826,22,399,0,1,"5/7"
"Mohammad Irfan",51,"192.3",3,1341,45,29.8,6.96623376623377,25.6666666666667,549,0,0,"3/22"
"Rashid Khan",28,"111.0",1,681,44,15.4772727272727,6.13513513513514,15.1363636363636,296,2,1,"5/20"
"Zaman Khan",35,"120.2",2,1057,44,24.0227272727273,8.78393351800554,16.4090909090909,264,2,0,"4/16"
"Abbas Afridi",29,"93.2",0,849,43,19.7441860465116,9.09642857142857,13.0232558139535,199,2,1,"5/47"
"Mohammad Sami",37,"128.0",1,890,43,20.6976744186047,6.953125,17.8604651162791,354,0,1,"5/8"
"Usman Shinwari",38,"132.0",0,1161,42,27.6428571428571,8.79545454545454,18.8571428571429,278,2,0,"4/15"
"Naseem Shah",40,"146.1",2,1150,41,28.0487804878049,7.86773090079818,21.390243902439,385,1,1,"5/20"
"CJ Jordan",33,"118.0",0,976,40,24.4,8.27118644067797,17.7,237,0,0,"3/26"
"Sohail Khan",43,"157.0",1,1392,40,34.8,8.86624203821656,23.55,361,0,0,"3/23"
"Shahnawaz Dhani",27,"89.2",1,813,39,20.8461538461538,9.10074626865672,13.7435897435897,213,2,0,"4/5"
"Salman Irshad",30,"102.5",0,993,38,26.1315789473684,9.65640194489465,16.2368421052632,184,1,0,"4/30"
"D Wiese",52,"146.1",0,1200,38,31.5789473684211,8.20980615735462,23.0789473684211,234,0,0,"3/17"
"Mohammad Wasim",33,"121.3",0,1184,37,32,9.74485596707819,19.7027027027027,227,1,0,"4/31"
"Anwar Ali",48,"143.1",1,1305,36,36.25,9.11525029103609,23.8611111111111,306,0,0,"3/33"
"Rahat Ali",28,"102.2",0,800,34,23.5294117647059,7.81758957654723,18.0588235294118,256,2,0,"4/16"
"TS Mills",27,"100.2",0,828,34,24.3529411764706,8.25249169435216,17.7058823529412,258,0,0,"3/20"
"SR Patel",34,"101.1",1,768,30,25.6,7.59143327841845,20.2333333333333,234,2,0,"4/5"
"DJ Willey",19,"66.3",0,514,28,18.3571428571429,7.72932330827068,14.25,178,0,0,"3/22"
"Mohammad Ilyas",26,"76.2",1,711,28,25.3928571428571,9.31441048034934,16.3571428571429,175,0,0,"3/27"
"Waqas Maqsood",20,"70.1",0,605,27,22.4074074074074,8.62232779097387,15.5925925925926,139,1,0,"4/35"
"Yasir Shah",27,"95.1",0,692,26,26.6153846153846,7.27145359019264,21.9615384615385,217,1,0,"4/7"
"Sameen Gul",23,"82.0",0,711,26,27.3461538461538,8.67073170731707,18.9230769230769,203,0,0,"3/29"
"Junaid Khan",25,"92.0",1,780,26,30,8.47826086956522,21.2307692307692,199,0,0,"3/24"
"Arshad Iqbal",24,"83.2",2,769,25,30.76,9.228,20,171,0,0,"3/16"
"Khushdil Shah",30,"67.5",1,483,24,20.125,7.12039312039312,16.9583333333333,151,1,0,"4/35"
"Aamer Yamin",32,"93.2",2,833,24,34.7083333333333,8.925,23.3333333333333,209,0,0,"3/17"
"Ihsanullah",14,"49.0",2,370,23,16.0869565217391,7.55102040816327,12.7826086956522,133,0,1,"5/12"
