"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Lyth","D Wiese",0,1,1,1,0,0,0,0,0
"A Lyth","Dilbar Hussain",11,5,0,1,0,1,13.2,220,Inf
"A Lyth","Haris Rauf",3,4,0,1,0,0,4.5,75,Inf
"A Lyth","Mohammad Amir",9,5,0,2,0,1,10.8,180,Inf
"A Lyth","Mohammad Hafeez",17,10,0,4,2,1,10.2,170,Inf
"A Lyth","Shaheen Shah Afridi",19,9,0,2,2,1,12.6666666666667,211.111111111111,Inf
"A Lyth","Waqas Maqsood",0,2,1,2,0,0,0,0,0
"AB de Villiers","AD Russell",18,7,0,0,2,1,15.4285714285714,257.142857142857,Inf
"AB de Villiers","AW Summers",4,7,0,4,0,0,3.42857142857143,57.1428571428571,Inf
"AB de Villiers","Anwar Ali",10,8,0,1,1,0,7.5,125,Inf
"AB de Villiers","CS Delport",3,4,0,1,0,0,4.5,75,Inf
"AB de Villiers","DT Christian",2,3,0,2,0,0,4,66.6666666666667,Inf
"AB de Villiers","Danish Aziz",5,2,0,0,1,0,15,250,Inf
"AB de Villiers","Faheem Ashraf",1,1,0,0,0,0,6,100,Inf
"AB de Villiers","Fawad Ahmed",23,20,0,5,2,0,6.9,115,Inf
"AB de Villiers","Ghulam Mudassar",6,6,0,3,1,0,6,100,Inf
"AB de Villiers","HF Gurney",6,4,0,1,1,0,9,150,Inf
"AB de Villiers","Hasan Ali",4,4,1,3,1,0,6,100,4
"AB de Villiers","Hussain Talat",15,4,0,0,2,1,22.5,375,Inf
"AB de Villiers","Iftikhar Ahmed",1,4,0,3,0,0,1.5,25,Inf
"AB de Villiers","Imad Wasim",7,9,0,4,0,0,4.66666666666667,77.7777777777778,Inf
"AB de Villiers","Junaid Khan",22,12,0,2,0,2,11,183.333333333333,Inf
"AB de Villiers","Mohammad Amir",8,4,1,2,0,1,12,200,8
"AB de Villiers","Mohammad Hasnain",12,8,0,3,2,0,9,150,Inf
"AB de Villiers","Mohammad Irfan",8,5,0,0,1,0,9.6,160,Inf
"AB de Villiers","Mohammad Irfan (5)",2,2,0,0,0,0,6,100,Inf
"AB de Villiers","Mohammad Nawaz (3)",19,15,0,2,1,0,7.6,126.666666666667,Inf
"AB de Villiers","RR Rossouw",1,2,0,1,0,0,3,50,Inf
"AB de Villiers","Shadab Khan",4,6,0,2,0,0,4,66.6666666666667,Inf
"AB de Villiers","Sikandar Raza",3,3,0,0,0,0,6,100,Inf
"AB de Villiers","Sohail Tanvir",10,13,0,5,0,0,4.61538461538461,76.9230769230769,Inf
"AB de Villiers","Umaid Asif",10,4,0,0,2,0,15,250,Inf
"AB de Villiers","Umer Khan",13,10,1,4,2,0,7.8,130,13
"AB de Villiers","Waqas Maqsood",1,2,1,1,0,0,3,50,1
"AD Hales","AJ Hosein",25,16,2,8,2,2,9.375,156.25,12.5
"AD Hales","AJ Tye",7,2,0,0,0,1,21,350,Inf
"AD Hales","Aamer Jamal",3,7,2,4,0,0,2.57142857142857,42.8571428571429,1.5
"AD Hales","Aamer Yamin",40,18,2,5,7,1,13.3333333333333,222.222222222222,20
"AD Hales","Abbas Afridi",10,4,0,0,2,0,15,250,Inf
"AD Hales","Abrar Ahmed",15,5,0,1,0,2,18,300,Inf
"AD Hales","Ahmed Safi Abdullah",9,5,1,1,0,1,10.8,180,9
"AD Hales","Ali Majid",25,17,0,8,2,2,8.82352941176471,147.058823529412,Inf
"AD Hales","Anwar Ali",9,11,1,5,1,0,4.90909090909091,81.8181818181818,9
"AD Hales","Azmatullah Omarzai",1,2,0,1,0,0,3,50,Inf
"AD Hales","B Muzarabani",6,7,0,4,1,0,5.14285714285714,85.7142857142857,Inf
"AD Hales","BAC Howell",6,5,0,0,0,0,7.2,120,Inf
"AD Hales","BCJ Cutting",15,8,0,3,3,0,11.25,187.5,Inf
"AD Hales","CJ Jordan",10,9,1,5,2,0,6.66666666666667,111.111111111111,10
"AD Hales","CR Brathwaite",6,4,0,1,1,0,9,150,Inf
"AD Hales","D Wiese",17,13,1,4,1,1,7.84615384615385,130.769230769231,17
"AD Hales","DJ Willey",1,6,3,5,0,0,1,16.6666666666667,0.333333333333333
"AD Hales","DW Steyn",10,6,0,2,2,0,10,166.666666666667,Inf
"AD Hales","Dilbar Hussain",3,5,1,2,0,0,3.6,60,3
"AD Hales","Faheem Ashraf",9,5,0,1,1,0,10.8,180,Inf
"AD Hales","Ghulam Mudassar",11,5,0,2,1,1,13.2,220,Inf
"AD Hales","Haris Rauf",11,10,1,3,1,0,6.6,110,11
"AD Hales","Hasan Ali",27,15,1,6,6,0,10.8,180,27
"AD Hales","Hassan Khan",5,5,0,2,0,0,6,100,Inf
"AD Hales","Hussain Talat",8,6,0,1,1,0,8,133.333333333333,Inf
"AD Hales","Iftikhar Ahmed",8,5,0,3,2,0,9.6,160,Inf
"AD Hales","Imad Wasim",33,26,1,8,3,1,7.61538461538461,126.923076923077,33
"AD Hales","Imran Tahir",19,16,0,6,3,0,7.125,118.75,Inf
"AD Hales","JA Thompson",11,4,0,1,1,1,16.5,275,Inf
"AD Hales","JDS Neesham",14,7,0,1,1,1,12,200,Inf
"AD Hales","JP Faulkner",37,17,1,4,6,1,13.0588235294118,217.647058823529,37
"AD Hales","Jahandad Khan",13,11,0,7,1,1,7.09090909090909,118.181818181818,Inf
"AD Hales","Khalid Usman",7,16,0,12,1,0,2.625,43.75,Inf
"AD Hales","Khushdil Shah",2,5,0,3,0,0,2.4,40,Inf
"AD Hales","L Gregory",14,7,0,1,2,0,12,200,Inf
"AD Hales","LS Livingstone",8,4,0,1,0,1,12,200,Inf
"AD Hales","MM Ali",11,3,0,0,1,1,22,366.666666666667,Inf
"AD Hales","Maaz Khan",5,9,0,4,0,0,3.33333333333333,55.5555555555556,Inf
"AD Hales","Mir Hamza",36,22,2,7,5,1,9.81818181818182,163.636363636364,18
"AD Hales","Mohammad Ali",1,4,0,3,0,0,1.5,25,Inf
"AD Hales","Mohammad Amir",34,28,0,12,4,1,7.28571428571429,121.428571428571,Inf
"AD Hales","Mohammad Amir Khan",1,1,0,0,0,0,6,100,Inf
"AD Hales","Mohammad Hafeez",4,5,0,1,0,0,4.8,80,Inf
"AD Hales","Mohammad Hasnain",15,12,1,6,1,1,7.5,125,15
"AD Hales","Mohammad Ilyas",11,12,0,7,2,0,5.5,91.6666666666667,Inf
"AD Hales","Mohammad Imran (2)",9,6,0,1,1,0,9,150,Inf
"AD Hales","Mohammad Irfan",17,16,0,8,3,0,6.375,106.25,Inf
"AD Hales","Mohammad Irfan (4)",9,4,1,1,2,0,13.5,225,9
"AD Hales","Mohammad Nawaz",7,7,0,3,1,0,6,100,Inf
"AD Hales","Mohammad Nawaz (3)",5,6,0,1,0,0,5,83.3333333333333,Inf
"AD Hales","Mohammad Umar",13,4,0,1,0,2,19.5,325,Inf
"AD Hales","Mohammad Wasim",0,2,0,2,0,0,0,0,NA
"AD Hales","Muhammad Musa",14,7,0,3,0,2,12,200,Inf
"AD Hales","Mujeeb Ur Rahman",36,24,0,10,5,1,9,150,Inf
"AD Hales","Naseem Shah",20,12,0,4,2,1,10,166.666666666667,Inf
