"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"JJ Roy",2023-03-08,"Quetta Gladiators","Peshawar Zalmi",2,145,63,20,5,230.15873015873,TRUE,"Pakistan Super League","2022/23",1354948,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Quetta Gladiators","Peshawar Zalmi","bat","JJ Roy","Quetta Gladiators","8",NA
"CA Ingram",2019-02-24,"Karachi Kings","Quetta Gladiators",2,127,59,12,8,215.254237288136,TRUE,"Pakistan Super League","2018/19",1168834,"Sharjah Cricket Stadium","Sharjah","Karachi Kings","Quetta Gladiators","Karachi Kings","field","CA Ingram","Karachi Kings","6",NA
"RR Rossouw",2023-03-10,"Multan Sultans","Peshawar Zalmi",2,121,51,12,8,237.254901960784,FALSE,"Pakistan Super League","2022/23",1354950,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Multan Sultans","Peshawar Zalmi","bat","RR Rossouw","Multan Sultans","4",NA
"Usman Khan",2023-03-11,"Multan Sultans","Quetta Gladiators",1,120,43,12,9,279.06976744186,FALSE,"Pakistan Super League","2022/23",1354951,"Rawalpindi Cricket Stadium","Rawalpindi","Multan Sultans","Quetta Gladiators","Quetta Gladiators","field","Abbas Afridi","Multan Sultans",NA,"9"
"CS Delport",2019-03-09,"Islamabad United","Lahore Qalandars",1,117,60,13,6,195,TRUE,"Pakistan Super League","2018/19",1168847,"National Stadium","Karachi","Lahore Qalandars","Islamabad United","Lahore Qalandars","field","CS Delport","Islamabad United",NA,"49"
"Sharjeel Khan",2016-02-21,"Islamabad United","Peshawar Zalmi",1,117,62,12,8,188.709677419355,FALSE,"Pakistan Super League","2015/16",959219,"Dubai International Cricket Stadium",NA,"Islamabad United","Peshawar Zalmi","Peshawar Zalmi","field","Sharjeel Khan","Islamabad United",NA,"50"
"MJ Guptill",2023-02-18,"Quetta Gladiators","Karachi Kings",1,117,67,12,5,174.626865671642,FALSE,"Pakistan Super League","2022/23",1354929,"National Stadium, Karachi","Karachi","Quetta Gladiators","Karachi Kings","Karachi Kings","field","MJ Guptill","Quetta Gladiators",NA,"6"
"JJ Roy",2022-02-07,"Quetta Gladiators","Lahore Qalandars",2,116,57,11,8,203.508771929825,FALSE,"Pakistan Super League","2021/22",1293014,"National Stadium, Karachi","Karachi","Lahore Qalandars","Quetta Gladiators","Quetta Gladiators","field","JJ Roy","Quetta Gladiators","7",NA
"Fakhar Zaman",2023-03-09,"Lahore Qalandars","Islamabad United",1,115,57,8,8,201.754385964912,FALSE,"Pakistan Super League","2022/23",1354949,"Rawalpindi Cricket Stadium","Rawalpindi","Lahore Qalandars","Islamabad United","Lahore Qalandars","bat","Fakhar Zaman","Lahore Qalandars",NA,"119"
"Babar Azam",2023-03-08,"Peshawar Zalmi","Quetta Gladiators",1,115,65,15,3,176.923076923077,FALSE,"Pakistan Super League","2022/23",1354948,"Rawalpindi Cricket Stadium","Rawalpindi","Peshawar Zalmi","Quetta Gladiators","Peshawar Zalmi","bat","JJ Roy","Quetta Gladiators","8",NA
"CA Lynn",2020-03-15,"Lahore Qalandars","Multan Sultans",2,113,55,12,8,205.454545454545,TRUE,"Pakistan Super League","2019/20",1211670,"Gaddafi Stadium","Lahore","Lahore Qalandars","Multan Sultans","Lahore Qalandars","field","CA Lynn","Lahore Qalandars","9",NA
"Babar Azam",2024-02-26,"Peshawar Zalmi","Islamabad United",1,111,63,14,2,176.190476190476,TRUE,"Pakistan Super League","2023/24",1416484,"Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","Islamabad United","Islamabad United","field","Babar Azam","Peshawar Zalmi",NA,"8"
"Mohammad Rizwan",2023-02-22,"Multan Sultans","Karachi Kings",1,110,64,10,4,171.875,TRUE,"Pakistan Super League","2022/23",1354934,"Multan Cricket Stadium","Multan","Multan Sultans","Karachi Kings","Karachi Kings","field","Mohammad Rizwan","Multan Sultans",NA,"3"
"Kamran Akmal",2018-03-16,"Peshawar Zalmi","Lahore Qalandars",2,107,61,11,7,175.409836065574,TRUE,"Pakistan Super League","2017/18",1128846,"Sharjah Cricket Stadium","Sharjah","Peshawar Zalmi","Lahore Qalandars","Lahore Qalandars","bat","Kamran Akmal","Peshawar Zalmi","7",NA
"Usman Khan",2024-03-03,"Multan Sultans","Karachi Kings",1,106,59,10,5,179.661016949153,TRUE,"Pakistan Super League","2023/24",1416490,"National Stadium, Karachi","Karachi","Multan Sultans","Karachi Kings","Multan Sultans","bat","Usman Khan","Multan Sultans",NA,"20"
"Fakhar Zaman",2022-01-30,"Lahore Qalandars","Karachi Kings",2,106,60,12,4,176.666666666667,FALSE,"Pakistan Super League","2021/22",1293005,"National Stadium, Karachi","Karachi","Karachi Kings","Lahore Qalandars","Lahore Qalandars","field","Fakhar Zaman","Lahore Qalandars","6",NA
"UT Khawaja",2021-06-17,"Islamabad United","Peshawar Zalmi",1,105,56,13,3,187.5,TRUE,"Pakistan Super League","2021",1247036,"Sheikh Zayed Stadium, Abu Dhabi","Abu Dhabi","Islamabad United","Peshawar Zalmi","Peshawar Zalmi","field","UT Khawaja","Islamabad United",NA,"15"
"Sharjeel Khan",2021-02-24,"Karachi Kings","Islamabad United",1,105,59,9,8,177.966101694915,FALSE,"Pakistan Super League","2020/21",1247016,"National Stadium","Karachi","Karachi Kings","Islamabad United","Islamabad United","field","AD Hales","Islamabad United","5",NA
"HE van der Dussen",2024-02-25,"Lahore Qalandars","Peshawar Zalmi",2,104,52,7,6,200,TRUE,"Pakistan Super League","2023/24",1416483,"Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","Lahore Qalandars","Lahore Qalandars","field","Saim Ayub","Peshawar Zalmi",NA,"8"
"Kamran Akmal",2017-03-03,"Peshawar Zalmi","Karachi Kings",1,104,65,6,7,160,FALSE,"Pakistan Super League","2016/17",1076008,"Dubai International Cricket Stadium","Dubai","Peshawar Zalmi","Karachi Kings","Karachi Kings","field","Kamran Akmal","Peshawar Zalmi",NA,"24"
"HC Brook",2022-02-19,"Lahore Qalandars","Islamabad United",1,102,49,10,5,208.163265306122,TRUE,"Pakistan Super League","2021/22",1293026,"Gaddafi Stadium, Lahore","Lahore","Lahore Qalandars","Islamabad United","Lahore Qalandars","bat","HC Brook","Lahore Qalandars",NA,"66"
"Kamran Akmal",2020-02-22,"Peshawar Zalmi","Quetta Gladiators",2,101,55,13,4,183.636363636364,FALSE,"Pakistan Super League","2019/20",1211645,"National Stadium","Karachi","Peshawar Zalmi","Quetta Gladiators","Peshawar Zalmi","field","Kamran Akmal","Peshawar Zalmi","6",NA
"RR Rossouw",2020-02-29,"Multan Sultans","Quetta Gladiators",1,100,44,10,6,227.272727272727,TRUE,"Pakistan Super League","2019/20",1211653,"Multan Cricket Stadium","Multan","Multan Sultans","Quetta Gladiators","Multan Sultans","bat","RR Rossouw","Multan Sultans",NA,"30"
"Usman Khan",2024-03-10,"Multan Sultans","Islamabad United",1,100,50,15,3,200,TRUE,"Pakistan Super League","2023/24",1416498,"Rawalpindi Cricket Stadium","Rawalpindi","Multan Sultans","Islamabad United","Islamabad United","field","C Munro","Islamabad United","3",NA
"BR Dunk",2020-03-08,"Lahore Qalandars","Karachi Kings",2,99,40,3,12,247.5,TRUE,"Pakistan Super League","2019/20",1211664,"Gaddafi Stadium","Lahore","Lahore Qalandars","Karachi Kings","Lahore Qalandars","field","BR Dunk","Lahore Qalandars","8",NA
"Ahmed Shehzad",2019-03-10,"Quetta Gladiators","Karachi Kings",2,99,57,8,6,173.684210526316,FALSE,"Pakistan Super League","2018/19",1168848,"National Stadium","Karachi","Karachi Kings","Quetta Gladiators","Quetta Gladiators","field","Usman Shinwari","Karachi Kings",NA,"1"
"WCF Smeed",2022-02-15,"Quetta Gladiators","Peshawar Zalmi",2,99,60,12,3,165,FALSE,"Pakistan Super League","2021/22",1293021,"Gaddafi Stadium, Lahore","Lahore","Peshawar Zalmi","Quetta Gladiators","Peshawar Zalmi","bat","Hussain Talat","Peshawar Zalmi",NA,"24"
