"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","method","winner_runs","outcome","eliminator"
959175,6,"Islamabad United","Quetta Gladiators","male","2015/16",2016-02-04,"Pakistan Super League","1","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mohammad Nawaz (3)","JS Wilson","Shozab Raza","Khalid Mahmood","Rashid Riaz","Mohammed Anees","Quetta Gladiators",8,NA,NA,NA,NA
959177,6,"Lahore Qalandars","Karachi Kings","male","2015/16",2016-02-05,"Pakistan Super League","2","Dubai International Cricket Stadium",NA,"Karachi Kings","field","Shakib Al Hasan","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Karachi Kings",7,NA,NA,NA,NA
959179,6,"Peshawar Zalmi","Islamabad United","male","2015/16",2016-02-05,"Pakistan Super League","3","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","bat","Mohammad Asghar","Shozab Raza","Rashid Riaz","Khalid Mahmood","JS Wilson","Mohammed Anees","Peshawar Zalmi",NA,NA,24,NA,NA
959181,6,"Karachi Kings","Quetta Gladiators","male","2015/16",2016-02-06,"Pakistan Super League","4","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Ahmed Shehzad","Shozab Raza","Rashid Riaz",NA,"JS Wilson","Mohammed Anees","Quetta Gladiators",8,NA,NA,NA,NA
959183,6,"Lahore Qalandars","Peshawar Zalmi","male","2015/16",2016-02-06,"Pakistan Super League","5","Dubai International Cricket Stadium",NA,"Peshawar Zalmi","field","Tamim Iqbal","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Peshawar Zalmi",9,NA,NA,NA,NA
959185,6,"Islamabad United","Karachi Kings","male","2015/16",2016-02-07,"Pakistan Super League","6","Dubai International Cricket Stadium",NA,"Karachi Kings","field","Saeed Ajmal","JS Wilson","Rashid Riaz","Khalid Mahmood","Shozab Raza","Mohammed Anees","Islamabad United",NA,NA,2,NA,NA
959187,6,"Peshawar Zalmi","Quetta Gladiators","male","2015/16",2016-02-07,"Pakistan Super League","7","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Mohammad Nawaz (3)","Shozab Raza","Rashid Riaz","Khalid Mahmood","JS Wilson","Mohammed Anees","Quetta Gladiators",3,NA,NA,NA,NA
959189,6,"Lahore Qalandars","Quetta Gladiators","male","2015/16",2016-02-08,"Pakistan Super League","8","Dubai International Cricket Stadium",NA,"Quetta Gladiators","field","Umar Akmal","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Lahore Qalandars",NA,NA,63,NA,NA
959191,6,"Lahore Qalandars","Islamabad United","male","2015/16",2016-02-10,"Pakistan Super League","9","Sharjah Cricket Stadium",NA,"Islamabad United","field","Sharjeel Khan","JS Wilson","Aleem Dar","Khalid Mahmood","Shozab Raza","Mohammed Anees","Islamabad United",8,NA,NA,NA,NA
959195,6,"Islamabad United","Quetta Gladiators","male","2015/16",2016-02-11,"Pakistan Super League","11","Sharjah Cricket Stadium",NA,"Quetta Gladiators","field","GD Elliott","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Quetta Gladiators",7,NA,NA,NA,NA
959197,6,"Karachi Kings","Lahore Qalandars","male","2015/16",2016-02-12,"Pakistan Super League","12","Sharjah Cricket Stadium",NA,"Lahore Qalandars","field","RS Bopara","JS Wilson","Aleem Dar","Rashid Riaz","Shozab Raza","Mohammed Anees","Karachi Kings",NA,NA,27,NA,NA
