"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Lyth","2020/21","Pakistan Super League","Multan Sultans",2,59,36,163.888888888889,29.5,4,4,0,0,1,50
"AB de Villiers","2018/19","Pakistan Super League","Lahore Qalandars",7,218,169,128.994082840237,54.5,19,5,3,0,1,52
"AD Hales","2017/18","Pakistan Super League","Islamabad United",4,87,65,133.846153846154,21.75,11,2,0,0,0,46
"AD Hales","2018/19","Pakistan Super League","Islamabad United",2,42,47,89.3617021276596,21,5,1,0,0,0,41
"AD Hales","2019/20","Pakistan Super League","Karachi Kings",5,239,153,156.209150326797,59.75,21,12,1,0,2,80
"AD Hales","2020/21","Pakistan Super League","Islamabad United",4,139,81,171.604938271605,34.75,20,4,0,0,0,46
"AD Hales","2020/21","Pakistan Super League","Karachi Kings",3,33,30,110,16.5,5,0,1,0,0,22
"AD Hales","2021/22","Pakistan Super League","Islamabad United",9,355,241,147.302904564315,44.375,43,11,1,0,3,82
"AD Hales","2022/23","Pakistan Super League","Islamabad United",6,137,101,135.643564356436,22.8333333333333,15,6,0,0,1,57
"AD Hales","2023/24","Pakistan Super League","Islamabad United",10,148,119,124.36974789916,14.8,16,6,0,0,0,47
"AD Russell","2015/16","Pakistan Super League","Islamabad United",9,84,72,116.666666666667,12,7,5,2,0,0,35
"AD Russell","2017/18","Pakistan Super League","Islamabad United",4,37,23,160.869565217391,12.3333333333333,3,2,1,0,0,15
"AD Russell","2018/19","Pakistan Super League","Multan Sultans",4,50,30,166.666666666667,12.5,5,3,0,0,0,18
"AD Russell","2021","Pakistan Super League","Quetta Gladiators",1,13,6,216.666666666667,13,0,2,0,0,0,13
"ADS Fletcher","2017/18","Pakistan Super League","Peshawar Zalmi",5,86,72,119.444444444444,17.2,8,4,0,0,0,34
"ADS Fletcher","2018/19","Pakistan Super League","Peshawar Zalmi",4,72,66,109.090909090909,18,6,4,0,0,0,26
"AJ Hosein","2022/23","Pakistan Super League","Multan Sultans",2,2,3,66.6666666666667,2,0,0,1,0,0,2
"AJ Hosein","2023/24","Pakistan Super League","Quetta Gladiators",8,113,92,122.826086956522,22.6,6,6,3,0,0,31
"AJ Tye","2022/23","Pakistan Super League","Karachi Kings",1,1,1,100,Inf,0,0,1,0,0,1
"AM Rossington","2022/23","Pakistan Super League","Karachi Kings",3,104,69,150.724637681159,34.6666666666667,16,2,0,0,1,69
"AP Devcich","2017/18","Pakistan Super League","Lahore Qalandars",6,197,126,156.349206349206,39.4,18,11,1,0,2,70
"AP Devcich","2018/19","Pakistan Super League","Lahore Qalandars",5,83,81,102.469135802469,16.6,8,1,0,0,0,28
"Aamer Azmat","2021/22","Pakistan Super League","Multan Sultans",3,43,34,126.470588235294,14.3333333333333,6,0,0,0,0,33
"Aamer Jamal","2022/23","Pakistan Super League","Peshawar Zalmi",5,29,25,116,7.25,2,2,1,0,0,13
"Aamer Jamal","2023/24","Pakistan Super League","Peshawar Zalmi",8,138,85,162.352941176471,34.5,13,8,4,0,1,87
"Aamer Yamin","2016/17","Pakistan Super League","Lahore Qalandars",2,25,26,96.1538461538462,12.5,2,2,0,0,0,25
"Aamer Yamin","2017/18","Pakistan Super League","Lahore Qalandars",2,2,4,50,1,0,0,0,0,0,1
"Aamer Yamin","2018/19","Pakistan Super League","Karachi Kings",4,39,28,139.285714285714,13,3,2,1,0,0,35
"Aamer Yamin","2021","Pakistan Super League","Karachi Kings",1,0,2,0,0,0,0,0,0,0,0
"Aamer Yamin","2021/22","Pakistan Super League","Karachi Kings",5,56,39,143.589743589744,14,2,4,1,0,0,20
"Aamer Yamin","2022/23","Pakistan Super League","Karachi Kings",2,31,16,193.75,31,1,3,1,0,0,23
"Abbas Afridi","2021","Pakistan Super League","Karachi Kings",1,27,18,150,Inf,1,3,1,0,0,27
"Abbas Afridi","2021/22","Pakistan Super League","Multan Sultans",2,6,5,120,3,1,0,0,0,0,5
"Abbas Afridi","2022/23","Pakistan Super League","Multan Sultans",3,23,12,191.666666666667,23,3,1,2,0,0,17
"Abbas Afridi","2023/24","Pakistan Super League","Multan Sultans",2,12,8,150,6,2,0,0,0,0,11
"Abdul Bangalzai","2021/22","Pakistan Super League","Quetta Gladiators",1,14,13,107.692307692308,14,0,1,0,0,0,14
"Abdul Bangalzai","2022/23","Pakistan Super League","Quetta Gladiators",3,1,10,10,0.333333333333333,0,0,0,0,0,1
"Abdul Nasir","2019/20","Pakistan Super League","Quetta Gladiators",1,1,2,50,Inf,0,0,1,0,0,1
"Abdul Nasir","2021","Pakistan Super League","Quetta Gladiators",1,0,2,0,0,0,0,0,0,0,0
"Abdullah Shafique","2021/22","Pakistan Super League","Lahore Qalandars",11,251,196,128.061224489796,22.8181818181818,26,8,0,0,1,52
