"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"Hasan Ali","Peshawar Zalmi","2018/19","Pakistan Super League",13,"50.2",0,341,25,13.64,6.77483443708609,12.08,134,3,0,"4/15"
"Usama Mir","Multan Sultans","2023/24","Pakistan Super League",12,"46.5",0,381,24,15.875,8.13523131672598,11.7083333333333,94,0,1,"6/40"
"Abbas Afridi","Multan Sultans","2022/23","Pakistan Super League",11,"39.2",0,372,23,16.1739130434783,9.45762711864407,10.2608695652174,86,2,1,"5/47"
"Ihsanullah","Multan Sultans","2022/23","Pakistan Super League",12,"45.4",2,347,22,15.7727272727273,7.5985401459854,12.4545454545455,126,0,1,"5/12"
"Faheem Ashraf","Islamabad United","2018/19","Pakistan Super League",12,"44.1",0,322,21,15.3333333333333,7.29056603773585,12.6190476190476,112,1,1,"6/19"
"Rashid Khan","Lahore Qalandars","2022/23","Pakistan Super League",11,"43.0",0,281,20,14.05,6.53488372093023,12.9,106,1,0,"4/21"
"Shaheen Shah Afridi","Lahore Qalandars","2021/22","Pakistan Super League",14,"52.2",0,402,20,20.1,7.68152866242038,15.7,126,0,0,"3/30"
"Shadab Khan","Islamabad United","2021/22","Pakistan Super League",8,"32.0",0,207,19,10.8947368421053,6.46875,10.1052631578947,81,2,1,"5/28"
"Mohammad Ali","Multan Sultans","2023/24","Pakistan Super League",12,"43.0",1,354,19,18.6315789473684,8.23255813953488,13.5789473684211,112,0,0,"3/19"
"Shaheen Shah Afridi","Lahore Qalandars","2022/23","Pakistan Super League",12,"44.0",0,402,19,21.1578947368421,9.13636363636364,13.8947368421053,97,2,1,"5/40"
"Faheem Ashraf","Islamabad United","2017/18","Pakistan Super League",12,"40.0",1,310,18,17.2222222222222,7.75,13.3333333333333,84,0,0,"3/19"
"Wahab Riaz","Peshawar Zalmi","2017/18","Pakistan Super League",13,"49.5",0,344,18,19.1111111111111,6.90301003344482,16.6111111111111,138,0,0,"3/30"
"Zaman Khan","Lahore Qalandars","2021/22","Pakistan Super League",13,"46.5",2,387,18,21.5,8.26334519572954,15.6111111111111,100,1,0,"4/16"
"Shahnawaz Dhani","Multan Sultans","2021/22","Pakistan Super League",11,"36.0",0,336,17,19.7647058823529,9.33333333333333,12.7058823529412,82,0,0,"3/19"
"Wahab Riaz","Peshawar Zalmi","2018/19","Pakistan Super League",13,"49.5",0,338,17,19.8823529411765,6.78260869565217,17.5882352941176,121,0,0,"3/17"
"Usama Mir","Multan Sultans","2022/23","Pakistan Super League",12,"43.0",0,341,17,20.0588235294118,7.93023255813953,15.1764705882353,95,0,0,"3/22"
"Haris Rauf","Lahore Qalandars","2022/23","Pakistan Super League",13,"47.1",0,437,17,25.7058823529412,9.26501766784452,16.6470588235294,98,0,0,"3/22"
"Khushdil Shah","Multan Sultans","2021/22","Pakistan Super League",12,"32.2",0,223,16,13.9375,6.89690721649484,12.125,72,1,0,"4/35"
"Sohail Khan","Karachi Kings","2016/17","Pakistan Super League",9,"31.3",1,240,16,15,7.61904761904762,11.8125,90,0,0,"3/23"
"Usman Shinwari","Karachi Kings","2017/18","Pakistan Super League",9,"32.1",0,258,16,16.125,8.02072538860104,12.0625,90,1,0,"4/17"
"AD Russell","Islamabad United","2015/16","Pakistan Super League",10,"34.2",0,276,16,17.25,8.03883495145631,12.875,89,0,0,"3/18"
"Imran Tahir","Multan Sultans","2021/22","Pakistan Super League",12,"46.0",0,298,16,18.625,6.47826086956522,17.25,98,0,0,"3/16"
"Abrar Ahmed","Quetta Gladiators","2023/24","Pakistan Super League",10,"40.0",0,313,16,19.5625,7.825,15,84,0,0,"3/18"
"Haris Rauf","Lahore Qalandars","2021/22","Pakistan Super League",13,"51.4",0,470,16,29.375,9.09677419354839,19.375,102,0,0,"3/33"
"S Mahmood","Peshawar Zalmi","2020/21","Pakistan Super League",6,"22.1",0,186,15,12.4,8.39097744360902,8.86666666666667,53,0,0,"3/12"
"Wahab Riaz","Peshawar Zalmi","2016/17","Pakistan Super League",9,"33.0",0,203,15,13.5333333333333,6.15151515151515,13.2,99,0,0,"3/24"
"Umer Khan","Karachi Kings","2018/19","Pakistan Super League",10,"34.0",0,242,15,16.1333333333333,7.11764705882353,13.6,86,0,0,"3/22"
"Salman Irshad","Peshawar Zalmi","2021/22","Pakistan Super League",8,"32.0",0,264,15,17.6,8.25,12.8,69,0,0,"3/29"
"Mohammad Hasnain","Quetta Gladiators","2019/20","Pakistan Super League",9,"32.0",0,287,15,19.1333333333333,8.96875,12.8,75,2,0,"4/25"
"DJ Willey","Multan Sultans","2023/24","Pakistan Super League",11,"41.0",0,306,15,20.4,7.46341463414634,16.4,119,0,0,"3/22"
"AJ Hosein","Quetta Gladiators","2023/24","Pakistan Super League",10,"40.0",0,308,15,20.5333333333333,7.7,16,82,1,0,"4/23"
"Rahat Ali","Quetta Gladiators","2017/18","Pakistan Super League",11,"42.2",0,322,15,21.4666666666667,7.60629921259843,16.9333333333333,114,1,0,"4/16"
"Sohail Tanvir","Quetta Gladiators","2018/19","Pakistan Super League",12,"47.0",1,326,15,21.7333333333333,6.93617021276596,18.8,124,1,0,"4/21"
"Naseem Shah","Islamabad United","2023/24","Pakistan Super League",11,"44.0",2,333,15,22.2,7.56818181818182,17.6,128,0,0,"3/30"
"Zaman Khan","Lahore Qalandars","2022/23","Pakistan Super League",13,"41.3",0,354,15,23.6,8.53012048192771,16.6,106,0,0,"2/17"
"Mohammad Sami","Islamabad United","2017/18","Pakistan Super League",12,"43.4",0,306,14,21.8571428571429,7.00763358778626,18.7142857142857,117,0,0,"3/21"
"Naseem Shah","Quetta Gladiators","2021/22","Pakistan Super League",10,"38.1",0,306,14,21.8571428571429,8.0174672489083,16.3571428571429,85,1,1,"5/20"
"Shaheen Shah Afridi","Lahore Qalandars","2023/24","Pakistan Super League",9,"36.0",1,310,14,22.1428571428571,8.61111111111111,15.4285714285714,97,0,0,"3/33"
"Hasan Ali","Karachi Kings","2023/24","Pakistan Super League",10,"38.0",0,314,14,22.4285714285714,8.26315789473684,16.2857142857143,78,1,0,"4/15"
"Shadab Khan","Islamabad United","2023/24","Pakistan Super League",12,"44.0",0,376,14,26.8571428571429,8.54545454545454,18.8571428571429,89,0,0,"3/32"
"JP Faulkner","Lahore Qalandars","2021","Pakistan Super League",6,"24.0",0,156,13,12,6.5,11.0769230769231,71,0,0,"3/19"
