"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Campbell",34,639,825,77.4545454545455,19.96875,75,8,2,0,5,76
"A Capsey",18,376,499,75.3507014028056,23.5,41,1,2,0,3,78
"A Clarke",1,1,5,20,1,0,0,0,0,0,1
"A Cranstone",26,543,663,81.9004524886878,23.6086956521739,63,1,3,0,2,69
"A Dowse",8,189,242,78.099173553719,23.625,21,1,0,1,0,105
"A Glen",8,130,131,99.236641221374,26,12,2,3,0,1,53
"A Griffiths",30,659,975,67.5897435897436,22.7241379310345,73,2,1,0,3,80
"A Hartley",17,83,123,67.479674796748,10.375,8,0,9,0,0,26
"A Lee",4,9,12,75,3,0,0,1,0,0,9
"A Norgrove",7,136,287,47.3867595818815,19.4285714285714,18,0,0,0,0,48
"A Patel",2,3,5,60,3,0,0,1,0,0,2
"A Shrubsole",3,101,73,138.356164383562,50.5,8,6,1,0,1,61
"A Stonehouse",19,311,469,66.3113006396589,16.3684210526316,35,1,0,0,1,51
"A Surenkumar",7,75,96,78.125,18.75,6,0,3,0,0,25
"A Wellington",6,118,92,128.260869565217,29.5,9,5,2,0,0,31
"AD Carr",30,509,750,67.8666666666667,18.8518518518519,45,1,3,0,2,99
"AD Presland",3,10,29,34.4827586206897,5,1,0,1,0,0,5
"AE Dyson",7,74,181,40.8839779005525,12.3333333333333,6,0,1,0,0,25
"AE Jones",5,334,305,109.508196721311,83.5,37,9,1,2,0,163
"AG Gordon",3,9,39,23.0769230769231,4.5,1,0,1,0,0,7
"AH Maqsood",6,21,57,36.8421052631579,4.2,3,0,1,0,0,14
"AJ Freeborn",35,1082,1650,65.5757575757576,32.7878787878788,119,1,2,1,4,107
"AJ Macleod",17,310,450,68.8888888888889,18.2352941176471,40,0,0,0,1,79
"AL MacDonald",9,179,269,66.542750929368,19.8888888888889,18,2,0,0,1,92
"AN Davidson-Richards",30,834,1125,74.1333333333333,27.8,74,10,0,1,8,101
"AZ Monaghan",18,161,193,83.419689119171,16.1,17,2,8,0,0,34
"B Ellis",20,378,616,61.3636363636364,21,33,1,2,0,2,62
"B Gammon",5,66,102,64.7058823529412,13.2,6,0,0,0,0,39
"B Harmer",11,117,171,68.4210526315789,10.6363636363636,14,1,0,0,0,27
"B Miles",8,86,137,62.7737226277372,10.75,8,0,0,0,0,33
"BA Langston",13,247,250,98.8,27.4444444444444,28,1,4,0,2,59
"BAM Heath",30,874,852,102.582159624413,36.4166666666667,100,12,6,0,7,78
"BF Smith",31,993,985,100.812182741117,32.0322580645161,142,9,0,1,6,114
"C Brewer",18,416,587,70.8688245315162,23.1111111111111,54,0,0,0,3,79
"C Nicholas",6,60,95,63.1578947368421,30,6,0,4,0,0,24
"C Pavely",7,121,151,80.1324503311258,24.2,15,0,2,0,1,57
"C Skelton",16,202,304,66.4473684210526,33.6666666666667,23,0,10,0,0,30
"C Webb",3,83,105,79.0476190476191,27.6666666666667,8,1,0,0,0,40
"CAE Hill",20,360,598,60.2006688963211,24,34,0,5,0,2,63
"CE Dean",20,378,524,72.1374045801527,22.2352941176471,35,0,3,0,1,60
"CE Rudd",10,113,184,61.4130434782609,12.5555555555556,11,0,1,0,0,35
"CK Boycott",7,101,187,54.0106951871658,20.2,8,0,2,0,0,33
"CL Griffith",27,839,1136,73.8556338028169,31.0740740740741,96,5,0,0,5,92
"CL Tryon",9,184,167,110.179640718563,30.6666666666667,21,6,3,0,2,63
"CM McCarthy",5,33,38,86.8421052631579,6.6,4,0,0,0,0,12
"CM Taylor",7,34,68,50,11.3333333333333,1,0,4,0,0,12
"CR Knott",6,259,334,77.5449101796407,51.8,34,1,1,1,1,102
"D Gregory",21,73,189,38.6243386243386,9.125,3,0,13,0,0,20
"D Mullan",14,134,306,43.7908496732026,9.57142857142857,7,0,0,0,0,26
"D Perrin",19,330,548,60.2189781021898,19.4117647058824,34,2,2,0,0,46
"D van Niekerk",3,78,66,118.181818181818,26,10,1,0,0,0,44
"DEM Carter",1,2,4,50,2,0,0,0,0,0,2
"DJS Dottin",12,317,377,84.0848806366048,28.8181818181818,41,4,1,0,2,54
"DL Collins",18,236,457,51.6411378555799,15.7333333333333,25,0,3,0,0,32
"DN Wyatt",11,422,483,87.3706004140787,46.8888888888889,47,1,2,0,5,66
"DR Gibson",23,458,383,119.582245430809,21.8095238095238,57,5,2,0,3,76
"E Anderson",1,14,11,127.272727272727,14,1,1,0,0,0,14
"E Claridge",13,251,362,69.3370165745856,25.1,25,1,3,0,1,64
"E Corney",16,376,614,61.2377850162866,25.0666666666667,39,1,1,0,2,69
"E Gray",16,118,141,83.6879432624114,8.42857142857143,11,2,2,0,0,27
"E Jones",40,1579,2404,65.6821963394343,46.4411764705882,179,4,6,3,10,136
"E Thorpe",2,23,25,92,23,3,0,1,0,0,12
"E Threlkeld",35,820,1233,66.5044606650446,29.2857142857143,77,0,7,1,4,107
"E Windsor",33,948,1248,75.9615384615385,37.92,103,0,8,0,6,90
"EA Burns",10,219,257,85.2140077821012,24.3333333333333,18,2,1,0,0,49
"EA Russell",7,45,49,91.8367346938775,9,6,0,2,0,0,23
"EF Telford",1,0,0,NA,NA,0,0,1,0,0,0
"EI MacGregor",3,22,50,44,22,0,0,2,0,0,20
"EK Marlow",17,262,449,58.3518930957684,20.1538461538462,21,0,4,0,0,32
"EL Arlott",21,272,367,74.1144414168937,15.1111111111111,29,3,3,0,1,63
"EL Lamb",21,900,1070,84.1121495327103,45,98,5,1,2,6,121
"EM Edgcombe",2,11,12,91.6666666666667,11,1,0,1,0,0,10
"EM McCaughan",37,902,1449,62.2498274672188,25.0555555555556,107,0,1,0,6,83
"ER Chandler",1,5,6,83.3333333333333,5,0,0,0,0,0,5
"Emma Jones",1,0,2,0,0,0,0,0,0,0,0
"F Miller",10,170,187,90.9090909090909,28.3333333333333,14,0,4,0,0,47
"FC Wilson",31,928,1004,92.4302788844622,32,107,6,2,0,7,74
"FG Kemp",14,379,333,113.813813813814,34.4545454545455,41,5,3,0,1,50
"FM Trussler",1,2,2,100,Inf,0,0,1,0,0,2
"FMK Morris",32,606,822,73.7226277372263,18.9375,76,2,0,0,2,89
"FR Davies",14,76,202,37.6237623762376,10.8571428571429,3,0,7,0,0,15
"G Ballinger",18,98,213,46.0093896713615,16.3333333333333,10,0,12,0,0,25
"G Potts",15,111,229,48.471615720524,15.8571428571429,8,0,8,0,0,30
"G Scrivens",35,1260,1857,67.8513731825525,39.375,146,3,3,2,9,118
"GA Basketter",1,14,16,87.5,14,3,0,0,0,0,14
