"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"KA Levick",40,"333.1",18,1338,68,19.6764705882353,4.016008004002,29.3970588235294,1245,5,0,"4/28"
"LCN Smith",35,"329.0",35,1207,57,21.1754385964912,3.66869300911854,34.6315789473684,1225,0,1,"5/34"
"GL Adams",40,"295.1",6,1272,57,22.3157894736842,4.30942970073405,31.0701754385965,916,2,0,"4/30"
"KL Gordon",30,"285.5",29,1104,52,21.2307692307692,3.86239067055394,32.9807692307692,1118,4,0,"4/23"
"TG Norris",37,"266.4",15,1274,49,26,4.7775,32.6530612244898,976,3,0,"4/14"
"GK Davis",24,"199.4",12,823,44,18.7045454545455,4.12186978297162,27.2272727272727,730,2,0,"4/19"
"KE Bryce",28,"238.3",20,993,41,24.219512195122,4.16352201257862,34.9024390243902,896,2,1,"5/29"
"D Gregory",35,"237.3",4,1096,41,26.7317073170732,4.61473684210526,34.7560975609756,749,3,0,"4/12"
"CE Dean",25,"222.5",13,889,40,22.225,3.98952879581152,33.425,809,1,0,"4/34"
"MK Villiers",28,"236.1",11,1170,39,30,4.95412844036697,36.3333333333333,791,1,0,"4/36"
"LF Higham",32,"216.4",16,991,38,26.0789473684211,4.57384615384615,34.2105263157895,745,0,1,"5/19"
"CM Taylor",22,"184.0",11,683,37,18.4594594594595,3.71195652173913,29.8378378378378,685,2,1,"6/34"
"HE Jones",27,"217.1",22,894,36,24.8333333333333,4.11665387567153,36.1944444444444,822,0,1,"5/33"
"G Ballinger",28,"213.4",18,1005,36,27.9166666666667,4.70358814352574,35.6111111111111,804,2,1,"5/29"
"PJ Scholfield",32,"189.1",12,838,34,24.6470588235294,4.42995594713656,33.3823529411765,659,0,0,"3/16"
"AN Davidson-Richards",31,"160.5",4,855,34,25.1470588235294,5.3160621761658,28.3823529411765,519,1,0,"4/33"
"EL Arlott",29,"228.0",13,980,34,28.8235294117647,4.29824561403509,40.2352941176471,863,1,1,"5/29"
"R MacDonald-Gay",22,"135.0",12,641,33,19.4242424242424,4.74814814814815,24.5454545454545,507,1,1,"5/31"
"BF Smith",31,"172.0",6,768,33,23.2727272727273,4.46511627906977,31.2727272727273,552,0,0,"3/13"
"A Hartley",19,"170.5",23,665,31,21.4516129032258,3.89268292682927,33.0645161290323,675,1,1,"6/24"
"HL Baker",20,"162.5",5,783,30,26.1,4.8085977482088,32.5666666666667,517,0,1,"5/45"
"KL Coppack",29,"173.4",12,878,30,29.2666666666667,5.05566218809981,34.7333333333333,687,1,0,"4/48"
"C Skelton",23,"168.5",6,843,29,29.0689655172414,4.99308983218164,34.9310344827586,505,0,1,"5/54"
"FMK Morris",30,"222.1",12,1025,29,35.3448275862069,4.61365341335334,45.9655172413793,758,0,1,"5/26"
"IECM Wong",23,"159.4",13,810,28,28.9285714285714,5.07306889352818,34.2142857142857,620,0,1,"5/49"
"L Filer",23,"148.0",6,830,28,29.6428571428571,5.60810810810811,31.7142857142857,538,0,0,"3/35"
"S Munro",24,"166.0",8,763,26,29.3461538461538,4.59638554216868,38.3076923076923,617,0,0,"3/28"
