"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"GK Davis","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",12,"99.4",4,399,27,14.7777777777778,4.00334448160535,22.1481481481481,366,1,0,"4/19"
"KA Levick","Northern Diamonds",2023,"Rachael Heyhoe Flint Trophy",13,"99.0",6,435,24,18.125,4.39393939393939,24.75,361,2,0,"4/28"
"D Gregory","South East Stars",2023,"Rachael Heyhoe Flint Trophy",13,"74.1",1,374,21,17.8095238095238,5.04269662921348,21.1904761904762,220,3,0,"4/12"
"GL Adams","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",13,"110.0",1,483,20,24.15,4.39090909090909,33,346,1,0,"4/30"
"LCN Smith","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",12,"111.0",8,379,19,19.9473684210526,3.41441441441441,35.0526315789474,407,0,0,"3/29"
"G Ballinger","The Blaze",2023,"Rachael Heyhoe Flint Trophy",13,"100.4",14,422,18,23.4444444444444,4.19205298013245,33.5555555555556,403,2,0,"4/54"
"KL George","Central Sparks",2023,"Rachael Heyhoe Flint Trophy",12,"92.2",2,464,18,25.7777777777778,5.02527075812274,30.7777777777778,314,0,0,"3/30"
"KL Gordon","Lightning",2021,"Rachael Heyhoe Flint Trophy",7,"70.0",5,247,16,15.4375,3.52857142857143,26.25,280,2,0,"4/23"
"CM Taylor","Southern Vipers",2020,"Rachael Heyhoe Flint Trophy",5,"44.0",2,152,15,10.1333333333333,3.45454545454545,17.6,180,1,1,"6/34"
"AN Davidson-Richards","South East Stars",2023,"Rachael Heyhoe Flint Trophy",12,"61.2",3,308,15,20.5333333333333,5.02173913043478,24.5333333333333,205,0,0,"3/20"
"R MacDonald-Gay","South East Stars",2023,"Rachael Heyhoe Flint Trophy",12,"67.0",5,354,15,23.6,5.28358208955224,26.8,249,0,0,"3/27"
"O Bell","Thunder",2023,"Rachael Heyhoe Flint Trophy",4,"37.4",7,130,14,9.28571428571429,3.45132743362832,16.1428571428571,157,2,0,"4/23"
"KE Bryce","Lightning",2020,"Rachael Heyhoe Flint Trophy",5,"48.4",3,198,14,14.1428571428571,4.06849315068493,20.8571428571429,188,1,1,"5/29"
"NM Hancock","Sunrisers",2024,"Rachael Heyhoe Flint Trophy",6,"50.0",3,210,14,15,4.2,21.4285714285714,191,0,0,"3/15"
"J Grewcock","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",6,"49.0",1,228,14,16.2857142857143,4.6530612244898,21,164,1,0,"4/45"
"HE Jones","Thunder",2021,"Rachael Heyhoe Flint Trophy",7,"50.0",3,239,14,17.0714285714286,4.78,21.4285714285714,189,0,1,"5/33"
"E Gray","Sunrisers",2023,"Rachael Heyhoe Flint Trophy",10,"64.3",4,267,14,19.0714285714286,4.13953488372093,27.6428571428571,271,1,0,"4/31"
"IECM Wong","Central Sparks",2021,"Rachael Heyhoe Flint Trophy",8,"63.5",7,299,14,21.3571428571429,4.68407310704961,27.3571428571429,260,0,1,"5/49"
"KL Gordon","The Blaze",2023,"Rachael Heyhoe Flint Trophy",11,"104.5",12,427,14,30.5,4.0731319554849,44.9285714285714,410,0,0,"3/54"
"C Skelton","Western Storm",2023,"Rachael Heyhoe Flint Trophy",11,"88.0",5,438,14,31.2857142857143,4.97727272727273,37.7142857142857,266,0,0,"3/36"
"MLL Taylor","Southern Vipers",2023,"Rachael Heyhoe Flint Trophy",11,"94.5",2,499,14,35.6428571428571,5.26186291739895,40.6428571428571,309,1,0,"4/39"
"G Scrivens","Sunrisers",2022,"Rachael Heyhoe Flint Trophy",6,"59.0",5,191,13,14.6923076923077,3.23728813559322,27.2307692307692,229,2,0,"4/20"
"N de Klerk","The Blaze",2023,"Rachael Heyhoe Flint Trophy",7,"53.3",6,212,13,16.3076923076923,3.96261682242991,24.6923076923077,219,0,1,"7/33"
"LCN Smith","Northern Diamonds",2022,"Rachael Heyhoe Flint Trophy",7,"69.0",8,235,13,18.0769230769231,3.40579710144928,31.8461538461538,265,0,0,"3/34"
"CM Taylor","Southern Vipers",2021,"Rachael Heyhoe Flint Trophy",8,"72.0",5,236,13,18.1538461538462,3.27777777777778,33.2307692307692,273,1,0,"4/21"
"BA Langston","Northern Diamonds",2021,"Rachael Heyhoe Flint Trophy",9,"73.5",10,269,13,20.6923076923077,3.64334085778781,34.0769230769231,306,0,0,"2/12"
