"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"AE Jones",2021-05-31,"Central Sparks","Western Storm",1,163,114,17,6,142.982456140351,TRUE,"Rachael Heyhoe Flint Trophy",2021,1252269,"Edgbaston, Birmingham","Birmingham","Central Sparks","Western Storm","Western Storm","field",NA,"Central Sparks",NA,"41"
"KE Bryce",2021-09-18,"Lightning","Central Sparks",1,162,156,21,2,103.846153846154,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252288,"Haslegrave Ground, Loughborough","Loughborough","Lightning","Central Sparks","Central Sparks","field",NA,"Lightning",NA,"24"
"SN Luff",2021-09-18,"Western Storm","Sunrisers",1,157,142,22,0,110.56338028169,TRUE,"Rachael Heyhoe Flint Trophy",2021,1252290,"County Ground, Bristol","Bristol","Western Storm","Sunrisers","Western Storm","bat",NA,"Western Storm",NA,"36"
"GL Adams",2020-09-13,"Southern Vipers","Western Storm",1,154,155,20,0,99.3548387096774,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229342,"The Rose Bowl, Southampton","Southampton","Southern Vipers","Western Storm","Southern Vipers","bat",NA,"Southern Vipers",NA,"32"
"SJ Bryce",2020-09-19,"Lightning","Central Sparks",1,136,133,14,0,102.255639097744,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229348,"Grace Road, Leicester","Leicester","Lightning","Central Sparks","Central Sparks","field",NA,"Lightning",NA,"55"
"E Jones",2024-05-08,"Central Sparks","Thunder",2,136,148,15,0,91.8918918918919,TRUE,"Rachael Heyhoe Flint Trophy",2024,1427828,"Old Trafford, Manchester","Manchester","Thunder","Central Sparks","Thunder","bat",NA,"Central Sparks","3",NA
"PJ Scholfield",2023-05-01,"South East Stars","Western Storm",1,134,109,14,3,122.935779816514,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347414,"County Ground, Bristol","Bristol","South East Stars","Western Storm","South East Stars","bat",NA,"South East Stars",NA,"207"
"HJ Armitage",2022-09-11,"Northern Diamonds","Western Storm",1,131,131,10,1,100,TRUE,"Rachael Heyhoe Flint Trophy",2022,1297950,"The Cooper Associates County Ground, Taunton","Taunton","Northern Diamonds","Western Storm","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"104"
"SIR Dunkley",2024-05-08,"South East Stars","Northern Diamonds",2,130,136,8,1,95.5882352941177,FALSE,"Rachael Heyhoe Flint Trophy",2024,1427826,"Kent County Cricket Ground, Beckenham","Beckenham","Northern Diamonds","South East Stars","Northern Diamonds","bat",NA,"Northern Diamonds",NA,"3"
"L Winfield-Hill",2022-09-17,"Northern Diamonds","Southern Vipers",2,125,125,15,1,100,TRUE,"Rachael Heyhoe Flint Trophy",2022,1297952,"Headingley, Leeds","Leeds","Southern Vipers","Northern Diamonds","Southern Vipers","bat",NA,"Northern Diamonds","4",NA
"EL Lamb",2021-05-29,"Thunder","Western Storm",1,121,105,12,1,115.238095238095,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252265,"County Ground, Bristol","Bristol","Thunder","Western Storm","Western Storm","field",NA,"Western Storm","1",NA
"G Scrivens",2024-05-01,"Sunrisers","Central Sparks",2,118,123,13,1,95.9349593495935,TRUE,"Rachael Heyhoe Flint Trophy",2024,1427819,"Chester Road North Ground, Kidderminster","Kidderminster","Central Sparks","Sunrisers","Sunrisers","field",NA,"Sunrisers","5",NA
"L Winfield-Hill",2023-07-02,"Northern Diamonds","South East Stars",2,116,100,15,1,116,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347426,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Northern Diamonds","South East Stars","bat",NA,"Northern Diamonds","7",NA
"GA Elwiss",2022-07-09,"Southern Vipers","South East Stars",1,115,115,9,1,100,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297934,"County Ground, Hove","Brighton","Southern Vipers","South East Stars","South East Stars","field",NA,"Southern Vipers",NA,"133"
"O Prendergast",2023-04-29,"Western Storm","Thunder",2,115,115,11,1,100,FALSE,"Rachael Heyhoe Flint Trophy",2023,1347408,"Sophia Gardens, Cardiff","Cardiff","Thunder","Western Storm","Thunder","bat",NA,"Western Storm","6",NA
"E Jones",2020-09-19,"Central Sparks","Lightning",2,115,138,11,0,83.3333333333333,TRUE,"Rachael Heyhoe Flint Trophy",2020,1229348,"Grace Road, Leicester","Leicester","Lightning","Central Sparks","Central Sparks","field",NA,"Lightning",NA,"55"
"BF Smith",2022-09-17,"South East Stars","Lightning",1,114,102,17,1,111.764705882353,FALSE,"Rachael Heyhoe Flint Trophy",2022,1297954,"Grace Road, Leicester","Leicester","South East Stars","Lightning","South East Stars","bat",NA,"South East Stars",NA,"112"
"AE Jones",2021-05-29,"Central Sparks","Northern Diamonds",2,114,114,13,3,100,FALSE,"Rachael Heyhoe Flint Trophy",2021,1252264,"Headingley, Leeds","Leeds","Northern Diamonds","Central Sparks","Central Sparks","field",NA,"Central Sparks","2",NA
"T Brits",2023-07-11,"South East Stars","Sunrisers",1,112,72,10,5,155.555555555556,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347431,"Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","Sunrisers","South East Stars","bat",NA,"South East Stars",NA,"19"
"GA Elwiss",2021-09-12,"Southern Vipers","Sunrisers",1,112,118,12,1,94.9152542372881,TRUE,"Rachael Heyhoe Flint Trophy",2021,1252287,"County Ground, Chelmsford","Chelmsford","Southern Vipers","Sunrisers","Sunrisers","field","GA Elwiss","Southern Vipers",NA,"1"
"PJ Scholfield",2023-04-22,"South East Stars","Thunder",1,111,90,11,5,123.333333333333,TRUE,"Rachael Heyhoe Flint Trophy",2023,1347404,"Old Trafford, Manchester","Manchester","South East Stars","Thunder","South East Stars","bat",NA,"South East Stars",NA,"131"
