"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_runs","winner_wickets","player_of_match","reserve_umpire","method","match_number","outcome","tv_umpire"
1229326,6,"Sunrisers","Southern Vipers","female","2020",2020-08-29,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Southern Vipers","field","AY Harris","Chris Watts","SJ Davis","Southern Vipers",NA,7,NA,NA,NA,NA,NA,NA
1229329,6,"South East Stars","Western Storm","female","2020",2020-08-29,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","Western Storm","field","NJ Llong","SM Bartlett","PM Such","Western Storm",NA,6,NA,NA,NA,NA,NA,NA
1229330,6,"Southern Vipers","Western Storm","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Western Storm","field","JW Lloyds","Y Dolphin-Cooper","DA Cosker","Southern Vipers",22,NA,NA,NA,NA,NA,NA,NA
1229331,6,"South East Stars","Sunrisers","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","NJ Llong","S McLelland","SJ Davis","South East Stars",77,NA,NA,NA,NA,NA,NA,NA
1229332,6,"Thunder","Central Sparks","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy","Edgbaston, Birmingham","Birmingham","Thunder","bat","M Underdown","S Redfern","WR Smith","Central Sparks",NA,4,NA,NA,NA,NA,NA,NA
1229333,6,"Northern Diamonds","Lightning","female","2020",2020-08-31,"Rachael Heyhoe Flint Trophy","Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","bat","L Nenova","N Pratt","JJ Whitaker","Northern Diamonds",9,NA,NA,NA,NA,NA,NA,NA
1229334,6,"Thunder","Central Sparks","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Thunder","bat","JW Lloyds","M Underdown","TJ Boon","Central Sparks",NA,8,NA,NA,NA,NA,NA,NA
1229335,6,"Western Storm","Sunrisers","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","field","AY Harris","NJ Llong","PM Such","Western Storm",86,NA,"FMK Morris",NA,NA,NA,NA,NA
1229336,6,"Lightning","Northern Diamonds","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy","Grace Road, Leicester","Leicester","Northern Diamonds","field","J Ibbotson","S Redfern","Phil Whitticase","Northern Diamonds",NA,2,NA,NA,NA,NA,NA,NA
1229337,6,"Southern Vipers","South East Stars","female","2020",2020-09-05,"Rachael Heyhoe Flint Trophy","County Ground, Hove","Brighton","Southern Vipers","bat","Mark Newell","SM Bartlett",NA,"Southern Vipers",111,NA,NA,NA,NA,NA,NA,NA
1229338,6,"Northern Diamonds","Thunder","female","2020",2020-09-10,"Rachael Heyhoe Flint Trophy","Aigburth, Liverpool","Liverpool","Thunder","field","J Naeem","SJ O'Shaughnessy","Phil Whitticase","Northern Diamonds",73,NA,NA,NA,NA,NA,NA,NA
1229339,6,"South East Stars","Western Storm","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","South East Stars","bat","F Richards","Mark Newell","DA Cosker","Western Storm",NA,7,NA,NA,NA,NA,NA,NA
1229340,6,"Southern Vipers","Sunrisers","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Southern Vipers","bat","BV Taylor","S McLelland",NA,"Southern Vipers",49,NA,NA,NA,NA,NA,NA,NA
1229341,6,"Lightning","Central Sparks","female","2020",2020-09-11,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Central Sparks","field","Hassan Adnan","Y Dolphin-Cooper","S Cummings","Lightning",6,NA,NA,NA,NA,NA,NA,NA
1229342,6,"Southern Vipers","Western Storm","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Southern Vipers","bat","Mark Newell","SM Bartlett","GR Cowdrey","Southern Vipers",32,NA,NA,NA,NA,NA,NA,NA
1229343,6,"Sunrisers","South East Stars","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","bat","Chris Watts","F Richards","AJ Swann","South East Stars",NA,6,"A Capsey",NA,NA,NA,NA,NA
1229344,6,"Thunder","Lightning","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy","Aigburth, Liverpool","Liverpool","Thunder","bat","J Naeem","Tom Lungley","WR Smith","Thunder",72,NA,NA,NA,NA,NA,NA,NA
1229345,6,"Northern Diamonds","Central Sparks","female","2020",2020-09-13,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Northern Diamonds","bat","L Nenova","PJ Hartley","S Cummings","Central Sparks",NA,6,NA,NA,NA,NA,NA,NA
1229346,6,"South East Stars","Southern Vipers","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy","Kennington Oval, London","London","South East Stars","bat","AY Harris","BJ Debenham","AJ Swann","Southern Vipers",NA,4,NA,NA,NA,NA,NA,NA
1229347,6,"Thunder","Northern Diamonds","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Thunder","bat","IN Ramage","J Ibbotson","JJ Whitaker","Northern Diamonds",NA,6,NA,NA,NA,NA,NA,NA
1229348,6,"Lightning","Central Sparks","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy","Grace Road, Leicester","Leicester","Central Sparks","field","M Underdown","PR Pollard","Phil Whitticase","Lightning",55,NA,NA,NA,NA,NA,NA,NA
1229349,6,"Western Storm","Sunrisers","female","2020",2020-09-19,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Sunrisers","field","Mark Newell","Y Dolphin-Cooper","RM Ellison","Western Storm",47,NA,NA,NA,NA,NA,NA,NA
1229350,6,"Southern Vipers","Northern Diamonds","female","2020",2020-09-27,"Rachael Heyhoe Flint Trophy","Edgbaston, Birmingham","Birmingham","Northern Diamonds","field","N Pratt","Rob White","SJ Davis","Southern Vipers",38,NA,"CM Taylor","SM Bartlett",NA,NA,NA,"James Middlebrook"
1252264,6,"Northern Diamonds","Central Sparks","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","Central Sparks","field","Hassan Adnan","J Naeem","S Laister","Central Sparks",NA,2,NA,NA,NA,NA,NA,NA
1252265,6,"Thunder","Western Storm","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy","County Ground, Bristol","Bristol","Western Storm","field","SM Bartlett","Y Dolphin-Cooper","DW Headley","Western Storm",NA,1,NA,NA,NA,NA,NA,NA
1252266,6,"South East Stars","Sunrisers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy","County Ground, Chelmsford","Chelmsford","Sunrisers","field","J Ibbotson","S Redfern","Phil Whitticase","South East Stars",135,NA,NA,NA,NA,NA,NA,NA
1252267,6,"Lightning","Southern Vipers","female","2021",2021-05-29,"Rachael Heyhoe Flint Trophy","The Rose Bowl, Southampton","Southampton","Lightning","bat","S McLelland","Tom Lungley","SG Hinks","Southern Vipers",NA,4,NA,NA,NA,NA,NA,NA
1252268,6,"Northern Diamonds","Lightning","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy","Kibworth Cricket Club Ground","Kibworth","Lightning","field","J Ibbotson","Mark Newell","SJ Davis","Northern Diamonds",6,NA,NA,NA,NA,NA,NA,NA
1252269,6,"Central Sparks","Western Storm","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy","Edgbaston, Birmingham","Birmingham","Western Storm","field","S Redfern","Y Dolphin-Cooper","DW Headley","Central Sparks",41,NA,NA,NA,NA,NA,NA,NA
1252270,6,"South East Stars","Southern Vipers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","Southern Vipers","field","Rob White","SM Bartlett","SG Hinks","Southern Vipers",NA,7,NA,NA,NA,NA,NA,NA
1252271,6,"Thunder","Sunrisers","female","2021",2021-05-31,"Rachael Heyhoe Flint Trophy","Boughton Hall Cricket Club Ground, Chester","Chester","Thunder","bat","J Naeem","N Pratt","S Cummings","Thunder",36,NA,NA,NA,NA,NA,NA,NA
1252272,6,"Western Storm","South East Stars","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy","Kennington Oval, London","London","South East Stars","field","S McLelland","Tom Lungley","Alastair Smith","South East Stars",NA,6,NA,NA,NA,NA,NA,NA
1252273,6,"Sunrisers","Northern Diamonds","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy","FP Fenner's Ground, Cambridge","Cambridge","Northern Diamonds","field","J Ibbotson","SM Bartlett","WR Smith","Northern Diamonds",NA,9,NA,NA,NA,NA,NA,NA
1252275,6,"Central Sparks","Southern Vipers","female","2021",2021-06-05,"Rachael Heyhoe Flint Trophy","County Ground, Hove","Brighton","Central Sparks","bat","N Pratt","Y Dolphin-Cooper","DW Headley","Central Sparks",120,NA,NA,NA,NA,NA,NA,NA
1252274,6,"Lightning","Thunder","female","2021",2021-06-06,"Rachael Heyhoe Flint Trophy","Boughton Hall Cricket Club Ground, Chester","Chester","Lightning","bat","J Naeem","S Redfern","WR Smith","Lightning",134,NA,NA,NA,NA,NA,NA,NA
1252276,6,"South East Stars","Northern Diamonds","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy","Headingley, Leeds","Leeds","South East Stars","bat","J Naeem","Tom Lungley","JJ Whitaker","Northern Diamonds",NA,3,NA,NA,NA,NA,NA,NA
1252277,6,"Sunrisers","Lightning","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy","Haslegrave Ground, Loughborough","Loughborough","Sunrisers","bat","Hassan Adnan","J Ibbotson","TJ Boon","Lightning",NA,5,NA,NA,NA,NA,NA,NA
1252278,6,"Central Sparks","Thunder","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy","County Ground, New Road, Worcester","Worcester","Central Sparks","bat","Rob White","Y Dolphin-Cooper","SJ Davis","Thunder",NA,2,NA,NA,NA,NA,NA,NA
1252279,6,"Western Storm","Southern Vipers","female","2021",2021-06-12,"Rachael Heyhoe Flint Trophy","The Cooper Associates County Ground, Taunton","Taunton","Western Storm","bat","Mark Newell","S McLelland","S Cummings","Southern Vipers",NA,8,"GL Adams",NA,NA,NA,NA,NA
1252280,6,"Western Storm","Northern Diamonds","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy","Riverside Ground, Chester-le-Street","Chester-le-Street","Northern Diamonds","field","James Middlebrook","L Nenova",NA,"Northern Diamonds",NA,7,NA,NA,NA,NA,NA,NA
1252281,6,"South East Stars","Lightning","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy","Kent County Cricket Ground, Beckenham","Beckenham","South East Stars","bat","NA Mallender","S McLelland","DW Headley","South East Stars",28,NA,NA,NA,NA,NA,NA,NA
1252282,6,"Sunrisers","Central Sparks","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy","Merchant Taylors' School Ground, Northwood","Northwood","Central Sparks","field","IN Ramage","J Naeem","AJ Swann","Central Sparks",NA,6,NA,NA,"D/L",NA,NA,NA
1252283,6,"Thunder","Southern Vipers","female","2021",2021-09-10,"Rachael Heyhoe Flint Trophy","Rookwood, Sale","Sale","Southern Vipers","field","J Ibbotson","M Burns","Phil Whitticase","Southern Vipers",NA,3,NA,NA,NA,NA,NA,NA
1252284,6,"Northern Diamonds","Thunder","female","2021",2021-09-12,"Rachael Heyhoe Flint Trophy","Riverside Ground, Chester-le-Street","Chester-le-Street","Thunder","field","Hassan Adnan","J Ibbotson","DE Malcolm","Northern Diamonds",105,NA,NA,NA,NA,NA,NA,NA
