"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",1,8,17,47.0588235294118,8,1,0,0,0,0,8
"A Harinath",4,34,51,66.6666666666667,11.3333333333333,2,0,1,0,0,12
"A Harrison",1,5,8,62.5,5,0,0,0,0,0,5
"A Hepburn",1,32,34,94.1176470588235,32,1,1,0,0,0,32
"A Javid",24,390,485,80.4123711340206,26,24,2,9,0,0,42
"A Kapil",4,137,160,85.625,45.6666666666667,15,1,1,0,1,59
"A Karvelas",5,63,70,90,21,2,0,2,0,0,26
"A Lyth",45,1826,1818,100.4400440044,42.4651162790698,215,34,2,4,9,144
"A Sakande",4,4,9,44.4444444444444,1.33333333333333,0,0,1,0,0,2
"A Shahzad",14,146,174,83.9080459770115,14.6,8,3,4,0,0,39
"A Sheikh",5,5,17,29.4117647058824,1.25,0,0,1,0,0,3
"A Virdi",8,31,61,50.8196721311475,5.16666666666667,2,0,2,0,0,8
"AAP Atkinson",1,15,5,300,15,0,2,0,0,0,15
"AC Lenham",9,72,83,86.7469879518072,18,5,1,5,0,0,18
"AC Thomas",8,141,139,101.438848920863,70.5,16,1,6,0,0,49
"AC Voges",8,249,325,76.6153846153846,35.5714285714286,25,0,1,0,1,81
"AD Hales",26,1347,1238,108.804523424879,53.88,152,38,1,6,5,187
"AD Thomason",13,176,179,98.3240223463687,25.1428571428571,12,4,6,0,0,28
"AEN Riley",1,0,1,0,0,0,0,0,0,0,0
"AG Prince",12,404,463,87.2570194384449,36.7272727272727,42,3,1,1,3,102
"AG Salter",31,415,454,91.4096916299559,23.0555555555556,32,12,13,0,0,43
"AG Wakely",34,1115,1294,86.1669242658424,34.84375,99,16,2,1,8,109
"AGH Orr",14,670,738,90.7859078590786,47.8571428571429,61,27,0,2,3,206
"AH Miller",5,66,65,101.538461538462,66,6,0,4,0,0,31
"AHT Donald",45,967,992,97.4798387096774,22.4883720930233,91,27,2,2,4,115
"AJ Ball",1,6,10,60,6,0,0,0,0,0,6
"AJ Blake",57,1618,1462,110.670314637483,34.4255319148936,136,65,10,1,11,116
"AJ Finch",4,83,84,98.8095238095238,20.75,6,6,0,0,0,41
"AJ Hall",3,58,44,131.818181818182,29,7,0,1,0,0,43
"AJ Hodd",16,293,331,88.5196374622357,24.4166666666667,26,6,4,0,1,69
"AJ Horton",6,81,83,97.5903614457831,16.2,12,1,1,0,0,44
"AJ Hose",22,732,792,92.4242424242424,34.8571428571429,74,12,1,1,4,101
"AJ Ireland",5,13,19,68.4210526315789,4.33333333333333,1,1,2,0,0,8
"AJ Mellor",3,89,84,105.952380952381,44.5,6,4,1,0,1,58
"AJ Robson",14,266,362,73.4806629834254,19,31,0,0,0,1,90
"AJA Wheater",37,1273,1284,99.1433021806854,34.4054054054054,125,19,0,2,8,135
"AK Markram",7,336,370,90.8108108108108,48,41,3,0,0,3,88
"AK Russell",3,5,15,33.3333333333333,Inf,0,0,3,0,0,3
"AL Davies",29,921,957,96.2382445141066,34.1111111111111,108,8,2,1,5,147
"AL Hughes",39,736,767,95.9582790091265,21.6470588235294,62,16,5,0,2,96
"AM Ali",13,330,430,76.7441860465116,25.3846153846154,26,5,0,0,3,88
"AM Chakrapani",2,22,39,56.4102564102564,11,1,0,0,0,0,18
"AM Foreman",2,63,62,101.612903225806,63,8,1,1,0,0,35
"AM Lilley",23,453,399,113.533834586466,21.5714285714286,44,15,2,0,1,60
"AM Rossington",37,1176,1188,98.989898989899,36.75,126,19,5,0,10,97
"AN Cook",28,1306,1499,87.1247498332222,52.24,163,1,3,4,7,133
"AN Kervezee",12,338,365,92.6027397260274,37.5555555555556,35,4,3,0,3,80
"AN Petersen",14,355,506,70.1581027667984,29.5833333333333,32,3,2,0,2,82
