"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"OJ Hannon-Dalby",51,"430.2",23,2501,94,26.6063829787234,5.81177381874516,27.468085106383,1343,4,2,"5/27"
"JS Patel",48,"436.0",18,2087,87,23.9885057471264,4.78669724770642,30.0689655172414,1314,4,2,"5/43"
"C Rushworth",51,"445.4",30,2286,82,27.8780487804878,5.12939416604338,32.609756097561,1532,2,0,"4/37"
"MT Coles",36,"304.1",17,1732,75,23.0933333333333,5.69424657534247,24.3333333333333,991,4,1,"6/56"
"EG Barnard",64,"458.0",15,2625,74,35.472972972973,5.73144104803493,37.1351351351351,1344,0,0,"3/14"
"LA Dawson",44,"379.5",6,1723,67,25.7164179104478,4.53620008775779,34.0149253731343,1132,1,2,"7/15"
"C Overton",42,"342.5",18,1858,66,28.1515151515152,5.4195430238211,31.1666666666667,1111,1,0,"4/27"
"MS Crane",43,"363.4",5,2141,66,32.4393939393939,5.88725939505041,33.0606060606061,942,3,0,"4/30"
"L Gregory",41,"310.2",9,1897,64,29.640625,6.11278195488722,29.09375,927,3,0,"4/23"
"TMJ Smith",60,"455.2",10,2313,62,37.3064516129032,5.07979502196193,44.0645161290323,1208,1,0,"4/26"
"BAC Howell",45,"376.1",8,1908,60,31.8,5.07221976074435,37.6166666666667,1099,0,0,"3/37"
"JT Ball",40,"317.3",6,1913,59,32.4237288135593,6.0251968503937,32.2881355932203,929,3,0,"4/29"
"LJ Fletcher",43,"329.2",15,1910,58,32.9310344827586,5.79959514170041,34.0689655172414,1004,3,1,"5/56"
"AU Rashid",34,"294.2",7,1573,57,27.5964912280702,5.34428086070215,30.9824561403509,863,1,1,"5/33"
"JW Dernbach",29,"243.2",5,1264,56,22.5714285714286,5.19452054794521,26.0714285714286,831,3,1,"6/35"
"TS Roland-Jones",32,"264.5",18,1321,56,23.5892857142857,4.9880427942102,28.375,925,3,0,"4/10"
"TT Bresnan",49,"370.1",20,2041,56,36.4464285714286,5.5137325529041,39.6607142857143,1255,1,0,"4/28"
"J Leach",56,"420.3",19,2409,56,43.0178571428571,5.72889417360285,45.0535714285714,1362,2,0,"4/30"
