"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Balbirnie","BA Hutton",3,6,1,4,0,0,3,50,3
"A Balbirnie","SR Patel",5,11,0,9,1,0,2.72727272727273,45.4545454545455,Inf
"A Harinath","CJ Liddle",2,8,1,6,0,0,1.5,25,2
"A Harinath","FK Cowdrey",4,8,0,6,0,0,3,50,Inf
"A Harinath","GM Andrew",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Harinath","HW Podmore",9,4,0,0,1,0,13.5,225,Inf
"A Harinath","JC Tredwell",3,5,1,2,0,0,3.6,60,3
"A Harinath","LA Dawson",1,2,1,1,0,0,3,50,1
"A Harinath","LJ Hatchett",1,2,0,1,0,0,3,50,Inf
"A Harinath","ME Claydon",1,1,0,0,0,0,6,100,Inf
"A Harinath","SA Piolet",1,5,0,4,0,0,1.2,20,Inf
"A Harinath","ST Finn",2,2,0,0,0,0,6,100,Inf
"A Harinath","WAT Beer",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Harinath","Yasir Arafat",7,8,0,4,1,0,5.25,87.5,Inf
"A Harrison","AW Finch",1,2,0,1,0,0,3,50,Inf
"A Harrison","DY Pennington",4,6,1,3,0,0,4,66.6666666666667,4
"A Hepburn","AL Hughes",3,3,0,2,0,0,6,100,Inf
"A Hepburn","MHA Footitt",9,7,0,2,1,0,7.71428571428571,128.571428571429,Inf
"A Hepburn","SJ Thakor",16,16,1,8,0,1,6,100,16
"A Hepburn","WJ Durston",4,8,0,4,0,0,3,50,Inf
"A Javid","A Shahzad",10,5,0,2,2,0,12,200,Inf
"A Javid","AC Thomas",3,9,1,6,0,0,2,33.3333333333333,3
"A Javid","AT Thomson",1,5,0,4,0,0,1.2,20,Inf
"A Javid","Azeem Rafiq",3,7,1,4,0,0,2.57142857142857,42.8571428571429,3
"A Javid","BA Hutton",5,5,1,1,0,0,6,100,5
"A Javid","BA Stokes",3,18,0,15,0,0,1,16.6666666666667,Inf
"A Javid","BJ McCarthy",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Javid","C Rushworth",4,9,1,5,0,0,2.66666666666667,44.4444444444444,4
"A Javid","CAJ Meschede",5,5,0,2,0,0,6,100,Inf
"A Javid","CJ Jordan",1,1,0,0,0,0,6,100,Inf
"A Javid","CJ Liddle",6,11,0,8,1,0,3.27272727272727,54.5454545454545,Inf
"A Javid","CN Miles",6,11,0,6,0,0,3.27272727272727,54.5454545454545,Inf
"A Javid","DD Masters",1,1,0,0,0,0,6,100,Inf
"A Javid","DJ Malan",1,2,0,1,0,0,3,50,Inf
"A Javid","DL Lloyd",2,2,0,0,0,0,6,100,Inf
"A Javid","DR Briggs",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Javid","DT Christian",7,15,0,9,0,0,2.8,46.6666666666667,Inf
"A Javid","EG Barnard",5,2,0,0,1,0,15,250,Inf
"A Javid","G Clark",4,9,0,6,0,0,2.66666666666667,44.4444444444444,Inf
"A Javid","GD Panayi",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Javid","GG Wagg",1,1,0,0,0,0,6,100,Inf
"A Javid","GR Breese",7,9,0,4,0,0,4.66666666666667,77.7777777777778,Inf
"A Javid","GR Napier",25,22,1,9,3,0,6.81818181818182,113.636363636364,25
