"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PP Shaw",2023-08-09,"Northamptonshire","Somerset",1,244,153,28,11,159.477124183007,FALSE,"One-Day Cup",2023,1347514,"County Ground, Northampton","Northampton","Northamptonshire","Somerset","Northamptonshire","bat",NA,"Northamptonshire",NA,"87"
"James Bracey",2023-08-13,"Gloucestershire","Somerset",1,224,151,30,5,148.344370860927,TRUE,"One-Day Cup",2023,1347529,"County Ground, Bristol","Bristol","Gloucestershire","Somerset","Somerset","field",NA,"Gloucestershire",NA,"198"
"OG Robinson",2022-08-02,"Kent","Worcestershire",2,206,131,27,6,157.251908396947,TRUE,"Royal London One-Day Cup",2022,1297962,"County Ground, New Road, Worcester","Worcester","Worcestershire","Kent","Worcestershire","bat",NA,"Kent","7",NA
"AGH Orr",2022-08-19,"Sussex","Somerset",1,206,161,18,11,127.950310559006,FALSE,"Royal London One-Day Cup",2022,1298013,"The Cooper Associates County Ground, Taunton","Taunton","Sussex","Somerset","Somerset","field",NA,"Sussex",NA,"201"
"CJ Ferguson",2018-05-29,"Worcestershire","Leicestershire",2,192,143,21,5,134.265734265734,FALSE,"Royal London One-Day Cup",2018,1127804,"County Ground, New Road, Worcester","Worcester","Leicestershire","Worcestershire","Leicestershire","bat",NA,"Worcestershire","6",NA
"JM Vince",2019-04-26,"Hampshire","Gloucestershire",1,190,154,15,5,123.376623376623,FALSE,"Royal London One-Day Cup",2019,1167080,"The Rose Bowl, Southampton","Southampton","Hampshire","Gloucestershire","Gloucestershire","field",NA,"Hampshire",NA,"71"
"TP Alsop",2022-08-23,"Sussex","Middlesex",1,189,155,19,5,121.935483870968,TRUE,"Royal London One-Day Cup",2022,1298025,"County Ground, Hove","Brighton","Sussex","Middlesex","Middlesex","field",NA,"Sussex",NA,"157"
"AD Hales",2017-07-01,"Nottinghamshire","Surrey",2,187,167,20,4,111.976047904192,TRUE,"Royal London One-Day Cup",2017,1068506,"Lord's, London","London","Surrey","Nottinghamshire","Surrey","bat","AD Hales","Nottinghamshire","4",NA
"MJ Lumb",2016-06-06,"Nottinghamshire","Northamptonshire",1,184,150,21,6,122.666666666667,FALSE,"Royal London One-Day Cup",2016,947373,"Trent Bridge, Nottingham","Nottingham","Nottinghamshire","Northamptonshire","Nottinghamshire","bat",NA,"Nottinghamshire",NA,"20"
"SS Eskinazi",2022-08-10,"Middlesex","Surrey",1,182,136,17,6,133.823529411765,FALSE,"Royal London One-Day Cup",2022,1297984,"Radlett Cricket Club, Radlett","Radlett","Middlesex","Surrey","Surrey","field",NA,"Middlesex",NA,"102"
"TJ Prest",2022-08-07,"Hampshire","Kent",1,181,138,14,7,131.159420289855,FALSE,"Royal London One-Day Cup",2022,1297974,"Kent County Cricket Ground, Beckenham","Beckenham","Hampshire","Kent","Kent","field",NA,"Hampshire",NA,"163"
"JM Vince",2017-05-12,"Hampshire","Glamorgan",1,178,138,18,5,128.985507246377,FALSE,"Royal London One-Day Cup",2017,1068480,"The Rose Bowl, Southampton","Southampton","Hampshire","Glamorgan","Glamorgan","field",NA,"Glamorgan","3",NA
"SA Northeast",2022-08-23,"Glamorgan","Worcestershire",1,177,148,22,4,119.594594594595,TRUE,"Royal London One-Day Cup",2022,1298027,"County Ground, New Road, Worcester","Worcester","Glamorgan","Worcestershire","Worcestershire","field",NA,"Glamorgan",NA,"19"
"TM Head",2016-07-24,"Yorkshire","Leicestershire",1,175,139,18,4,125.89928057554,FALSE,"Royal London One-Day Cup",2016,947443,"Grace Road, Leicester","Leicester","Yorkshire","Leicestershire","Yorkshire","bat",NA,"Yorkshire",NA,"191"
"JM Bairstow",2017-05-03,"Yorkshire","Durham",2,174,113,16,7,153.982300884956,FALSE,"Royal London One-Day Cup",2017,1068454,"Headingley, Leeds","Leeds","Durham","Yorkshire","Durham","bat",NA,"Yorkshire","6",NA
"CA Pujara",2022-08-14,"Sussex","Surrey",1,174,131,20,5,132.824427480916,FALSE,"Royal London One-Day Cup",2022,1297999,"County Ground, Hove","Brighton","Sussex","Surrey","Surrey","field",NA,"Sussex",NA,"216"
"ARI Umeed",2023-08-22,"Somerset","Derbyshire",1,172,147,11,6,117.006802721088,TRUE,"One-Day Cup",2023,1347561,"County Ground, Derby","Derby","Somerset","Derbyshire","Derbyshire","field",NA,"Somerset",NA,"72"
"JM Vince",2018-06-18,"Hampshire","Yorkshire",1,171,126,20,3,135.714285714286,FALSE,"Royal London One-Day Cup",2018,1127836,"The Rose Bowl, Southampton","Southampton","Hampshire","Yorkshire","Yorkshire","field","JM Vince","Hampshire",NA,"107"
