"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"LA Dawson",2023-08-29,"Warwickshire","Hampshire",1,"6.5",0,15,7,2.19512195121951,29,"One-Day Cup",2023,1347565,"Edgbaston, Birmingham","Birmingham","Warwickshire","Hampshire","Hampshire","field",NA,"Hampshire","9",NA
"BA Hutton",2022-08-20,"Leicestershire","Nottinghamshire",2,"8.1",2,26,7,3.18367346938776,38,"Royal London One-Day Cup",2022,1298016,"Grace Road, Leicester","Leicester","Nottinghamshire","Leicestershire","Leicestershire","field",NA,"Nottinghamshire",NA,"105"
"DI Stevens",2018-06-01,"Surrey","Kent",2,"6.1",0,25,6,4.05405405405405,19,"Royal London One-Day Cup",2018,1127810,"Kent County Cricket Ground, Beckenham","Beckenham","Kent","Surrey","Surrey","field",NA,"Kent",NA,"220"
"MJ Leach",2024-07-31,"Durham","Somerset",2,"10.0",1,26,6,2.6,43,"One-Day Cup",2024,1415102,"Riverside Ground, Chester-le-Street","Chester-le-Street","Somerset","Durham","Somerset","bat",NA,"Somerset",NA,"133"
"Kasey Aldridge",2024-08-02,"Lancashire","Somerset",1,"7.1",0,33,6,4.6046511627907,25,"One-Day Cup",2024,1415109,"The Cooper Associates County Ground, Taunton","Taunton","Lancashire","Somerset","Somerset","field",NA,"Somerset","8",NA
"CJC Wright",2022-08-20,"Nottinghamshire","Leicestershire",1,"10.0",1,35,6,3.5,40,"Royal London One-Day Cup",2022,1298016,"Grace Road, Leicester","Leicester","Nottinghamshire","Leicestershire","Leicestershire","field",NA,"Nottinghamshire",NA,"105"
"JW Dernbach",2015-09-19,"Gloucestershire","Surrey",1,"8.4",0,35,6,4.03846153846154,34,"Royal London One-Day Cup",2015,804869,"Lord's, London","London","Gloucestershire","Surrey","Surrey","field","JMR Taylor","Gloucestershire",NA,"6"
"GG White",2016-06-08,"Lancashire","Northamptonshire",2,"10.0",0,37,6,3.7,35,"Royal London One-Day Cup",2016,947383,"County Ground, Northampton","Northampton","Northamptonshire","Lancashire","Lancashire","field",NA,"Northamptonshire",NA,"76"
"S Mahmood",2019-04-24,"Northamptonshire","Lancashire",1,"10.0",0,37,6,3.7,33,"Royal London One-Day Cup",2019,1167076,"Old Trafford, Manchester","Manchester","Northamptonshire","Lancashire","Lancashire","field",NA,"Lancashire",NA,"45"
"BA Hutton",2024-07-28,"Yorkshire","Nottinghamshire",2,"10.0",2,38,6,3.8,42,"One-Day Cup",2024,1415096,"The John Fretwell Sporting Complex, Sookholme","Sookholme","Nottinghamshire","Yorkshire","Yorkshire","field",NA,"Nottinghamshire",NA,"83"
"LM Benkenstein",2022-08-14,"Glamorgan","Essex",2,"10.0",0,42,6,4.2,30,"Royal London One-Day Cup",2022,1297993,"County Ground, Chelmsford","Chelmsford","Essex","Glamorgan","Essex","bat",NA,"Essex",NA,"103"
"RI Walker",2023-08-06,"Kent","Leicestershire",2,"6.5",0,43,6,6.29268292682927,22,"One-Day Cup",2023,1347507,"Kent County Cricket Ground, Beckenham","Beckenham","Leicestershire","Kent","Kent","field",NA,"Leicestershire",NA,"264"
"S Baker",2022-08-10,"Durham","Somerset",1,"10.0",0,46,6,4.6,30,"Royal London One-Day Cup",2022,1297985,"The Cooper Associates County Ground, Taunton","Taunton","Durham","Somerset","Somerset","field",NA,"Durham",NA,"9"
"LA Dawson",2015-07-27,"Sussex","Hampshire",2,"7.0",0,47,6,6.71428571428571,21,"Royal London One-Day Cup",2015,804737,"The Rose Bowl, Southampton","Southampton","Hampshire","Sussex","Hampshire","bat",NA,"Hampshire",NA,"87"
"JE Home",2024-08-02,"Derbyshire","Worcestershire",1,"7.4",0,51,6,6.65217391304348,26,"One-Day Cup",2024,1415107,"County Ground, Derby","Derby","Derbyshire","Worcestershire","Worcestershire","field",NA,"Worcestershire","8",NA
"MT Coles",2016-07-26,"Hampshire","Kent",1,"10.0",0,56,6,5.6,33,"Royal London One-Day Cup",2016,947447,"The Rose Bowl, Southampton","Southampton","Hampshire","Kent","Kent","field",NA,"Kent","5",NA
"NA Sowter",2019-04-19,"Essex","Middlesex",2,"9.2",0,62,6,6.64285714285714,19,"Royal London One-Day Cup",2019,1167062,"County Ground, Chelmsford","Chelmsford","Middlesex","Essex","Essex","field",NA,"Middlesex",NA,"38"
"S Mahmood",2019-04-28,"Leicestershire","Lancashire",1,"10.0",3,14,5,1.4,51,"Royal London One-Day Cup",2019,1167089,"Old Trafford, Manchester","Manchester","Leicestershire","Lancashire","Lancashire","field",NA,"Lancashire","9",NA
"DC Kelly",2024-08-07,"Derbyshire","Hampshire",2,"6.1",0,19,5,3.08108108108108,27,"One-Day Cup",2024,1415124,"The Rose Bowl, Southampton","Southampton","Hampshire","Derbyshire","Derbyshire","field",NA,"Hampshire",NA,"143"
"LA Patterson-White",2021-08-10,"Northamptonshire","Nottinghamshire",1,"10.0",3,19,5,1.9,46,"Royal London One-Day Cup",2021,1250219,"Gorse Lane, Grantham","Grantham","Northamptonshire","Nottinghamshire","Northamptonshire","bat",NA,"Nottinghamshire","2",NA
"SA Patterson",2015-07-30,"Worcestershire","Yorkshire",2,"7.3",1,24,5,3.2,30,"Royal London One-Day Cup",2015,804759,"County Ground, New Road, Worcester","Worcester","Yorkshire","Worcestershire","Yorkshire","bat",NA,"Yorkshire",NA,"133"
"WD Parnell",2019-05-01,"Nottinghamshire","Worcestershire",1,"9.0",1,24,5,2.66666666666667,35,"Royal London One-Day Cup",2019,1167099,"County Ground, New Road, Worcester","Worcester","Nottinghamshire","Worcestershire","Nottinghamshire","bat",NA,"Worcestershire","5",NA
"JA Turner",2022-08-14,"Lancashire","Hampshire",1,"9.3",1,25,5,2.63157894736842,40,"Royal London One-Day Cup",2022,1297994,"The Rose Bowl, Southampton","Southampton","Lancashire","Hampshire","Lancashire","bat",NA,"Hampshire","2",NA
"WD Parnell",2019-05-04,"Yorkshire","Worcestershire",2,"7.0",1,25,5,3.57142857142857,30,"Royal London One-Day Cup",2019,1167108,"County Ground, New Road, Worcester","Worcester","Worcestershire","Yorkshire","Worcestershire","bat",NA,"Worcestershire",NA,"150"
"GK Berg",2019-05-12,"Lancashire","Hampshire",1,"6.4",0,26,5,3.9,22,"Royal London One-Day Cup",2019,1167123,"The Rose Bowl, Southampton","Southampton","Lancashire","Hampshire","Lancashire","bat","GK Berg","Hampshire","4",NA
"R Clarke",2016-07-24,"Worcestershire","Warwickshire",1,"10.0",3,26,5,2.6,45,"Royal London One-Day Cup",2016,947441,"Edgbaston, Birmingham","Birmingham","Worcestershire","Warwickshire","Worcestershire","bat",NA,"Warwickshire","8",NA
