"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","umpire1","umpire2","match_referee","winner","winner_wickets","winner_runs","method","outcome","tv_umpire","player_of_match","reserve_umpire"
693275,6,"Middlesex","Glamorgan","male","2014",2014-07-26,"Royal London One-Day Cup","Sophia Gardens, Cardiff","Cardiff","Glamorgan","field","NGC Cowley","SA Garratt",NA,"Glamorgan",7,NA,NA,NA,NA,NA,NA
693277,6,"Yorkshire","Lancashire","male","2014",2014-07-26,"Royal London One-Day Cup","Old Trafford, Manchester","Manchester","Yorkshire","bat","MJ Saggers","NGB Cook",NA,"Yorkshire",NA,47,NA,NA,"PK Baldwin","KR Brown",NA
693279,6,"Derbyshire","Hampshire","male","2014",2014-07-26,"Royal London One-Day Cup","County Ground, Derby","Derby","Hampshire","field","MJD Bodenham","P Willey",NA,"Derbyshire",NA,136,NA,NA,NA,NA,NA
693281,6,"Durham","Somerset","male","2014",2014-07-27,"Royal London One-Day Cup","County Ground, Taunton","Taunton","Durham","bat","G Sharp","SJ O'Shaughnessy",NA,"Somerset",5,NA,NA,NA,NA,NA,NA
693283,6,"Worcestershire","Essex","male","2014",2014-07-27,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Essex","field","NL Bainton","P Willey",NA,"Essex",8,NA,NA,NA,NA,NA,NA
693285,6,"Warwickshire","Middlesex","male","2014",2014-07-27,"Royal London One-Day Cup","Lord's, London","London","Warwickshire","bat","JH Evans","MR Benson",NA,"Warwickshire",NA,4,NA,NA,NA,NA,NA
693287,6,"Nottinghamshire","Sussex","male","2014",2014-07-27,"Royal London One-Day Cup","Cricket Field Road Ground, Horsham","Horsham","Sussex","field","DJ Millns","M Burns",NA,"Nottinghamshire",NA,29,NA,NA,NA,NA,NA
693289,6,"Surrey","Glamorgan","male","2014",2014-07-27,"Royal London One-Day Cup","Woodbridge Road, Guildford","Guildford","Glamorgan","field","AG Wharf","GD Lloyd",NA,"Glamorgan",3,NA,NA,NA,NA,NA,NA
693291,6,"Leicestershire","Derbyshire","male","2014",2014-07-27,"Royal London One-Day Cup","Grace Road, Leicester","Leicester","Leicestershire","bat","BV Taylor","NA Mallender",NA,"Derbyshire",7,NA,NA,NA,NA,NA,NA
693293,6,"Hampshire","Lancashire","male","2014",2014-07-27,"Royal London One-Day Cup","Old Trafford, Manchester","Manchester","Hampshire","bat","NGB Cook","PK Baldwin",NA,"Hampshire",NA,148,NA,NA,NA,NA,NA
693295,6,"Gloucestershire","Northamptonshire","male","2014",2014-07-27,"Royal London One-Day Cup","College Ground, Cheltenham","Cheltenham","Northamptonshire","field","PJ Hartley","RJ Evans",NA,"Northamptonshire",4,NA,NA,NA,NA,NA,NA
693297,6,"Nottinghamshire","Somerset","male","2014",2014-07-29,"Royal London One-Day Cup","Trent Bridge, Nottingham","Nottingham","Somerset","field","DJ Millns","GD Lloyd",NA,NA,NA,NA,NA,"tie",NA,NA,NA
693299,6,"Worcestershire","Northamptonshire","male","2014",2014-07-29,"Royal London One-Day Cup","Campbell Park, Milton Keynes","Milton Keynes","Northamptonshire","field","MJ Saggers","SJ O'Shaughnessy",NA,"Worcestershire",NA,88,NA,NA,NA,NA,NA
693301,6,"Yorkshire","Gloucestershire","male","2014",2014-07-29,"Royal London One-Day Cup","Headingley, Leeds","Leeds","Yorkshire","bat","NGB Cook","SA Garratt",NA,"Gloucestershire",3,NA,NA,NA,NA,NA,NA
693303,6,"Warwickshire","Sussex","male","2014",2014-07-29,"Royal London One-Day Cup","Edgbaston, Birmingham","Birmingham","Warwickshire","bat","JH Evans","PK Baldwin",NA,"Warwickshire",NA,118,NA,NA,NA,NA,NA
693305,6,"Durham","Kent","male","2014",2014-07-29,"Royal London One-Day Cup","St Lawrence Ground, Canterbury","Canterbury","Durham","bat","MJD Bodenham","MA Gough",NA,"Kent",2,NA,NA,NA,NA,NA,NA
693307,6,"Glamorgan","Nottinghamshire","male","2014",2014-07-30,"Royal London One-Day Cup","Sophia Gardens, Cardiff","Cardiff","Nottinghamshire","field","AG Wharf","MR Benson",NA,"Nottinghamshire",3,NA,NA,NA,NA,NA,NA
693309,6,"Kent","Somerset","male","2014",2014-07-31,"Royal London One-Day Cup","County Ground, Taunton","Taunton","Somerset","field","DJ Millns","NGC Cowley",NA,"Kent",NA,2,"D/L",NA,NA,NA,NA
693311,6,"Worcestershire","Derbyshire","male","2014",2014-07-31,"Royal London One-Day Cup","County Ground, New Road, Worcester","Worcester","Derbyshire","field","MJ Saggers","MA Gough",NA,NA,NA,NA,NA,"no result",NA,NA,NA
693313,6,"Surrey","Middlesex","male","2014",2014-07-31,"Royal London One-Day Cup","Lord's, London","London","Surrey","bat","MJD Bodenham","NA Mallender",NA,"Middlesex",6,NA,NA,NA,NA,NA,NA
693315,6,"Warwickshire","Durham","male","2014",2014-07-31,"Royal London One-Day Cup","Roseworth Terrace, Gosforth","Gosforth","Durham","field","NGB Cook","RJ Evans",NA,"Durham",5,NA,NA,NA,NA,NA,NA
693317,6,"Leicestershire","Essex","male","2014",2014-07-31,"Royal London One-Day Cup","County Ground, Chelmsford","Chelmsford","Leicestershire","bat","NL Bainton","SA Garratt",NA,"Leicestershire",NA,34,NA,NA,NA,NA,NA
693319,6,"Gloucestershire","Hampshire","male","2014",2014-07-31,"Royal London One-Day Cup","County Ground, Bristol","Bristol","Hampshire","field","GD Lloyd","SJ O'Shaughnessy",NA,"Gloucestershire",NA,35,NA,NA,NA,NA,NA
693321,6,"Northamptonshire","Yorkshire","male","2014",2014-08-05,"Royal London One-Day Cup","County Ground, Northampton","Northampton","Yorkshire","field","NGC Cowley","RT Robinson",NA,"Yorkshire",6,NA,NA,NA,NA,NA,NA
693323,6,"Kent","Surrey","male","2014",2014-08-05,"Royal London One-Day Cup","Kennington Oval, London","London","Kent","bat","PJ Hartley","SA Garratt",NA,NA,NA,NA,NA,"tie",NA,NA,NA
693325,6,"Durham","Sussex","male","2014",2014-08-05,"Royal London One-Day Cup","County Ground, Hove","Brighton","Durham","bat","MJD Bodenham","RJ Bailey",NA,"Sussex",3,NA,NA,NA,"AG Wharf","Yasir Arafat",NA
693327,6,"Somerset","Warwickshire","male","2014",2014-08-05,"Royal London One-Day Cup","Edgbaston, Birmingham","Birmingham","Warwickshire","field","MJ Saggers","MA Gough",NA,"Somerset",NA,117,NA,NA,NA,NA,NA
693329,6,"Lancashire","Essex","male","2014",2014-08-05,"Royal London One-Day Cup","County Ground, Chelmsford","Chelmsford","Essex","field","G Sharp","NA Mallender",NA,"Essex",6,NA,NA,NA,NA,NA,NA
693331,6,"Leicestershire","Gloucestershire","male","2014",2014-08-05,"Royal London One-Day Cup","County Ground, Bristol","Bristol","Gloucestershire","field","P Willey","SJ O'Shaughnessy",NA,"Gloucestershire",7,NA,"D/L",NA,NA,NA,NA
693333,6,"Sussex","Surrey","male","2014",2014-08-06,"Royal London One-Day Cup","Kennington Oval, London","London","Sussex","bat","PJ Hartley","SA Garratt",NA,"Sussex",NA,36,NA,NA,NA,NA,NA
693335,6,"Glamorgan","Kent","male","2014",2014-08-06,"Royal London One-Day Cup","St Lawrence Ground, Canterbury","Canterbury","Glamorgan","bat","G Sharp","NA Mallender",NA,"Kent",6,NA,NA,NA,"MJD Bodenham","DE Bollinger",NA
