"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",2015,"Royal London One-Day Cup","Middlesex",1,8,17,47.0588235294118,8,1,0,0,0,0,8
"A Harinath",2014,"Royal London One-Day Cup","Surrey",3,31,46,67.3913043478261,15.5,2,0,1,0,0,12
"A Harinath",2016,"Royal London One-Day Cup","Surrey",1,3,5,60,3,0,0,0,0,0,3
"A Harrison",2022,"Royal London One-Day Cup","Derbyshire",1,5,8,62.5,5,0,0,0,0,0,5
"A Hepburn",2015,"Royal London One-Day Cup","Worcestershire",1,32,34,94.1176470588235,32,1,1,0,0,0,32
"A Javid",2014,"Royal London One-Day Cup","Warwickshire",8,108,136,79.4117647058823,27,6,1,4,0,0,22
"A Javid",2015,"Royal London One-Day Cup","Warwickshire",5,143,162,88.2716049382716,47.6666666666667,14,0,2,0,0,42
"A Javid",2016,"Royal London One-Day Cup","Warwickshire",4,33,32,103.125,11,1,0,1,0,0,20
"A Javid",2017,"Royal London One-Day Cup","Warwickshire",3,38,47,80.8510638297872,19,2,1,1,0,0,28
"A Javid",2018,"Royal London One-Day Cup","Leicestershire",2,35,54,64.8148148148148,35,0,0,1,0,0,21
"A Javid",2019,"Royal London One-Day Cup","Leicestershire",2,33,54,61.1111111111111,16.5,1,0,0,0,0,24
"A Kapil",2014,"Royal London One-Day Cup","Surrey",3,104,118,88.135593220339,52,10,1,1,0,1,59
"A Kapil",2015,"Royal London One-Day Cup","Surrey",1,33,42,78.5714285714286,33,5,0,0,0,0,33
"A Karvelas",2022,"Royal London One-Day Cup","Sussex",4,61,67,91.044776119403,30.5,2,0,2,0,0,26
"A Karvelas",2023,"One-Day Cup","Sussex",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"A Lyth",2014,"Royal London One-Day Cup","Yorkshire",9,317,370,85.6756756756757,39.625,40,2,1,0,2,84
"A Lyth",2015,"Royal London One-Day Cup","Yorkshire",2,132,128,103.125,66,15,1,0,0,1,96
"A Lyth",2016,"Royal London One-Day Cup","Yorkshire",9,439,382,114.921465968586,48.7777777777778,41,18,0,2,1,136
"A Lyth",2017,"Royal London One-Day Cup","Yorkshire",9,304,317,95.8990536277603,33.7777777777778,40,4,0,0,3,75
"A Lyth",2018,"Royal London One-Day Cup","Yorkshire",9,433,437,99.0846681922197,54.125,54,5,1,2,0,144
"A Lyth",2019,"Royal London One-Day Cup","Yorkshire",7,201,184,109.239130434783,28.7142857142857,25,4,0,0,2,78
"A Sakande",2018,"Royal London One-Day Cup","Sussex",1,1,2,50,Inf,0,0,1,0,0,1
"A Sakande",2019,"Royal London One-Day Cup","Sussex",3,3,7,42.8571428571429,1,0,0,0,0,0,2
"A Shahzad",2014,"Royal London One-Day Cup","Nottinghamshire",6,81,77,105.194805194805,20.25,6,2,2,0,0,33
"A Shahzad",2016,"Royal London One-Day Cup","Sussex",7,62,94,65.9574468085106,10.3333333333333,2,1,1,0,0,39
"A Shahzad",2017,"Royal London One-Day Cup","Sussex",1,3,3,100,Inf,0,0,1,0,0,3
"A Sheikh",2015,"Royal London One-Day Cup","Leicestershire",5,5,17,29.4117647058824,1.25,0,0,1,0,0,3
"A Virdi",2022,"Royal London One-Day Cup","Surrey",5,28,56,50,5.6,2,0,0,0,0,8
"A Virdi",2023,"One-Day Cup","Surrey",3,3,5,60,3,0,0,2,0,0,3
"AAP Atkinson",2021,"Royal London One-Day Cup","Surrey",1,15,5,300,15,0,2,0,0,0,15
"AC Lenham",2021,"Royal London One-Day Cup","Sussex",5,47,57,82.4561403508772,15.6666666666667,3,1,2,0,0,16
"AC Lenham",2022,"Royal London One-Day Cup","Sussex",3,24,25,96,24,2,0,2,0,0,18
"AC Lenham",2023,"One-Day Cup","Sussex",1,1,1,100,Inf,0,0,1,0,0,1
"AC Thomas",2014,"Royal London One-Day Cup","Somerset",4,87,76,114.473684210526,87,12,0,3,0,0,49
"AC Thomas",2015,"Royal London One-Day Cup","Sussex",4,54,63,85.7142857142857,54,4,1,3,0,0,32
"AC Voges",2016,"Royal London One-Day Cup","Middlesex",1,2,4,50,Inf,0,0,1,0,0,2
"AC Voges",2017,"Royal London One-Day Cup","Middlesex",7,247,321,76.9470404984424,35.2857142857143,25,0,0,0,1,81
"AD Hales",2014,"Royal London One-Day Cup","Nottinghamshire",5,384,320,120,76.8,45,10,0,3,0,141
"AD Hales",2015,"Royal London One-Day Cup","Nottinghamshire",9,401,351,114.245014245014,44.5555555555556,40,18,0,1,3,103
"AD Hales",2017,"Royal London One-Day Cup","Nottinghamshire",7,434,410,105.853658536585,72.3333333333333,50,9,1,2,1,187
"AD Hales",2018,"Royal London One-Day Cup","Nottinghamshire",3,38,63,60.3174603174603,12.6666666666667,5,0,0,0,0,21
"AD Hales",2019,"Royal London One-Day Cup","Nottinghamshire",2,90,94,95.7446808510638,45,12,1,0,0,1,54
"AD Thomason",2014,"Royal London One-Day Cup","Warwickshire",1,0,0,NA,NA,0,0,1,0,0,0
"AD Thomason",2017,"Royal London One-Day Cup","Warwickshire",7,105,113,92.9203539823009,21,7,2,2,0,0,28
"AD Thomason",2018,"Royal London One-Day Cup","Warwickshire",4,48,51,94.1176470588235,24,4,1,2,0,0,15
"AD Thomason",2019,"Royal London One-Day Cup","Warwickshire",1,23,15,153.333333333333,Inf,1,1,1,0,0,23
"AEN Riley",2014,"Royal London One-Day Cup","Kent",1,0,1,0,0,0,0,0,0,0,0
"AG Prince",2014,"Royal London One-Day Cup","Lancashire",5,168,207,81.1594202898551,33.6,21,0,0,0,2,69
"AG Prince",2015,"Royal London One-Day Cup","Lancashire",7,236,256,92.1875,39.3333333333333,21,3,1,1,1,102
"AG Salter",2014,"Royal London One-Day Cup","Glamorgan",5,66,57,115.789473684211,66,10,0,4,0,0,36
"AG Salter",2015,"Royal London One-Day Cup","Glamorgan",2,18,44,40.9090909090909,9,1,0,0,0,0,14
"AG Salter",2016,"Royal London One-Day Cup","Glamorgan",5,60,48,125,20,2,3,2,0,0,42
"AG Salter",2017,"Royal London One-Day Cup","Glamorgan",5,81,101,80.1980198019802,27,6,4,2,0,0,29
"AG Salter",2018,"Royal London One-Day Cup","Glamorgan",7,89,89,100,14.8333333333333,5,3,1,0,0,43
"AG Salter",2021,"Royal London One-Day Cup","Glamorgan",3,42,28,150,42,3,1,2,0,0,33
"AG Salter",2022,"Royal London One-Day Cup","Glamorgan",4,59,87,67.816091954023,29.5,5,1,2,0,0,27
"AG Wakely",2015,"Royal London One-Day Cup","Northamptonshire",5,65,99,65.6565656565657,16.25,7,1,1,0,0,31
"AG Wakely",2016,"Royal London One-Day Cup","Northamptonshire",8,235,277,84.8375451263538,29.375,19,7,0,0,2,71
"AG Wakely",2017,"Royal London One-Day Cup","Northamptonshire",6,247,285,86.6666666666667,49.4,24,1,1,1,1,109
"AG Wakely",2018,"Royal London One-Day Cup","Northamptonshire",7,280,323,86.687306501548,40,22,5,0,0,2,79
"AG Wakely",2019,"Royal London One-Day Cup","Northamptonshire",8,288,310,92.9032258064516,36,27,2,0,0,3,66
"AGH Orr",2021,"Royal London One-Day Cup","Sussex",5,144,210,68.5714285714286,28.8,10,5,0,1,0,108
"AGH Orr",2022,"Royal London One-Day Cup","Sussex",9,526,528,99.6212121212121,58.4444444444444,51,22,0,1,3,206
"AH Miller",2022,"Royal London One-Day Cup","Northamptonshire",4,56,60,93.3333333333333,56,4,0,3,0,0,31
"AH Miller",2023,"One-Day Cup","Northamptonshire",1,10,5,200,Inf,2,0,1,0,0,10
"AHT Donald",2015,"Royal London One-Day Cup","Glamorgan",3,57,74,77.027027027027,19,5,2,0,0,0,37
"AHT Donald",2016,"Royal London One-Day Cup","Glamorgan",7,109,141,77.3049645390071,15.5714285714286,8,1,0,0,1,53
"AHT Donald",2017,"Royal London One-Day Cup","Glamorgan",5,20,31,64.5161290322581,4,1,0,0,0,0,10
"AHT Donald",2018,"Royal London One-Day Cup","Glamorgan",6,115,133,86.4661654135338,19.1666666666667,16,1,0,0,0,48
"AHT Donald",2019,"Royal London One-Day Cup","Hampshire",6,90,104,86.5384615384615,18,9,3,1,0,1,57
"AHT Donald",2022,"Royal London One-Day Cup","Hampshire",9,227,233,97.4248927038627,25.2222222222222,21,8,0,0,2,76
"AHT Donald",2023,"One-Day Cup","Hampshire",9,349,276,126.449275362319,43.625,31,12,1,2,0,115
"AJ Ball",2014,"Royal London One-Day Cup","Kent",1,6,10,60,6,0,0,0,0,0,6
"AJ Blake",2014,"Royal London One-Day Cup","Kent",7,81,124,65.3225806451613,13.5,5,0,1,0,0,21
"AJ Blake",2015,"Royal London One-Day Cup","Kent",6,203,164,123.780487804878,50.75,14,11,2,0,2,89
"AJ Blake",2016,"Royal London One-Day Cup","Kent",6,202,190,106.315789473684,67.3333333333333,24,4,3,0,2,66
"AJ Blake",2017,"Royal London One-Day Cup","Kent",8,252,159,158.490566037736,36,31,7,1,1,1,116
"AJ Blake",2018,"Royal London One-Day Cup","Kent",9,326,269,121.189591078067,40.75,21,21,1,0,2,61
"AJ Blake",2019,"Royal London One-Day Cup","Kent",5,88,101,87.1287128712871,22,7,4,1,0,0,43
"AJ Blake",2022,"Royal London One-Day Cup","Kent",8,284,270,105.185185185185,35.5,21,11,0,0,3,81
"AJ Blake",2023,"One-Day Cup","Kent",8,182,185,98.3783783783784,26,13,7,1,0,1,62
"AJ Finch",2016,"Royal London One-Day Cup","Surrey",4,83,84,98.8095238095238,20.75,6,6,0,0,0,41
"AJ Hall",2014,"Royal London One-Day Cup","Northamptonshire",3,58,44,131.818181818182,29,7,0,1,0,0,43
"AJ Hodd",2014,"Royal London One-Day Cup","Yorkshire",2,111,82,135.365853658537,111,12,2,1,0,1,69
"AJ Hodd",2015,"Royal London One-Day Cup","Yorkshire",6,106,167,63.4730538922156,17.6666666666667,11,2,0,0,0,36
"AJ Hodd",2016,"Royal London One-Day Cup","Yorkshire",6,58,69,84.0579710144928,14.5,2,1,2,0,0,14
"AJ Hodd",2018,"Royal London One-Day Cup","Yorkshire",2,18,13,138.461538461538,18,1,1,1,0,0,17
"AJ Horton",2023,"One-Day Cup","Glamorgan",6,81,83,97.5903614457831,16.2,12,1,1,0,0,44
"AJ Hose",2015,"Royal London One-Day Cup","Somerset",8,168,223,75.3363228699552,21,22,2,0,0,0,46
"AJ Hose",2016,"Royal London One-Day Cup","Somerset",3,95,113,84.070796460177,31.6666666666667,12,0,0,0,1,77
"AJ Hose",2017,"Royal London One-Day Cup","Somerset",7,330,312,105.769230769231,55,28,7,1,1,2,101
"AJ Hose",2018,"Royal London One-Day Cup","Warwickshire",4,139,144,96.5277777777778,34.75,12,3,0,0,1,51
"AJ Ireland",2014,"Royal London One-Day Cup","Leicestershire",5,13,19,68.4210526315789,4.33333333333333,1,1,2,0,0,8
"AJ Mellor",2019,"Royal London One-Day Cup","Warwickshire",3,89,84,105.952380952381,44.5,6,4,1,0,1,58
"AJ Robson",2014,"Royal London One-Day Cup","Leicestershire",6,92,115,80,15.3333333333333,12,0,0,0,0,28
"AJ Robson",2015,"Royal London One-Day Cup","Leicestershire",7,158,218,72.4770642201835,22.5714285714286,17,0,0,0,1,90
"AJ Robson",2016,"Royal London One-Day Cup","Leicestershire",1,16,29,55.1724137931034,16,2,0,0,0,0,16
"AJA Wheater",2014,"Royal London One-Day Cup","Hampshire",5,191,166,115.060240963855,38.2,14,6,0,1,0,135
"AJA Wheater",2015,"Royal London One-Day Cup","Hampshire",6,172,192,89.5833333333333,28.6666666666667,18,1,0,1,0,111
"AJA Wheater",2016,"Royal London One-Day Cup","Hampshire",5,238,270,88.1481481481482,47.6,22,2,0,0,2,90
"AJA Wheater",2017,"Royal London One-Day Cup","Essex",5,71,79,89.873417721519,14.2,6,0,0,0,0,30
"AJA Wheater",2018,"Royal London One-Day Cup","Essex",9,390,401,97.2568578553616,43.3333333333333,44,4,0,0,4,88
"AJA Wheater",2021,"Royal London One-Day Cup","Essex",7,211,176,119.886363636364,30.1428571428571,21,6,0,0,2,77
"AK Markram",2019,"Royal London One-Day Cup","Hampshire",7,336,370,90.8108108108108,48,41,3,0,0,3,88
"AK Russell",2022,"Royal London One-Day Cup","Northamptonshire",3,5,15,33.3333333333333,Inf,0,0,3,0,0,3
"AL Davies",2014,"Royal London One-Day Cup","Lancashire",5,152,159,95.5974842767296,30.4,18,1,0,0,1,53
"AL Davies",2015,"Royal London One-Day Cup","Lancashire",6,209,186,112.365591397849,52.25,23,3,2,0,2,73
"AL Davies",2017,"Royal London One-Day Cup","Lancashire",8,211,239,88.2845188284519,26.375,27,1,0,0,1,50
"AL Davies",2018,"Royal London One-Day Cup","Lancashire",8,339,359,94.4289693593315,42.375,40,2,0,1,1,147
"AL Davies",2023,"One-Day Cup","Warwickshire",2,10,14,71.4285714285714,5,0,1,0,0,0,8
"AL Hughes",2014,"Royal London One-Day Cup","Derbyshire",6,105,151,69.5364238410596,26.25,8,2,2,0,0,47
"AL Hughes",2015,"Royal London One-Day Cup","Derbyshire",5,55,65,84.6153846153846,11,5,0,0,0,0,16
"AL Hughes",2016,"Royal London One-Day Cup","Derbyshire",4,65,74,87.8378378378378,16.25,5,0,0,0,0,30
"AL Hughes",2017,"Royal London One-Day Cup","Derbyshire",4,173,169,102.366863905325,57.6666666666667,14,5,1,0,1,96
"AL Hughes",2018,"Royal London One-Day Cup","Derbyshire",7,114,103,110.679611650485,19,11,4,1,0,0,47
"AL Hughes",2019,"Royal London One-Day Cup","Derbyshire",6,139,128,108.59375,27.8,11,4,1,0,1,69
"AL Hughes",2021,"Royal London One-Day Cup","Derbyshire",5,42,45,93.3333333333333,8.4,5,0,0,0,0,25
"AL Hughes",2022,"Royal London One-Day Cup","Derbyshire",2,43,32,134.375,21.5,3,1,0,0,0,31
"AM Ali",2015,"Royal London One-Day Cup","Leicestershire",7,151,212,71.2264150943396,21.5714285714286,12,2,0,0,1,84
"AM Ali",2017,"Royal London One-Day Cup","Leicestershire",5,153,195,78.4615384615385,30.6,11,3,0,0,2,88
"AM Ali",2019,"Royal London One-Day Cup","Leicestershire",1,26,23,113.04347826087,26,3,0,0,0,0,26
"AM Chakrapani",2021,"Royal London One-Day Cup","Warwickshire",2,22,39,56.4102564102564,11,1,0,0,0,0,18
"AM Foreman",2023,"One-Day Cup","Sussex",2,63,62,101.612903225806,63,8,1,1,0,0,35
"AM Lilley",2014,"Royal London One-Day Cup","Lancashire",1,2,2,100,Inf,0,0,1,0,0,2
"AM Lilley",2015,"Royal London One-Day Cup","Lancashire",1,8,8,100,8,2,0,0,0,0,8
"AM Lilley",2018,"Royal London One-Day Cup","Lancashire",1,16,13,123.076923076923,16,1,0,0,0,0,16
"AM Lilley",2019,"Royal London One-Day Cup","Leicestershire",5,56,47,119.148936170213,11.2,6,2,0,0,0,25
"AM Lilley",2021,"Royal London One-Day Cup","Leicestershire",7,162,118,137.28813559322,27,19,5,1,0,0,46
"AM Lilley",2022,"Royal London One-Day Cup","Leicestershire",8,209,211,99.0521327014218,26.125,16,8,0,0,1,60
"AM Rossington",2014,"Royal London One-Day Cup","Northamptonshire",6,214,252,84.9206349206349,35.6666666666667,27,1,0,0,2,82
"AM Rossington",2015,"Royal London One-Day Cup","Northamptonshire",3,7,32,21.875,2.33333333333333,0,0,0,0,0,6
"AM Rossington",2016,"Royal London One-Day Cup","Northamptonshire",9,287,286,100.34965034965,41,29,6,2,0,2,97
"AM Rossington",2017,"Royal London One-Day Cup","Northamptonshire",6,213,164,129.878048780488,53.25,26,4,2,0,2,69
"AM Rossington",2018,"Royal London One-Day Cup","Northamptonshire",7,271,312,86.8589743589744,38.7142857142857,23,4,0,0,3,66
"AM Rossington",2019,"Royal London One-Day Cup","Northamptonshire",6,184,142,129.577464788732,36.8,21,4,1,0,1,68
"AN Cook",2017,"Royal London One-Day Cup","Essex",9,636,719,88.4561891515994,79.5,74,0,1,3,3,133
"AN Cook",2018,"Royal London One-Day Cup","Essex",1,11,22,50,11,2,0,0,0,0,11
"AN Cook",2019,"Royal London One-Day Cup","Essex",8,204,239,85.3556485355649,25.5,30,1,0,0,1,53
"AN Cook",2021,"Royal London One-Day Cup","Essex",10,455,519,87.6685934489403,56.875,57,0,2,1,3,110
"AN Kervezee",2014,"Royal London One-Day Cup","Worcestershire",7,200,233,85.8369098712446,33.3333333333333,21,1,1,0,2,80
