"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"S Mahmood","Lancashire",2019,"Royal London One-Day Cup",10,"95.3",7,518,28,18.5,5.42408376963351,20.4642857142857,308,1,2,"6/37"
"NA Sowter","Middlesex",2019,"Royal London One-Day Cup",9,"89.2",0,521,25,20.84,5.83208955223881,21.44,227,3,1,"6/62"
"OJ Hannon-Dalby","Warwickshire",2023,"One-Day Cup",9,"73.0",10,317,24,13.2083333333333,4.34246575342466,18.25,274,2,1,"5/31"
"MT Coles","Kent",2016,"Royal London One-Day Cup",9,"80.1",4,418,24,17.4166666666667,5.21413721413721,20.0416666666667,264,1,1,"6/56"
"JS Patel","Warwickshire",2014,"Royal London One-Day Cup",10,"90.0",3,391,23,17,4.34444444444444,23.4782608695652,280,3,0,"4/24"
"BA Hutton","Nottinghamshire",2022,"Royal London One-Day Cup",9,"71.1",11,321,22,14.5909090909091,4.51053864168618,19.4090909090909,270,0,1,"7/26"
"WD Parnell","Worcestershire",2019,"Royal London One-Day Cup",9,"73.4",2,415,22,18.8636363636364,5.63348416289593,20.0909090909091,224,0,2,"5/24"
"JS Patel","Warwickshire",2016,"Royal London One-Day Cup",10,"92.1",3,447,22,20.3181818181818,4.8499095840868,25.1363636363636,266,0,1,"5/43"
"AU Rashid","Yorkshire",2014,"Royal London One-Day Cup",9,"86.5",4,409,21,19.4761904761905,4.71017274472169,24.8095238095238,280,0,1,"5/33"
"JM Cooke","Glamorgan",2021,"Royal London One-Day Cup",8,"62.5",2,286,20,14.3,4.55172413793103,18.85,219,0,1,"5/61"
"JA Turner","Hampshire",2022,"Royal London One-Day Cup",9,"66.0",4,334,20,16.7,5.06060606060606,19.8,240,0,2,"5/25"
"A Karvelas","Sussex",2022,"Royal London One-Day Cup",9,"72.0",6,389,20,19.45,5.40277777777778,21.6,243,2,0,"4/21"
"SM Curran","Surrey",2017,"Royal London One-Day Cup",10,"89.3",0,498,20,24.9,5.56424581005587,26.85,276,0,0,"3/43"
"HF Gurney","Nottinghamshire",2016,"Royal London One-Day Cup",8,"64.3",0,376,19,19.7894736842105,5.82945736434108,20.3684210526316,214,0,1,"5/51"
"JW Dernbach","Surrey",2015,"Royal London One-Day Cup",10,"82.5",3,423,19,22.2631578947368,5.10663983903421,26.1578947368421,289,0,1,"6/35"
"TG Helm","Middlesex",2019,"Royal London One-Day Cup",9,"85.0",0,547,19,28.7894736842105,6.43529411764706,26.8421052631579,244,1,1,"5/71"
"CJ Liddle","Gloucestershire",2017,"Royal London One-Day Cup",6,"51.0",0,272,18,15.1111111111111,5.33333333333333,17,145,1,2,"5/36"
"JW Hastings","Durham",2015,"Royal London One-Day Cup",8,"63.5",1,278,18,15.4444444444444,4.35509138381201,21.2777777777778,214,2,1,"5/41"
"RJW Topley","Essex",2015,"Royal London One-Day Cup",7,"64.1",2,298,18,16.5555555555556,4.64415584415584,21.3888888888889,225,3,0,"4/26"
"GG White","Northamptonshire",2016,"Royal London One-Day Cup",8,"66.0",3,315,18,17.5,4.77272727272727,22,190,0,1,"6/37"
"MW Parkinson","Lancashire",2018,"Royal London One-Day Cup",7,"63.4",3,328,18,18.2222222222222,5.15183246073298,21.2222222222222,191,1,1,"5/68"
"IG Holland","Hampshire",2023,"One-Day Cup",10,"83.0",5,339,18,18.8333333333333,4.08433734939759,27.6666666666667,298,0,1,"5/35"
"SR Harmer","Essex",2021,"Royal London One-Day Cup",10,"97.0",9,352,18,19.5555555555556,3.62886597938144,32.3333333333333,353,0,0,"3/42"
"C McKerr","Surrey",2021,"Royal London One-Day Cup",10,"64.2",0,386,18,21.4444444444444,6,21.4444444444444,187,1,0,"4/64"
"M de Lange","Glamorgan",2017,"Royal London One-Day Cup",8,"73.2",4,405,18,22.5,5.52272727272727,24.4444444444444,253,0,1,"5/49"
"Azeem Rafiq","Yorkshire",2017,"Royal London One-Day Cup",9,"70.3",0,408,18,22.6666666666667,5.78723404255319,23.5,177,1,0,"4/47"
"WJ Weighell","Durham",2017,"Royal London One-Day Cup",7,"66.0",4,416,18,23.1111111111111,6.3030303030303,22,189,1,1,"5/57"
"CJC Wright","Leicestershire",2023,"One-Day Cup",10,"85.0",3,418,18,23.2222222222222,4.91764705882353,28.3333333333333,290,0,0,"3/31"
"R Rampaul","Surrey",2017,"Royal London One-Day Cup",9,"79.0",2,444,18,24.6666666666667,5.62025316455696,26.3333333333333,224,2,0,"4/40"
"SW Currie","Hampshire",2022,"Royal London One-Day Cup",9,"78.0",4,452,18,25.1111111111111,5.79487179487179,26,268,0,0,"3/25"
"DA Payne","Gloucestershire",2014,"Royal London One-Day Cup",7,"57.3",4,279,17,16.4117647058824,4.85217391304348,20.2941176470588,198,1,1,"5/44"
"Yasir Arafat","Sussex",2014,"Royal London One-Day Cup",7,"60.5",3,309,17,18.1764705882353,5.07945205479452,21.4705882352941,199,1,1,"5/36"
"MW Parkinson","Kent",2023,"One-Day Cup",7,"56.4",1,314,17,18.4705882352941,5.54117647058824,20,147,2,0,"4/43"
"BE Hendricks","Leicestershire",2022,"Royal London One-Day Cup",8,"71.0",5,326,17,19.1764705882353,4.59154929577465,25.0588235294118,263,1,0,"4/39"
"C Rushworth","Durham",2021,"Royal London One-Day Cup",8,"71.4",6,328,17,19.2941176470588,4.57674418604651,25.2941176470588,276,1,0,"4/37"
"CJC Wright","Leicestershire",2022,"Royal London One-Day Cup",9,"82.2",5,331,17,19.4705882352941,4.02024291497976,29.0588235294118,318,0,1,"6/35"
"LJ Fletcher","Nottinghamshire",2019,"Royal London One-Day Cup",7,"63.1",2,368,17,21.6470588235294,5.82585751978892,22.2941176470588,181,0,1,"5/56"
"JOI Campbell","Hampshire",2022,"Royal London One-Day Cup",9,"74.2",6,370,17,21.7647058823529,4.97757847533632,26.2352941176471,247,1,0,"4/44"
"L Gregory","Somerset",2016,"Royal London One-Day Cup",9,"66.0",1,376,17,22.1176470588235,5.6969696969697,23.2941176470588,187,1,0,"4/23"
"JO Baker","Worcestershire",2023,"One-Day Cup",9,"76.1",3,406,17,23.8823529411765,5.33041575492341,26.8823529411765,230,0,0,"3/29"
"KJ Abbott","Hampshire",2019,"Royal London One-Day Cup",9,"71.5",1,407,17,23.9411764705882,5.66589327146172,25.3529411764706,236,0,0,"3/36"
"J Hull","Leicestershire",2023,"One-Day Cup",9,"71.3",1,412,17,24.2352941176471,5.76223776223776,25.2352941176471,207,2,0,"4/43"
"SC Meaker","Surrey",2016,"Royal London One-Day Cup",10,"66.0",1,413,17,24.2941176470588,6.25757575757576,23.2941176470588,189,0,0,"3/47"
"PA van Meekeren","Gloucestershire",2023,"One-Day Cup",10,"74.0",1,490,17,28.8235294117647,6.62162162162162,26.1176470588235,210,1,0,"4/66"
"DA Payne","Gloucestershire",2015,"Royal London One-Day Cup",11,"96.3",4,537,17,31.5882352941176,5.56476683937824,34.0588235294118,307,0,1,"5/40"
"MG Hogan","Glamorgan",2021,"Royal London One-Day Cup",9,"67.1",7,201,16,12.5625,2.99255583126551,25.1875,279,1,0,"4/33"
"MT Coles","Kent",2015,"Royal London One-Day Cup",7,"60.5",5,304,16,19,4.9972602739726,22.8125,220,1,0,"4/34"
"JE Burke","Surrey",2015,"Royal London One-Day Cup",9,"53.3",1,321,16,20.0625,6,20.0625,164,0,1,"5/28"
"LA Dawson","Hampshire",2019,"Royal London One-Day Cup",8,"79.0",2,324,16,20.25,4.10126582278481,29.625,238,0,0,"3/37"
"UT Yadav","Middlesex",2022,"Royal London One-Day Cup",7,"62.4",2,324,16,20.25,5.17021276595745,23.5,205,1,1,"5/33"
"MW Pillans","Yorkshire",2019,"Royal London One-Day Cup",7,"52.2",0,344,16,21.5,6.57324840764331,19.625,146,0,1,"5/29"
"JS Patel","Warwickshire",2019,"Royal London One-Day Cup",8,"75.0",6,384,16,24,5.12,28.125,251,0,1,"5/45"
"C Overton","Somerset",2017,"Royal London One-Day Cup",8,"63.0",7,385,16,24.0625,6.11111111111111,23.625,202,0,0,"3/21"
"DI Stevens","Kent",2018,"Royal London One-Day Cup",11,"93.1",1,421,16,26.3125,4.51878354203936,34.9375,305,0,1,"6/25"
