"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dananjaya",1,4,9,44.4444444444444,4,0,0,0,0,0,4
"A Nortje",3,15,10,150,7.5,3,0,1,0,0,10
"AK Markram",21,627,475,132,33,43,22,2,1,2,100
"AL Phehlukwayo",11,102,92,110.869565217391,14.5714285714286,10,4,4,0,0,28
"AM Phangiso",4,46,42,109.52380952381,23,2,3,2,0,0,19
"AM Rossington",12,259,162,159.876543209877,23.5454545454545,31,14,1,0,2,72
"AS Joseph",3,20,21,95.2380952380952,6.66666666666667,3,0,0,0,0,13
"AU Rashid",10,80,50,160,16,12,2,5,0,0,21
"B Swanepoel",2,8,9,88.8888888888889,4,0,0,0,0,0,8
"BA Carse",6,57,50,114,19,3,3,3,0,0,26
"BC Fortuin",12,70,81,86.4197530864197,10,5,0,5,0,0,14
"BKG Mendis",7,223,150,148.666666666667,31.8571428571429,27,9,0,0,1,80
"BR McDermott",2,46,31,148.387096774194,23,6,3,0,0,0,41
"BS Makhanya",9,88,70,125.714285714286,14.6666666666667,10,2,3,0,0,40
"C Bosch",5,45,55,81.8181818181818,9,1,1,0,0,0,20
"C Esterhuizen",5,81,78,103.846153846154,27,4,3,2,0,0,32
"C Fortuin",1,11,14,78.5714285714286,11,0,0,0,0,0,11
"C Jonker",2,13,18,72.2222222222222,6.5,1,0,0,0,0,12
"CA Ingram",11,139,133,104.511278195489,12.6363636363636,14,3,0,0,0,43
"CJ Dala",3,18,17,105.882352941176,6,1,1,0,0,0,15
"CN Ackermann",3,24,26,92.3076923076923,8,2,0,0,0,0,17
"Codi Yusuf",4,30,30,100,30,2,0,3,0,0,12
"D Brevis",19,385,307,125.407166123778,22.6470588235294,20,26,2,0,2,70
"D Ferreira",17,289,194,148.969072164948,20.6428571428571,26,17,3,0,2,82
"D Jansen",2,15,10,150,15,2,0,1,0,0,8
"D Potgieter",8,87,61,142.622950819672,17.4,3,8,3,0,0,32
"D Pretorius",14,127,115,110.434782608696,11.5454545454545,9,4,3,0,0,28
"D Wiese",1,9,16,56.25,9,0,0,0,0,0,9
"DA Miller",21,467,380,122.894736842105,29.1875,37,14,5,0,1,75
"DAJ Bracewell",2,35,22,159.090909090909,17.5,3,2,0,0,0,23
"DJ Malan",10,210,187,112.299465240642,23.3333333333333,20,6,1,0,2,63
"DJ Vilas",13,254,210,120.952380952381,21.1666666666667,24,4,1,0,0,44
"DJ Willey",2,3,7,42.8571428571429,3,0,0,1,0,0,2
"DJ Worrall",3,3,7,42.8571428571429,3,0,0,2,0,0,2
"DM Dupavillon",4,8,11,72.7272727272727,8,1,0,3,0,0,5
"Dayyaan Galiem",1,1,3,33.3333333333333,1,0,0,0,0,0,1
"E Bosch",15,142,139,102.158273381295,10.9230769230769,13,3,2,0,0,23
"E Jones",8,33,47,70.2127659574468,6.6,2,0,3,0,0,13
"EJG Morgan",6,128,88,145.454545454545,21.3333333333333,9,7,0,0,1,64
"F du Plessis",21,608,419,145.107398568019,35.7647058823529,61,24,4,1,5,113
"FA Allen",6,38,27,140.740740740741,7.6,2,3,1,0,0,17
"FD Adams",4,18,14,128.571428571429,9,0,1,2,0,0,10
"G Coetzee",5,16,28,57.1428571428571,4,0,1,1,0,0,12
"G Roelofsen",9,198,176,112.5,22,18,4,0,0,2,56
"GC Viljoen",5,27,23,117.391304347826,13.5,3,1,3,0,0,10
"GF Linde",12,178,133,133.834586466165,17.8,11,12,2,0,1,63
"GHS Garton",3,20,22,90.9090909090909,20,2,0,2,0,0,13
"H Klaasen",22,810,436,185.779816513761,47.6470588235294,51,54,5,1,7,104
"HE van der Dussen",20,571,421,135.62945368171,31.7222222222222,43,25,2,1,2,104
"I Manack",1,4,3,133.333333333333,Inf,0,0,1,0,0,4
"Imran Tahir",4,3,12,25,3,0,0,3,0,0,1
"J Hermann",19,479,414,115.700483091787,28.1764705882353,51,14,2,1,1,106
"J Little",2,2,4,50,Inf,0,0,2,0,0,2
"JC Archer",3,5,7,71.4285714285714,2.5,0,0,1,0,0,2
"JC Buttler",22,799,579,137.996545768567,39.95,80,27,2,0,7,70
"JDS Neesham",17,256,210,121.904761904762,19.6923076923077,23,9,4,0,0,37
"JJ Roy",22,408,325,125.538461538462,18.5454545454545,41,19,0,0,2,68
"JK Fuller",6,76,49,155.102040816327,19,8,1,2,0,0,27
"JL du Plooy",19,626,418,149.760765550239,44.7142857142857,64,24,5,0,5,81
"JM Cox",7,44,44,100,7.33333333333333,2,2,1,0,0,18
"JN Malan",3,23,37,62.1621621621622,7.66666666666667,2,1,0,0,0,16
"JO Holder",6,75,62,120.967741935484,25,6,4,3,0,0,28
"JT Smuts",20,500,379,131.926121372032,27.7777777777778,51,22,2,0,5,75
"K Rabada",7,16,21,76.1904761904762,4,2,0,3,0,0,6
"K Verreynne",11,290,186,155.913978494624,36.25,24,13,3,1,1,116
"KA Maharaj",12,82,80,102.5,16.4,7,3,7,0,0,25
"KA Pollard",9,187,101,185.148514851485,37.4,13,14,4,0,0,33
"KI Simmonds",2,16,22,72.7272727272727,8,0,1,0,0,0,13
"KMA Paul",11,131,102,128.43137254902,16.375,8,9,3,0,0,31
"KR Mayers",8,174,133,130.827067669173,21.75,18,10,0,0,0,39
"L Gregory",3,4,10,40,1.33333333333333,0,0,0,0,0,2
"L Ngidi",7,21,22,95.4545454545455,7,0,2,4,0,0,13
"LA Dawson",4,40,27,148.148148148148,40,2,3,3,0,0,29
"LB Williams",5,27,35,77.1428571428571,6.75,2,1,1,0,0,17
"LS Livingstone",9,109,104,104.807692307692,12.1111111111111,5,7,0,0,0,26
"M Jansen",15,282,177,159.322033898305,35.25,15,21,7,0,2,71
"M Pretorius",5,18,17,105.882352941176,4.5,0,1,1,0,0,11
"M Van Buuren",15,253,212,119.339622641509,25.3,23,6,5,0,1,72
"MJ Ackerman",1,8,9,88.8888888888889,8,0,0,0,0,0,8
"MM Ali",8,169,133,127.067669172932,28.1666666666667,11,10,2,0,0,36
"MP Breetzke",17,541,398,135.929648241206,36.0666666666667,51,27,2,0,2,78
"MP Stoinis",4,63,60,105,15.75,3,4,0,0,0,38
"MS Wade",3,66,41,160.975609756098,22,11,1,0,0,0,40
"N Brand",1,16,16,100,16,2,0,0,0,0,16
"N Burger",6,18,44,40.9090909090909,4.5,1,0,2,0,0,9
"N Pooran",3,86,54,159.259259259259,43,9,4,1,0,1,60
