"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"OEG Baartman",14,"50.3",1,415,30,13.8333333333333,8.21782178217822,10.1,126,2,0,"4/10"
"M Jansen",21,"72.5",1,561,28,20.0357142857143,7.7025171624714,15.6071428571429,201,1,1,"5/30"
"WD Parnell",16,"48.2",2,442,24,18.4166666666667,9.1448275862069,12.0833333333333,132,1,0,"4/33"
"L Ngidi",18,"70.0",0,587,24,24.4583333333333,8.38571428571429,17.5,192,1,0,"4/39"
"RJW Topley",20,"65.0",2,534,23,23.2173913043478,8.21538461538461,16.9565217391304,181,0,0,"3/19"
"AU Rashid",18,"66.4",1,524,22,23.8181818181818,7.86,18.1818181818182,146,0,0,"3/30"
"E Bosch",22,"70.4",0,574,21,27.3333333333333,8.12264150943396,20.1904761904762,190,0,0,"3/12"
"RE van der Merwe",9,"34.0",0,191,20,9.55,5.61764705882353,10.2,80,1,1,"6/20"
"A Nortje",11,"42.5",2,265,20,13.25,6.18677042801556,12.85,141,0,0,"3/12"
"LB Williams",11,"34.0",0,318,20,15.9,9.35294117647059,10.2,87,2,0,"4/26"
"K Rabada",18,"64.0",1,522,20,26.1,8.15625,19.2,157,0,0,"3/22"
"BC Fortuin",21,"80.3",2,548,20,27.4,6.80745341614907,24.15,192,0,0,"3/14"
"D Pretorius",14,"42.5",0,412,19,21.6842105263158,9.61867704280156,13.5263157894737,83,0,0,"2/17"
"KA Maharaj",21,"65.0",0,488,19,25.6842105263158,7.50769230769231,20.5263157894737,147,0,0,"2/17"
"JDS Neesham",16,"41.2",0,355,18,19.7222222222222,8.58870967741935,13.7777777777778,95,0,0,"3/7"
"T Shamsi",18,"65.0",1,486,18,27,7.47692307692308,21.6666666666667,125,0,0,"2/11"
"G Coetzee",9,"28.3",1,230,17,13.5294117647059,8.07017543859649,10.0588235294118,77,1,0,"4/24"
"DJ Worrall",11,"42.0",0,304,17,17.8823529411765,7.23809523809524,14.8235294117647,124,0,0,"3/20"
"CJ Dala",6,"23.4",0,212,16,13.25,8.95774647887324,8.875,55,1,1,"5/26"
"E Jones",10,"33.2",2,322,15,21.4666666666667,9.66,13.3333333333333,63,1,0,"4/32"
"AL Phehlukwayo",13,"41.0",0,368,15,24.5333333333333,8.97560975609756,16.4,67,0,0,"3/29"
"SSB Magala",11,"38.4",1,336,14,24,8.68965517241379,16.5714285714286,86,0,0,"2/22"
"SM Curran",19,"56.0",1,533,14,38.0714285714286,9.51785714285714,24,115,0,0,"3/26"
"R Shepherd",16,"42.2",0,399,13,30.6923076923077,9.4251968503937,19.5384615384615,87,0,0,"3/39"
"GF Linde",18,"54.0",0,426,13,32.7692307692308,7.88888888888889,24.9230769230769,129,0,0,"2/15"
"N Burger",15,"52.0",0,431,13,33.1538461538462,8.28846153846154,24,132,0,0,"3/26"
"Noor Ahmad",6,"23.2",1,136,12,11.3333333333333,5.82857142857143,11.6666666666667,70,0,1,"5/11"
"AK Markram",15,"33.0",1,202,12,16.8333333333333,6.12121212121212,16.5,78,0,0,"2/7"
