"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Dananjaya","JT Smuts",1,3,1,2,0,0,2,33.3333333333333,1
"A Dananjaya","MS Crane",2,4,0,2,0,0,3,50,Inf
"A Dananjaya","RE van der Merwe",1,2,0,1,0,0,3,50,Inf
"A Nortje","D Jansen",10,5,1,2,2,0,12,200,10
"A Nortje","R Shepherd",0,1,1,1,0,0,0,0,0
"A Nortje","SSB Magala",5,4,0,2,1,0,7.5,125,Inf
"AK Markram","A Dananjaya",9,9,0,5,0,1,6,100,Inf
"AK Markram","A Nortje",27,16,0,8,3,2,10.125,168.75,Inf
"AK Markram","AL Phehlukwayo",9,12,2,4,0,0,4.5,75,4.5
"AK Markram","AS Joseph",2,2,0,0,0,0,6,100,Inf
"AK Markram","AU Rashid",14,10,0,3,0,1,8.4,140,Inf
"AK Markram","BC Fortuin",18,16,1,4,0,1,6.75,112.5,18
"AK Markram","CA Ingram",9,6,1,2,1,0,9,150,9
"AK Markram","CJ Dala",24,13,0,2,2,1,11.0769230769231,184.615384615385,Inf
"AK Markram","Codi Yusuf",6,10,0,4,0,0,3.6,60,Inf
"AK Markram","D Ferreira",8,6,0,1,1,0,8,133.333333333333,Inf
"AK Markram","D Pretorius",18,16,0,1,0,0,6.75,112.5,Inf
"AK Markram","DM Dupavillon",1,4,1,3,0,0,1.5,25,1
"AK Markram","E Bosch",13,13,1,6,2,0,6,100,13
"AK Markram","E Jones",14,13,1,5,0,1,6.46153846153846,107.692307692308,14
"AK Markram","G Coetzee",6,11,0,5,0,0,3.27272727272727,54.5454545454545,Inf
"AK Markram","GF Linde",23,17,0,2,2,0,8.11764705882353,135.294117647059,Inf
"AK Markram","JA Turner",7,4,0,0,1,0,10.5,175,Inf
"AK Markram","JC Archer",1,4,0,3,0,0,1.5,25,Inf
"AK Markram","JDS Neesham",6,5,1,2,1,0,7.2,120,6
"AK Markram","JO Holder",6,4,0,1,1,0,9,150,Inf
"AK Markram","JT Smuts",10,9,1,4,0,1,6.66666666666667,111.111111111111,10
"AK Markram","K Rabada",13,9,1,2,1,0,8.66666666666667,144.444444444444,13
"AK Markram","KA Maharaj",38,31,0,6,2,1,7.35483870967742,122.58064516129,Inf
"AK Markram","KA Pollard",19,15,1,4,1,0,7.6,126.666666666667,19
"AK Markram","KI Simmonds",9,11,0,3,0,0,4.90909090909091,81.8181818181818,Inf
"AK Markram","KMA Paul",11,6,0,1,2,0,11,183.333333333333,Inf
"AK Markram","L Ngidi",7,5,0,1,1,0,8.4,140,Inf
"AK Markram","LB Williams",17,10,1,3,2,1,10.2,170,17
"AK Markram","LS Livingstone",8,7,0,2,0,0,6.85714285714286,114.285714285714,Inf
"AK Markram","M Pretorius",7,5,0,1,1,0,8.4,140,Inf
"AK Markram","M Theekshana",29,19,0,4,1,2,9.1578947368421,152.631578947368,Inf
"AK Markram","MP Stoinis",0,1,1,1,0,0,0,0,0
"AK Markram","N Burger",28,12,0,1,3,1,14,233.333333333333,Inf
"AK Markram","N Peter",8,3,0,0,0,1,16,266.666666666667,Inf
"AK Markram","N Thushara",5,3,0,0,0,0,10,166.666666666667,Inf
"AK Markram","Naveen-ul-Haq",26,13,1,2,1,2,12,200,26
"AK Markram","Noor Ahmad",9,8,0,2,1,0,6.75,112.5,Inf
"AK Markram","OC McCoy",3,3,0,0,0,0,6,100,Inf
"AK Markram","OF Smith",0,1,1,1,0,0,0,0,0
"AK Markram","OP Stone",16,9,0,2,1,1,10.6666666666667,177.777777777778,Inf
"AK Markram","P Subrayen",11,7,0,1,1,0,9.42857142857143,157.142857142857,Inf
"AK Markram","PWA Mulder",15,11,1,3,2,0,8.18181818181818,136.363636363636,15
"AK Markram","R Shepherd",40,25,2,8,1,3,9.6,160,20
"AK Markram","RJ Gleeson",1,2,0,1,0,0,3,50,Inf
"AK Markram","RJW Topley",11,12,0,7,2,0,5.5,91.6666666666667,Inf
"AK Markram","Rashid Khan",9,11,1,6,1,0,4.90909090909091,81.8181818181818,9
"AK Markram","SM Curran",25,12,0,4,5,0,12.5,208.333333333333,Inf
"AK Markram","T Shamsi",12,13,0,2,0,0,5.53846153846154,92.3076923076923,Inf
"AK Markram","TP Kaber",16,6,0,0,0,2,16,266.666666666667,Inf
"AK Markram","WD Parnell",3,5,0,2,0,0,3.6,60,Inf
"AL Phehlukwayo","A Nortje",8,5,0,3,2,0,9.6,160,Inf
"AL Phehlukwayo","AK Markram",2,2,0,0,0,0,6,100,Inf
"AL Phehlukwayo","B Swanepoel",2,2,0,0,0,0,6,100,Inf
"AL Phehlukwayo","C Bosch",12,6,0,1,2,0,12,200,Inf
"AL Phehlukwayo","DJ Worrall",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","DM Dupavillon",16,8,0,3,2,1,12,200,Inf
"AL Phehlukwayo","Dayyaan Galiem",2,3,0,1,0,0,4,66.6666666666667,Inf
"AL Phehlukwayo","E Bosch",2,2,0,0,0,0,6,100,Inf
"AL Phehlukwayo","GF Linde",7,4,0,2,0,1,10.5,175,Inf
"AL Phehlukwayo","JDS Neesham",4,7,2,6,1,0,3.42857142857143,57.1428571428571,2
"AL Phehlukwayo","JT Smuts",0,1,1,1,0,0,0,0,0
"AL Phehlukwayo","KA Maharaj",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","M Pretorius",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","MM Ali",6,6,1,3,1,0,6,100,6
"AL Phehlukwayo","MP Stoinis",2,2,0,0,0,0,6,100,Inf
"AL Phehlukwayo","N Burger",0,3,0,3,0,0,0,0,NA
"AL Phehlukwayo","N Thushara",2,2,0,1,0,0,6,100,Inf
"AL Phehlukwayo","Naveen-ul-Haq",11,8,0,3,0,1,8.25,137.5,Inf
"AL Phehlukwayo","Noor Ahmad",0,4,1,4,0,0,0,0,0
"AL Phehlukwayo","OEG Baartman",13,10,0,5,1,1,7.8,130,Inf
"AL Phehlukwayo","OP Stone",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","RE van der Merwe",1,3,0,2,0,0,2,33.3333333333333,Inf
"AL Phehlukwayo","RJW Topley",4,3,1,2,1,0,8,133.333333333333,4
"AL Phehlukwayo","S Muthusamy",2,3,0,1,0,0,4,66.6666666666667,Inf
"AL Phehlukwayo","SSB Magala",1,1,0,0,0,0,6,100,Inf
"AL Phehlukwayo","TP Kaber",1,3,1,2,0,0,2,33.3333333333333,1
"AM Phangiso","A Nortje",1,1,0,0,0,0,6,100,Inf
"AM Phangiso","AL Phehlukwayo",1,2,0,1,0,0,3,50,Inf
"AM Phangiso","AU Rashid",12,6,0,2,1,1,12,200,Inf
"AM Phangiso","E Jones",2,2,1,1,0,0,6,100,2
"AM Phangiso","FD Adams",1,4,0,3,0,0,1.5,25,Inf
"AM Phangiso","K Rabada",2,3,0,1,0,0,4,66.6666666666667,Inf
"AM Phangiso","L Ngidi",1,2,0,1,0,0,3,50,Inf
"AM Phangiso","OF Smith",1,1,0,0,0,0,6,100,Inf
"AM Phangiso","SM Curran",7,4,0,1,1,0,10.5,175,Inf
"AM Phangiso","T Shamsi",6,3,1,2,0,1,12,200,6
"AM Phangiso","WD Parnell",6,3,0,1,0,1,12,200,Inf
"AM Phangiso","WJ Lubbe",6,11,0,6,0,0,3.27272727272727,54.5454545454545,Inf
"AM Rossington","A Dananjaya",8,6,0,4,2,0,8,133.333333333333,Inf
"AM Rossington","A Nortje",1,2,1,1,0,0,3,50,1
"AM Rossington","AM Phangiso",1,3,1,2,0,0,2,33.3333333333333,1
"AM Rossington","AS Joseph",15,12,0,7,2,1,7.5,125,Inf
"AM Rossington","AU Rashid",3,6,0,3,0,0,3,50,Inf
"AM Rossington","BC Fortuin",20,14,1,7,4,0,8.57142857142857,142.857142857143,20
"AM Rossington","CA Ingram",1,2,0,1,0,0,3,50,Inf
"AM Rossington","D Pretorius",18,6,0,2,3,1,18,300,Inf
"AM Rossington","DJ Willey",15,12,0,8,2,1,7.5,125,Inf
"AM Rossington","DM Dupavillon",0,2,0,2,0,0,0,0,NA
"AM Rossington","E Bosch",20,13,1,8,1,2,9.23076923076923,153.846153846154,20
"AM Rossington","G Coetzee",15,8,0,3,1,1,11.25,187.5,Inf
"AM Rossington","JC Archer",1,4,1,3,0,0,1.5,25,1
"AM Rossington","JO Holder",2,2,0,0,0,0,6,100,Inf
"AM Rossington","KA Maharaj",28,9,0,2,2,3,18.6666666666667,311.111111111111,Inf
"AM Rossington","KR Mayers",9,4,0,1,2,0,13.5,225,Inf
"AM Rossington","L Ngidi",4,3,1,2,1,0,8,133.333333333333,4
"AM Rossington","LB Williams",0,2,1,2,0,0,0,0,0
"AM Rossington","M Pretorius",28,8,0,1,2,3,21,350,Inf
"AM Rossington","M Theekshana",4,6,1,2,0,0,4,66.6666666666667,4
"AM Rossington","N Burger",7,8,0,5,1,0,5.25,87.5,Inf
"AM Rossington","PWA Mulder",8,4,1,0,1,0,12,200,8
"AM Rossington","R Shepherd",5,3,0,1,1,0,10,166.666666666667,Inf
"AM Rossington","RJ Gleeson",6,2,1,1,0,1,18,300,6
"AM Rossington","RJW Topley",22,8,0,0,3,1,16.5,275,Inf
"AM Rossington","SM Curran",10,7,1,1,1,0,8.57142857142857,142.857142857143,10
"AM Rossington","WD Parnell",8,6,0,4,2,0,8,133.333333333333,Inf
"AS Joseph","A Nortje",5,5,1,3,1,0,6,100,5
"AS Joseph","BC Fortuin",2,4,0,2,0,0,3,50,Inf
"AS Joseph","FD Adams",11,7,1,3,2,0,9.42857142857143,157.142857142857,11
"AS Joseph","K Rabada",2,3,0,1,0,0,4,66.6666666666667,Inf
"AS Joseph","Rashid Khan",0,2,1,2,0,0,0,0,0
"AU Rashid","AS Joseph",6,2,0,1,0,1,18,300,Inf
"AU Rashid","CJ Dala",2,2,0,0,0,0,6,100,Inf
"AU Rashid","DJ Worrall",0,1,0,1,0,0,0,0,NA
"AU Rashid","K Rabada",9,3,0,0,2,0,18,300,Inf
"AU Rashid","KMA Paul",18,6,0,0,2,1,18,300,Inf
"AU Rashid","L Ngidi",8,4,0,2,2,0,12,200,Inf
"AU Rashid","LB Williams",2,2,0,0,0,0,6,100,Inf
"AU Rashid","M Jansen",2,4,2,3,0,0,3,50,1
"AU Rashid","N Burger",13,5,0,0,3,0,15.6,260,Inf
"AU Rashid","N Thushara",1,1,0,0,0,0,6,100,Inf
"AU Rashid","N van Heerden",9,6,0,3,2,0,9,150,Inf
"AU Rashid","OEG Baartman",4,1,0,0,1,0,24,400,Inf
"AU Rashid","OF Smith",1,1,0,0,0,0,6,100,Inf
"AU Rashid","PE Kruger",0,3,1,3,0,0,0,0,0
"AU Rashid","R Shepherd",2,4,2,3,0,0,3,50,1
"AU Rashid","SM Curran",2,4,0,2,0,0,3,50,Inf
"AU Rashid","SSB Magala",1,1,0,0,0,0,6,100,Inf
"B Swanepoel","AU Rashid",0,2,1,2,0,0,0,0,0
"B Swanepoel","JT Smuts",1,1,0,0,0,0,6,100,Inf
"B Swanepoel","KA Maharaj",2,3,0,1,0,0,4,66.6666666666667,Inf
"B Swanepoel","RJ Gleeson",5,3,0,0,0,0,10,166.666666666667,Inf
"BA Carse","A Nortje",6,6,0,3,1,0,6,100,Inf
"BA Carse","AM Phangiso",3,3,0,1,0,0,6,100,Inf
"BA Carse","AS Joseph",7,5,0,3,0,1,8.4,140,Inf
"BA Carse","AU Rashid",13,6,0,1,1,1,13,216.666666666667,Inf
"BA Carse","E Jones",3,3,0,1,0,0,6,100,Inf
"BA Carse","G Coetzee",4,4,1,1,0,0,6,100,4
"BA Carse","JC Archer",4,5,0,1,0,0,4.8,80,Inf
"BA Carse","K Rabada",1,3,1,2,0,0,2,33.3333333333333,1
"BA Carse","L Ngidi",1,1,0,0,0,0,6,100,Inf
"BA Carse","M Pretorius",6,3,0,0,1,0,12,200,Inf
"BA Carse","M Theekshana",7,4,0,2,0,1,10.5,175,Inf
"BA Carse","R Shepherd",1,6,1,5,0,0,1,16.6666666666667,1
"BA Carse","WD Parnell",1,1,0,0,0,0,6,100,Inf
"BC Fortuin","A Nortje",2,4,0,2,0,0,3,50,Inf
"BC Fortuin","AK Markram",1,3,0,2,0,0,2,33.3333333333333,Inf
"BC Fortuin","AU Rashid",0,2,1,2,0,0,0,0,0
"BC Fortuin","B Swanepoel",1,2,1,1,0,0,3,50,1
