"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"K Verreynne",2024-02-01,"Pretoria Capitals","MI Cape Town",2,116,52,7,9,223.076923076923,TRUE,"SA20","2023/24",1392677,"SuperSport Park, Centurion","Centurion","MI Cape Town","Pretoria Capitals","MI Cape Town","bat","K Verreynne","MI Cape Town",NA,"34"
"F du Plessis",2023-01-24,"Joburg Super Kings","Durban's Super Giants",2,113,58,8,8,194.827586206897,TRUE,"SA20","2022/23",1343962,"The Wanderers Stadium, Johannesburg","Johannesburg","Durban's Super Giants","Joburg Super Kings","Joburg Super Kings","field","F du Plessis","Joburg Super Kings","8",NA
"J Hermann",2024-01-16,"Sunrisers Eastern Cape","MI Cape Town",1,106,62,8,6,170.967741935484,TRUE,"SA20","2023/24",1392659,"Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","MI Cape Town","Sunrisers Eastern Cape","bat","J Hermann","Sunrisers Eastern Cape",NA,"4"
"HE van der Dussen",2024-01-13,"MI Cape Town","Joburg Super Kings",1,104,50,9,6,208,FALSE,"SA20","2023/24",1392655,"The Wanderers Stadium, Johannesburg","Johannesburg","MI Cape Town","Joburg Super Kings","Joburg Super Kings","field","HE van der Dussen","MI Cape Town",NA,"98"
"H Klaasen",2023-02-05,"Durban's Super Giants","Pretoria Capitals",1,104,44,10,6,236.363636363636,TRUE,"SA20","2022/23",1343968,"SuperSport Park, Centurion","Centurion","Durban's Super Giants","Pretoria Capitals","Pretoria Capitals","field","H Klaasen","Durban's Super Giants",NA,"151"
"WG Jacks",2024-01-18,"Pretoria Capitals","Durban's Super Giants",1,101,42,8,9,240.47619047619,FALSE,"SA20","2023/24",1392661,"SuperSport Park, Centurion","Centurion","Pretoria Capitals","Durban's Super Giants","Pretoria Capitals","bat","WG Jacks","Pretoria Capitals",NA,"17"
"AK Markram",2023-02-09,"Sunrisers Eastern Cape","Joburg Super Kings",1,100,58,6,6,172.413793103448,FALSE,"SA20","2022/23",1343972,"SuperSport Park, Centurion","Centurion","Sunrisers Eastern Cape","Joburg Super Kings","Joburg Super Kings","field","AK Markram","Sunrisers Eastern Cape",NA,"14"
"RD Rickelton",2024-01-13,"MI Cape Town","Joburg Super Kings",1,98,49,6,8,200,FALSE,"SA20","2023/24",1392655,"The Wanderers Stadium, Johannesburg","Johannesburg","MI Cape Town","Joburg Super Kings","Joburg Super Kings","field","HE van der Dussen","MI Cape Town",NA,"98"
"RR Hendricks",2023-02-09,"Joburg Super Kings","Sunrisers Eastern Cape",2,96,54,11,4,177.777777777778,FALSE,"SA20","2022/23",1343972,"SuperSport Park, Centurion","Centurion","Sunrisers Eastern Cape","Joburg Super Kings","Joburg Super Kings","field","AK Markram","Sunrisers Eastern Cape",NA,"14"
"RD Rickelton",2024-01-19,"MI Cape Town","Paarl Royals",2,94,52,7,6,180.769230769231,TRUE,"SA20","2023/24",1392662,"Newlands, Cape Town","Cape Town","Paarl Royals","MI Cape Town","MI Cape Town","field","RD Rickelton","MI Cape Town","8",NA
"F du Plessis",2023-02-05,"Joburg Super Kings","Sunrisers Eastern Cape",1,92,61,7,4,150.819672131148,FALSE,"SA20","2022/23",1343967,"The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","Sunrisers Eastern Cape","Joburg Super Kings","bat","F du Plessis","Joburg Super Kings",NA,"24"
"WG Jacks",2023-01-14,"Pretoria Capitals","Sunrisers Eastern Cape",1,92,46,7,8,200,FALSE,"SA20","2022/23",1343946,"SuperSport Park, Centurion","Centurion","Pretoria Capitals","Sunrisers Eastern Cape","Sunrisers Eastern Cape","field","WG Jacks","Pretoria Capitals",NA,"37"
"RD Rickelton",2024-02-01,"MI Cape Town","Pretoria Capitals",1,90,45,10,5,200,FALSE,"SA20","2023/24",1392677,"SuperSport Park, Centurion","Centurion","MI Cape Town","Pretoria Capitals","MI Cape Town","bat","K Verreynne","MI Cape Town",NA,"34"
"RD Rickelton",2024-01-11,"MI Cape Town","Durban's Super Giants",1,87,51,6,6,170.588235294118,FALSE,"SA20","2023/24",1392653,"Kingsmead, Durban","Durban","MI Cape Town","Durban's Super Giants","Durban's Super Giants","field","H Klaasen","Durban's Super Giants",NA,"11"
