"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_runs","winner_wickets","outcome","method"
1343941,6,"Paarl Royals","MI Cape Town","male","2022/23",2023-01-10,"SA20","1","Newlands, Cape Town","Cape Town","MI Cape Town","field","D Brevis","A Paleker","M Erasmus","A Steenkamp","BP Jele","GH Pienaar","MI Cape Town",NA,8,NA,NA
1343942,6,"Joburg Super Kings","Durban's Super Giants","male","2022/23",2023-01-11,"SA20","2","Kingsmead, Durban","Durban","Joburg Super Kings","bat","D Ferreira","AT Holdstock","LB Gcuma","DJ Smith","S George","S Wadvalla","Joburg Super Kings",16,NA,NA,NA
1343943,6,"Pretoria Capitals","Sunrisers Eastern Cape","male","2022/23",2023-01-12,"SA20","3","St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","field","PD Salt","BP Jele","Stephen Harris","A Jacobs","A Paleker","ZTA Ndamane","Pretoria Capitals",23,NA,NA,NA
1343944,6,"Joburg Super Kings","Paarl Royals","male","2022/23",2023-01-13,"SA20","4","Boland Park, Paarl","Paarl","Joburg Super Kings","bat","BC Fortuin","DJ Smith","LB Gcuma","A Steenkamp","M Erasmus","GH Pienaar","Paarl Royals",NA,7,NA,NA
1343945,6,"MI Cape Town","Durban's Super Giants","male","2022/23",2023-01-13,"SA20","5","Newlands, Cape Town","Cape Town","Durban's Super Giants","field","KR Mayers","BM White","S George","Siphelele Gasa","AT Holdstock","LH Matroos","Durban's Super Giants",NA,5,NA,NA
1343946,6,"Pretoria Capitals","Sunrisers Eastern Cape","male","2022/23",2023-01-14,"SA20","6","SuperSport Park, Centurion","Centurion","Sunrisers Eastern Cape","field","WG Jacks","A Paleker","A Jacobs","Stephen Harris","BP Jele","SB Lambson","Pretoria Capitals",37,NA,NA,NA
1343947,6,"Joburg Super Kings","MI Cape Town","male","2022/23",2023-01-14,"SA20","7","Newlands, Cape Town","Cape Town","MI Cape Town","field","K Rabada","AT Holdstock","M Erasmus","LB Gcuma","S George","LH Matroos","MI Cape Town",NA,7,NA,NA
1343948,6,"Durban's Super Giants","Paarl Royals","male","2022/23",2023-01-15,"SA20","8","Kingsmead, Durban","Durban","Durban's Super Giants","bat","H Klaasen","A Steenkamp","Siphelele Gasa","DJ Smith","BM White","ZTA Ndamane","Durban's Super Giants",27,NA,NA,NA
1343949,6,"MI Cape Town","Sunrisers Eastern Cape","male","2022/23",2023-01-16,"SA20","9","St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","field","AK Markram","A Paleker","Stephen Harris","A Jacobs","BP Jele","S Wadvalla","Sunrisers Eastern Cape",NA,4,NA,NA
1343950,6,"Paarl Royals","Durban's Super Giants","male","2022/23",2023-01-17,"SA20","10","Boland Park, Paarl","Paarl","Durban's Super Giants","field","BC Fortuin","AT Holdstock","BM White","A Steenkamp","LB Gcuma","LH Matroos","Paarl Royals",10,NA,NA,NA
1343951,6,"Joburg Super Kings","Pretoria Capitals","male","2022/23",2023-01-17,"SA20","11","The Wanderers Stadium, Johannesburg","Johannesburg","Pretoria Capitals","field","JL du Plooy","M Erasmus","S George","Siphelele Gasa","DJ Smith","GH Pienaar","Joburg Super Kings",6,NA,NA,NA
1343952,6,"MI Cape Town","Sunrisers Eastern Cape","male","2022/23",2023-01-18,"SA20","12","Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","field","M Jansen","A Jacobs","BP Jele","A Steenkamp","A Paleker","S Wadvalla","Sunrisers Eastern Cape",NA,2,NA,NA
1343953,6,"Joburg Super Kings","Pretoria Capitals","male","2022/23",2023-01-18,"SA20","13","SuperSport Park, Centurion","Centurion","Pretoria Capitals","field","JDS Neesham","DJ Smith","M Erasmus","Siphelele Gasa","S George","SB Lambson","Pretoria Capitals",NA,6,NA,NA
1343954,6,"Paarl Royals","Sunrisers Eastern Cape","male","2022/23",2023-01-19,"SA20","14","Boland Park, Paarl","Paarl","Sunrisers Eastern Cape","field","AK Markram","A Steenkamp","BM White","LB Gcuma","AT Holdstock","S Wadvalla","Sunrisers Eastern Cape",NA,5,NA,NA
1343955,6,"Durban's Super Giants","Pretoria Capitals","male","2022/23",2023-01-20,"SA20","15","Kingsmead, Durban","Durban","Durban's Super Giants","bat","S Muthusamy","DJ Smith","Siphelele Gasa","S George","M Erasmus","GH Pienaar","Pretoria Capitals",NA,8,NA,NA
1343956,6,"MI Cape Town","Paarl Royals","male","2022/23",2023-01-21,"SA20","16","Boland Park, Paarl","Paarl","Paarl Royals","field","JC Buttler","AT Holdstock","BP Jele","Stephen Harris","A Paleker","SB Lambson","MI Cape Town",13,NA,NA,NA
1343957,6,"Sunrisers Eastern Cape","Joburg Super Kings","male","2022/23",2023-01-21,"SA20","17","St George's Park, Gqeberha","Gqeberha","Joburg Super Kings","field","AM Phangiso","A Steenkamp","A Jacobs","Siphelele Gasa","BM White","LH Matroos","Joburg Super Kings",NA,5,NA,NA
1343958,6,"Pretoria Capitals","Paarl Royals","male","2022/23",2023-01-22,"SA20","18","Boland Park, Paarl","Paarl","Pretoria Capitals","bat","DA Miller","BP Jele","Stephen Harris","S George","LB Gcuma","SB Lambson","Paarl Royals",NA,6,NA,NA
1343959,6,"Sunrisers Eastern Cape","Durban's Super Giants","male","2022/23",2023-01-22,"SA20","19","St George's Park, Gqeberha","Gqeberha","Durban's Super Giants","field","RE van der Merwe","DJ Smith","Siphelele Gasa","BM White","A Jacobs","LH Matroos","Sunrisers Eastern Cape",124,NA,NA,NA
1343960,6,"Pretoria Capitals","MI Cape Town","male","2022/23",2023-01-23,"SA20","20","Newlands, Cape Town","Cape Town","MI Cape Town","field","WG Jacks","A Paleker","LB Gcuma","Stephen Harris","BP Jele","ZTA Ndamane","Pretoria Capitals",52,NA,NA,NA
1343961,6,"Sunrisers Eastern Cape","Paarl Royals","male","2022/23",2023-01-24,"SA20","21","St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","bat","DA Miller","BM White","Siphelele Gasa","LB Gcuma","A Jacobs","LH Matroos","Paarl Royals",NA,5,NA,NA
1343962,6,"Durban's Super Giants","Joburg Super Kings","male","2022/23",2023-01-24,"SA20","22","The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","field","F du Plessis","A Steenkamp","S George","Stephen Harris","DJ Smith","SB Lambson","Joburg Super Kings",NA,8,NA,NA
1343963,6,"MI Cape Town","Durban's Super Giants","male","2022/23",2023-02-02,"SA20","23","Kingsmead, Durban","Durban","Durban's Super Giants","field","Q de Kock","A Jacobs","S George","DJ Smith","Stephen Harris","ZTA Ndamane","Durban's Super Giants",NA,5,NA,NA
1343964,6,"Paarl Royals","Joburg Super Kings","male","2022/23",2023-02-03,"SA20","24","The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","field",NA,"AT Holdstock","A Paleker","LB Gcuma","M Erasmus","S Wadvalla",NA,NA,NA,"no result",NA
1343965,6,"Sunrisers Eastern Cape","Durban's Super Giants","male","2022/23",2023-02-03,"SA20","25","Kingsmead, Durban","Durban","Durban's Super Giants","field",NA,"BP Jele","Stephen Harris","A Steenkamp","S George","ZTA Ndamane",NA,NA,NA,"no result",NA
1343966,6,"MI Cape Town","Pretoria Capitals","male","2022/23",2023-02-04,"SA20","26","SuperSport Park, Centurion","Centurion","Pretoria Capitals","field","RR Rossouw","A Paleker","M Erasmus","A Jacobs","AT Holdstock","SB Lambson","Pretoria Capitals",NA,1,NA,NA
1343967,6,"Joburg Super Kings","Sunrisers Eastern Cape","male","2022/23",2023-02-05,"SA20","27","The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","bat","F du Plessis","BP Jele","LB Gcuma","BM White","Stephen Harris","GH Pienaar","Joburg Super Kings",24,NA,NA,NA
1343968,6,"Durban's Super Giants","Pretoria Capitals","male","2022/23",2023-02-05,"SA20","28","SuperSport Park, Centurion","Centurion","Pretoria Capitals","field","H Klaasen","AT Holdstock","A Paleker","A Jacobs","M Erasmus","S Wadvalla","Durban's Super Giants",151,NA,NA,NA
1343969,6,"Joburg Super Kings","MI Cape Town","male","2022/23",2023-02-06,"SA20","29","The Wanderers Stadium, Johannesburg","Johannesburg","MI Cape Town","field","JL du Plooy","AT Holdstock","M Erasmus","Siphelele Gasa","A Paleker","ZTA Ndamane","Joburg Super Kings",76,NA,NA,NA
1343970,6,"Pretoria Capitals","Paarl Royals","male","2022/23",2023-02-07,"SA20","30","SuperSport Park, Centurion","Centurion","Paarl Royals","field","BKG Mendis","BP Jele","M Erasmus","BM White","AT Holdstock","GH Pienaar","Pretoria Capitals",59,NA,NA,NA
1343971,6,"Pretoria Capitals","Paarl Royals","male","2022/23",2023-02-08,"SA20",NA,"The Wanderers Stadium, Johannesburg","Johannesburg","Paarl Royals","field","RR Rossouw","AT Holdstock","A Paleker","BP Jele","M Erasmus","ZTA Ndamane","Pretoria Capitals",29,NA,NA,NA
1343972,6,"Sunrisers Eastern Cape","Joburg Super Kings","male","2022/23",2023-02-09,"SA20",NA,"SuperSport Park, Centurion","Centurion","Joburg Super Kings","field","AK Markram","BP Jele","M Erasmus","AT Holdstock","A Paleker","SB Lambson","Sunrisers Eastern Cape",14,NA,NA,NA
1343973,6,"Pretoria Capitals","Sunrisers Eastern Cape","male","2022/23",2023-02-11,"SA20",NA,"The Wanderers Stadium, Johannesburg","Johannesburg","Sunrisers Eastern Cape","field","RE van der Merwe","AT Holdstock","M Erasmus","A Paleker","BP Jele","GH Pienaar","Sunrisers Eastern Cape",NA,4,NA,NA
1392653,6,"MI Cape Town","Durban's Super Giants","male","2023/24",2024-01-11,"SA20","2","Kingsmead, Durban","Durban","Durban's Super Giants","field","H Klaasen","A Steenkamp","Stephen Harris","MN Gampu","DJ Smith","GH Pienaar","Durban's Super Giants",11,NA,NA,"D/L"
1392654,6,"Paarl Royals","Pretoria Capitals","male","2023/24",2024-01-12,"SA20","3","Boland Park, Paarl","Paarl","Pretoria Capitals","field","AL Phehlukwayo","A Jacobs","BM White","PJ Vosloo","TC Mokorosi","LH Matroos","Paarl Royals",27,NA,NA,NA
1392655,6,"MI Cape Town","Joburg Super Kings","male","2023/24",2024-01-13,"SA20","4","The Wanderers Stadium, Johannesburg","Johannesburg","Joburg Super Kings","field","HE van der Dussen","DJ Smith","LB Gcuma","MN Gampu","Lauren Agenbag","SB Lambson","MI Cape Town",98,NA,NA,NA
1392656,6,"Durban's Super Giants","Sunrisers Eastern Cape","male","2023/24",2024-01-13,"SA20","5","St George's Park, Gqeberha","Gqeberha","Durban's Super Giants","bat","JT Smuts","Siphelele Gasa","Stephen Harris","AM Sodumo","A Steenkamp","SA Fritz","Durban's Super Giants",35,NA,NA,NA
1392657,6,"Paarl Royals","Pretoria Capitals","male","2023/24",2024-01-14,"SA20","6","SuperSport Park, Centurion","Centurion","Pretoria Capitals","field","L Ngidi","A Jacobs","M Erasmus","Lauren Agenbag","DJ Smith","SB Lambson","Paarl Royals",10,NA,NA,NA
1392658,6,"Durban's Super Giants","Joburg Super Kings","male","2023/24",2024-01-15,"SA20","7","Kingsmead, Durban","Durban","Durban's Super Giants","bat","H Klaasen","M Erasmus","MN Gampu","RN Hendricks","LB Gcuma","SA Fritz","Durban's Super Giants",37,NA,NA,NA
1392659,6,"Sunrisers Eastern Cape","MI Cape Town","male","2023/24",2024-01-16,"SA20","8","Newlands, Cape Town","Cape Town","Sunrisers Eastern Cape","bat","J Hermann","M Erasmus","TC Mokorosi","Siphelele Gasa","A Steenkamp","GH Pienaar","Sunrisers Eastern Cape",4,NA,NA,NA
1392660,6,"Joburg Super Kings","Paarl Royals","male","2023/24",2024-01-17,"SA20","9","Boland Park, Paarl","Paarl","Joburg Super Kings","bat","JC Buttler","Lauren Agenbag","M Erasmus","RJ Warren","Siphelele Gasa","GH Pienaar","Paarl Royals",NA,7,NA,NA
1392661,6,"Pretoria Capitals","Durban's Super Giants","male","2023/24",2024-01-18,"SA20","10","SuperSport Park, Centurion","Centurion","Pretoria Capitals","bat","WG Jacks","AM Sodumo","LB Gcuma","RN Hendricks","BM White","SA Fritz","Pretoria Capitals",17,NA,NA,NA
1392662,6,"Paarl Royals","MI Cape Town","male","2023/24",2024-01-19,"SA20","11","Newlands, Cape Town","Cape Town","MI Cape Town","field","RD Rickelton","M Erasmus","RJ Warren","Siphelele Gasa","A Jacobs","ZTA Ndamane","MI Cape Town",NA,8,NA,NA
1392663,6,"Durban's Super Giants","Sunrisers Eastern Cape","male","2023/24",2024-01-20,"SA20","12","Kingsmead, Durban","Durban","Durban's Super Giants","bat","SR Harmer","DJ Smith","RN Hendricks","PJ Vosloo","A Steenkamp","SB Lambson","Sunrisers Eastern Cape",NA,5,NA,NA
1392664,6,"Pretoria Capitals","Joburg Super Kings","male","2023/24",2024-01-20,"SA20","13","The Wanderers Stadium, Johannesburg","Johannesburg","Pretoria Capitals","bat","D Ferreira","BM White","Stephen Harris","MN Gampu","Lauren Agenbag","LH Matroos","Joburg Super Kings",NA,6,NA,NA
1392665,6,"Paarl Royals","MI Cape Town","male","2023/24",2024-01-21,"SA20","14","Boland Park, Paarl","Paarl","MI Cape Town","field","BC Fortuin","LB Gcuma","RJ Warren","TC Mokorosi","Siphelele Gasa","ZTA Ndamane","Paarl Royals",59,NA,NA,NA
1392666,6,"Pretoria Capitals","Sunrisers Eastern Cape","male","2023/24",2024-01-22,"SA20","15","St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","field","OEG Baartman","PJ Vosloo","Stephen Harris","AM Sodumo","A Jacobs","GH Pienaar","Sunrisers Eastern Cape",NA,9,NA,NA
1392667,6,"Durban's Super Giants","MI Cape Town","male","2023/24",2024-01-23,"SA20","16","Newlands, Cape Town","Cape Town","MI Cape Town","field","GF Linde","BM White","Lauren Agenbag","Siphelele Gasa","A Steenkamp","SA Fritz","Durban's Super Giants",36,NA,NA,NA
1392668,6,"Joburg Super Kings","Paarl Royals","male","2023/24",2024-01-24,"SA20","17","The Wanderers Stadium, Johannesburg","Johannesburg","Paarl Royals","field","RR Hendricks","DJ Smith","RJ Warren","PJ Vosloo","Stephen Harris","ZTA Ndamane","Paarl Royals",NA,5,NA,NA
1392669,6,"Pretoria Capitals","Sunrisers Eastern Cape","male","2023/24",2024-01-25,"SA20","18","SuperSport Park, Centurion","Centurion","Sunrisers Eastern Cape","field","E Bosch","A Jacobs","MN Gampu","Lauren Agenbag","LB Gcuma","LH Matroos","Pretoria Capitals",3,NA,NA,NA
1392670,6,"Durban's Super Giants","Paarl Royals","male","2023/24",2024-01-26,"SA20","19","Boland Park, Paarl","Paarl","Durban's Super Giants","bat","Q de Kock","RN Hendricks","Stephen Harris","A Steenkamp","Siphelele Gasa","SA Fritz","Durban's Super Giants",57,NA,NA,NA
1392671,6,"Sunrisers Eastern Cape","MI Cape Town","male","2023/24",2024-01-27,"SA20","20","St George's Park, Gqeberha","Gqeberha","Sunrisers Eastern Cape","bat","TB Abell","DJ Smith","TC Mokorosi","PJ Vosloo","BM White","SB Lambson","Sunrisers Eastern Cape",4,NA,NA,NA
1392672,6,"Joburg Super Kings","Pretoria Capitals","male","2023/24",2024-01-27,"SA20","21","SuperSport Park, Centurion","Centurion","Pretoria Capitals","field",NA,"A Jacobs","LB Gcuma","MN Gampu","Lauren Agenbag","GH Pienaar",NA,NA,NA,"no result",NA
1392673,6,"Durban's Super Giants","Paarl Royals","male","2023/24",2024-01-28,"SA20","22","Kingsmead, Durban","Durban","Durban's Super Giants","bat","MP Breetzke","A Steenkamp","AM Sodumo","RN Hendricks","Stephen Harris","ZTA Ndamane","Durban's Super Giants",125,NA,NA,NA
1392674,6,"MI Cape Town","Joburg Super Kings","male","2023/24",2024-01-29,"SA20","23","Newlands, Cape Town","Cape Town","Joburg Super Kings","field","F du Plessis","BM White","LB Gcuma","Lauren Agenbag","A Jacobs","LH Matroos","Joburg Super Kings",NA,10,NA,"D/L"
1392675,6,"Durban's Super Giants","Pretoria Capitals","male","2023/24",2024-01-30,"SA20","24","Kingsmead, Durban","Durban","Durban's Super Giants","bat","MP Breetzke","A Steenkamp","Stephen Harris","DJ Smith","Siphelele Gasa","ZTA Ndamane","Durban's Super Giants",8,NA,NA,NA
1392676,6,"Joburg Super Kings","Sunrisers Eastern Cape","male","2023/24",2024-01-31,"SA20","25","The Wanderers Stadium, Johannesburg","Johannesburg","Sunrisers Eastern Cape","field","DJ Worrall","A Jacobs","PJ Vosloo","Lauren Agenbag","BM White","SA Fritz","Sunrisers Eastern Cape",NA,9,NA,NA
1392677,6,"MI Cape Town","Pretoria Capitals","male","2023/24",2024-02-01,"SA20","26","SuperSport Park, Centurion","Centurion","MI Cape Town","bat","K Verreynne","DJ Smith","Siphelele Gasa","PJ Vosloo","LB Gcuma","LH Matroos","MI Cape Town",34,NA,NA,NA
1392678,6,"Sunrisers Eastern Cape","Paarl Royals","male","2023/24",2024-02-02,"SA20","27","Boland Park, Paarl","Paarl","Sunrisers Eastern Cape","bat","M Jansen","BM White","TC Mokorosi","A Steenkamp","Stephen Harris","SB Lambson","Sunrisers Eastern Cape",44,NA,NA,NA
