"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Dananjaya","2022/23","SA20","Durban's Super Giants",1,4,9,44.4444444444444,4,0,0,0,0,0,4
"A Nortje","2022/23","SA20","Pretoria Capitals",3,15,10,150,7.5,3,0,1,0,0,10
"AK Markram","2022/23","SA20","Sunrisers Eastern Cape",12,366,286,127.972027972028,33.2727272727273,29,12,1,1,1,100
"AK Markram","2023/24","SA20","Sunrisers Eastern Cape",9,261,189,138.095238095238,32.625,14,10,1,0,1,54
"AL Phehlukwayo","2022/23","SA20","Paarl Royals",3,21,25,84,7,3,0,0,0,0,14
"AL Phehlukwayo","2023/24","SA20","Paarl Royals",8,81,67,120.89552238806,20.25,7,4,4,0,0,28
"AM Phangiso","2022/23","SA20","Joburg Super Kings",3,39,37,105.405405405405,39,2,2,2,0,0,19
"AM Phangiso","2023/24","SA20","Joburg Super Kings",1,7,5,140,7,0,1,0,0,0,7
"AM Rossington","2022/23","SA20","Sunrisers Eastern Cape",10,246,148,166.216216216216,27.3333333333333,30,13,1,0,2,72
"AM Rossington","2023/24","SA20","Sunrisers Eastern Cape",2,13,14,92.8571428571429,6.5,1,1,0,0,0,9
"AS Joseph","2022/23","SA20","Joburg Super Kings",3,20,21,95.2380952380952,6.66666666666667,3,0,0,0,0,13
"AU Rashid","2022/23","SA20","Pretoria Capitals",4,20,14,142.857142857143,10,2,1,2,0,0,8
"AU Rashid","2023/24","SA20","Pretoria Capitals",6,60,36,166.666666666667,20,10,1,3,0,0,21
"B Swanepoel","2023/24","SA20","Sunrisers Eastern Cape",2,8,9,88.8888888888889,4,0,0,0,0,0,8
"BA Carse","2022/23","SA20","Sunrisers Eastern Cape",6,57,50,114,19,3,3,3,0,0,26
"BC Fortuin","2022/23","SA20","Paarl Royals",5,31,36,86.1111111111111,15.5,3,0,3,0,0,14
"BC Fortuin","2023/24","SA20","Paarl Royals",7,39,45,86.6666666666667,7.8,2,0,2,0,0,13
"BKG Mendis","2022/23","SA20","Pretoria Capitals",7,223,150,148.666666666667,31.8571428571429,27,9,0,0,1,80
"BR McDermott","2022/23","SA20","Durban's Super Giants",2,46,31,148.387096774194,23,6,3,0,0,0,41
"BS Makhanya","2022/23","SA20","Joburg Super Kings",5,16,11,145.454545454545,5.33333333333333,3,0,2,0,0,6
"BS Makhanya","2023/24","SA20","Joburg Super Kings",4,72,59,122.033898305085,24,7,2,1,0,0,40
"C Bosch","2022/23","SA20","Paarl Royals",1,20,29,68.9655172413793,20,0,0,0,0,0,20
"C Bosch","2023/24","SA20","Pretoria Capitals",4,25,26,96.1538461538462,6.25,1,1,0,0,0,10
"C Esterhuizen","2023/24","SA20","MI Cape Town",5,81,78,103.846153846154,27,4,3,2,0,0,32
