"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"RE van der Merwe","Sunrisers Eastern Cape","2022/23","SA20",9,"34.0",0,191,20,9.55,5.61764705882353,10.2,80,1,1,"6/20"
"A Nortje","Pretoria Capitals","2022/23","SA20",11,"42.5",2,265,20,13.25,6.18677042801556,12.85,141,0,0,"3/12"
"M Jansen","Sunrisers Eastern Cape","2023/24","SA20",10,"37.2",1,286,20,14.3,7.66071428571429,11.2,112,1,1,"5/30"
"OEG Baartman","Sunrisers Eastern Cape","2023/24","SA20",8,"30.3",1,212,18,11.7777777777778,6.95081967213115,10.1666666666667,85,2,0,"4/10"
"G Coetzee","Joburg Super Kings","2022/23","SA20",9,"28.3",1,230,17,13.5294117647059,8.07017543859649,10.0588235294118,77,1,0,"4/24"
"DJ Worrall","Sunrisers Eastern Cape","2023/24","SA20",11,"42.0",0,304,17,17.8823529411765,7.23809523809524,14.8235294117647,124,0,0,"3/20"
"LB Williams","Joburg Super Kings","2023/24","SA20",8,"25.0",0,248,15,16.5333333333333,9.92,10,62,1,0,"4/26"
"KA Maharaj","Durban's Super Giants","2023/24","SA20",13,"42.0",0,307,15,20.4666666666667,7.30952380952381,16.8,93,0,0,"2/17"
"E Bosch","Pretoria Capitals","2022/23","SA20",12,"40.0",0,321,15,21.4,8.025,16,110,0,0,"3/12"
"WD Parnell","Pretoria Capitals","2023/24","SA20",7,"23.0",1,243,14,17.3571428571429,10.5652173913043,9.85714285714286,56,1,0,"4/33"
"JDS Neesham","Pretoria Capitals","2022/23","SA20",12,"30.2",0,251,14,17.9285714285714,8.27472527472528,13,72,0,0,"3/7"
"BC Fortuin","Paarl Royals","2022/23","SA20",10,"39.3",1,255,14,18.2142857142857,6.45569620253165,16.9285714285714,101,0,0,"3/14"
"AU Rashid","Pretoria Capitals","2022/23","SA20",10,"36.4",1,275,14,19.6428571428571,7.5,15.7142857142857,90,0,0,"2/15"
"SSB Magala","Sunrisers Eastern Cape","2022/23","SA20",11,"38.4",1,336,14,24,8.68965517241379,16.5714285714286,86,0,0,"2/22"
"CJ Dala","Durban's Super Giants","2023/24","SA20",5,"19.4",0,179,13,13.7692307692308,9.10169491525424,9.07692307692308,43,1,1,"5/26"
"E Jones","Paarl Royals","2022/23","SA20",9,"29.2",2,271,13,20.8461538461538,9.23863636363636,13.5384615384615,61,1,0,"4/32"
"L Ngidi","Paarl Royals","2023/24","SA20",9,"34.0",0,329,13,25.3076923076923,9.67647058823529,15.6923076923077,90,1,0,"4/39"
"RJW Topley","Durban's Super Giants","2023/24","SA20",12,"39.0",2,329,13,25.3076923076923,8.43589743589744,18,108,0,0,"3/19"
"Noor Ahmad","Durban's Super Giants","2023/24","SA20",6,"23.2",1,136,12,11.3333333333333,5.82857142857143,11.6666666666667,70,0,1,"5/11"
"OEG Baartman","Sunrisers Eastern Cape","2022/23","SA20",6,"20.0",0,203,12,16.9166666666667,10.15,10,41,0,0,"3/45"
"AK Markram","Sunrisers Eastern Cape","2022/23","SA20",10,"26.0",1,161,11,14.6363636363636,6.19230769230769,14.1818181818182,62,0,0,"2/7"
"K Rabada","MI Cape Town","2022/23","SA20",8,"31.0",1,231,11,21,7.45161290322581,16.9090909090909,80,0,0,"3/22"
"L Ngidi","Paarl Royals","2022/23","SA20",9,"36.0",0,258,11,23.4545454545455,7.16666666666667,19.6363636363636,102,0,0,"2/29"
"N Burger","Joburg Super Kings","2023/24","SA20",10,"35.0",0,278,11,25.2727272727273,7.94285714285714,19.0909090909091,92,0,0,"3/26"
"MP Stoinis","Durban's Super Giants","2023/24","SA20",5,"18.0",0,128,10,12.8,7.11111111111111,10.8,47,0,0,"3/18"
"AM Phangiso","Joburg Super Kings","2022/23","SA20",6,"20.0",0,141,10,14.1,7.05,12,46,2,0,"4/20"
"JC Archer","MI Cape Town","2022/23","SA20",6,"23.0",1,179,10,17.9,7.78260869565217,13.8,64,0,0,"3/27"
"WD Parnell","Pretoria Capitals","2022/23","SA20",9,"25.2",1,199,10,19.9,7.85526315789474,15.2,76,0,0,"3/14"
"RJW Topley","Durban's Super Giants","2022/23","SA20",8,"26.0",0,205,10,20.5,7.88461538461539,15.6,73,0,0,"3/34"
"D Pretorius","Durban's Super Giants","2022/23","SA20",6,"21.0",0,210,10,21,10,12.6,47,0,0,"2/20"
"T Shamsi","Paarl Royals","2023/24","SA20",10,"37.0",1,285,10,28.5,7.7027027027027,22.2,78,0,0,"2/11"
"OF Smith","MI Cape Town","2022/23","SA20",7,"17.3",0,143,9,15.8888888888889,8.17142857142857,11.6666666666667,41,0,0,"3/23"
"D Pretorius","Durban's Super Giants","2023/24","SA20",8,"21.5",0,202,9,22.4444444444444,9.25190839694656,14.5555555555556,36,0,0,"2/17"
"Imran Tahir","Joburg Super Kings","2023/24","SA20",10,"31.0",0,236,9,26.2222222222222,7.61290322580645,20.6666666666667,65,0,0,"2/13"
"DM Dupavillon","Pretoria Capitals","2023/24","SA20",8,"25.5",0,254,9,28.2222222222222,9.83225806451613,17.2222222222222,73,0,0,"3/25"
"AL Phehlukwayo","Paarl Royals","2023/24","SA20",10,"29.0",0,270,9,30,9.31034482758621,19.3333333333333,50,0,0,"3/33"
"Rashid Khan","MI Cape Town","2022/23","SA20",10,"39.0",0,270,9,30,6.92307692307692,26,93,0,0,"3/16"
"K Rabada","MI Cape Town","2023/24","SA20",10,"33.0",0,291,9,32.3333333333333,8.81818181818182,22,77,0,0,"2/23"
