"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Jain",4,76,173,43.9306358381503,25.3333333333333,6,0,1,0,0,44
"A Pyecroft",5,21,65,32.3076923076923,4.2,2,0,0,0,0,12
"A Zampa",10,182,292,62.3287671232877,26,13,3,3,0,1,57
"AA Bevilaqua",4,57,42,135.714285714286,19,5,3,1,0,0,36
"AB Holder",2,10,35,28.5714285714286,10,1,0,1,0,0,8
"AC Agar",10,344,584,58.9041095890411,38.2222222222222,41,3,1,1,2,114
"ACI Lovell",8,116,225,51.5555555555556,14.5,18,0,0,0,0,45
"AI Ross",2,14,31,45.1612903225806,7,2,0,0,0,0,10
"AJ Doolan",35,1282,2671,47.997004867091,38.8484848484849,154,10,2,2,7,247
"AJ Finch",9,279,475,58.7368421052632,31,30,7,0,0,3,83
"AJ Nair",1,0,10,0,0,0,0,0,0,0,0
"AJ Turner",19,625,1071,58.3566760037348,34.7222222222222,65,7,1,1,4,128
"AL Fekete",5,36,89,40.4494382022472,36,5,1,4,0,0,25
"AM Hardie",39,1201,2231,53.8323621694308,36.3939393939394,167,5,6,2,4,174
"AP Chandrasinghe",16,325,1302,24.9615975422427,23.2142857142857,35,0,2,1,1,119
"AT Carey",36,1411,2087,67.6090081456636,41.5,163,10,2,3,8,139
"B Doggett",33,189,469,40.2985074626866,7.875,22,0,9,0,0,49
"B Nikitaras",24,517,1264,40.9018987341772,21.5416666666667,54,8,0,0,2,56
"B Stanlake",9,4,60,6.66666666666667,0.8,1,0,4,0,0,4
"BAD Manenti",36,1129,1494,75.5689424364123,36.4193548387097,136,19,5,0,9,88
"BD Macdonald",7,137,338,40.5325443786982,19.5714285714286,17,0,0,0,1,61
"BE Street",58,1727,5383,32.0824818874234,30.8392857142857,192,4,2,5,6,143
"BJ Dwarshuis",13,220,466,47.2103004291845,22,24,1,3,0,1,60
"BJ Holt",21,363,763,47.5753604193971,21.3529411764706,39,5,4,0,1,54
