"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"MT Steketee",77,1319.3,355,3900,161,24.223602484472,2.95566502463054,49.1739130434783,6349,10,4,"7/44"
"JM Bird",71,1322,356,3603,145,24.848275862069,2.72541603630862,54.7034482758621,6303,11,5,"7/18"
"MG Neser",66,1174.5,336,3050,142,21.4788732394366,2.59611292381898,49.6408450704225,5715,6,6,"5/15"
"SM Boland",56,1142.2,321,2745,133,20.6390977443609,2.40297636416691,51.5338345864662,5510,13,3,"6/61"
"CP Tremain",68,1147.4,294,2908,131,22.1984732824427,2.5338367702585,52.5648854961832,5478,5,5,"6/20"
"W Sutherland",64,1030,269,2778,120,23.15,2.69708737864078,51.5,4924,5,7,"6/67"
"JS Paris",52,897.3,276,2230,117,19.0598290598291,2.48467966573816,46.025641025641,4400,1,3,"6/74"
"PM Siddle",61,1137.3,320,2820,111,25.4054054054054,2.47912087912088,61.4864864864865,5518,6,2,"5/40"
"MJ Swepson",60,1164.1,207,3513,109,32.2293577981651,3.01760916249105,64.0825688073395,5161,5,6,"5/39"
"B Doggett",47,828.4,192,2655,97,27.3711340206186,3.20394207562349,51.2577319587629,3829,7,2,"5/77"
"TA Copeland",51,950.4,279,2254,95,23.7263157894737,2.37096774193548,60.0421052631579,4664,3,5,"6/24"
"N McAndrew",43,803.4,187,2344,95,24.6736842105263,2.91663210286188,50.7578947368421,3721,2,6,"6/41"
"GT Bell",48,820.4,197,2380,95,25.0526315789474,2.90008123476848,51.8315789473684,3845,6,2,"6/39"
"M Kelly",52,866.4,225,2229,92,24.2282608695652,2.57192307692308,56.5217391304348,4173,4,4,"6/67"
"SA Abbott",43,755.4,172,2063,91,22.6703296703297,2.73003970004411,49.8241758241758,3569,5,5,"7/45"
"WA Agar",47,867.4,181,2741,91,30.1208791208791,3.15904725316942,57.2087912087912,3994,3,4,"6/42"
"NM Lyon",46,1006.4,214,2691,88,30.5795454545455,2.67317880794702,68.6363636363636,4566,3,4,"6/21"
"CJ Gannon",45,779,211,2217,86,25.7790697674419,2.84595635430039,54.3488372093023,3749,5,3,"5/23"
"M Perry",57,892,207,2640,86,30.6976744186047,2.95964125560538,62.2325581395349,4218,5,1,"5/64"
"BJ Webster",65,892,155,2947,83,35.5060240963855,3.30381165919283,64.4819277108434,3918,3,0,"4/32"
"JM Holland",45,954.3,225,2378,77,30.8831168831169,2.49135673127292,74.3766233766234,4372,2,3,"7/82"
"CJ Rocchiccioli",44,764.5,151,2309,76,30.3815789473684,3.01895837873175,60.3815789473684,3361,8,0,"4/31"
"GS Sandhu",41,783.5,196,2050,75,27.3333333333333,2.61535190304061,62.7066666666667,3734,1,4,"6/57"
"JD Wildermuth",61,771.3,193,2309,71,32.5211267605634,2.99287103046014,65.1971830985916,3709,1,0,"4/21"
"F O'Neill",34,553.5,162,1363,67,20.3432835820896,2.46102919049052,49.5970149253731,2705,2,3,"5/28"
"LR Morris",32,468.3,84,1653,67,24.6716417910448,3.52828175026681,41.955223880597,2125,5,2,"5/36"
"CJ Sayers",32,685.5,205,1765,67,26.3432835820896,2.57351154313487,61.4179104477612,3325,2,4,"8/64"
"XC Bartlett",38,555,145,1726,65,26.5538461538462,3.10990990990991,51.2307692307692,2624,5,2,"5/64"
"JA Freeman",47,802.4,108,2645,61,43.3606557377049,3.2952657807309,78.9508196721311,3363,2,0,"4/72"
"RP Meredith",36,602.5,106,2142,60,35.7,3.55322090129942,60.2833333333333,2708,3,2,"5/96"
"DJ Worrall",29,565.1,139,1607,58,27.7068965517241,2.84340902388676,58.4655172413793,2652,3,3,"7/64"
"HNA Conway",44,666.2,165,1850,54,34.2592592592593,2.77638819409705,74.037037037037,3138,1,2,"5/17"
"AM Hardie",42,471.3,115,1359,53,25.6415094339623,2.88229056203606,53.377358490566,2245,3,0,"4/24"
"SL Rainbird",31,474,105,1535,50,30.7,3.23839662447257,56.88,2173,1,3,"8/21"
"JL Pattinson",25,433.1,96,1247,49,25.4489795918367,2.87879953828396,53.0408163265306,2027,2,1,"5/71"
"L Neil-Smith",27,373.1,81,1215,47,25.8510638297872,3.25591782045556,47.6382978723404,1670,0,2,"7/58"
"CH Stobo",31,444.1,116,1146,46,24.9130434782609,2.58011257035647,57.9347826086956,2152,1,0,"4/57"
"JS Buckingham",22,390,78,1223,44,27.7954545454545,3.13589743589744,53.1818181818182,1809,2,2,"7/71"
"NP Winter",26,536.3,100,1578,44,35.8636363636364,2.94128611369991,73.1590909090909,2441,4,0,"4/23"
"J Edwards",41,412.1,87,1175,42,27.9761904761905,2.8507885159725,58.8809523809524,1898,1,1,"6/36"
"JM Mennie",24,412.5,95,1179,42,28.0714285714286,2.85587404117885,58.9761904761905,1907,1,2,"6/103"
"NT Ellis",19,359.2,55,1232,42,29.3333333333333,3.42857142857143,51.3333333333333,1602,1,2,"6/43"
"BAD Manenti",33,562,79,1875,41,45.7317073170732,3.33629893238434,82.2439024390244,2312,0,1,"5/107"
"T Murphy",24,419.2,73,1215,39,31.1538461538462,2.89745627980922,64.5128205128205,1859,2,0,"4/42"
"L Guthrie",22,323.4,57,1251,38,32.9210526315789,3.86508753861998,51.1052631578947,1406,3,1,"6/60"
"MA Starc",18,336.5,77,1065,37,28.7837837837838,3.16180108857001,54.6216216216216,1559,1,3,"8/73"
"JA Richardson",16,293.1,98,648,36,18,2.2103467879477,48.8611111111111,1460,2,2,"5/23"
