"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Jain","BJ Dwarshuis",6,26,0,22,0,0,1.38461538461538,23.0769230769231,Inf
"A Jain","BJ Webster",6,10,0,4,0,0,3.6,60,Inf
"A Jain","CJ Green",2,5,1,3,0,0,2.4,40,2
"A Jain","CP Tremain",9,11,0,8,1,0,4.90909090909091,81.8181818181818,Inf
"A Jain","H Kerr",4,8,1,6,0,0,3,50,4
"A Jain","IJ Carlisle",1,19,0,18,0,0,0.315789473684211,5.26315789473684,Inf
"A Jain","JA Freeman",30,46,0,31,4,0,3.91304347826087,65.2173913043478,Inf
"A Jain","JM Bird",5,16,1,11,0,0,1.875,31.25,5
"A Jain","L Neil-Smith",2,8,0,6,0,0,1.5,25,Inf
"A Jain","SA Abbott",10,21,0,16,1,0,2.85714285714286,47.6190476190476,Inf
"A Jain","TP Ward",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Pyecroft","CJ Sayers",0,1,0,1,0,0,0,0,NA
"A Pyecroft","DJM Moody",1,4,0,3,0,0,1.5,25,Inf
"A Pyecroft","JM Mennie",0,3,1,3,0,0,0,0,0
"A Pyecroft","JS Paris",1,1,0,0,0,0,6,100,Inf
"A Pyecroft","L Guthrie",7,17,1,15,1,0,2.47058823529412,41.1764705882353,7
"A Pyecroft","M Kelly",0,1,0,1,0,0,0,0,NA
"A Pyecroft","MA Starc",1,7,1,6,0,0,0.857142857142857,14.2857142857143,1
"A Pyecroft","MR Marsh",6,15,1,11,0,0,2.4,40,6
"A Pyecroft","SA Abbott",5,14,0,12,1,0,2.14285714285714,35.7142857142857,Inf
"A Pyecroft","SNJ O'Keefe",0,2,1,2,0,0,0,0,0
"A Zampa","B Doggett",14,21,0,13,1,0,4,66.6666666666667,Inf
"A Zampa","BJ Webster",3,4,0,3,0,0,4.5,75,Inf
"A Zampa","DT Christian",14,13,1,5,1,0,6.46153846153846,107.692307692308,14
"A Zampa","Fawad Ahmed",4,6,0,5,1,0,4,66.6666666666667,Inf
"A Zampa","JD Wildermuth",5,5,0,2,0,0,6,100,Inf
"A Zampa","JL Pattinson",2,8,0,6,0,0,1.5,25,Inf
"A Zampa","JM Holland",11,25,0,17,0,0,2.64,44,Inf
"A Zampa","LW Feldman",9,19,1,14,1,0,2.84210526315789,47.3684210526316,9
"A Zampa","M Labuschagne",2,9,0,7,0,0,1.33333333333333,22.2222222222222,Inf
"A Zampa","MA Starc",6,6,1,5,0,1,6,100,6
"A Zampa","MG Neser",33,44,0,28,2,1,4.5,75,Inf
"A Zampa","MJ Swepson",28,60,2,43,2,0,2.8,46.6666666666667,14
"A Zampa","MT Renshaw",1,1,0,0,0,0,6,100,Inf
"A Zampa","PJ Cummins",5,5,0,3,1,0,6,100,Inf
"A Zampa","RP Kellepotha",5,10,0,8,0,0,3,50,Inf
"A Zampa","SM Elliott",5,6,0,4,1,0,5,83.3333333333333,Inf
"A Zampa","T Murphy",13,21,1,17,1,1,3.71428571428571,61.9047619047619,13
"A Zampa","TA Copeland",4,2,1,1,1,0,12,200,4
"A Zampa","TD Andrews",6,16,0,12,0,0,2.25,37.5,Inf
"A Zampa","W Sutherland",12,11,0,6,1,0,6.54545454545455,109.090909090909,Inf
"AA Bevilaqua","CH Stobo",0,2,0,2,0,0,0,0,NA
"AA Bevilaqua","GS Sandhu",3,4,0,3,0,0,4.5,75,Inf
"AA Bevilaqua","MW Edwards",12,10,0,5,2,0,7.2,120,Inf
"AA Bevilaqua","NM Lyon",21,8,1,3,0,3,15.75,262.5,21
"AA Bevilaqua","S Milenko",4,6,0,3,0,0,4,66.6666666666667,Inf
