"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"PSP Handscomb",2022-10-17,"Victoria","Western Australia",2,281,367,23,7,76.566757493188,TRUE,"Sheffield Shield","2022/23",1322400,"Junction Oval, Melbourne","Melbourne","Western Australia","Victoria","Western Australia","bat","PSP Handscomb",NA,NA,NA
"TLW Cooper",2019-10-10,"South Australia","Victoria",2,271,347,27,7,78.0979827089337,TRUE,"Marsh Sheffield Shield","2019/20",1196114,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","TLW Cooper",NA,NA,NA
"WJ Pucovski",2020-10-30,"Victoria","South Australia",2,255,386,27,1,66.0621761658031,TRUE,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"C Green",2021-03-06,"Western Australia","Queensland",1,251,343,29,5,73.1778425655977,FALSE,"Sheffield Shield","2020/21",1244505,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"AJ Doolan",2017-11-13,"Tasmania","Victoria",3,247,380,30,1,65,TRUE,"Sheffield Shield","2017/18",1118870,"Melbourne Cricket Ground","Melbourne","Tasmania","Victoria","Tasmania","bat","AJ Doolan",NA,NA,NA
"MS Harris",2020-10-30,"Victoria","South Australia",2,239,399,28,1,59.8997493734336,FALSE,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"CP Jewell",2024-02-16,"Tasmania","Western Australia",3,227,319,27,3,71.1598746081505,FALSE,"Sheffield Shield","2023/24",1391792,"Bellerive Oval, Hobart","Hobart","Tasmania","Western Australia","Western Australia","field","CP Jewell",NA,NA,NA
"NJ Maddinson",2019-10-10,"Victoria","South Australia",1,224,328,23,5,68.2926829268293,FALSE,"Marsh Sheffield Shield","2019/20",1196114,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","TLW Cooper",NA,NA,NA
"SE Marsh",2019-10-18,"Western Australia","Victoria",2,214,436,29,0,49.0825688073394,FALSE,"Marsh Sheffield Shield","2019/20",1196119,"Western Australia Cricket Association Ground, Perth","Perth","Victoria","Western Australia","Victoria","bat","SE Marsh","Western Australia","9",NA
"DR Drew",2023-02-10,"South Australia","Western Australia",1,208,345,24,0,60.2898550724638,TRUE,"Sheffield Shield","2022/23",1322415,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DR Drew","South Australia",NA,"164"
"JA Burns",2017-12-03,"Queensland","South Australia",2,202,332,15,4,60.8433734939759,TRUE,"Sheffield Shield","2017/18",1118878,"Cazaly's Stadium, Cairns","Cairns","South Australia","Queensland","South Australia","bat","JA Burns",NA,NA,NA
"MT Renshaw",2022-10-18,"Queensland","New South Wales",2,200,403,10,5,49.6277915632754,TRUE,"Sheffield Shield","2022/23",1322401,"Drummoyne Oval, Sydney","Sydney","New South Wales","Queensland","Queensland","field","MT Renshaw",NA,NA,NA
"C Green",2020-10-19,"Western Australia","New South Wales",2,197,438,20,1,44.9771689497717,FALSE,"Sheffield Shield","2020/21",1233446,"Park 25 No 2, Adelaide","Adelaide","New South Wales","Western Australia","Western Australia","field","SA Abbott",NA,NA,NA
"SM Whiteman",2022-11-11,"Western Australia","South Australia",2,193,394,28,0,48.9847715736041,FALSE,"Sheffield Shield","2022/23",1322406,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","SM Whiteman","Western Australia",NA,"28"
"M Labuschagne",2021-04-15,"Queensland","New South Wales",2,192,353,21,0,54.3909348441926,FALSE,"Sheffield Shield","2020/21",1244521,"Allan Border Field, Brisbane","Brisbane","New South Wales","Queensland","New South Wales","bat","M Labuschagne","Queensland",NA,"33"
"SM Whiteman",2023-10-15,"Western Australia","Tasmania",2,188,383,21,0,49.0861618798956,FALSE,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"BJ Webster",2020-02-24,"Tasmania","Western Australia",2,187,187,27,3,100,FALSE,"Marsh Sheffield Shield","2019/20",1196136,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","BJ Webster","Tasmania","5",NA
"JC Silk",2023-10-15,"Tasmania","Western Australia",1,181,349,19,0,51.8624641833811,FALSE,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"DP Hughes",2023-02-11,"New South Wales","Tasmania",1,178,337,20,0,52.8189910979228,FALSE,"Sheffield Shield","2022/23",1322416,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","DP Hughes",NA,NA,NA
"CT Bancroft",2023-02-21,"Western Australia","Tasmania",3,176,280,20,0,62.8571428571429,TRUE,"Sheffield Shield","2022/23",1322418,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","CT Bancroft","Western Australia",NA,"383"
"MS Harris",2019-02-23,"Victoria","Queensland",4,174,197,23,1,88.3248730964467,FALSE,"Sheffield Shield","2018/19",1150126,"Junction Oval, Melbourne","Melbourne","Queensland","Victoria","Queensland","bat","MS Harris","Victoria","3",NA
"UT Khawaja",2021-10-15,"Queensland","South Australia",3,174,294,14,1,59.1836734693878,FALSE,"Sheffield Shield","2021/22",1270448,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Steketee",NA,NA,NA
