"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SL Rainbird",2022-03-23,"Queensland","Tasmania",1,"14.5",8,21,8,1.41573033707865,81,"Sheffield Shield","2021/22",1270455,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","SL Rainbird","Tasmania",NA,"231"
"CJ Sayers",2019-11-01,"New South Wales","South Australia",1,"27.3",9,64,8,2.32727272727273,137,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"MA Starc",2017-10-27,"South Australia","New South Wales",3,"24.4",3,73,8,2.95945945945946,113,"Sheffield Shield","2017/18",1118866,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","MA Starc","New South Wales","6",NA
"JM Bird",2021-03-20,"New South Wales","Tasmania",2,"10.0",5,18,7,1.8,53,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"MT Steketee",2021-10-15,"South Australia","Queensland",2,"26.4",9,44,7,1.65,138,"Sheffield Shield","2021/22",1270448,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Steketee",NA,NA,NA
"SA Abbott",2019-03-20,"Tasmania","New South Wales",4,"12.4",4,45,7,3.55263157894737,57,"Sheffield Shield","2018/19",1150135,"Bellerive Oval, Hobart","Hobart","New South Wales","Tasmania","Tasmania","field","SA Abbott","New South Wales",NA,"149"
"SH Johnson",2023-03-02,"Queensland","South Australia",2,"23.0",9,47,7,2.04347826086957,116,"Sheffield Shield","2022/23",1322421,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
"L Neil-Smith",2023-11-28,"New South Wales","Tasmania",1,"20.5",7,58,7,2.784,101,"Sheffield Shield","2023/24",1391786,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","Tasmania","field","CP Tremain","New South Wales",NA,"74"
"JM Bird",2019-02-23,"South Australia","Tasmania",3,"24.5",8,59,7,2.3758389261745,118,"Sheffield Shield","2018/19",1150128,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","JM Bird","Tasmania","6",NA
"DJ Worrall",2018-11-16,"Western Australia","South Australia",2,"21.4",3,64,7,2.95384615384615,98,"Sheffield Shield","2018/19",1150118,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","SE Marsh","Western Australia","5",NA
"JS Buckingham",2023-10-03,"Tasmania","South Australia",2,"23.1",4,71,7,3.06474820143885,109,"Sheffield Shield","2023/24",1391770,"Karen Rolton Oval, Adelaide","Adelaide","South Australia","Tasmania","South Australia","bat","CA Wakim","Tasmania","7",NA
"JM Holland",2017-03-26,"South Australia","Victoria",2,"26.3",5,82,7,3.09433962264151,110,"Sheffield Shield","2016/17",1036431,"Traeger Park, Alice Springs","Alice Springs","Victoria","South Australia","Victoria","bat","JM Holland",NA,NA,NA
"CJ Sayers",2017-03-26,"Victoria","South Australia",1,"34.2",13,84,7,2.44660194174757,171,"Sheffield Shield","2016/17",1036431,"Traeger Park, Alice Springs","Alice Springs","Victoria","South Australia","Victoria","bat","JM Holland",NA,NA,NA
"CP Tremain",2024-03-11,"Queensland","New South Wales",1,"15.1",7,20,6,1.31868131868132,81,"Sheffield Shield","2023/24",1391799,"Allan Border Field, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","O Davies","New South Wales","5",NA
"NM Lyon",2021-02-17,"Victoria","New South Wales",2,"16.0",8,21,6,1.3125,82,"Sheffield Shield","2020/21",1244512,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","NJ Maddinson","Victoria","4",NA
"TA Copeland",2017-10-27,"South Australia","New South Wales",1,"13.3",3,24,6,1.77777777777778,68,"Sheffield Shield","2017/18",1118866,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","MA Starc","New South Wales","6",NA
"CP Tremain",2023-11-28,"Tasmania","New South Wales",4,"10.0",2,31,6,3.1,46,"Sheffield Shield","2023/24",1391786,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","Tasmania","field","CP Tremain","New South Wales",NA,"74"
"JR Hazlewood",2019-11-01,"South Australia","New South Wales",4,"18.4",8,35,6,1.875,96,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"J Edwards",2023-10-04,"Queensland","New South Wales",1,"15.0",5,36,6,2.4,71,"Sheffield Shield","2023/24",1391771,"Cricket Central, Sydney","Sydney","Queensland","New South Wales","New South Wales","field","J Edwards",NA,NA,NA
"MT Steketee",2022-10-31,"Western Australia","Queensland",2,"13.0",6,38,6,2.92307692307692,64,"Sheffield Shield","2022/23",1322404,"Western Australia Cricket Association Ground, Perth","Perth","Queensland","Western Australia","Western Australia","field","AM Hardie","Western Australia","3",NA
"SA Abbott",2021-10-27,"Victoria","New South Wales",1,"15.4",3,38,6,2.42553191489362,74,"Sheffield Shield","2021/22",1270442,"Drummoyne Oval, Sydney","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"204"
"GT Bell",2024-02-03,"Queensland","Tasmania",3,"19.0",4,39,6,2.05263157894737,93,"Sheffield Shield","2023/24",1391789,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Tasmania","Queensland","bat",NA,"Tasmania","4",NA
"N McAndrew",2023-11-06,"Queensland","South Australia",2,"23.1",10,41,6,1.76978417266187,121,"Sheffield Shield","2023/24",1391781,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","N McAndrew","South Australia",NA,"3"
