"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"C Green",2021-03-06,"Western Australia","Queensland",2,286,390,33,5,73.3333333333333,0,143,1,0,251,"Sheffield Shield","2020/21",1244505,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"PSP Handscomb",2022-10-17,"Victoria","Western Australia",1,281,367,23,7,76.566757493188,1,Inf,1,0,281,"Sheffield Shield","2022/23",1322400,"Junction Oval, Melbourne","Melbourne","Western Australia","Victoria","Western Australia","bat","PSP Handscomb",NA,NA,NA
"TLW Cooper",2019-10-10,"South Australia","Victoria",1,271,347,27,7,78.0979827089337,1,Inf,1,0,271,"Marsh Sheffield Shield","2019/20",1196114,"Junction Oval, Melbourne","Melbourne","Victoria","South Australia","Victoria","bat","TLW Cooper",NA,NA,NA
"MS Harris",2019-02-23,"Victoria","Queensland",2,269,352,38,1,76.4204545454545,0,134.5,1,1,174,"Sheffield Shield","2018/19",1150126,"Junction Oval, Melbourne","Melbourne","Queensland","Victoria","Queensland","bat","MS Harris","Victoria","3",NA
"WJ Pucovski",2020-10-30,"Victoria","South Australia",1,255,386,27,1,66.0621761658031,1,Inf,1,0,255,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"AJ Doolan",2017-11-13,"Tasmania","Victoria",2,247,383,30,1,64.490861618799,1,247,1,0,247,"Sheffield Shield","2017/18",1118870,"Melbourne Cricket Ground","Melbourne","Tasmania","Victoria","Tasmania","bat","AJ Doolan",NA,NA,NA
"DP Hughes",2023-02-11,"New South Wales","Tasmania",2,241,415,26,0,58.0722891566265,1,241,1,1,178,"Sheffield Shield","2022/23",1322416,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","New South Wales","bat","DP Hughes",NA,NA,NA
"MS Harris",2020-10-30,"Victoria","South Australia",1,239,399,28,1,59.8997493734336,0,239,1,0,239,"Sheffield Shield","2020/21",1233450,"Gliderol Stadium, Adelaide","Adelaide","South Australia","Victoria","South Australia","bat","WJ Pucovski",NA,NA,NA
"DP Hughes",2020-02-24,"New South Wales","South Australia",2,239,361,36,1,66.2049861495845,0,119.5,2,0,136,"Marsh Sheffield Shield","2019/20",1196135,"Bankstown Oval, Sydney","Sydney","New South Wales","South Australia","New South Wales","bat","DP Hughes","New South Wales",NA,"133"
"CP Jewell",2024-02-16,"Tasmania","Western Australia",2,232,325,28,3,71.3846153846154,0,116,1,0,227,"Sheffield Shield","2023/24",1391792,"Bellerive Oval, Hobart","Hobart","Tasmania","Western Australia","Western Australia","field","CP Jewell",NA,NA,NA
