"bowler","start_date","batting_team","bowling_team","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SL Rainbird",2022-03-23,"Queensland","Tasmania",27.1,12,42,13,1.54601226993865,145,"Sheffield Shield","2021/22",1270455,"Bellerive Oval, Hobart","Hobart","Queensland","Tasmania","Tasmania","field","SL Rainbird","Tasmania",NA,"231"
"CJ Sayers",2019-11-01,"New South Wales","South Australia",45.5,13,131,13,2.85818181818182,217,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"JM Bird",2019-02-23,"South Australia","Tasmania",43.2,12,112,11,2.58461538461538,202,"Sheffield Shield","2018/19",1150128,"Adelaide Oval","Adelaide","South Australia","Tasmania","South Australia","bat","JM Bird","Tasmania","6",NA
"JS Paris",2023-10-26,"South Australia","Western Australia",39.5,12,113,11,2.83682008368201,195,"Sheffield Shield","2023/24",1391778,"Adelaide Oval","Adelaide","Western Australia","South Australia","Western Australia","bat","JS Paris","Western Australia",NA,"200"
"HNA Conway",2019-10-10,"Queensland","New South Wales",30.5,14,56,10,1.81621621621622,158,"Marsh Sheffield Shield","2019/20",1196115,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","New South Wales","Queensland","bat","HNA Conway","New South Wales","5",NA
"MA Starc",2019-10-18,"Tasmania","New South Wales",44.2,17,60,10,1.35338345864662,227,"Marsh Sheffield Shield","2019/20",1196117,"Drummoyne Oval, Sydney","Sydney","Tasmania","New South Wales","Tasmania","bat","MA Starc","New South Wales","8",NA
"N McAndrew",2023-10-15,"New South Wales","South Australia",29.5,10,61,10,2.04469273743017,146,"Sheffield Shield","2023/24",1391774,"Adelaide Oval","Adelaide","South Australia","New South Wales","New South Wales","field","NA McSweeney","South Australia",NA,"186"
"JM Bird",2018-10-16,"Queensland","Tasmania",32,11,77,10,2.40625,161,"Sheffield Shield","2018/19",1150109,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Tasmania","Queensland","Queensland","field","JM Bird","Tasmania",NA,"246"
"NM Lyon",2021-02-17,"Victoria","New South Wales",44.1,14,78,10,1.76603773584906,214,"Sheffield Shield","2020/21",1244512,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","NJ Maddinson","Victoria","4",NA
"GT Bell",2024-02-03,"Queensland","Tasmania",33,7,79,10,2.39393939393939,159,"Sheffield Shield","2023/24",1391789,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Tasmania","Queensland","bat",NA,"Tasmania","4",NA
"MT Steketee",2021-10-15,"South Australia","Queensland",50.4,16,92,10,1.81578947368421,258,"Sheffield Shield","2021/22",1270448,"Adelaide Oval","Adelaide","Queensland","South Australia","South Australia","field","MT Steketee",NA,NA,NA
"L Neil-Smith",2023-11-28,"New South Wales","Tasmania",32.5,9,104,10,3.16751269035533,150,"Sheffield Shield","2023/24",1391786,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","Tasmania","field","CP Tremain","New South Wales",NA,"74"
"F O'Neill",2023-11-28,"South Australia","Victoria",39.2,11,111,10,2.82203389830508,178,"Sheffield Shield","2023/24",1391785,"Adelaide Oval","Adelaide","Victoria","South Australia","South Australia","field","SB Harper","Victoria",NA,"23"
"MA Starc",2017-10-27,"South Australia","New South Wales",37.4,3,119,10,3.15929203539823,173,"Sheffield Shield","2017/18",1118866,"Adelaide Oval","Adelaide","South Australia","New South Wales","South Australia","bat","MA Starc","New South Wales","6",NA
"DJ Worrall",2018-11-16,"Western Australia","South Australia",48.4,10,148,10,3.04109589041096,226,"Sheffield Shield","2018/19",1150118,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","SE Marsh","Western Australia","5",NA
"MJ Swepson",2020-10-30,"New South Wales","Queensland",52,9,171,10,3.28846153846154,240,"Sheffield Shield","2020/21",1233448,"Karen Rolton Oval, Adelaide","Adelaide","Queensland","New South Wales","New South Wales","field","MJ Swepson","New South Wales","1",NA
"M Kelly",2022-11-11,"South Australia","Western Australia",39,20,57,9,1.46153846153846,207,"Sheffield Shield","2022/23",1322406,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","SM Whiteman","Western Australia",NA,"28"
"CP Tremain",2024-03-11,"Queensland","New South Wales",32.4,13,63,9,1.92857142857143,166,"Sheffield Shield","2023/24",1391799,"Allan Border Field, Brisbane","Brisbane","Queensland","New South Wales","New South Wales","field","O Davies","New South Wales","5",NA
"MG Neser",2022-11-10,"Victoria","Queensland",29,9,70,9,2.41379310344828,145,"Sheffield Shield","2022/23",1322405,"Allan Border Field, Brisbane","Brisbane","Victoria","Queensland","Victoria","bat","MG Neser","Queensland",NA,"10"
"CP Tremain",2023-11-28,"Tasmania","New South Wales",24.4,8,71,9,2.87837837837838,117,"Sheffield Shield","2023/24",1391786,"Sydney Cricket Ground","Sydney","New South Wales","Tasmania","Tasmania","field","CP Tremain","New South Wales",NA,"74"
"LR Morris",2022-10-03,"New South Wales","Western Australia",30.1,3,82,9,2.71823204419889,147,"Sheffield Shield","2022/23",1322396,"Western Australia Cricket Association Ground, Perth","Perth","New South Wales","Western Australia","Western Australia","field","LR Morris","Western Australia","8",NA
"SH Johnson",2023-03-02,"Queensland","South Australia",30,12,83,9,2.76666666666667,148,"Sheffield Shield","2022/23",1322421,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","JJ Peirson","Queensland","5",NA
"NT Ellis",2020-03-06,"New South Wales","Tasmania",39,9,95,9,2.43589743589744,192,"Marsh Sheffield Shield","2019/20",1196138,"Bellerive Oval, Hobart","Hobart","New South Wales","Tasmania","Tasmania","field","NT Ellis","Tasmania","9",NA
"N McAndrew",2023-11-06,"Queensland","South Australia",48.1,19,101,9,2.09688581314879,244,"Sheffield Shield","2023/24",1391781,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","Queensland","field","N McAndrew","South Australia",NA,"3"
"CJ Green",2022-11-22,"Western Australia","New South Wales",50,9,112,9,2.24,227,"Sheffield Shield","2022/23",1322409,"Sydney Cricket Ground","Sydney","Western Australia","New South Wales","Western Australia","bat","CJ Green","Western Australia",NA,"133"
"W Sutherland",2022-12-01,"New South Wales","Victoria",42.1,11,115,9,2.72727272727273,197,"Sheffield Shield","2022/23",1322411,"Junction Oval, Melbourne","Melbourne","Victoria","New South Wales","New South Wales","field","W Sutherland","Victoria",NA,"69"
"CJ Green",2024-02-03,"Western Australia","New South Wales",36,6,116,9,3.22222222222222,159,"Sheffield Shield","2023/24",1391790,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","New South Wales","New South Wales","field","CJ Green","New South Wales","4",NA
"TA Copeland",2020-02-24,"South Australia","New South Wales",53,18,123,9,2.32075471698113,268,"Marsh Sheffield Shield","2019/20",1196135,"Bankstown Oval, Sydney","Sydney","New South Wales","South Australia","New South Wales","bat","DP Hughes","New South Wales",NA,"133"
"TA Copeland",2018-10-16,"South Australia","New South Wales",49,7,131,9,2.6734693877551,232,"Sheffield Shield","2018/19",1150108,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","TA Copeland",NA,NA,NA
"JM Holland",2021-04-03,"South Australia","Victoria",64.1,12,172,9,2.68051948051948,290,"Sheffield Shield","2020/21",1251084,"Junction Oval, Melbourne","Melbourne","South Australia","Victoria","South Australia","bat","JM Holland",NA,NA,NA
"NT Ellis",2020-02-24,"Western Australia","Tasmania",57.3,8,206,9,3.58260869565217,263,"Marsh Sheffield Shield","2019/20",1196136,"Bellerive Oval, Hobart","Hobart","Western Australia","Tasmania","Tasmania","field","BJ Webster","Tasmania","5",NA
"M Perry",2023-03-02,"New South Wales","Victoria",29.4,12,54,8,1.82022471910112,156,"Sheffield Shield","2022/23",1322420,"Lavington Sports Oval, Albury","Albury","New South Wales","Victoria","Victoria","field","MW Short","Victoria","10",NA
"CJ Gannon",2024-03-21,"Tasmania","Western Australia",31,10,61,8,1.96774193548387,158,"Sheffield Shield","2023/24",1391800,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"377"
"JA Richardson",2021-11-10,"Queensland","Western Australia",36.2,19,61,8,1.67889908256881,193,"Sheffield Shield","2021/22",1270456,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Queensland","Western Australia","Western Australia","field","JA Richardson","Western Australia","7",NA
"AM Hardie",2019-03-20,"Queensland","Western Australia",24.4,9,62,8,2.51351351351351,125,"Sheffield Shield","2018/19",1150137,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","AM Hardie","Western Australia",NA,"136"
"JM Bird",2022-11-24,"Victoria","Tasmania",42,16,67,8,1.5952380952381,210,"Sheffield Shield","2022/23",1322410,"Melbourne Cricket Ground","Melbourne","Victoria","Tasmania","Tasmania","field","JM Bird","Tasmania","4",NA
"JM Bird",2021-03-20,"New South Wales","Tasmania",25,9,73,8,2.92,122,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"MG Neser",2019-03-20,"Western Australia","Queensland",35.1,13,76,8,2.16113744075829,176,"Sheffield Shield","2018/19",1150137,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","AM Hardie","Western Australia",NA,"136"
"CP Tremain",2023-10-26,"Victoria","New South Wales",38.5,9,82,8,2.11158798283262,182,"Sheffield Shield","2023/24",1391776,"Melbourne Cricket Ground","Melbourne","Victoria","New South Wales","New South Wales","field","F O'Neill","Victoria",NA,"205"
