"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","match_referee","outcome","winner","winner_runs","winner_wickets","tv_umpire","winner_innings","reserve_umpire"
1036431,6,"Victoria","South Australia","male","2016/17",2017-03-26,"Sheffield Shield",NA,"Traeger Park, Alice Springs","Alice Springs","Victoria","bat","JM Holland","SD Fry","P Wilson","RW Stratford","draw",NA,NA,NA,"SJ Nogajski",NA,NA
1118866,6,"South Australia","New South Wales","male","2017/18",2017-10-27,"Sheffield Shield","3","Adelaide Oval","Adelaide","South Australia","bat","MA Starc","SJ Nogajski","JD Ward","DJ Harper",NA,"New South Wales",NA,6,NA,NA,NA
1118870,6,"Tasmania","Victoria","male","2017/18",2017-11-13,"Sheffield Shield","7","Melbourne Cricket Ground","Melbourne","Tasmania","bat","AJ Doolan","SJ Nogajski","DM Koch","D Talalla","draw",NA,NA,NA,NA,NA,NA
1118871,6,"Queensland","New South Wales","male","2017/18",2017-11-13,"Sheffield Shield","8","Allan Border Field, Brisbane","Brisbane","Queensland","bat","DP Hughes","SA Lightbody","PJ Gillespie","DJ Harper",NA,"New South Wales",NA,6,NA,NA,NA
1118878,6,"South Australia","Queensland","male","2017/18",2017-12-03,"Sheffield Shield","15","Cazaly's Stadium, Cairns","Cairns","South Australia","bat","JA Burns","GC Joshua","DM Koch","DJ Harper","draw",NA,NA,NA,NA,NA,NA
1118881,6,"New South Wales","Western Australia","male","2017/18",2018-02-08,"Sheffield Shield","18","Western Australia Cricket Association Ground, Perth","Perth","New South Wales","bat","SP Mackin","AK Wilds","SA Lightbody","RL Parry",NA,"Western Australia",NA,4,NA,NA,NA
1118882,6,"Tasmania","Western Australia","male","2017/18",2018-02-16,"Sheffield Shield","19","Bellerive Oval, Hobart","Hobart","Western Australia","field","MS Wade","GJ Davidson","A Deshmukh","DJ Harper",NA,"Tasmania",87,NA,NA,"1",NA
1118885,6,"New South Wales","Tasmania","male","2017/18",2018-02-24,"Sheffield Shield","22","Sydney Cricket Ground","Sydney","New South Wales","bat","BJ Webster","SJ Nogajski","JD Ward","PL Marshall","draw",NA,NA,NA,NA,NA,NA
1118887,6,"Queensland","South Australia","male","2017/18",2018-02-25,"Sheffield Shield","24","Adelaide Oval","Adelaide","South Australia","field","MT Renshaw","SA Lightbody","SAJ Craig","SR Bernard",NA,"Queensland",118,NA,NA,NA,NA
1118893,6,"Western Australia","South Australia","male","2017/18",2018-03-14,"Sheffield Shield","30","Gliderol Stadium, Adelaide","Adelaide","South Australia","field","HWR Cartwright","GJ Davidson","GA Abood","RW Stratford",NA,"Western Australia",241,NA,NA,NA,NA
