"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"CP Tremain","New South Wales","2023/24","Sheffield Shield",18,318.4,82,795,50,15.9,2.49476987447699,38.24,1517,3,3,"6/20"
"N McAndrew","South Australia","2023/24","Sheffield Shield",17,317,78,892,48,18.5833333333333,2.81388012618297,39.625,1503,1,4,"6/41"
"CJ Rocchiccioli","Western Australia","2023/24","Sheffield Shield",21,437,103,1270,46,27.6086956521739,2.90617848970252,57,1953,5,0,"4/48"
"GT Bell","Tasmania","2023/24","Sheffield Shield",16,299.2,77,836,42,19.9047619047619,2.79287305122494,42.7619047619048,1409,3,2,"6/39"
"W Sutherland","Victoria","2022/23","Sheffield Shield",18,309,79,817,41,19.9268292682927,2.64401294498382,45.219512195122,1479,4,2,"5/58"
"MG Neser","Queensland","2022/23","Sheffield Shield",15,271.3,76,667,40,16.675,2.45672191528545,40.725,1327,3,2,"5/36"
"F O'Neill","Victoria","2023/24","Sheffield Shield",17,292,94,690,40,17.25,2.36301369863014,43.8,1429,1,3,"5/28"
"NM Lyon","New South Wales","2020/21","Sheffield Shield",13,364.3,72,1014,40,25.35,2.78189300411523,54.675,1658,2,3,"6/21"
"JS Paris","Western Australia","2023/24","Sheffield Shield",15,238.2,71,593,39,15.2051282051282,2.48811188811189,36.6666666666667,1171,1,2,"6/74"
"MT Steketee","Queensland","2022/23","Sheffield Shield",16,265.5,84,717,38,18.8684210526316,2.69717868338558,41.9736842105263,1306,2,2,"6/38"
"JM Bird","Tasmania","2018/19","Sheffield Shield",14,281.5,74,774,38,20.3684210526316,2.74630396215257,44.5,1339,1,4,"7/59"
"WA Agar","South Australia","2022/23","Sheffield Shield",16,317,59,985,36,27.3611111111111,3.10725552050473,52.8333333333333,1443,2,1,"5/54"
"M Kelly","Western Australia","2022/23","Sheffield Shield",16,254.2,73,552,35,15.7714285714286,2.17038007863696,43.6,1266,3,1,"5/34"
"JM Bird","Tasmania","2020/21","Sheffield Shield",15,298.4,86,776,35,22.1714285714286,2.59821428571429,51.2,1443,2,1,"7/18"
"MT Steketee","Queensland","2023/24","Sheffield Shield",16,254.3,63,878,35,25.0857142857143,3.44990176817289,43.6285714285714,1157,3,0,"4/42"
"SM Boland","Victoria","2023/24","Sheffield Shield",11,228.2,71,521,34,15.3235294117647,2.28175182481752,40.2941176470588,1115,4,1,"5/41"
"CJ Gannon","Queensland","2019/20","Marsh Sheffield Shield",14,271,87,713,34,20.9705882352941,2.6309963099631,47.8235294117647,1342,4,1,"5/94"
"MT Steketee","Queensland","2021/22","Sheffield Shield",12,209.2,59,574,32,17.9375,2.74203821656051,39.25,1020,1,2,"7/44"
"B Doggett","South Australia","2023/24","Sheffield Shield",12,187.2,37,701,32,21.90625,3.74199288256228,35.125,844,3,0,"4/36"
"MJ Swepson","Queensland","2020/21","Sheffield Shield",10,288.4,71,749,32,23.40625,2.59468822170901,54.125,1368,2,3,"5/55"
"LR Morris","Western Australia","2022/23","Sheffield Shield",11,184.1,38,619,31,19.9677419354839,3.36108597285068,35.6451612903226,857,3,1,"5/36"
"GS Sandhu","Queensland","2023/24","Sheffield Shield",16,298.4,67,805,31,25.9677419354839,2.6953125,57.8064516129032,1430,1,1,"5/77"
"JM Bird","Tasmania","2022/23","Sheffield Shield",16,310.1,87,805,31,25.9677419354839,2.59537882858678,60.0322580645161,1485,5,0,"4/13"
"BJ Webster","Tasmania","2023/24","Sheffield Shield",20,287,57,879,30,29.3,3.06271777003484,57.4,1330,1,0,"4/32"
"MJ Swepson","Queensland","2023/24","Sheffield Shield",18,308,52,962,30,32.0666666666667,3.12337662337662,61.6,1348,0,1,"5/39"
"MG Neser","Queensland","2019/20","Marsh Sheffield Shield",10,203.3,69,507,29,17.4827586206897,2.49140049140049,42.1034482758621,1008,2,1,"5/56"
"M Perry","Victoria","2022/23","Sheffield Shield",16,245.2,49,751,29,25.8965517241379,3.06114130434783,50.7586206896552,1153,3,1,"5/64"
"CJ Gannon","Western Australia","2023/24","Sheffield Shield",12,170,37,523,28,18.6785714285714,3.07647058823529,36.4285714285714,798,0,2,"5/23"
"N McAndrew","South Australia","2022/23","Sheffield Shield",15,263.4,56,853,28,30.4642857142857,3.23514538558786,56.5,1179,1,2,"6/97"
