"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashok",12,34,39,87.1794871794872,6.8,3,0,7,0,0,9
"A Verma",15,92,101,91.0891089108911,10.2222222222222,7,1,6,0,0,22
"AF Milne",10,87,73,119.178082191781,14.5,7,3,4,0,0,22
"AJ Hose",6,195,147,132.65306122449,48.75,16,4,2,0,2,54
"AJ Redmond",3,50,44,113.636363636364,16.6666666666667,4,3,0,0,0,41
"AK Kitchen",42,805,603,133.499170812604,21.1842105263158,61,35,4,0,3,57
"AM Ellis",19,266,249,106.827309236948,17.7333333333333,20,7,4,0,0,40
"AP Devcich",33,902,569,158.523725834798,31.1034482758621,106,39,4,1,6,102
"AT Nidamanuru",1,6,4,150,Inf,1,0,1,0,0,6
"ATE Hazeldine",6,25,22,113.636363636364,4.16666666666667,2,1,0,0,0,9
"AW McKenzie",12,52,53,98.1132075471698,8.66666666666667,3,2,6,0,0,12
"AY Patel",27,116,119,97.4789915966387,8.28571428571429,5,3,13,0,0,13
"B Wheeler-Greenall",2,12,16,75,Inf,1,0,2,0,0,7
"BA Raine",3,60,38,157.894736842105,30,4,3,1,0,0,33
"BA Stokes",3,133,76,175,44.3333333333333,10,8,0,0,1,93
"BG Lister",14,67,56,119.642857142857,16.75,5,2,10,0,0,17
"BG Randell",7,33,29,113.793103448276,11,3,0,4,0,0,10
"BJ Arnel",2,0,0,NA,NA,0,0,2,0,0,0
"BJ Diamanti",1,0,6,0,0,0,0,0,0,0,0
"BJ Horne",37,507,379,133.77308707124,16.3548387096774,39,24,6,0,2,63
"BJ Jacobs",6,134,71,188.732394366197,33.5,12,9,2,0,0,42
"BJ Small",16,116,102,113.725490196078,14.5,5,3,8,0,0,21
"BJ Watling",1,37,30,123.333333333333,37,2,2,0,0,0,37
"BL Wiggins",21,237,188,126.063829787234,11.85,27,7,1,0,0,45
"BM Johnson",3,5,4,125,5,0,0,2,0,0,5
"BM Tickner",12,41,33,124.242424242424,10.25,3,2,8,0,0,22
"BM Wheeler",23,236,176,134.090909090909,16.8571428571429,12,14,9,0,0,47
"BNJ Lockrose",11,148,88,168.181818181818,21.1428571428571,14,8,4,0,1,58
"BP Coburn",5,44,52,84.6153846153846,14.6666666666667,3,0,2,0,0,12
"BP Rodden",2,11,11,100,5.5,1,0,0,0,0,6
"BR Hampton",50,709,569,124.604569420035,15.7555555555556,49,38,5,0,2,64
"BS Smith",19,416,349,119.19770773639,26,44,12,3,0,2,80
"BS Wilson",11,190,142,133.802816901408,23.75,17,6,3,0,0,32
"BV Sears",10,32,28,114.285714285714,10.6666666666667,1,0,7,0,0,12
"C Munro",17,436,292,149.315068493151,25.6470588235294,64,15,0,0,2,68
"C Viljoen",6,18,23,78.2608695652174,3,2,0,0,0,0,9
"C de Grandhomme",17,301,210,143.333333333333,23.1538461538462,16,20,4,0,2,86
"CD Fletcher",59,1452,1052,138.022813688213,42.7058823529412,91,67,25,0,9,74
"CD Nash",1,13,12,108.333333333333,13,2,0,0,0,0,13
"CE McConchie",67,1428,1126,126.820603907638,25.0526315789474,116,44,10,0,8,84
"CG Heaphy",3,64,60,106.666666666667,21.3333333333333,7,1,0,0,0,31
"CJ Anderson",15,269,219,122.831050228311,20.6923076923077,12,18,2,0,0,42
"CJ Borgas",1,0,4,0,0,0,0,0,0,0,0
"CJ Bowes",73,1943,1291,150.503485670023,28.5735294117647,234,60,5,0,15,95
"CJ Briggs",18,276,251,109.96015936255,16.2352941176471,22,10,1,0,1,50
"CJ Jordan",4,61,33,184.848484848485,30.5,3,5,2,0,0,29
"CK Leopard",24,339,259,130.888030888031,17.8421052631579,31,13,5,0,1,52
"CR McLachlan",11,107,123,86.9918699186992,10.7,12,0,1,0,0,24
"Craig Cachopa",26,582,430,135.348837209302,25.304347826087,40,31,3,0,3,73
"D Cleaver",63,1582,1167,135.561268209083,27.7543859649123,166,44,6,1,7,114
"D Foxcroft",36,1194,935,127.700534759358,42.6428571428571,107,39,8,0,10,82
"DAJ Bracewell",36,681,423,160.992907801418,29.6086956521739,49,40,13,0,3,93
"DC de Boorder",11,189,176,107.386363636364,21,12,6,2,0,1,50
"DG Brownlie",31,655,457,143.326039387309,22.5862068965517,73,20,2,0,3,99
"DJ Bell-Drummond",5,223,160,139.375,74.3333333333333,20,9,2,0,3,74
"DJ Grobbelaar",7,63,55,114.545454545455,15.75,4,2,3,0,0,23
"DJ Mitchell",42,1370,987,138.804457953394,40.2941176470588,89,59,8,0,9,88
"DK Ferns",11,110,69,159.420289855072,13.75,8,5,3,0,0,23
"DN Phillips",25,306,279,109.677419354839,16.1052631578947,22,9,6,0,1,65
"DP Conway",41,1632,1166,139.965694682676,52.6451612903226,190,36,10,2,12,105
"DR Flynn",24,345,234,147.435897435897,18.1578947368421,27,18,5,0,1,58
"EJ Nuttall",12,31,36,86.1111111111111,10.3333333333333,2,2,9,0,0,11
"F McGregor-Sumpter",3,21,35,60,10.5,0,1,1,0,0,10
"FH Allen",28,1078,559,192.844364937388,43.12,104,66,3,0,12,92
"FJ Colson",7,120,90,133.333333333333,20,11,4,1,0,0,37
"FJM Murray",1,2,3,66.6666666666667,2,0,0,0,0,0,2
"FL Walker",10,95,68,139.705882352941,13.5714285714286,9,4,3,0,0,27
"FW Sheat",2,0,3,0,0,0,0,0,0,0,0
"GD Phillips",43,955,662,144.259818731118,24.4871794871795,82,50,4,1,6,106
"GH Worker",62,1463,1151,127.106863596872,23.983606557377,152,54,1,1,6,106
"GJ Hopkins",1,24,14,171.428571428571,24,4,0,0,0,0,24
"GK Beghin",6,69,65,106.153846153846,11.5,6,2,0,0,0,32
"GR Hay",11,275,232,118.534482758621,25,28,5,0,0,3,76
"GR Severin",2,46,43,106.976744186047,23,4,1,0,0,0,41
"HB Shipley",21,333,239,139.330543933054,19.5882352941176,27,14,4,0,0,39
"HD Rutherford",63,1197,866,138.221709006928,19.3064516129032,135,48,1,0,5,82
"HJH Marshall",7,121,76,159.210526315789,17.2857142857143,22,0,0,0,0,43
"HK Bennett",6,19,17,111.764705882353,19,2,0,5,0,0,12
"HKP Boam",1,35,41,85.3658536585366,35,1,1,0,0,0,35
"HM Nicholls",17,535,378,141.534391534392,38.2142857142857,58,13,3,0,3,76
"HR Cooper",28,319,332,96.0843373493976,13.2916666666667,25,12,4,0,1,52
"IG Butler",1,23,10,230,Inf,2,2,1,0,0,23
"IG McPeake",3,6,11,54.5454545454545,3,1,0,1,0,0,6
"IS Sodhi",11,37,34,108.823529411765,7.4,3,0,6,0,0,9
"J McKenzie",1,8,5,160,8,0,1,0,0,0,8
"JA Clarkson",62,1323,889,148.818897637795,25.9411764705882,78,74,11,0,6,78
"JA Duffy",29,92,79,116.455696202532,6.13333333333333,6,3,14,0,0,16
"JA Raval",35,712,596,119.463087248322,21.5757575757576,72,19,2,0,6,70
"JCT Boyle",24,484,449,107.795100222717,21.0434782608696,48,4,1,0,2,69
"JD Gibson",19,228,183,124.590163934426,15.2,11,9,4,0,0,28
"JD Ryder",11,285,186,153.225806451613,25.9090909090909,28,17,0,0,3,84
"JD Sole",1,24,18,133.333333333333,Inf,2,1,1,0,0,24
"JDS Neesham",27,443,353,125.495750708215,20.1363636363636,30,17,5,0,0,49
"JF Carter",33,576,516,111.627906976744,22.1538461538462,49,17,7,0,3,76
"JFA Field",8,27,25,108,6.75,3,0,4,0,0,9
"JG Walker",7,27,34,79.4117647058823,5.4,1,1,2,0,0,16
"JJ Tasman-Jones",8,104,95,109.473684210526,13,11,4,0,0,0,35
"JJNP Bhula",3,44,49,89.7959183673469,22,3,1,1,0,0,35
"JK Fuller",1,0,0,NA,NA,0,0,1,0,0,0
"JL Finnie",38,541,401,134.912718204489,15.4571428571429,51,22,3,0,1,71
"JM Gibson",19,358,250,143.2,19.8888888888889,28,14,1,0,3,96
"JM McMillan",1,1,2,50,1,0,0,0,0,0,1
"JM Tashkoff",4,57,45,126.666666666667,14.25,6,1,0,0,0,22
"JM Vince",2,19,21,90.4761904761905,9.5,3,0,0,0,0,18
"JO Holder",1,5,5,100,5,1,0,0,0,0,5
"JR Lennox",6,46,43,106.976744186047,23,4,2,4,0,0,20
"JS Hunter",1,7,3,233.333333333333,Inf,0,1,1,0,0,7
"JS Patel",10,39,36,108.333333333333,4.33333333333333,3,1,1,0,0,10
"JT Todd",1,2,2,100,Inf,0,0,1,0,0,2
"JTA Benton",1,9,9,100,9,1,0,0,0,0,9
"K Noema-Barnett",22,316,255,123.921568627451,16.6315789473684,19,18,3,0,2,58
"KA Jamieson",14,201,157,128.025477707006,33.5,14,5,8,0,0,45
"KD Clarke",35,772,564,136.879432624113,22.7058823529412,88,28,1,0,2,73
"KDC Clarke",5,32,23,139.130434782609,10.6666666666667,1,2,2,0,0,11
"KJ Abbott",4,23,19,121.052631578947,11.5,2,1,2,0,0,14
"KJ McClure",27,473,338,139.940828402367,18.1923076923077,55,18,1,0,1,68
"KLD Vishvaka",4,11,18,61.1111111111111,2.75,0,1,0,0,0,7
"KS Williamson",3,192,137,140.14598540146,Inf,17,4,3,0,2,79
"L Delport",14,54,55,98.1818181818182,4.5,4,2,2,0,0,11
"L Ronchi",7,195,115,169.565217391304,27.8571428571429,15,12,0,1,0,102
"LC Johnson",32,459,387,118.604651162791,14.8064516129032,28,23,1,0,1,72
"LH Ferguson",11,112,86,130.232558139535,14,7,7,3,0,0,30
"LI Georgeson",4,53,49,108.163265306122,13.25,4,3,0,0,0,30
"LJ Carter",51,923,744,124.059139784946,24.2894736842105,66,34,13,0,4,88
"LJ Woodcock",11,198,162,122.222222222222,28.2857142857143,12,5,4,0,1,63
"LR Johns",3,30,27,111.111111111111,15,2,1,1,0,0,19
"LRPL Taylor",12,255,191,133.507853403141,23.1818181818182,12,18,1,0,2,65
"LV van Beek",39,507,351,144.444444444444,24.1428571428571,45,20,18,0,2,61
"M Renwick",7,105,96,109.375,15,3,3,0,0,0,42
"MA Abbas",9,206,163,126.38036809816,22.8888888888889,13,11,0,0,1,72
"MA Pollard",25,493,394,125.126903553299,21.4347826086957,39,23,2,0,3,70
"MB Bacon",8,39,38,102.631578947368,13,1,2,5,0,0,15
"MB McEwan",1,1,4,25,1,0,0,0,0,0,1
"MD Craig",2,20,19,105.263157894737,10,0,1,0,0,0,19
"MD Rae",13,54,38,142.105263157895,13.5,10,0,9,0,0,16
"MG Bracewell",52,1330,967,137.538779731127,33.25,101,59,12,1,8,141
"MG Hughes",2,17,13,130.769230769231,8.5,2,1,0,0,0,12
"MHW Papps",1,0,4,0,0,0,0,0,0,0,0
"MJ Fisher",7,11,21,52.3809523809524,Inf,1,0,7,0,0,4
"MJ Gibson",2,10,11,90.9090909090909,10,2,0,1,0,0,8
"MJ Guptill",27,901,662,136.102719033233,40.9545454545455,85,40,5,0,6,85
