"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BM Tickner",57,"212.0",0,1853,81,22.8765432098765,8.74056603773585,15.7037037037037,536,2,0,"4/24"
"LV van Beek",63,"228.5",2,1874,70,26.7714285714286,8.18936635105608,19.6142857142857,520,1,0,"4/15"
"SC Kuggeleijn",59,"199.1",4,1694,67,25.2835820895522,8.50543933054393,17.8358208955224,516,2,0,"4/18"
"AY Patel",57,"201.2",0,1630,61,26.7213114754098,8.09602649006622,19.8032786885246,432,1,0,"4/24"
"JA Duffy",57,"202.4",2,1722,59,29.1864406779661,8.49671052631579,20.6101694915254,451,1,1,"5/39"
"NG Smith",44,"145.3",2,1196,56,21.3571428571429,8.21993127147766,15.5892857142857,360,2,1,"5/14"
"BG Lister",47,"160.3",2,1247,53,23.5283018867925,7.76947040498442,18.1698113207547,412,1,0,"4/26"
"EJ Nuttall",56,"179.3",1,1600,53,30.188679245283,8.91364902506964,20.3207547169811,413,0,0,"3/13"
"MD Rae",37,"120.4",0,1077,48,22.4375,8.92541436464088,15.0833333333333,263,0,0,"3/13"
"HK Bennett",43,"153.3",1,1223,48,25.4791666666667,7.96742671009772,19.1875,392,0,0,"3/15"
"CE McConchie",64,"182.0",0,1350,44,30.6818181818182,7.41758241758242,24.8181818181818,352,0,0,"3/18"
"JR Lennox",27,"95.3",0,703,43,16.3488372093023,7.36125654450262,13.3255813953488,216,2,0,"4/15"
"DAJ Bracewell",39,"142.3",2,1192,43,27.7209302325581,8.36491228070175,19.8837209302326,344,0,0,"3/19"
"KA Jamieson",26,"97.4",2,749,42,17.8333333333333,7.66894197952218,13.952380952381,274,1,1,"6/7"
"JDS Neesham",30,"91.4",0,786,42,18.7142857142857,8.57454545454545,13.0952380952381,185,1,0,"4/24"
"SHA Rance",34,"117.3",0,990,42,23.5714285714286,8.42553191489362,16.7857142857143,290,0,1,"5/19"
"MB Bacon",33,"109.0",1,978,41,23.8536585365854,8.97247706422018,15.9512195121951,242,2,1,"5/28"
"IS Sodhi",36,"133.5",0,997,41,24.3170731707317,7.44956413449564,19.5853658536585,261,0,0,"3/12"
"MJG Rippon",52,"184.4",1,1491,41,36.3658536585366,8.07400722021661,27.0243902439024,324,0,0,"3/32"
"PF Younghusband",43,"131.3",2,916,40,22.9,6.96577946768061,19.725,255,0,0,"3/19"
"A Verma",28,"96.4",0,809,39,20.7435897435897,8.36896551724138,14.8717948717949,209,0,0,"3/14"
"MJ McClenaghan",30,"111.0",0,1020,39,26.1538461538462,9.18918918918919,17.0769230769231,237,0,0,"3/23"
"OR Newton",34,"109.5",0,942,38,24.7894736842105,8.57663125948407,17.3421052631579,231,0,1,"5/45"
"MJ Henry",29,"110.2",1,898,37,24.2702702702703,8.13897280966767,17.8918918918919,280,0,0,"3/11"
"RM Hira",27,"95.0",0,760,36,21.1111111111111,8,15.8333333333333,172,1,0,"4/26"
"DJ Mitchell",39,"95.4",0,885,36,24.5833333333333,9.25087108013937,15.9444444444444,157,1,0,"4/32"
"TD Astle",44,"160.4",1,1125,36,31.25,7.00207468879668,26.7777777777778,328,0,0,"3/18"
"L Delport",30,"97.1",1,749,35,21.4,7.70840480274443,16.6571428571429,204,0,0,"3/16"
"WER Somerville",33,"108.5",0,911,34,26.7941176470588,8.37059724349158,19.2058823529412,216,0,0,"3/18"
"JG Walker",28,"88.0",0,631,33,19.1212121212121,7.17045454545455,16,173,1,0,"4/31"
"BV Sears",26,"82.0",3,640,33,19.3939393939394,7.80487804878049,14.9090909090909,225,2,0,"4/16"
"HB Shipley",28,"81.3",1,658,31,21.2258064516129,8.07361963190184,15.7741935483871,195,1,0,"4/23"
"LH Ferguson",19,"72.5",0,512,30,17.0666666666667,7.02974828375286,14.5666666666667,216,2,0,"4/14"
"DK Ferns",23,"72.3",0,685,30,22.8333333333333,9.44827586206897,14.5,155,0,0,"3/26"
"WSA Williams",35,"82.1",0,787,30,26.2333333333333,9.57809330628803,16.4333333333333,132,0,1,"5/12"
"R Ravindra",36,"112.0",0,861,30,28.7,7.6875,22.4,195,0,0,"3/32"
"BM Wheeler",32,"117.3",1,1016,29,35.0344827586207,8.6468085106383,24.3103448275862,278,1,0,"4/26"
"BJ Small",21,"68.2",2,567,27,21,8.29756097560976,15.1851851851852,166,1,0,"4/22"
"MJ Santner",23,"81.0",0,599,27,22.1851851851852,7.39506172839506,18,181,0,0,"3/16"
"AP Devcich",24,"83.0",0,603,27,22.3333333333333,7.26506024096386,18.4444444444444,175,2,0,"4/12"
"AM Ellis",25,"74.1",1,680,27,25.1851851851852,9.1685393258427,16.4814814814815,121,0,1,"5/16"
"BG Randell",25,"84.0",0,793,27,29.3703703703704,9.44047619047619,18.6666666666667,172,0,0,"3/29"
"SM Solia",42,"104.5",0,935,27,34.6296296296296,8.91891891891892,23.2962962962963,201,0,0,"2/8"
"ZGF Foulkes",16,"59.2",0,412,26,15.8461538461538,6.9438202247191,13.6923076923077,152,1,0,"4/23"
"JS Patel",18,"70.0",0,482,25,19.28,6.88571428571429,16.8,140,0,0,"3/16"
"AK Kitchen",42,"123.0",0,968,25,38.72,7.86991869918699,29.52,258,1,0,"4/11"
"BR Hampton",23,"48.2",1,412,24,17.1666666666667,8.52413793103448,12.0833333333333,100,0,0,"3/1"
"MG Bracewell",23,"66.3",0,509,24,21.2083333333333,7.65413533834586,16.625,129,1,0,"4/28"
"AW McKenzie",23,"66.5",1,536,24,22.3333333333333,8.01995012468828,16.7083333333333,148,1,0,"4/15"
"W O'Rourke",22,"71.3",0,563,24,23.4583333333333,7.87412587412587,17.875,189,1,0,"4/23"
"N Wagner",20,"71.4",1,630,24,26.25,8.7906976744186,17.9166666666667,175,0,0,"3/17"
"A Ashok",19,"64.2",1,456,21,21.7142857142857,7.0880829015544,18.3809523809524,140,0,0,"3/8"
"T Muller",14,"43.0",0,381,19,20.0526315789474,8.86046511627907,13.5789473684211,91,0,0,"3/33"
"TJG Pringle",17,"57.0",0,429,19,22.5789473684211,7.52631578947368,18,114,0,0,"3/23"
"JFA Field",20,"56.1",0,539,18,29.9444444444444,9.59643916913947,18.7222222222222,112,0,0,"2/26"
"TG Southee",11,"40.2",0,355,17,20.8823529411765,8.80165289256198,14.2352941176471,87,0,0,"3/20"
"TS Nethula",12,"42.1",0,390,17,22.9411764705882,9.24901185770751,14.8823529411765,66,0,1,"6/23"
"K Noema-Barnett",18,"44.4",0,379,16,23.6875,8.48507462686567,16.75,77,0,0,"3/10"
"AF Milne",13,"48.4",0,359,15,23.9333333333333,7.37671232876712,19.4666666666667,137,0,0,"3/12"
"TC Bruce",22,"46.0",0,390,15,26,8.47826086956522,18.4,81,0,0,"3/9"
"FL Walker",18,"59.1",0,428,15,28.5333333333333,7.23380281690141,23.6666666666667,134,0,0,"3/10"
"D Foxcroft",24,"58.2",0,512,15,34.1333333333333,8.77714285714286,23.3333333333333,100,0,1,"5/11"
"MJ Fisher",17,"52.0",1,504,14,36,9.69230769230769,22.2857142857143,123,0,0,"2/12"
"MR Quinn",10,"35.1",1,257,13,19.7692307692308,7.30805687203792,16.2307692307692,91,1,0,"4/20"
"RM ter Braak",12,"33.5",0,290,13,22.3076923076923,8.57142857142857,15.6153846153846,84,0,0,"3/26"
"JM Gibson",13,"42.0",0,342,13,26.3076923076923,8.14285714285714,19.3846153846154,78,0,0,"3/19"
"BNJ Lockrose",18,"62.2",0,499,13,38.3846153846154,8.00534759358289,28.7692307692308,121,0,0,"2/30"
"C Viljoen",7,"26.0",0,221,12,18.4166666666667,8.5,13,48,1,0,"4/23"
"RL Toole",8,"28.0",0,303,11,27.5454545454545,10.8214285714286,15.2727272727273,60,0,0,"3/23"
"BP Coburn",16,"49.0",0,409,11,37.1818181818182,8.3469387755102,26.7272727272727,83,1,0,"4/17"
"SR Patel",7,"28.0",0,198,10,19.8,7.07142857142857,16.8,56,0,0,"3/28"
"TA Boult",8,"28.5",0,224,10,22.4,7.76878612716763,17.3,77,0,0,"2/21"
"KDC Clarke",10,"35.3",1,303,10,30.3,8.53521126760563,21.3,81,0,0,"2/29"
"MS Chapman",18,"40.5",0,326,10,32.6,7.98367346938775,24.5,74,0,0,"2/15"
"LJ Woodcock",10,"28.0",0,218,9,24.2222222222222,7.78571428571429,18.6666666666667,51,0,0,"2/12"
"C Munro",12,"25.0",0,219,9,24.3333333333333,8.76,16.6666666666667,38,1,0,"4/15"
"MW Snedden",10,"28.0",0,243,9,27,8.67857142857143,18.6666666666667,47,0,0,"2/22"
"ATE Hazeldine",12,"38.3",0,322,9,35.7777777777778,8.36363636363636,25.6666666666667,112,0,0,"3/20"
"IG McPeake",12,"35.5",1,341,9,37.8888888888889,9.51627906976744,23.8888888888889,72,0,0,"3/35"
"DJ Grobbelaar",12,"40.5",0,344,9,38.2222222222222,8.42448979591837,27.2222222222222,65,0,0,"3/29"
"TG Johnston",8,"32.0",0,234,8,29.25,7.3125,24,64,0,0,"2/20"
"SM Curran",8,"28.0",0,255,8,31.875,9.10714285714286,21,59,0,0,"2/20"
"ZN Gibson",11,"33.0",0,269,8,33.625,8.15151515151515,24.75,73,0,0,"3/17"
"JA Clarkson",15,"31.4",0,296,8,37,9.34736842105263,23.75,64,0,0,"2/30"
"JK Fuller",2,"7.1",0,44,7,6.28571428571429,6.13953488372093,6.14285714285714,22,1,0,"4/24"
"WD Barnes",5,"18.0",0,167,7,23.8571428571429,9.27777777777778,15.4285714285714,38,0,0,"3/33"
"GD Phillips",8,"22.5",0,177,7,25.2857142857143,7.75182481751825,19.5714285714286,35,0,0,"2/11"
"RJ Watson",4,"10.3",0,103,6,17.1666666666667,9.80952380952381,10.5,22,0,0,"2/19"
"KJ Abbott",6,"21.2",1,156,6,26,7.3125,21.3333333333333,57,0,0,"2/19"
"JTA Benton",7,"20.0",0,160,6,26.6666666666667,8,20,24,0,0,"3/27"
"GH Worker",11,"17.4",0,168,5,33.6,9.50943396226415,21.2,31,0,0,"2/18"
"CJ Jordan",8,"30.0",0,232,5,46.4,7.73333333333333,36,63,0,0,"2/17"
