"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Ashok","A Verma",1,1,0,0,0,0,6,100,Inf
"A Ashok","AF Milne",9,4,0,0,1,0,13.5,225,Inf
"A Ashok","AW McKenzie",0,1,1,1,0,0,0,0,0
"A Ashok","BG Randell",1,1,0,0,0,0,6,100,Inf
"A Ashok","BNJ Lockrose",0,1,0,1,0,0,0,0,NA
"A Ashok","BR Hampton",1,2,1,1,0,0,3,50,1
"A Ashok","D Foxcroft",0,2,1,2,0,0,0,0,0
"A Ashok","HB Shipley",2,1,0,0,0,0,12,200,Inf
"A Ashok","HK Bennett",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Ashok","IS Sodhi",0,4,1,4,0,0,0,0,0
"A Ashok","JDS Neesham",1,2,0,1,0,0,3,50,Inf
"A Ashok","JM Gibson",5,4,0,2,1,0,7.5,125,Inf
"A Ashok","OR Newton",8,5,0,1,1,0,9.6,160,Inf
"A Ashok","RL Toole",0,2,1,2,0,0,0,0,0
"A Ashok","SC Kuggeleijn",2,4,0,2,0,0,3,50,Inf
"A Ashok","WSA Williams",2,2,0,0,0,0,6,100,Inf
"A Verma","AK Kitchen",1,4,0,3,0,0,1.5,25,Inf
"A Verma","AP Devcich",3,4,1,1,0,0,4.5,75,3
"A Verma","AW McKenzie",0,2,1,2,0,0,0,0,0
"A Verma","AY Patel",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Verma","BG Lister",1,1,0,0,0,0,6,100,Inf
"A Verma","BP Coburn",2,5,0,3,0,0,2.4,40,Inf
"A Verma","BV Sears",1,2,0,1,0,0,3,50,Inf
"A Verma","CE McConchie",2,2,0,0,0,0,6,100,Inf
"A Verma","DAJ Bracewell",2,2,0,0,0,0,6,100,Inf
"A Verma","DJ Mitchell",6,5,0,0,0,0,7.2,120,Inf
"A Verma","EJ Nuttall",0,1,1,1,0,0,0,0,0
"A Verma","IS Sodhi",0,1,0,1,0,0,0,0,NA
"A Verma","JA Duffy",13,12,1,4,1,0,6.5,108.333333333333,13
"A Verma","JDS Neesham",1,4,1,3,0,0,1.5,25,1
"A Verma","JL Finnie",5,4,0,1,0,0,7.5,125,Inf
"A Verma","JM Gibson",0,1,0,1,0,0,0,0,NA
"A Verma","K Noema-Barnett",1,2,1,1,0,0,3,50,1
"A Verma","LV van Beek",16,12,1,6,3,0,8,133.333333333333,16
"A Verma","MJ Henry",4,6,0,5,1,0,4,66.6666666666667,Inf
"A Verma","MJG Rippon",7,5,0,1,1,0,8.4,140,Inf
"A Verma","MS Chapman",7,3,0,1,0,1,14,233.333333333333,Inf
"A Verma","NG Smith",3,3,1,1,0,0,6,100,3
"A Verma","OR Newton",4,3,0,0,0,0,8,133.333333333333,Inf
"A Verma","PF Younghusband",2,4,0,2,0,0,3,50,Inf
"A Verma","SC Kuggeleijn",2,2,0,0,0,0,6,100,Inf
"A Verma","SHA Rance",8,4,0,1,1,0,12,200,Inf
"A Verma","TD Astle",0,3,0,3,0,0,0,0,NA
"A Verma","WSA Williams",0,1,1,1,0,0,0,0,0
"AF Milne","BG Lister",5,6,0,4,1,0,5,83.3333333333333,Inf
"AF Milne","BM Johnson",1,3,0,2,0,0,2,33.3333333333333,Inf
"AF Milne","BNJ Lockrose",14,12,1,5,0,1,7,116.666666666667,14
"AF Milne","D Foxcroft",1,2,0,1,0,0,3,50,Inf
"AF Milne","DAJ Bracewell",3,1,0,0,0,0,18,300,Inf
