"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"MG Bracewell",2022-01-08,"Wellington","Central Districts",2,141,65,11,11,216.923076923077,TRUE,"Super Smash","2021/22",1289625,"Pukekura Park, New Plymouth","New Plymouth","Central Districts","Wellington","Wellington","field",NA,"Wellington","2",NA
"TB Robinson",2023-12-21,"Wellington","Otago",1,139,64,10,10,217.1875,FALSE,"Super Smash","2023/24",1409475,"Basin Reserve, Wellington","Wellington","Wellington","Otago","Wellington","bat","TB Robinson","Wellington",NA,"74"
"D Cleaver",2021-11-28,"Central Districts","Otago",2,114,54,14,4,211.111111111111,TRUE,"Super Smash","2021/22",1289605,"University Oval, Dunedin","Dunedin","Otago","Central Districts","Otago","bat",NA,"Central Districts","5",NA
"TWM Latham",2019-01-19,"Canterbury","Central Districts",2,110,60,10,6,183.333333333333,FALSE,"Super Smash","2018/19",1160516,"McLean Park","Napier","Central Districts","Canterbury","Central Districts","bat",NA,"Central Districts",NA,"18"
"TL Seifert",2017-12-16,"Northern Districts","Auckland",1,107,42,9,9,254.761904761905,FALSE,"Super Smash","2017/18",1118537,"Bay Oval","Mount Maunganui","Northern Districts","Auckland","Northern Districts","bat",NA,"Northern Districts",NA,"7"
"GD Phillips",2019-12-14,"Auckland","Otago",2,106,61,8,6,173.770491803279,TRUE,"Super Smash","2019/20",1197742,"Eden Park Outer Oval","Auckland","Otago","Auckland","Otago","bat",NA,"Otago",NA,"13"
"GH Worker",2021-01-08,"Central Districts","Otago",1,106,58,6,8,182.758620689655,FALSE,"Super Smash","2020/21",1234007,"University Oval","Dunedin","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"53"
"DP Conway",2019-01-27,"Wellington","Otago",1,105,60,10,5,175,TRUE,"Super Smash","2018/19",1160520,"University Oval","Dunedin","Wellington","Otago","Wellington","bat",NA,"Wellington",NA,"11"
"AP Devcich",2020-12-30,"Northern Districts","Central Districts",2,102,49,7,9,208.163265306122,FALSE,"Super Smash","2020/21",1234001,"Pukekura Park","New Plymouth","Central Districts","Northern Districts","Central Districts","bat",NA,"Central Districts",NA,"45"
"L Ronchi",2017-12-24,"Wellington","Auckland",1,102,46,9,7,221.739130434783,FALSE,"Super Smash","2017/18",1118543,"Eden Park Outer Oval","Auckland","Wellington","Auckland","Auckland","field",NA,"Auckland","2",NA
"WA Young",2024-01-10,"Central Districts","Otago",1,101,63,10,3,160.31746031746,TRUE,"Super Smash","2023/24",1409492,"McLean Park, Napier","Napier","Central Districts","Otago","Otago","field","WA Young","Central Districts",NA,"52"
"MS Chapman",2018-01-01,"Auckland","Canterbury",1,101,58,3,6,174.137931034483,FALSE,"Super Smash","2017/18",1118551,"Hagley Oval","Christchurch","Auckland","Canterbury","Auckland","bat",NA,"Auckland",NA,"7"
"DP Conway",2020-01-06,"Wellington","Otago",2,101,49,15,3,206.122448979592,TRUE,"Super Smash","2019/20",1197763,"University Oval","Dunedin","Otago","Wellington","Otago","bat",NA,"Wellington","10",NA
"WA Young",2021-02-11,"Central Districts","Canterbury",1,101,47,1,10,214.893617021277,FALSE,"Super Smash","2020/21",1234027,"Eden Park Outer Oval","Auckland","Central Districts","Canterbury","Central Districts","bat",NA,"Canterbury","4",NA
"DG Brownlie",2018-12-22,"Northern Districts","Wellington",1,99,46,10,6,215.217391304348,FALSE,"Super Smash","2018/19",1160497,"Seddon Park","Hamilton","Northern Districts","Wellington","Wellington","field",NA,"Northern Districts",NA,"45"
"JM Gibson",2023-02-04,"Otago","Canterbury",2,96,63,9,4,152.380952380952,FALSE,"Super Smash","2022/23",1341221,"Hagley Oval, Christchurch","Christchurch","Canterbury","Otago","Otago","field",NA,"Otago","4",NA
"CJ Bowes",2020-01-14,"Canterbury","Otago",2,95,50,10,4,190,FALSE,"Super Smash","2019/20",1197770,"Hagley Oval","Christchurch","Otago","Canterbury","Otago","bat",NA,"Canterbury","6",NA
"DP Conway",2021-02-13,"Wellington","Canterbury",2,93,63,11,1,147.619047619048,TRUE,"Super Smash","2020/21",1234028,"Basin Reserve","Wellington","Canterbury","Wellington","Wellington","field",NA,"Wellington","5",NA
"NT Broom",2019-12-14,"Otago","Auckland",1,93,57,7,6,163.157894736842,FALSE,"Super Smash","2019/20",1197742,"Eden Park Outer Oval","Auckland","Otago","Auckland","Otago","bat",NA,"Otago",NA,"13"
"BA Stokes",2017-12-14,"Canterbury","Otago",1,93,47,6,7,197.872340425532,FALSE,"Super Smash","2017/18",1118535,"Hagley Oval","Christchurch","Canterbury","Otago","Canterbury","bat",NA,"Canterbury",NA,"134"
"TC Bruce",2021-12-31,"Central Districts","Canterbury",1,93,36,8,8,258.333333333333,TRUE,"Super Smash","2021/22",1289622,"Pukekura Park, New Plymouth","New Plymouth","Central Districts","Canterbury","Central Districts","bat",NA,"Canterbury","5",NA
"DAJ Bracewell",2023-12-27,"Central Districts","Northern Districts",1,93,33,11,5,281.818181818182,TRUE,"Super Smash","2023/24",1409479,"Fitzherbert Park, Palmerston North","Palmerston North","Central Districts","Northern Districts","Northern Districts","field","DAJ Bracewell","Central Districts",NA,"56"
"FH Allen",2021-01-14,"Wellington","Otago",2,92,43,5,8,213.953488372093,TRUE,"Super Smash","2020/21",1234011,"University Oval","Dunedin","Otago","Wellington","Otago","bat",NA,"Wellington","5",NA
"MJ Santner",2022-01-29,"Northern Districts","Canterbury",1,92,40,4,9,230,TRUE,"Super Smash","2021/22",1289634,"Seddon Park, Hamilton","Hamilton","Northern Districts","Canterbury","Canterbury","field",NA,"Northern Districts",NA,"56"
"DP Conway",2021-02-07,"Wellington","Auckland",1,91,58,7,4,156.896551724138,TRUE,"Super Smash","2020/21",1234026,"Eden Park Outer Oval","Auckland","Wellington","Auckland","Wellington","bat",NA,"Wellington",NA,"39"
"FH Allen",2021-01-01,"Wellington","Northern Districts",2,91,50,7,5,182,TRUE,"Super Smash","2020/21",1234003,"Bay Oval","Mount Maunganui","Northern Districts","Wellington","Wellington","field",NA,"Wellington","9",NA
"CJ Bowes",2020-01-01,"Canterbury","Auckland",1,90,42,9,6,214.285714285714,FALSE,"Super Smash","2019/20",1197757,"Eden Park Outer Oval","Auckland","Canterbury","Auckland","Auckland","field",NA,"Auckland","7",NA
"CJ Bowes",2023-01-27,"Canterbury","Central Districts",1,89,52,12,3,171.153846153846,FALSE,"Super Smash","2022/23",1341216,"Hagley Oval, Christchurch","Christchurch","Canterbury","Central Districts","Central Districts","field",NA,"Canterbury",NA,"58"
"DP Conway",2019-12-27,"Wellington","Central Districts",1,89,50,11,4,178,FALSE,"Super Smash","2019/20",1197752,"Pukekura Park","New Plymouth","Wellington","Central Districts","Central Districts","field",NA,"Wellington",NA,"42"
"WA Young",2019-01-19,"Central Districts","Canterbury",1,89,50,8,3,178,TRUE,"Super Smash","2018/19",1160516,"McLean Park","Napier","Central Districts","Canterbury","Central Districts","bat",NA,"Central Districts",NA,"18"
