"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"KA Jamieson",2019-01-01,"Auckland","Canterbury",1,"4.0",0,7,6,1.75,19,"Super Smash","2018/19",1160505,"Eden Park Outer Oval","Auckland","Auckland","Canterbury","Canterbury","field",NA,"Canterbury","5",NA
"TS Nethula",2019-01-25,"Central Districts","Northern Districts",2,"3.1",0,23,6,7.26315789473684,6,"Super Smash","2018/19",1160518,"McLean Park","Napier","Northern Districts","Central Districts","Central Districts","field",NA,"Northern Districts",NA,"131"
"D Foxcroft",2022-12-29,"Auckland","Otago",2,"4.0",0,11,5,2.75,14,"Super Smash","2022/23",1341199,"John Davies Oval, Queenstown","Queenstown","Otago","Auckland","Auckland","field",NA,"Otago",NA,"37"
"WSA Williams",2020-01-09,"Wellington","Canterbury",2,"2.0",0,12,5,6,5,"Super Smash","2019/20",1197765,"Basin Reserve","Wellington","Canterbury","Wellington","Canterbury","bat",NA,"Canterbury",NA,"3"
"NG Smith",2019-12-16,"Northern Districts","Otago",2,"3.4",0,14,5,3.81818181818182,13,"Super Smash","2019/20",1197744,"Seddon Park","Hamilton","Otago","Northern Districts","Northern Districts","field",NA,"Otago",NA,"43"
"AM Ellis",2017-12-26,"Otago","Canterbury",1,"4.0",0,16,5,4,13,"Super Smash","2017/18",1118545,"Molyneux Park","Alexandra","Otago","Canterbury","Otago","bat",NA,"Canterbury","6",NA
"SHA Rance",2021-12-18,"Otago","Central Districts",2,"3.5",0,19,5,4.95652173913043,13,"Super Smash","2021/22",1289613,"McLean Park, Napier","Napier","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"53"
"MB Bacon",2023-01-21,"Central Districts","Otago",2,"4.0",0,28,5,7,12,"Super Smash","2022/23",1341213,"Saxton Oval, Nelson","Nelson","Otago","Central Districts","Central Districts","field",NA,"Otago",NA,"4"
"JA Duffy",2017-12-14,"Canterbury","Otago",1,"4.0",0,39,5,9.75,10,"Super Smash","2017/18",1118535,"Hagley Oval","Christchurch","Canterbury","Otago","Canterbury","bat",NA,"Canterbury",NA,"134"
"OR Newton",2019-12-27,"Central Districts","Wellington",2,"4.0",0,45,5,11.25,10,"Super Smash","2019/20",1197752,"Pukekura Park","New Plymouth","Wellington","Central Districts","Central Districts","field",NA,"Wellington",NA,"42"
"NG Smith",2023-12-28,"Otago","Wellington",1,"4.0",1,5,4,1.25,21,"Super Smash","2023/24",1409480,"Molyneux Park, Alexandra","Alexandra","Otago","Wellington","Otago","bat","NG Smith","Wellington","9",NA
"AK Kitchen",2022-01-15,"Auckland","Otago",2,"4.0",0,11,4,2.75,16,"Super Smash","2021/22",1289627,"Eden Park, Auckland","Auckland","Otago","Auckland","Otago","bat",NA,"Auckland","1",NA
"AP Devcich",2017-12-23,"Otago","Northern Districts",2,"3.0",0,12,4,4,10,"Super Smash","2017/18",1118542,"Seddon Park","Hamilton","Northern Districts","Otago","Otago","field",NA,"Northern Districts",NA,"106"
"LH Ferguson",2024-01-12,"Northern Districts","Auckland",1,"4.0",0,14,4,3.5,14,"Super Smash","2023/24",1409494,"Bay Oval, Mount Maunganui","Mount Maunganui","Northern Districts","Auckland","Northern Districts","bat","LH Ferguson","Auckland","8",NA
"AW McKenzie",2023-02-04,"Otago","Canterbury",2,"3.3",1,15,4,4.28571428571429,15,"Super Smash","2022/23",1341221,"Hagley Oval, Christchurch","Christchurch","Canterbury","Otago","Otago","field",NA,"Otago","4",NA
"C Munro",2019-01-18,"Wellington","Auckland",1,"4.0",0,15,4,3.75,11,"Super Smash","2018/19",1160515,"Basin Reserve","Wellington","Wellington","Auckland","Wellington","bat",NA,"Auckland","6",NA
"JR Lennox",2023-12-27,"Northern Districts","Central Districts",2,"4.0",0,15,4,3.75,15,"Super Smash","2023/24",1409479,"Fitzherbert Park, Palmerston North","Palmerston North","Central Districts","Northern Districts","Northern Districts","field","DAJ Bracewell","Central Districts",NA,"56"
"LV van Beek",2023-02-05,"Auckland","Wellington",1,"4.0",0,15,4,3.75,14,"Super Smash","2022/23",1341222,"Basin Reserve, Wellington","Wellington","Auckland","Wellington","Wellington","field",NA,"Auckland",NA,"9"
"BV Sears",2019-01-06,"Canterbury","Wellington",2,"4.0",0,16,4,4,17,"Super Smash","2018/19",1160508,"Basin Reserve","Wellington","Wellington","Canterbury","Canterbury","field",NA,"Wellington",NA,"65"
"BP Coburn",2019-12-23,"Central Districts","Canterbury",2,"4.0",0,17,4,4.25,9,"Super Smash","2019/20",1197751,"McLean Park","Napier","Canterbury","Central Districts","Canterbury","bat",NA,"Canterbury",NA,"30"
"SC Kuggeleijn",2019-01-06,"Auckland","Northern Districts",2,"4.0",0,18,4,4.5,15,"Super Smash","2018/19",1160506,"Seddon Park","Hamilton","Northern Districts","Auckland","Northern Districts","bat",NA,"Northern Districts",NA,"2"
"JA Duffy",2024-01-06,"Northern Districts","Otago",1,"3.3",0,19,4,5.42857142857143,12,"Super Smash","2023/24",1409488,"Seddon Park, Hamilton","Hamilton","Northern Districts","Otago","Northern Districts","bat","GD Phillips","Otago","8",NA
"LH Ferguson",2021-12-29,"Otago","Auckland",1,"4.0",0,19,4,4.75,14,"Super Smash","2021/22",1289620,"John Davies Oval, Queenstown","Queenstown","Otago","Auckland","Otago","bat",NA,"Auckland","8",NA
"MR Quinn",2019-01-26,"Canterbury","Auckland",1,"4.0",0,20,4,5,11,"Super Smash","2018/19",1160519,"Hagley Oval","Christchurch","Canterbury","Auckland","Canterbury","bat",NA,"Auckland","9",NA
"BV Sears",2021-01-24,"Otago","Wellington",1,"4.0",0,21,4,5.25,14,"Super Smash","2020/21",1234018,"Basin Reserve","Wellington","Otago","Wellington","Wellington","field",NA,"Wellington","4",NA
"BJ Small",2024-01-08,"Wellington","Central Districts",2,"4.0",1,22,4,5.5,13,"Super Smash","2023/24",1409490,"McLean Park, Napier","Napier","Central Districts","Wellington","Central Districts","bat","MA Abbas","Wellington","4",NA
"C Viljoen",2018-12-28,"Wellington","Otago",2,"4.0",0,23,4,5.75,11,"Super Smash","2018/19",1160501,"Basin Reserve","Wellington","Otago","Wellington","Otago","bat",NA,"Otago",NA,"1"
"HB Shipley",2022-01-23,"Otago","Canterbury",1,"4.0",0,23,4,5.75,12,"Super Smash","2021/22",1289631,"University Oval, Dunedin","Dunedin","Otago","Canterbury","Otago","bat",NA,"Canterbury","8",NA
"KA Jamieson",2019-02-02,"Otago","Canterbury",2,"3.2",0,23,4,6.9,10,"Super Smash","2018/19",1160522,"Hagley Oval","Christchurch","Canterbury","Otago","Otago","field",NA,"Canterbury",NA,"30"
"W O'Rourke",2024-01-18,"Northern Districts","Canterbury",2,"4.0",0,23,4,5.75,14,"Super Smash","2023/24",1409499,"Seddon Park, Hamilton","Hamilton","Canterbury","Northern Districts","Northern Districts","field","W O'Rourke","Canterbury",NA,"90"
"ZGF Foulkes",2023-01-13,"Northern Districts","Canterbury",2,"4.0",0,23,4,5.75,13,"Super Smash","2022/23",1341209,"Hagley Oval, Christchurch","Christchurch","Canterbury","Northern Districts","Northern Districts","field",NA,"Canterbury",NA,"48"
"AY Patel",2024-01-10,"Otago","Central Districts",2,"4.0",0,24,4,6,11,"Super Smash","2023/24",1409492,"McLean Park, Napier","Napier","Central Districts","Otago","Otago","field","WA Young","Central Districts",NA,"52"
"BM Tickner",2017-12-27,"Northern Districts","Central Districts",2,"4.0",0,24,4,6,12,"Super Smash","2017/18",1118546,"Bay Oval","Mount Maunganui","Central Districts","Northern Districts","Central Districts","bat",NA,"Central Districts",NA,"49"
"JDS Neesham",2018-12-28,"Otago","Wellington",1,"4.0",0,24,4,6,8,"Super Smash","2018/19",1160501,"Basin Reserve","Wellington","Otago","Wellington","Otago","bat",NA,"Otago",NA,"1"
"JK Fuller",2013-01-20,"Wellington","Otago",1,"4.0",0,24,4,6,12,"HRV Cup","2012/13",580784,"University Oval","Dunedin","Wellington","Otago","Wellington","bat",NA,"Otago","4",NA
"BG Lister",2024-01-04,"Wellington","Auckland",2,"3.3",0,26,4,7.42857142857143,14,"Super Smash","2023/24",1409486,"Eden Park Outer Oval, Auckland","Auckland","Auckland","Wellington","Wellington","field","MJ Guptill","Auckland",NA,"53"
"BM Tickner",2020-01-07,"Canterbury","Central Districts",2,"4.0",0,26,4,6.5,13,"Super Smash","2019/20",1197764,"Hagley Oval","Christchurch","Central Districts","Canterbury","Central Districts","bat",NA,"Central Districts",NA,"17"
"BM Wheeler",2019-01-10,"Otago","Central Districts",2,"4.0",0,26,4,6.5,14,"Super Smash","2018/19",1160510,"McLean Park","Napier","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"54"
"RM Hira",2018-01-10,"Canterbury","Auckland",1,"4.0",0,26,4,6.5,13,"Super Smash","2017/18",1118559,"Eden Park Outer Oval","Auckland","Canterbury","Auckland","Auckland","field",NA,"Auckland","4",NA
"AP Devcich",2018-12-22,"Wellington","Northern Districts",2,"4.0",0,27,4,6.75,8,"Super Smash","2018/19",1160497,"Seddon Park","Hamilton","Northern Districts","Wellington","Wellington","field",NA,"Northern Districts",NA,"45"
"JR Lennox",2023-01-29,"Otago","Central Districts",2,"4.0",0,28,4,7,8,"Super Smash","2022/23",1341218,"University Oval, Dunedin","Dunedin","Central Districts","Otago","Otago","field",NA,"Otago","4",NA
"MG Bracewell",2021-01-09,"Northern Districts","Wellington",2,"3.0",0,28,4,9.33333333333333,6,"Super Smash","2020/21",1234008,"Basin Reserve","Wellington","Wellington","Northern Districts","Northern Districts","field",NA,"Wellington",NA,"80"
"JG Walker",2021-12-17,"Auckland","Northern Districts",1,"4.0",0,31,4,7.75,10,"Super Smash","2021/22",1289612,"Seddon Park, Hamilton","Hamilton","Auckland","Northern Districts","Northern Districts","field",NA,"Northern Districts","4",NA
"MB Bacon",2018-01-09,"Central Districts","Otago",1,"4.0",0,31,4,7.75,11,"Super Smash","2017/18",1118558,"Queen's Park","Invercargill","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"118"
"MB Bacon",2018-01-14,"Auckland","Otago",1,"4.0",1,31,4,7.75,10,"Super Smash","2017/18",1118563,"Eden Park Outer Oval","Auckland","Auckland","Otago","Otago","field",NA,"Otago","2",NA
"DJ Mitchell",2019-12-16,"Otago","Northern Districts",1,"4.0",0,32,4,8,8,"Super Smash","2019/20",1197744,"Seddon Park","Hamilton","Otago","Northern Districts","Northern Districts","field",NA,"Otago",NA,"43"
"NG Smith",2021-01-18,"Central Districts","Otago",2,"4.0",0,32,4,8,11,"Super Smash","2020/21",1234015,"Pukekura Park, New Plymouth","New Plymouth","Otago","Central Districts","Central Districts","field",NA,"Central Districts","5",NA
"SC Kuggeleijn",2021-12-17,"Auckland","Northern Districts",1,"4.0",0,34,4,8.5,11,"Super Smash","2021/22",1289612,"Seddon Park, Hamilton","Hamilton","Auckland","Northern Districts","Northern Districts","field",NA,"Northern Districts","4",NA
"BR Hampton",2023-01-13,"Canterbury","Northern Districts",1,"2.0",1,1,3,0.5,11,"Super Smash","2022/23",1341209,"Hagley Oval, Christchurch","Christchurch","Canterbury","Northern Districts","Northern Districts","field",NA,"Canterbury",NA,"48"
"A Ashok",2021-12-24,"Wellington","Auckland",2,"4.0",1,8,3,2,17,"Super Smash","2021/22",1289616,"Basin Reserve, Wellington","Wellington","Auckland","Wellington","Auckland","bat",NA,"Auckland",NA,"13"
"TC Bruce",2021-12-18,"Otago","Central Districts",2,"2.0",0,9,3,4.5,5,"Super Smash","2021/22",1289613,"McLean Park, Napier","Napier","Central Districts","Otago","Otago","field",NA,"Central Districts",NA,"53"
"FL Walker",2021-12-20,"Auckland","Northern Districts",1,"2.2",0,10,3,4.28571428571429,7,"Super Smash","2021/22",1289604,"Eden Park Outer Oval, Auckland","Auckland","Auckland","Northern Districts","Northern Districts","field",NA,"Northern Districts","6",NA
"K Noema-Barnett",2019-12-13,"Northern Districts","Central Districts",2,"2.0",0,10,3,5,7,"Super Smash","2019/20",1197741,"McLean Park","Napier","Central Districts","Northern Districts","Central Districts","bat",NA,"Central Districts",NA,"120"
"JDS Neesham",2021-01-09,"Northern Districts","Wellington",2,"3.0",0,11,3,3.66666666666667,11,"Super Smash","2020/21",1234008,"Basin Reserve","Wellington","Wellington","Northern Districts","Northern Districts","field",NA,"Wellington",NA,"80"
"MJ Henry",2021-12-10,"Central Districts","Canterbury",2,"4.0",0,11,3,2.75,14,"Super Smash","2021/22",1289609,"Hagley Oval, Christchurch","Christchurch","Canterbury","Central Districts","Canterbury","bat",NA,"Canterbury",NA,"47"
"AF Milne",2019-02-17,"Northern Districts","Central Districts",2,"2.4",0,12,3,4.5,9,"Super Smash","2018/19",1160528,"Seddon Park","Hamilton","Central Districts","Northern Districts","Central Districts","bat",NA,"Central Districts",NA,"67"
"IS Sodhi",2020-01-01,"Wellington","Northern Districts",1,"4.0",0,12,3,3,12,"Super Smash","2019/20",1197758,"Bay Oval","Mount Maunganui","Wellington","Northern Districts","Wellington","bat",NA,"Northern Districts","5",NA
"EJ Nuttall",2018-01-07,"Wellington","Canterbury",2,"3.0",0,13,3,4.33333333333333,12,"Super Smash","2017/18",1118557,"Hagley Oval","Christchurch","Canterbury","Wellington","Wellington","field",NA,"Canterbury",NA,"62"
