"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","tv_umpire","match_referee","winner","winner_wickets","winner_runs","method","outcome","player_of_match"
580784,6,"Wellington","Otago","male","2012/13",2013-01-20,"HRV Cup",NA,"University Oval","Dunedin","Wellington","bat","CB Gaffaney","GAV Baxter",NA,"DJ Walker",NA,"Otago",4,NA,NA,NA,NA
665677,6,"Auckland","Otago","male","2013/14",2014-01-03,"HRV Twenty20",NA,"Eden Park","Auckland","Otago","field","DJ Walker","GAV Baxter",NA,"WR Knights","DB Cowie","Auckland",NA,74,NA,NA,NA
665701,6,"Northern Districts","Canterbury","male","2013/14",2014-01-17,"HRV Twenty20",NA,"Seddon Park","Hamilton","Northern Districts","bat","PD Jones","TJ Parlane",NA,"BG Frost","DM Quested","Northern Districts",NA,3,NA,NA,NA
665703,6,"Otago","Northern Districts","male","2013/14",2014-01-18,"HRV Twenty20",NA,"Seddon Park","Hamilton","Otago","bat","PD Jones","TJ Parlane",NA,"BG Frost","DM Quested","Northern Districts",5,NA,NA,NA,NA
1118534,6,"Auckland","Central Districts","male","2017/18",2017-12-13,"Super Smash","1","Eden Park Outer Oval","Auckland","Central Districts","bat","SB Haig","WR Knights",NA,NA,"RA Dykes","Auckland",5,NA,NA,NA,NA
1118535,6,"Canterbury","Otago","male","2017/18",2017-12-14,"Super Smash","2","Hagley Oval","Christchurch","Canterbury","bat","DJ Walker","TJ Parlane",NA,NA,"GAV Baxter","Canterbury",NA,134,NA,NA,NA
1118537,6,"Northern Districts","Auckland","male","2017/18",2017-12-16,"Super Smash","4","Bay Oval","Mount Maunganui","Northern Districts","bat","BF Bowden","WR Knights","Damian Morrow","CM Brown","KD Earl","Northern Districts",NA,7,NA,NA,NA
1118538,6,"Central Districts","Canterbury","male","2017/18",2017-12-17,"Super Smash","5","Saxton Oval","Nelson","Central Districts","bat","A Mehrotra","JAK Bromley",NA,NA,NA,"Central Districts",NA,8,NA,NA,NA
1118540,6,"Northern Districts","Wellington","male","2017/18",2017-12-20,"Super Smash","7","Basin Reserve","Wellington","Northern Districts","bat","DJ Walker","TJ Parlane",NA,NA,"K Pulley","Northern Districts",NA,1,NA,NA,NA
1118541,6,"Canterbury","Central Districts","male","2017/18",2017-12-22,"Super Smash","8","Mainpower Oval","Rangiora","Canterbury","bat","A Mehrotra","AL Gillies",NA,NA,"GAV Baxter","Canterbury",NA,17,NA,NA,NA
1118542,6,"Northern Districts","Otago","male","2017/18",2017-12-23,"Super Smash","9","Seddon Park","Hamilton","Otago","field","BF Bowden","TJ Parlane",NA,NA,"KD Earl","Northern Districts",NA,106,NA,NA,NA
1118543,6,"Wellington","Auckland","male","2017/18",2017-12-24,"Super Smash","10","Eden Park Outer Oval","Auckland","Auckland","field","BF Bowden","SB Haig","D Venter","AL Gillies","RA Dykes","Auckland",2,NA,NA,NA,NA
1118545,6,"Otago","Canterbury","male","2017/18",2017-12-26,"Super Smash","12","Molyneux Park","Alexandra","Otago","bat","CB Gaffaney","JAK Bromley",NA,NA,"RA Dykes","Canterbury",6,NA,NA,NA,NA
1118546,6,"Central Districts","Northern Districts","male","2017/18",2017-12-27,"Super Smash","13","Bay Oval","Mount Maunganui","Central Districts","bat","BF Bowden","SB Haig","Damian Morrow","AL Gillies","KD Earl","Central Districts",NA,49,NA,NA,NA
