"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Ashok","2021/22","Super Smash","Auckland",6,18,22,81.8181818181818,9,1,0,4,0,0,6
"A Ashok","2022/23","Super Smash","Auckland",6,16,17,94.1176470588235,5.33333333333333,2,0,3,0,0,9
"A Verma","2017/18","Super Smash","Wellington",2,10,12,83.3333333333333,5,0,0,0,0,0,10
"A Verma","2019/20","Super Smash","Northern Districts",5,27,21,128.571428571429,6.75,2,1,1,0,0,13
"A Verma","2020/21","Super Smash","Northern Districts",2,1,1,100,Inf,0,0,2,0,0,1
"A Verma","2021/22","Super Smash","Northern Districts",6,54,67,80.5970149253731,18,5,0,3,0,0,22
"AF Milne","2018/19","Super Smash","Central Districts",2,17,18,94.4444444444444,17,2,0,1,0,0,14
"AF Milne","2021/22","Super Smash","Central Districts",1,8,8,100,8,1,0,0,0,0,8
"AF Milne","2022/23","Super Smash","Wellington",4,50,40,125,16.6666666666667,1,3,1,0,0,22
"AF Milne","2023/24","Super Smash","Wellington",3,12,7,171.428571428571,12,3,0,2,0,0,12
"AJ Hose","2018/19","Super Smash","Wellington",6,195,147,132.65306122449,48.75,16,4,2,0,2,54
"AJ Redmond","2012/13","HRV Cup","Otago",1,6,5,120,6,0,1,0,0,0,6
"AJ Redmond","2013/14","HRV Twenty20","Otago",2,44,39,112.820512820513,22,4,2,0,0,0,41
"AK Kitchen","2013/14","HRV Twenty20","Auckland",1,15,10,150,15,3,0,0,0,0,15
"AK Kitchen","2017/18","Super Smash","Otago",6,71,56,126.785714285714,11.8333333333333,3,6,0,0,0,34
"AK Kitchen","2018/19","Super Smash","Otago",7,169,140,120.714285714286,24.1428571428571,15,3,0,0,1,52
"AK Kitchen","2019/20","Super Smash","Otago",9,141,102,138.235294117647,20.1428571428571,11,4,2,0,0,42
"AK Kitchen","2020/21","Super Smash","Otago",10,229,161,142.236024844721,25.4444444444444,15,14,1,0,1,57
"AK Kitchen","2021/22","Super Smash","Otago",9,180,134,134.328358208955,22.5,14,8,1,0,1,54
"AM Ellis","2013/14","HRV Twenty20","Canterbury",1,5,9,55.5555555555556,5,0,0,0,0,0,5
"AM Ellis","2017/18","Super Smash","Canterbury",6,122,103,118.446601941748,30.5,7,5,2,0,0,40
"AM Ellis","2018/19","Super Smash","Canterbury",6,70,69,101.449275362319,14,9,1,1,0,0,23
"AM Ellis","2019/20","Super Smash","Canterbury",6,69,68,101.470588235294,13.8,4,1,1,0,0,35
"AP Devcich","2013/14","HRV Twenty20","Northern Districts",2,22,20,110,11,4,0,0,0,0,12
"AP Devcich","2017/18","Super Smash","Northern Districts",9,342,200,171,48.8571428571429,47,13,2,0,3,88
"AP Devcich","2018/19","Super Smash","Northern Districts",4,44,40,110,11,7,1,0,0,0,23
"AP Devcich","2019/20","Super Smash","Northern Districts",9,208,140,148.571428571429,23.1111111111111,28,5,0,0,2,57
"AP Devcich","2020/21","Super Smash","Northern Districts",9,286,169,169.230769230769,40.8571428571429,20,20,2,1,1,102
"AT Nidamanuru","2017/18","Super Smash","Auckland",1,6,4,150,Inf,1,0,1,0,0,6
"ATE Hazeldine","2022/23","Super Smash","Otago",2,13,8,162.5,6.5,0,1,0,0,0,9
"ATE Hazeldine","2023/24","Super Smash","Otago",4,12,14,85.7142857142857,3,2,0,0,0,0,6
"AW McKenzie","2021/22","Super Smash","Otago",5,24,21,114.285714285714,8,2,1,2,0,0,11
"AW McKenzie","2022/23","Super Smash","Canterbury",4,22,25,88,11,1,1,2,0,0,12
"AW McKenzie","2023/24","Super Smash","Canterbury",3,6,7,85.7142857142857,6,0,0,2,0,0,4
"AY Patel","2017/18","Super Smash","Central Districts",6,16,24,66.6666666666667,8,0,0,4,0,0,11
"AY Patel","2018/19","Super Smash","Central Districts",2,21,14,150,21,1,1,1,0,0,12
"AY Patel","2019/20","Super Smash","Central Districts",5,14,9,155.555555555556,7,0,2,3,0,0,8
