"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"BM Tickner","Central Districts","2017/18","Super Smash",11,"41.0",0,331,21,15.7619047619048,8.07317073170732,11.7142857142857,118,1,0,"4/24"
"KA Jamieson","Canterbury","2018/19","Super Smash",8,"30.2",1,199,18,11.0555555555556,6.56043956043956,10.1111111111111,91,1,1,"6/7"
"HB Shipley","Canterbury","2021/22","Super Smash",11,"35.0",0,254,18,14.1111111111111,7.25714285714286,11.6666666666667,83,1,0,"4/23"
"DK Ferns","Auckland","2023/24","Super Smash",9,"34.0",0,256,18,14.2222222222222,7.52941176470588,11.3333333333333,89,0,0,"3/26"
"MJ McClenaghan","Auckland","2018/19","Super Smash",8,"30.2",0,270,17,15.8823529411765,8.9010989010989,10.7058823529412,69,0,0,"3/23"
"LH Ferguson","Auckland","2021/22","Super Smash",10,"37.5",0,274,17,16.1176470588235,7.24229074889868,13.3529411764706,108,1,0,"4/19"
"HK Bennett","Wellington","2019/20","Super Smash",11,"40.3",1,292,17,17.1764705882353,7.20987654320988,14.2941176470588,111,0,0,"3/27"
"BM Tickner","Central Districts","2020/21","Super Smash",11,"42.0",0,349,17,20.5294117647059,8.30952380952381,14.8235294117647,111,0,0,"3/23"
"JG Walker","Northern Districts","2021/22","Super Smash",9,"31.0",0,207,16,12.9375,6.67741935483871,11.625,66,1,0,"4/31"
"BJ Small","Central Districts","2023/24","Super Smash",8,"27.2",1,221,16,13.8125,8.08536585365854,10.25,74,1,0,"4/22"
"BM Tickner","Central Districts","2018/19","Super Smash",9,"33.0",0,255,16,15.9375,7.72727272727273,12.375,86,0,0,"3/15"
"JR Lennox","Central Districts","2022/23","Super Smash",9,"33.3",0,255,16,15.9375,7.61194029850746,12.5625,67,1,0,"4/28"
"MD Rae","Otago","2022/23","Super Smash",10,"29.4",0,259,16,16.1875,8.73033707865168,11.125,78,0,0,"3/13"
"OR Newton","Wellington","2019/20","Super Smash",11,"41.0",0,340,16,21.25,8.29268292682927,15.375,97,0,1,"5/45"
"AP Devcich","Northern Districts","2017/18","Super Smash",9,"34.0",0,204,15,13.6,6,13.6,80,1,0,"4/12"
"AY Patel","Central Districts","2019/20","Super Smash",9,"34.5",0,258,15,17.2,7.4066985645933,13.9333333333333,84,0,0,"3/20"
"LV van Beek","Wellington","2023/24","Super Smash",10,"35.3",1,309,15,20.6,8.70422535211268,14.2,89,0,0,"3/19"
"SHA Rance","Central Districts","2021/22","Super Smash",10,"36.1",0,334,15,22.2666666666667,9.23502304147465,14.4666666666667,87,0,1,"5/19"
"EJ Nuttall","Canterbury","2021/22","Super Smash",12,"41.0",0,390,15,26,9.51219512195122,16.4,86,0,0,"3/28"
"BG Lister","Auckland","2023/24","Super Smash",9,"31.0",1,195,14,13.9285714285714,6.29032258064516,13.2857142857143,100,1,0,"4/26"
"A Verma","Northern Districts","2021/22","Super Smash",9,"29.4",0,217,14,15.5,7.31460674157303,12.7142857142857,75,0,0,"3/14"
"ZGF Foulkes","Canterbury","2023/24","Super Smash",9,"34.2",0,228,14,16.2857142857143,6.64077669902913,14.7142857142857,91,0,0,"3/31"
"A Ashok","Auckland","2021/22","Super Smash",10,"37.0",1,240,14,17.1428571428571,6.48648648648649,15.8571428571429,86,0,0,"3/8"
"L Delport","Auckland","2023/24","Super Smash",9,"34.0",0,240,14,17.1428571428571,7.05882352941176,14.5714285714286,77,0,0,"3/16"
"DAJ Bracewell","Central Districts","2021/22","Super Smash",9,"35.5",0,308,14,22,8.5953488372093,15.3571428571429,78,0,0,"3/33"
"MJ Henry","Canterbury","2021/22","Super Smash",10,"40.0",1,329,14,23.5,8.225,17.1428571428571,104,0,0,"3/11"
"RM Hira","Auckland","2019/20","Super Smash",12,"41.0",0,329,14,23.5,8.02439024390244,17.5714285714286,64,0,0,"3/30"
"A Verma","Northern Districts","2019/20","Super Smash",10,"39.0",0,331,14,23.6428571428571,8.48717948717949,16.7142857142857,82,0,0,"3/29"
"MJ Henry","Canterbury","2020/21","Super Smash",11,"41.4",0,345,14,24.6428571428571,8.28,17.8571428571429,89,0,0,"3/25"
"JR Lennox","Central Districts","2023/24","Super Smash",8,"27.0",0,198,13,15.2307692307692,7.33333333333333,12.4615384615385,71,1,0,"4/15"
"AM Ellis","Canterbury","2017/18","Super Smash",9,"24.1",1,204,13,15.6923076923077,8.44137931034483,11.1538461538462,52,0,1,"5/16"
"SHA Rance","Central Districts","2017/18","Super Smash",8,"25.3",0,208,13,16,8.15686274509804,11.7692307692308,64,0,0,"3/15"
"JA Duffy","Otago","2018/19","Super Smash",8,"29.0",1,210,13,16.1538461538462,7.24137931034483,13.3846153846154,73,0,0,"3/18"
"PF Younghusband","Wellington","2023/24","Super Smash",10,"33.0",0,238,13,18.3076923076923,7.21212121212121,15.2307692307692,61,0,0,"3/21"
"NG Smith","Wellington","2023/24","Super Smash",10,"36.0",1,249,13,19.1538461538462,6.91666666666667,16.6153846153846,104,1,0,"4/5"
"BV Sears","Wellington","2021/22","Super Smash",10,"31.0",0,263,13,20.2307692307692,8.48387096774194,14.3076923076923,80,0,0,"3/22"
"AY Patel","Central Districts","2017/18","Super Smash",10,"35.1",0,284,13,21.8461538461538,8.07582938388626,16.2307692307692,81,0,0,"3/26"
"MB Bacon","Otago","2022/23","Super Smash",10,"36.0",0,302,13,23.2307692307692,8.38888888888889,16.6153846153846,86,0,1,"5/28"
"LV van Beek","Wellington","2020/21","Super Smash",11,"42.0",0,327,13,25.1538461538462,7.78571428571429,19.3846153846154,89,0,0,"3/28"
"HK Bennett","Wellington","2020/21","Super Smash",11,"42.2",0,328,13,25.2307692307692,7.74803149606299,19.5384615384615,108,0,0,"2/13"
"K Noema-Barnett","Central Districts","2019/20","Super Smash",9,"25.0",0,180,12,15,7.2,12.5,51,0,0,"3/10"
"ZGF Foulkes","Canterbury","2022/23","Super Smash",7,"25.0",0,184,12,15.3333333333333,7.36,12.5,61,1,0,"4/23"
"AW McKenzie","Canterbury","2022/23","Super Smash",9,"26.4",1,189,12,15.75,7.0875,13.3333333333333,70,1,0,"4/15"
"JDS Neesham","Wellington","2020/21","Super Smash",7,"26.4",0,210,12,17.5,7.875,13.3333333333333,56,0,0,"3/11"
"SC Kuggeleijn","Northern Districts","2018/19","Super Smash",8,"27.4",2,214,12,17.8333333333333,7.73493975903614,13.8333333333333,76,1,0,"4/18"
"W O'Rourke","Canterbury","2023/24","Super Smash",9,"30.0",0,233,12,19.4166666666667,7.76666666666667,15,85,1,0,"4/23"
"CE McConchie","Canterbury","2019/20","Super Smash",9,"35.0",0,236,12,19.6666666666667,6.74285714285714,17.5,78,0,0,"3/18"
"WSA Williams","Canterbury","2019/20","Super Smash",9,"28.1",0,263,12,21.9166666666667,9.33727810650888,14.0833333333333,49,0,1,"5/12"
"W O'Rourke","Canterbury","2022/23","Super Smash",10,"34.3",0,278,12,23.1666666666667,8.05797101449275,17.25,84,0,0,"3/29"
"AY Patel","Central Districts","2018/19","Super Smash",8,"30.0",0,279,12,23.25,9.3,15,49,0,0,"3/24"
"WER Somerville","Auckland","2020/21","Super Smash",10,"31.0",0,298,12,24.8333333333333,9.61290322580645,15.5,58,0,0,"3/18"
"SC Kuggeleijn","Northern Districts","2020/21","Super Smash",10,"32.0",0,304,12,25.3333333333333,9.5,16,76,0,0,"2/26"
"MJ McClenaghan","Otago","2020/21","Super Smash",10,"38.4",0,352,12,29.3333333333333,9.10344827586207,19.3333333333333,78,0,0,"3/36"
"CE McConchie","Canterbury","2017/18","Super Smash",9,"21.0",0,165,11,15,7.85714285714286,11.4545454545455,44,0,0,"2/24"
"RM ter Braak","Auckland","2020/21","Super Smash",7,"20.5",0,170,11,15.4545454545455,8.16,11.3636363636364,49,0,0,"3/26"
"NG Smith","Otago","2019/20","Super Smash",5,"19.2",0,179,11,16.2727272727273,9.25862068965517,10.5454545454545,40,0,1,"5/14"
"SC Kuggeleijn","Northern Districts","2021/22","Super Smash",8,"21.4",0,190,11,17.2727272727273,8.76923076923077,11.8181818181818,57,1,0,"4/34"
"C Viljoen","Otago","2018/19","Super Smash",6,"22.0",0,199,11,18.0909090909091,9.04545454545454,12,40,1,0,"4/23"
"MR Quinn","Auckland","2018/19","Super Smash",9,"32.1",0,239,11,21.7272727272727,7.4300518134715,17.5454545454545,79,1,0,"4/20"
"MD Rae","Canterbury","2023/24","Super Smash",8,"27.0",0,240,11,21.8181818181818,8.88888888888889,14.7272727272727,57,0,0,"3/44"
"AK Kitchen","Otago","2021/22","Super Smash",10,"36.0",0,242,11,22,6.72222222222222,19.6363636363636,91,1,0,"4/11"
"BG Lister","Auckland","2021/22","Super Smash",10,"35.3",0,242,11,22,6.8169014084507,19.3636363636364,95,0,0,"3/27"
"JS Patel","Wellington","2018/19","Super Smash",9,"34.0",0,246,11,22.3636363636364,7.23529411764706,18.5454545454545,71,0,0,"2/21"
"OR Newton","Wellington","2018/19","Super Smash",9,"31.2",0,254,11,23.0909090909091,8.1063829787234,17.0909090909091,62,0,0,"3/26"
"RM Hira","Auckland","2018/19","Super Smash",9,"31.0",0,255,11,23.1818181818182,8.2258064516129,16.9090909090909,55,0,0,"3/22"
"BG Randell","Northern Districts","2019/20","Super Smash",8,"28.0",0,257,11,23.3636363636364,9.17857142857143,15.2727272727273,55,0,0,"3/29"
"EJ Nuttall","Canterbury","2020/21","Super Smash",11,"32.0",0,272,11,24.7272727272727,8.5,17.4545454545455,74,0,0,"3/18"
"TD Astle","Canterbury","2022/23","Super Smash",11,"41.0",1,275,11,25,6.70731707317073,22.3636363636364,87,0,0,"3/24"
"DK Ferns","Auckland","2020/21","Super Smash",8,"24.3",0,276,11,25.0909090909091,11.265306122449,13.3636363636364,40,0,0,"3/39"
"BM Tickner","Central Districts","2019/20","Super Smash",8,"29.0",0,286,11,26,9.86206896551724,15.8181818181818,70,1,0,"4/26"
"RL Toole","Central Districts","2022/23","Super Smash",8,"28.0",0,303,11,27.5454545454545,10.8214285714286,15.2727272727273,60,0,0,"3/23"
"JA Duffy","Otago","2019/20","Super Smash",10,"37.5",0,306,11,27.8181818181818,8.08810572687225,20.6363636363636,75,0,0,"2/27"
"MD Rae","Otago","2019/20","Super Smash",10,"34.3",0,319,11,29,9.2463768115942,18.8181818181818,66,0,0,"3/23"
"LV van Beek","Wellington","2021/22","Super Smash",11,"40.0",0,326,11,29.6363636363636,8.15,21.8181818181818,94,0,0,"2/20"
"N Wagner","Northern Districts","2022/23","Super Smash",4,"15.0",1,98,10,9.8,6.53333333333333,9,45,0,0,"3/26"
"BR Hampton","Northern Districts","2022/23","Super Smash",8,"14.4",1,122,10,12.2,8.31818181818182,8.8,38,0,0,"3/1"
"RM Hira","Auckland","2017/18","Super Smash",5,"19.0",0,136,10,13.6,7.15789473684211,11.4,47,1,0,"4/26"
"IS Sodhi","Northern Districts","2017/18","Super Smash",6,"23.0",0,162,10,16.2,7.04347826086957,13.8,55,0,0,"2/15"
"JA Duffy","Otago","2023/24","Super Smash",7,"25.2",1,172,10,17.2,6.78947368421053,15.2,73,1,0,"4/19"
