"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aravinddaraj",2,0,3,0,NA,0,0,2,0,0,0
"A Ashish Reddy",12,135,129,104.651162790698,11.25,8,3,0,0,0,37
"A Awasthi",2,52,23,226.086956521739,26,5,5,0,0,0,48
"A Badoni",8,223,182,122.527472527473,74.3333333333333,18,9,5,0,1,80
"A Bharwad",1,18,25,72,18,0,1,0,0,0,18
"A Choudhary",6,34,32,106.25,17,2,1,4,0,0,11
"A G Pradeep",5,51,57,89.4736842105263,10.2,7,0,0,0,0,26
"A Kamboj",2,9,12,75,Inf,1,0,2,0,0,8
"A Manohar",8,282,185,152.432432432432,70.5,19,18,4,0,2,70
"A Mishra",13,57,51,111.764705882353,9.5,7,0,7,0,0,14
"A Mithun",14,50,47,106.382978723404,4.54545454545455,5,2,3,0,0,18
"A Mukund",7,170,136,125,28.3333333333333,16,5,1,0,1,67
"A Nagwaswalla",7,26,25,104,8.66666666666667,3,1,4,0,0,12
"A Palkar",1,2,2,100,Inf,0,0,1,0,0,2
"A Prateek Reddy",2,3,12,25,1.5,0,0,0,0,0,3
"A Pratyush Kumar",1,24,28,85.7142857142857,24,1,1,0,0,0,24
"A Raghuvanshi",3,74,71,104.225352112676,37,5,3,1,0,0,32
"A Sheth",24,193,153,126.143790849673,32.1666666666667,16,6,18,0,0,29
"A Singhania",8,44,55,80,7.33333333333333,3,2,2,0,0,18
"A Thapa",1,0,3,0,0,0,0,0,0,0,0
"A Tomar",4,37,59,62.7118644067797,9.25,3,0,0,0,0,14
"AA Bamal",4,26,19,136.842105263158,6.5,1,2,0,0,0,18
"AA Barot",11,348,219,158.904109589041,31.6363636363636,38,14,0,1,1,122
"AA Chakraborty",3,4,9,44.4444444444444,4,0,0,2,0,0,2
"AA Herwadkar",17,465,414,112.31884057971,27.3529411764706,48,10,0,0,3,73
"AA Kargave",1,35,41,85.3658536585366,35,3,0,0,0,0,35
"AA Kazi",4,61,54,112.962962962963,15.25,4,2,0,0,0,36
"AA Sanklecha",4,14,9,155.555555555556,7,1,1,2,0,0,11
"AB Dinda",10,59,64,92.1875,9.83333333333333,4,2,4,0,0,22
"ABB Sangma",1,7,21,33.3333333333333,7,0,0,0,0,0,7
"AD Chopra",3,113,68,166.176470588235,37.6666666666667,12,5,0,0,1,76
"AD Nath",35,700,578,121.107266435986,29.1666666666667,62,17,11,0,2,80
"AG Jungade",1,6,8,75,6,0,0,0,0,0,6
"AG Paunikar",7,82,66,124.242424242424,20.5,8,3,3,0,0,23
"AG Rao",2,17,26,65.3846153846154,8.5,1,0,0,0,0,10
"AG Sehrawat",2,18,32,56.25,9,1,0,0,0,0,13
"AH Hooda",5,2,10,20,0.666666666666667,0,0,2,0,0,2
"AJ Kaushik",2,47,46,102.173913043478,23.5,6,1,0,0,0,31
"AK Chahal",3,28,21,133.333333333333,14,1,2,1,0,0,12
"AK Sarkar",4,8,9,88.8888888888889,2.66666666666667,0,1,1,0,0,6
"AKS Bains",24,433,362,119.613259668508,20.6190476190476,54,9,3,0,3,68
"AL Menaria",15,232,208,111.538461538462,15.4666666666667,27,5,0,0,2,67
"AM Joshi",1,17,9,188.888888888889,17,3,0,0,0,0,17
"AM Nayar",6,135,95,142.105263157895,45,11,6,3,0,0,49
"AM Rahane",17,463,358,129.329608938547,30.8666666666667,48,11,2,0,4,76
"AM Reddy",3,29,31,93.5483870967742,9.66666666666667,4,0,0,0,0,16
"AN Ahmed",14,85,81,104.938271604938,7.08333333333333,5,3,2,0,0,26
"AN Chauhan",2,10,17,58.8235294117647,10,1,0,1,0,0,8
"AN Ghosh",5,81,89,91.0112359550562,16.2,6,1,0,0,0,26
"AN Longchar",5,46,87,52.8735632183908,9.2,5,1,0,0,0,23
"AP Majumdar",7,144,111,129.72972972973,28.8,16,1,2,0,0,48
"AP Sharma",3,5,9,55.5555555555556,2.5,0,0,1,0,0,4
