"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"PP Chawla",43,"164.3",7,1024,67,15.2835820895522,6.22492401215805,14.7313432835821,445,1,0,"4/28"
"JD Unadkat",40,"152.5",5,992,64,15.5,6.4907306434024,14.328125,402,3,0,"4/5"
"LI Meriwala",38,"132.2",3,943,59,15.9830508474576,7.12594458438287,13.4576271186441,315,0,2,"5/8"
"S Kaul",48,"171.2",2,1332,59,22.5762711864407,7.77431906614786,17.4237288135593,437,3,0,"4/19"
"AS Rajpoot",36,"128.0",5,868,55,15.7818181818182,6.78125,13.9636363636364,362,1,1,"5/17"
"A Sheth",42,"140.3",2,1065,55,19.3636363636364,7.58007117437722,15.3272727272727,361,1,1,"5/13"
"TU Deshpande",30,"110.2",2,847,51,16.6078431372549,7.67673716012085,12.9803921568627,284,2,0,"4/19"
"Yash Thakur",30,"96.2",2,617,47,13.1276595744681,6.40484429065744,12.2978723404255,262,3,0,"4/5"
"DS Kulkarni",39,"144.3",3,1060,46,23.0434782608696,7.3356401384083,18.8478260869565,395,1,0,"4/22"
"DG Nalkande",25,"82.4",3,614,45,13.6444444444444,7.42741935483871,11.0222222222222,230,3,2,"5/9"
"R Sai Kishore",39,"140.3",6,761,44,17.2954545454545,5.41637010676157,19.1590909090909,406,2,0,"4/6"
"M Ashwin",38,"130.3",2,883,44,20.0681818181818,6.76628352490421,17.7954545454545,294,0,0,"3/8"
"Pankaj Jaswal",31,"93.1",1,717,43,16.6744186046512,7.695885509839,13,225,4,1,"5/18"
"Akshay Karnewar",43,"141.3",7,820,43,19.0697674418605,5.79505300353357,19.7441860465116,369,2,0,"4/5"
"Suboth Bhati",33,"118.1",3,903,43,21,7.64174894217207,16.4883720930233,285,4,0,"4/9"
"Cheepurapalli Stephen",22,"81.1",2,504,42,12,6.20944558521561,11.5952380952381,256,3,2,"5/10"
"Satyajeet Bachhav",34,"131.0",0,864,41,21.0731707317073,6.59541984732824,19.1707317073171,294,1,0,"4/18"
"C Sakariya",23,"89.4",3,625,40,15.625,6.97026022304833,13.45,242,2,1,"5/11"
"CV Milind",31,"111.1",2,871,40,21.775,7.83508245877061,16.675,262,0,2,"5/8"
"S Gopal",27,"83.2",3,546,38,14.3684210526316,6.552,13.1578947368421,212,1,2,"5/11"
"Mohammed Siraj",23,"86.4",2,656,38,17.2631578947368,7.56923076923077,13.6842105263158,225,1,0,"4/20"
"Sumit Kumar",30,"84.2",1,623,36,17.3055555555556,7.38735177865613,14.0555555555556,188,2,0,"4/18"
"A Nagwaswalla",26,"90.3",4,641,36,17.8055555555556,7.0828729281768,15.0833333333333,250,1,2,"6/13"
"Harpreet Brar",32,"106.4",3,713,36,19.8055555555556,6.684375,17.7777777777778,269,1,0,"4/22"
"Baltej Singh",27,"99.3",1,757,36,21.0277777777778,7.60804020100502,16.5833333333333,270,0,0,"3/11"
"Avesh Khan",25,"93.0",3,670,35,19.1428571428571,7.20430107526882,15.9428571428571,260,1,1,"5/17"
"Amit Mishra",25,"87.5",1,693,35,19.8,7.8899430740038,15.0571428571429,213,1,0,"4/10"
"SZ Mulani",31,"113.1",3,731,35,20.8857142857143,6.45949926362298,19.4,298,0,0,"3/18"
"M Markande",35,"117.2",1,868,35,24.8,7.39772727272727,20.1142857142857,258,1,0,"4/4"
"Akshay Wakhare",40,"134.4",1,882,35,25.2,6.54950495049505,23.0857142857143,296,0,0,"3/15"
"S Sandeep Warrier",37,"130.5",3,936,35,26.7428571428571,7.15414012738853,22.4285714285714,389,0,0,"3/27"
"DL Chahar",19,"70.2",2,431,34,12.6764705882353,6.12796208530806,12.4117647058824,208,1,1,"5/15"
"KK Ahmed",24,"86.4",0,642,34,18.8823529411765,7.40769230769231,15.2941176470588,204,1,1,"5/18"
"R Dhawan",29,"92.3",1,694,34,20.4117647058824,7.5027027027027,16.3235294117647,233,0,0,"3/16"
"R Vinay Kumar",28,"101.2",0,702,34,20.6470588235294,6.92763157894737,17.8823529411765,263,2,0,"4/4"
"Mohsin Khan",24,"83.0",0,568,33,17.2121212121212,6.8433734939759,15.0909090909091,230,0,0,"3/34"
"KV Sharma",36,"127.1",0,898,33,27.2121212121212,7.06159895150721,23.1212121212121,272,0,1,"5/24"
"Basil Thampi",32,"112.5",2,931,33,28.2121212121212,8.25110782865583,20.5151515151515,271,1,0,"4/15"
"SB Wagh",23,"75.1",1,517,32,16.15625,6.8780487804878,14.09375,202,1,0,"4/36"
"HV Patel",26,"86.3",0,695,32,21.71875,8.03468208092486,16.21875,211,0,0,"3/14"
"SN Thakur",29,"101.3",1,772,32,24.125,7.60591133004926,19.03125,256,0,0,"3/15"
"Swapnil Singh",33,"115.4",2,792,32,24.75,6.84726224783862,21.6875,269,0,0,"3/25"
"A Mithun",31,"103.4",0,851,32,26.59375,8.20900321543408,19.4375,238,0,1,"5/39"
"KC Cariappa",27,"99.4",1,558,31,18,5.59866220735786,19.2903225806452,261,1,0,"4/15"
"Mayank Dagar",30,"106.5",2,605,31,19.5161290322581,5.66302652106084,20.6774193548387,272,0,0,"2/7"
"Diwesh Pathania",25,"95.5",1,722,31,23.2903225806452,7.53391304347826,18.5483870967742,244,0,0,"3/16"
"A Choudhary",25,"85.0",2,565,30,18.8333333333333,6.64705882352941,17,247,0,0,"3/15"
"HP Patel",26,"91.1",1,603,30,20.1,6.61425959780622,18.2333333333333,208,0,0,"3/17"
"Ravi Bishnoi",19,"73.0",0,420,29,14.4827586206897,5.75342465753425,15.1034482758621,191,0,0,"3/20"
"IC Pandey",25,"92.4",2,634,29,21.8620689655172,6.84172661870504,19.1724137931034,245,1,0,"4/20"
"Bandaru Ayyappa",23,"85.3",1,657,29,22.6551724137931,7.68421052631579,17.6896551724138,207,0,0,"3/30"
"Parvez Rasool",26,"102.0",1,677,29,23.3448275862069,6.63725490196078,21.1034482758621,209,0,0,"3/18"
"S Nadeem",29,"107.5",2,680,29,23.448275862069,6.30602782071097,22.3103448275862,247,0,0,"3/18"
