"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Aravinddaraj","Jonty Sidhu",0,3,0,3,0,0,0,0,NA
"A Ashish Reddy","A Mithun",3,3,0,0,0,0,6,100,Inf
"A Ashish Reddy","AD Nath",0,1,1,1,0,0,0,0,0
"A Ashish Reddy","AN Chauhan",2,3,1,1,0,0,4,66.6666666666667,2
"A Ashish Reddy","AS Rajpoot",0,2,0,2,0,0,0,0,NA
"A Ashish Reddy","Akshay Karnewar",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Ashish Reddy","Akshay Wakhare",2,2,0,0,0,0,6,100,Inf
"A Ashish Reddy","Bandaru Ayyappa",8,6,0,1,1,0,8,133.333333333333,Inf
"A Ashish Reddy","Bipul Sharma",6,6,0,2,0,0,6,100,Inf
"A Ashish Reddy","Bobby Yadav",2,2,0,0,0,0,6,100,Inf
"A Ashish Reddy","Fabid Ahmed",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Ashish Reddy","Felix Alemao",0,1,1,1,0,0,0,0,0
"A Ashish Reddy","Girinath Reddy",3,3,0,0,0,0,6,100,Inf
"A Ashish Reddy","HP Patel",1,4,0,3,0,0,1.5,25,Inf
"A Ashish Reddy","Harishankar Reddy",7,3,1,1,0,1,14,233.333333333333,7
"A Ashish Reddy","Jalaj S Saxena",5,3,0,1,1,0,10,166.666666666667,Inf
"A Ashish Reddy","Nikhil Gangta",3,4,0,1,0,0,4.5,75,Inf
"A Ashish Reddy","P Prasanth",10,7,1,3,2,0,8.57142857142857,142.857142857143,10
"A Ashish Reddy","P Thamaraikannan",0,1,1,1,0,0,0,0,0
"A Ashish Reddy","PP Ojha",4,5,0,1,0,0,4.8,80,Inf
"A Ashish Reddy","Pankaj Jaswal",11,6,0,1,0,1,11,183.333333333333,Inf
"A Ashish Reddy","R Sanjay Yadav",2,4,1,2,0,0,3,50,2
"A Ashish Reddy","R Vinay Kumar",3,3,0,0,0,0,6,100,Inf
"A Ashish Reddy","RG More",8,3,0,0,0,1,16,266.666666666667,Inf
"A Ashish Reddy","RL Jangid",3,4,0,1,0,0,4.5,75,Inf
"A Ashish Reddy","RP Singh",0,2,1,2,0,0,0,0,0
"A Ashish Reddy","Rahul Khajan Singh",7,7,0,1,0,0,6,100,Inf
"A Ashish Reddy","Ravikumar Thakur",6,5,1,2,1,0,7.2,120,6
"A Ashish Reddy","S Aravind",5,5,0,0,0,0,6,100,Inf
"A Ashish Reddy","SM Fallah",4,3,0,0,0,0,8,133.333333333333,Inf
"A Ashish Reddy","Saurabh Kumar",8,6,0,1,1,0,8,133.333333333333,Inf
"A Ashish Reddy","Sayan Mondal",5,6,1,3,0,0,5,83.3333333333333,5
"A Ashish Reddy","Shiva Singh",5,4,0,2,1,0,7.5,125,Inf
"A Ashish Reddy","VV Gite",2,2,1,1,0,0,6,100,2
"A Ashish Reddy","Vinod Kumar",6,4,0,1,1,0,9,150,Inf
"A Ashish Reddy","Washington Sundar",1,2,0,1,0,0,3,50,Inf
"A Ashish Reddy","Yash Dayal",1,1,0,0,0,0,6,100,Inf
"A Awasthi","Arjun Tendulkar",7,5,0,3,0,1,8.4,140,Inf
"A Awasthi","Felix Alemao",22,5,0,1,1,3,26.4,440,Inf
"A Awasthi","JD Unadkat",4,2,1,1,1,0,12,200,4
"A Awasthi","MS Redkar",9,5,1,2,2,0,10.8,180,9
"A Awasthi","SP Tari",10,6,0,4,1,1,10,166.666666666667,Inf
"A Badoni","AA Sarwate",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Badoni","Abhishek Sharma",6,8,0,5,1,0,4.5,75,Inf
"A Badoni","Akshay Karnewar",1,2,0,1,0,0,3,50,Inf
"A Badoni","Amit Yadav",4,1,0,0,1,0,24,400,Inf
"A Badoni","Arjun Tendulkar",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Badoni","Arshad Khan",6,2,0,0,1,0,18,300,Inf
"A Badoni","Arshdeep Singh",17,9,0,2,3,0,11.3333333333333,188.888888888889,Inf
"A Badoni","Ashith Rajiv",1,4,0,3,0,0,1.5,25,Inf
"A Badoni","Avesh Khan",3,4,0,2,0,0,4.5,75,Inf
"A Badoni","CV Varun",9,5,0,1,0,1,10.8,180,Inf
"A Badoni","Harpreet Brar",19,11,0,3,2,1,10.3636363636364,172.727272727273,Inf
"A Badoni","Harsh Dubey",6,7,0,2,0,0,5.14285714285714,85.7142857142857,Inf
"A Badoni","K Kartikeya",6,11,0,5,0,0,3.27272727272727,54.5454545454545,Inf
"A Badoni","Kartik Tyagi",1,1,0,0,0,0,6,100,Inf
"A Badoni","Kuldeep Yadav",3,3,0,1,0,0,6,100,Inf
"A Badoni","Lakshay Garg",14,4,0,0,0,2,21,350,Inf
"A Badoni","M Markande",17,15,0,6,1,1,6.8,113.333333333333,Inf
"A Badoni","MS Bhandage",4,2,0,1,1,0,12,200,Inf
"A Badoni","Parth Sahani",4,4,0,1,0,0,6,100,Inf
"A Badoni","R Sai Kishore",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Badoni","R Sanjay Yadav",14,6,0,0,1,1,14,233.333333333333,Inf
"A Badoni","S Hegde",5,2,0,0,1,0,15,250,Inf
"A Badoni","S Kaul",11,8,0,3,0,1,8.25,137.5,Inf
"A Badoni","S Solanki",14,8,0,2,1,1,10.5,175,Inf
"A Badoni","Sagar Udeshi",1,4,1,3,0,0,1.5,25,1
"A Badoni","Santha Moorthy",6,3,0,0,1,0,12,200,Inf
"A Badoni","Sanvir Singh",10,6,0,1,0,1,10,166.666666666667,Inf
"A Badoni","Saransh Jain",11,15,0,8,1,0,4.4,73.3333333333333,Inf
"A Badoni","Shiva Singh",0,3,1,3,0,0,0,0,0
"A Badoni","Shivam Mavi",1,6,0,5,0,0,1,16.6666666666667,Inf
"A Badoni","T Natarajan",17,7,0,0,3,0,14.5714285714286,242.857142857143,Inf
"A Badoni","UT Yadav",2,2,0,0,0,0,6,100,Inf
"A Badoni","V Kaverappa",2,2,0,0,0,0,6,100,Inf
"A Badoni","Vijaykumar Vyshak",3,7,0,4,0,0,2.57142857142857,42.8571428571429,Inf
"A Badoni","Yash Thakur",0,1,1,1,0,0,0,0,0
"A Bharwad","Ajay Mandal",4,6,1,2,0,0,4,66.6666666666667,4
"A Bharwad","PS Painkra",7,6,0,4,0,1,7,116.666666666667,Inf
"A Bharwad","SS Agarwal",3,5,0,2,0,0,3.6,60,Inf
"A Bharwad","Sourabh Majumdar",3,7,0,4,0,0,2.57142857142857,42.8571428571429,Inf
"A Bharwad","Sumit Ruikar",1,1,0,0,0,0,6,100,Inf
"A Choudhary","Avesh Khan",2,2,0,0,0,0,6,100,Inf
"A Choudhary","DG Nalkande",0,1,0,1,0,0,0,0,NA
"A Choudhary","Felix Alemao",7,2,0,0,0,1,21,350,Inf
