"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"SS Iyer",2019-02-21,"Mumbai","Sikkim",1,147,55,7,15,267.272727272727,FALSE,"Syed Mushtaq Ali Trophy","2018/19",1157099," Emerald Heights International School Ground",NA,"Mumbai","Sikkim","Mumbai","bat",NA,"Mumbai",NA,"154"
"Punit Bisht",2021-01-13,"Meghalaya","Mizoram",1,146,51,6,17,286.274509803922,TRUE,"Syed Mushtaq Ali Trophy","2020/21",1244340,"IC-Gurunanak College Ground",NA,"Meghalaya","Mizoram","Mizoram","field",NA,"Meghalaya",NA,"130"
"PP Shaw",2022-10-14,"Mumbai","Assam",1,134,61,13,9,219.672131147541,FALSE,"Syed Mushtaq Ali Trophy","2022/23",1332962,"Saurashtra Cricket Association Stadium, Rajkot","Rajkot","Mumbai","Assam","Assam","field",NA,"Mumbai",NA,"61"
"WP Saha",2019-02-27,"Bengal","Arunachal Pradesh",1,129,62,16,4,208.064516129032,FALSE,"Syed Mushtaq Ali Trophy","2018/19",1157171,"Barabati Stadium",NA,"Bengal","Arunachal Pradesh","Bengal","bat",NA,"Bengal",NA,"107"
"MK Pandey",2019-11-12,"Karnataka","Services",1,129,54,12,10,238.888888888889,TRUE,"Syed Mushtaq Ali Trophy","2019/20",1205769,"Dr P.V.G. Raju ACA Sports Complex",NA,"Karnataka","Services","Services","field",NA,"Karnataka",NA,"80"
"SK Raina",2018-01-22,"Uttar Pradesh","Bengal",1,126,59,13,7,213.559322033898,TRUE,"Syed Mushtaq Ali Trophy","2017/18",1133407,"Eden Gardens",NA,"Uttar Pradesh","Bengal","Uttar Pradesh","bat",NA,"Uttar Pradesh",NA,"75"
"Shubman Gill",2022-11-01,"Punjab","Karnataka",1,126,55,11,9,229.090909090909,FALSE,"Syed Mushtaq Ali Trophy","2022/23",1333049,"Eden Gardens, Kolkata","Kolkata","Punjab","Karnataka","Karnataka","field",NA,"Punjab",NA,"9"
"AA Barot",2021-01-15,"Saurashtra","Goa",1,122,53,11,7,230.188679245283,FALSE,"Syed Mushtaq Ali Trophy","2020/21",1244355,"Holkar Stadium",NA,"Saurashtra","Goa","Goa","field",NA,"Saurashtra",NA,"90"
"P Simran Singh",2021-11-06,"Punjab","Goa",1,119,61,11,6,195.081967213115,TRUE,"Syed Mushtaq Ali Trophy","2021/22",1280236,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",NA,"Punjab","Goa","Goa","field",NA,"Punjab",NA,"81"
"Saurabh Wakaskar",2016-01-02,"Railways","Delhi",1,118,55,7,11,214.545454545455,FALSE,"Syed Mushtaq Ali Trophy","2015/16",902101,"Alembic 1 Cricket Ground",NA,"Railways","Delhi","Delhi","field",NA,"Delhi","4",NA
