"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"A Nagwaswalla",2023-10-25,"Railways","Gujarat",1,"4.0",2,13,6,3.25,18,"Syed Mushtaq Ali Trophy","2023/24",1383534,"JSCA International Stadium Complex, Ranchi","Ranchi","Railways","Gujarat","Gujarat","field",NA,"Gujarat","8",NA
"Ravi Teja",2023-10-19,"Chhattisgarh","Hyderabad (India)",1,"4.0",0,13,6,3.25,14,"Syed Mushtaq Ali Trophy","2023/24",1383472,"Sawai Mansingh Stadium, Jaipur","Jaipur","Chhattisgarh","Hyderabad (India)","Hyderabad (India)","field",NA,"Hyderabad (India)","6",NA
"A Nagwaswalla",2021-01-10,"Maharashtra","Gujarat",2,"3.3",0,19,6,5.42857142857143,11,"Syed Mushtaq Ali Trophy","2020/21",1244312,"Motibaug Cricket Ground",NA,"Gujarat","Maharashtra","Maharashtra","field",NA,"Gujarat",NA,"29"
"CV Milind",2021-11-09,"Uttar Pradesh","Hyderabad (India)",2,"3.2",0,8,5,2.4,15,"Syed Mushtaq Ali Trophy","2021/22",1280288,"Gurugram Cricket Ground (SRNCC)",NA,"Hyderabad (India)","Uttar Pradesh","Hyderabad (India)","bat",NA,"Hyderabad (India)",NA,"29"
"LI Meriwala",2021-01-14,"Chhattisgarh","Baroda",1,"3.3",0,8,5,2.28571428571429,13,"Syed Mushtaq Ali Trophy","2020/21",1244350,"F B Colony Ground",NA,"Chhattisgarh","Baroda","Baroda","field",NA,"Baroda","9",NA
"DG Nalkande",2021-11-04,"Arunachal Pradesh","Vidarbha",2,"4.0",2,9,5,2.25,19,"Syed Mushtaq Ali Trophy","2021/22",1280213,"Gokaraju Liala Gangaaraju ACA Cricket Ground",NA,"Vidarbha","Arunachal Pradesh","Arunachal Pradesh","field",NA,"Vidarbha",NA,"94"
"Vikas Yadav",2019-02-21,"Uttarakhand","Services",2,"4.0",0,9,5,2.25,15,"Syed Mushtaq Ali Trophy","2018/19",1157107,"Airforce Complex ground, Palam II",NA,"Services","Uttarakhand","Services","bat",NA,"Uttarakhand","3",NA
"Cheepurapalli Stephen",2023-10-23,"Manipur","Andhra",2,"3.5",0,10,5,2.60869565217391,18,"Syed Mushtaq Ali Trophy","2023/24",1383517,"JSCA International Stadium Complex, Ranchi","Ranchi","Andhra","Manipur","Andhra","bat",NA,"Andhra",NA,"70"
"C Sakariya",2021-01-13,"Vidarbha","Saurashtra",2,"4.0",1,11,5,2.75,18,"Syed Mushtaq Ali Trophy","2020/21",1244334,"Holkar Stadium",NA,"Saurashtra","Vidarbha","Vidarbha","field",NA,"Saurashtra",NA,"79"
"S Gopal",2019-02-24,"Arunachal Pradesh","Karnataka",2,"3.4",0,11,5,3,15,"Syed Mushtaq Ali Trophy","2018/19",1157137,"Barabati Stadium",NA,"Karnataka","Arunachal Pradesh","Karnataka","bat",NA,"Karnataka",NA,"146"
"Rahil Shah",2016-01-03,"Bengal","Tamil Nadu",2,"2.5",0,12,5,4.23529411764706,9,"Syed Mushtaq Ali Trophy","2015/16",902115,"VCA Ground",NA,"Tamil Nadu","Bengal","Bengal","field",NA,"Tamil Nadu",NA,"69"
"A Sheth",2019-02-21,"Tripura","Baroda",1,"4.0",0,13,5,3.25,17,"Syed Mushtaq Ali Trophy","2018/19",1157104,"Airforce Complex ground, Palam",NA,"Tripura","Baroda","Tripura","bat",NA,"Baroda","8",NA
"SD Lad",2019-11-08,"Mizoram","Mumbai",1,"4.0",1,13,5,3.25,15,"Syed Mushtaq Ali Trophy","2019/20",1205721,"Wankhede Stadium",NA,"Mizoram","Mumbai","Mumbai","field",NA,"Mumbai","10",NA
"SS Agarwal",2021-11-09,"Services","Chhattisgarh",2,"3.5",1,13,5,3.39130434782609,12,"Syed Mushtaq Ali Trophy","2021/22",1280278,"ACA Stadium, Barsapara",NA,"Chhattisgarh","Services","Chhattisgarh","bat",NA,"Chhattisgarh",NA,"35"
"Suyash Sharma",2023-10-17,"Madhya Pradesh","Delhi",1,"4.0",0,13,5,3.25,14,"Syed Mushtaq Ali Trophy","2023/24",1383467,"Abhimanyu Cricket Academy, Dehradun","Dehra Dun","Madhya Pradesh","Delhi","Madhya Pradesh","bat",NA,"Delhi","7",NA
"RD Chahar",2021-01-13,"Madhya Pradesh","Rajasthan",2,"4.0",0,14,5,3.5,14,"Syed Mushtaq Ali Trophy","2020/21",1244336,"Holkar Stadium",NA,"Rajasthan","Madhya Pradesh","Madhya Pradesh","field",NA,"Rajasthan",NA,"10"
"DL Chahar",2018-01-23,"Karnataka","Rajasthan",2,"4.0",0,15,5,3.75,14,"Syed Mushtaq Ali Trophy","2017/18",1133409,"JU Second Campus, Salt Lake",NA,"Rajasthan","Karnataka","Karnataka","field",NA,"Rajasthan",NA,"22"
"Sayan Ghosh",2019-03-12,"Gujarat","Bengal",1,"3.3",0,15,5,4.28571428571429,12,"Syed Mushtaq Ali Trophy","2018/19",1175043,"Holkar Stadium",NA,"Gujarat","Bengal","Gujarat","bat",NA,"Bengal","7",NA
"B Kumar",2023-10-25,"Karnataka","Uttar Pradesh",2,"3.3",0,16,5,4.57142857142857,11,"Syed Mushtaq Ali Trophy","2023/24",1383539,"Abhimanyu Cricket Academy, Dehradun","Dehra Dun","Uttar Pradesh","Karnataka","Karnataka","field",NA,"Uttar Pradesh",NA,"40"
"CV Milind",2021-11-05,"Uttarakhand","Hyderabad (India)",2,"3.3",0,16,5,4.57142857142857,14,"Syed Mushtaq Ali Trophy","2021/22",1280230,"Gurugram Cricket Ground (SRNCC)",NA,"Hyderabad (India)","Uttarakhand","Hyderabad (India)","bat",NA,"Hyderabad (India)",NA,"61"
"AS Rajpoot",2019-11-12,"Tripura","Uttar Pradesh",1,"2.0",0,17,5,8.5,7,"Syed Mushtaq Ali Trophy","2019/20",1205771,"St'Xavier's KCA Cricket Ground",NA,"Tripura","Uttar Pradesh","Uttar Pradesh","field",NA,"Uttar Pradesh","7",NA
"Avesh Khan",2021-01-15,"Vidarbha","Madhya Pradesh",2,"4.0",0,17,5,4.25,14,"Syed Mushtaq Ali Trophy","2020/21",1244353,"Holkar Stadium",NA,"Madhya Pradesh","Vidarbha","Vidarbha","field",NA,"Madhya Pradesh",NA,"21"
"SB Jakati",2016-01-09,"Delhi","Goa",1,"4.0",0,17,5,4.25,18,"Syed Mushtaq Ali Trophy","2015/16",902219,"Motibaug Cricket Ground",NA,"Delhi","Goa","Goa","field",NA,"Delhi",NA,"2"
"DG Nalkande",2019-11-09,"Uttar Pradesh","Vidarbha",1,"3.4",1,18,5,4.90909090909091,13,"Syed Mushtaq Ali Trophy","2019/20",1205743,"Greenfield Stadium",NA,"Uttar Pradesh","Vidarbha","Uttar Pradesh","bat",NA,"Vidarbha","9",NA
