"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","winner","winner_runs","winner_wickets","outcome","eliminator","player_of_match","umpire1","umpire2","method","match_referee","tv_umpire"
902087,6,"Gujarat","Himachal","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Vidarbha Cricket Association Stadium, Jamtha",NA,"Himachal","field","Himachal",NA,5,NA,NA,NA,NA,NA,NA,NA,NA
902089,6,"Bengal","Hyderabad (India)","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","VCA Ground",NA,"Bengal","bat","Bengal",61,NA,NA,NA,NA,NA,NA,NA,NA,NA
902091,6,"Haryana","Tamil Nadu","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","VCA Ground",NA,"Haryana","bat","Tamil Nadu",NA,9,NA,NA,NA,NA,NA,NA,NA,NA
902093,6,"Punjab","Rajasthan","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Jawaharlal Nehru Stadium",NA,"Rajasthan","field","Rajasthan",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
902095,6,"Jammu & Kashmir","Kerala","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","St  Pauls college ground  Kalamassery",NA,"Kerala","field","Kerala",NA,5,NA,NA,NA,NA,NA,NA,NA,NA
902097,6,"Saurashtra","Tripura","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Jawaharlal Nehru Stadium",NA,"Saurashtra","bat","Saurashtra",66,NA,NA,NA,NA,NA,NA,NA,NA,NA
902099,6,"Andhra","Madhya Pradesh","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Reliance Cricket Stadium",NA,"Madhya Pradesh","field","Madhya Pradesh",NA,5,NA,NA,NA,NA,NA,NA,NA,NA
902101,6,"Railways","Delhi","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Alembic 1 Cricket Ground",NA,"Delhi","field","Delhi",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
902105,6,"Odisha","Mumbai","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Barabati Stadium",NA,"Mumbai","field","Mumbai",NA,6,NA,NA,NA,NA,NA,NA,NA,NA
902107,6,"Karnataka","Services","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","Barabati Stadium",NA,"Services","field","Services",NA,3,NA,NA,NA,NA,NA,NA,NA,NA
902109,6,"Maharashtra","Uttar Pradesh","male","2015/16",2016-01-02,"Syed Mushtaq Ali Trophy","DRIEMS Ground",NA,"Uttar Pradesh","field","Uttar Pradesh",NA,7,NA,NA,NA,NA,NA,NA,NA,NA
902111,6,"Gujarat","Vidarbha","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Vidarbha Cricket Association Stadium, Jamtha",NA,"Vidarbha","field","Gujarat",60,NA,NA,NA,NA,NA,NA,NA,NA,NA
902113,6,"Hyderabad (India)","Himachal","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Vidarbha Cricket Association Stadium, Jamtha",NA,"Himachal","field","Hyderabad (India)",14,NA,NA,NA,NA,NA,NA,NA,NA,NA
902115,6,"Tamil Nadu","Bengal","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","VCA Ground",NA,"Bengal","field","Tamil Nadu",69,NA,NA,NA,NA,NA,NA,NA,NA,NA
902117,6,"Jammu & Kashmir","Punjab","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Jawaharlal Nehru Stadium",NA,"Punjab","field","Punjab",NA,8,NA,NA,NA,NA,NA,NA,NA,NA
902119,6,"Kerala","Rajasthan","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","St  Pauls college ground  Kalamassery",NA,"Rajasthan","field","Kerala",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
902121,6,"Tripura","Jharkhand","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Jawaharlal Nehru Stadium",NA,"Jharkhand","field","Jharkhand",NA,9,NA,NA,NA,NA,NA,NA,NA,NA
902123,6,"Goa","Madhya Pradesh","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Motibaug Cricket Ground",NA,"Madhya Pradesh","field","Madhya Pradesh",NA,7,NA,NA,NA,NA,NA,NA,NA,NA
902125,6,"Delhi","Andhra","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Alembic 1 Cricket Ground",NA,"Andhra","field","Delhi",111,NA,NA,NA,NA,NA,NA,NA,NA,NA
902127,6,"Baroda","Railways","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Motibaug Cricket Ground",NA,"Baroda","bat","Baroda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA
902129,6,"Uttar Pradesh","Odisha","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Barabati Stadium",NA,"Odisha","field","Uttar Pradesh",32,NA,NA,NA,NA,NA,NA,NA,NA,NA
902131,6,"Karnataka","Mumbai","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","DRIEMS Ground",NA,"Mumbai","field","Karnataka",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
902133,6,"Maharashtra","Services","male","2015/16",2016-01-03,"Syed Mushtaq Ali Trophy","Barabati Stadium",NA,"Services","field","Maharashtra",31,NA,NA,NA,NA,NA,NA,NA,NA,NA
902135,6,"Haryana","Vidarbha","male","2015/16",2016-01-04,"Syed Mushtaq Ali Trophy","Vidarbha Cricket Association Stadium, Jamtha",NA,"Haryana","bat","Vidarbha",NA,8,NA,NA,NA,NA,NA,NA,NA,NA
902137,6,"Hyderabad (India)","Gujarat","male","2015/16",2016-01-04,"Syed Mushtaq Ali Trophy","VCA Ground",NA,"Hyderabad (India)","bat","Gujarat",NA,3,NA,NA,NA,NA,NA,NA,NA,NA
902139,6,"Bengal","Himachal","male","2015/16",2016-01-04,"Syed Mushtaq Ali Trophy","VCA Ground",NA,"Bengal","bat","Bengal",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
