"striker","season","event","batting_team","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Aravinddaraj","2019/20","Syed Mushtaq Ali Trophy","Puducherry",1,0,0,NA,NA,0,0,1,0,0,0
"A Aravinddaraj","2020/21","Syed Mushtaq Ali Trophy","Puducherry",1,0,3,0,NA,0,0,1,0,0,0
"A Ashish Reddy","2015/16","Syed Mushtaq Ali Trophy","Hyderabad (India)",4,59,60,98.3333333333333,14.75,1,2,0,0,0,37
"A Ashish Reddy","2017/18","Syed Mushtaq Ali Trophy","Hyderabad (India)",5,53,44,120.454545454545,10.6,5,1,0,0,0,21
"A Ashish Reddy","2018/19","Syed Mushtaq Ali Trophy","Hyderabad (India)",3,23,25,92,7.66666666666667,2,0,0,0,0,16
"A Awasthi","2023/24","Syed Mushtaq Ali Trophy","Arunachal Pradesh",2,52,23,226.086956521739,26,5,5,0,0,0,48
"A Badoni","2020/21","Syed Mushtaq Ali Trophy","Delhi",1,8,11,72.7272727272727,8,1,0,0,0,0,8
"A Badoni","2022/23","Syed Mushtaq Ali Trophy","Delhi",3,36,36,100,18,1,2,1,0,0,20
"A Badoni","2023/24","Syed Mushtaq Ali Trophy","Delhi",4,179,135,132.592592592593,Inf,16,7,4,0,1,80
"A Bharwad","2023/24","Syed Mushtaq Ali Trophy","Baroda",1,18,25,72,18,0,1,0,0,0,18
"A Choudhary","2017/18","Syed Mushtaq Ali Trophy","Rajasthan",1,4,4,100,Inf,0,0,1,0,0,4
"A Choudhary","2019/20","Syed Mushtaq Ali Trophy","Rajasthan",2,15,13,115.384615384615,Inf,2,0,2,0,0,9
"A Choudhary","2020/21","Syed Mushtaq Ali Trophy","Rajasthan",3,15,15,100,7.5,0,1,1,0,0,11
"A G Pradeep","2015/16","Syed Mushtaq Ali Trophy","Andhra",5,51,57,89.4736842105263,10.2,7,0,0,0,0,26
"A Kamboj","2022/23","Syed Mushtaq Ali Trophy","Haryana",1,8,11,72.7272727272727,Inf,1,0,1,0,0,8
"A Kamboj","2023/24","Syed Mushtaq Ali Trophy","Haryana",1,1,1,100,Inf,0,0,1,0,0,1
"A Manohar","2021/22","Syed Mushtaq Ali Trophy","Karnataka",4,162,108,150,54,11,11,1,0,1,70
"A Manohar","2022/23","Syed Mushtaq Ali Trophy","Karnataka",1,62,29,213.793103448276,Inf,5,5,1,0,1,62
"A Manohar","2023/24","Syed Mushtaq Ali Trophy","Karnataka",3,58,48,120.833333333333,58,3,2,2,0,0,44
"A Mishra","2015/16","Syed Mushtaq Ali Trophy","Haryana",2,11,14,78.5714285714286,5.5,1,0,0,0,0,6
"A Mishra","2017/18","Syed Mushtaq Ali Trophy","Haryana",2,3,3,100,3,0,0,1,0,0,3
"A Mishra","2018/19","Syed Mushtaq Ali Trophy","Haryana",3,3,7,42.8571428571429,1.5,0,0,1,0,0,2
"A Mishra","2019/20","Syed Mushtaq Ali Trophy","Haryana",5,37,24,154.166666666667,37,6,0,4,0,0,14
"A Mishra","2022/23","Syed Mushtaq Ali Trophy","Haryana",1,3,3,100,Inf,0,0,1,0,0,3
"A Mithun","2015/16","Syed Mushtaq Ali Trophy","Karnataka",3,15,14,107.142857142857,5,2,0,0,0,0,10
"A Mithun","2017/18","Syed Mushtaq Ali Trophy","Karnataka",3,1,5,20,0.333333333333333,0,0,0,0,0,1
"A Mithun","2018/19","Syed Mushtaq Ali Trophy","Karnataka",2,24,10,240,Inf,2,2,2,0,0,18
"A Mithun","2019/20","Syed Mushtaq Ali Trophy","Karnataka",2,6,6,100,3,1,0,0,0,0,4
"A Mithun","2020/21","Syed Mushtaq Ali Trophy","Karnataka",4,4,12,33.3333333333333,1.33333333333333,0,0,1,0,0,2
"A Mukund","2015/16","Syed Mushtaq Ali Trophy","Tamil Nadu",4,148,106,139.622641509434,49.3333333333333,15,4,1,0,1,67
"A Mukund","2017/18","Syed Mushtaq Ali Trophy","Tamil Nadu",3,22,30,73.3333333333333,7.33333333333333,1,1,0,0,0,12
"A Nagwaswalla","2018/19","Syed Mushtaq Ali Trophy","Gujarat",3,17,9,188.888888888889,8.5,2,1,1,0,0,12
"A Nagwaswalla","2020/21","Syed Mushtaq Ali Trophy","Gujarat",3,7,8,87.5,7,1,0,2,0,0,5
"A Nagwaswalla","2021/22","Syed Mushtaq Ali Trophy","Gujarat",1,2,8,25,Inf,0,0,1,0,0,2
"A Palkar","2021/22","Syed Mushtaq Ali Trophy","Maharashtra",1,2,2,100,Inf,0,0,1,0,0,2
"A Prateek Reddy","2022/23","Syed Mushtaq Ali Trophy","Hyderabad (India)",2,3,12,25,1.5,0,0,0,0,0,3
"A Pratyush Kumar","2018/19","Syed Mushtaq Ali Trophy","Baroda",1,24,28,85.7142857142857,24,1,1,0,0,0,24
"A Raghuvanshi","2023/24","Syed Mushtaq Ali Trophy","Mumbai",3,74,71,104.225352112676,37,5,3,1,0,0,32
"A Sheth","2017/18","Syed Mushtaq Ali Trophy","Baroda",4,31,20,155,Inf,5,0,4,0,0,16
"A Sheth","2018/19","Syed Mushtaq Ali Trophy","Baroda",5,35,27,129.62962962963,Inf,2,2,5,0,0,23
"A Sheth","2019/20","Syed Mushtaq Ali Trophy","Baroda",1,12,6,200,Inf,0,1,1,0,0,12
"A Sheth","2020/21","Syed Mushtaq Ali Trophy","Baroda",6,65,54,120.37037037037,65,3,3,5,0,0,29
"A Sheth","2021/22","Syed Mushtaq Ali Trophy","Baroda",4,25,26,96.1538461538462,8.33333333333333,2,0,1,0,0,14
"A Sheth","2022/23","Syed Mushtaq Ali Trophy","Baroda",2,24,18,133.333333333333,12,4,0,0,0,0,14
"A Sheth","2023/24","Syed Mushtaq Ali Trophy","Baroda",2,1,2,50,Inf,0,0,2,0,0,1
"A Singhania","2018/19","Syed Mushtaq Ali Trophy","Meghalaya",3,36,45,80,18,3,1,1,0,0,18
"A Singhania","2019/20","Syed Mushtaq Ali Trophy","Meghalaya",3,8,6,133.333333333333,4,0,1,1,0,0,7
"A Singhania","2020/21","Syed Mushtaq Ali Trophy","Meghalaya",2,0,4,0,0,0,0,0,0,0,0
"A Thapa","2023/24","Syed Mushtaq Ali Trophy","Arunachal Pradesh",1,0,3,0,0,0,0,0,0,0,0
"A Tomar","2017/18","Syed Mushtaq Ali Trophy","Rajasthan",3,23,41,56.0975609756098,7.66666666666667,2,0,0,0,0,11
"A Tomar","2018/19","Syed Mushtaq Ali Trophy","Rajasthan",1,14,18,77.7777777777778,14,1,0,0,0,0,14
"AA Bamal","2017/18","Syed Mushtaq Ali Trophy","Services",4,26,19,136.842105263158,6.5,1,2,0,0,0,18
