"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"R Sai Kishore","Tamil Nadu","2019/20","Syed Mushtaq Ali Trophy",11,"40.5",5,173,19,9.10526315789474,4.23673469387755,12.8947368421053,150,1,0,"4/6"
"Suboth Bhati","Delhi","2018/19","Syed Mushtaq Ali Trophy",10,"35.1",1,265,19,13.9473684210526,7.53554502369668,11.1052631578947,82,2,0,"4/14"
"HV Patel","Haryana","2019/20","Syed Mushtaq Ali Trophy",12,"43.0",0,303,19,15.9473684210526,7.04651162790698,13.5789473684211,114,0,0,"3/14"
"DL Chahar","Rajasthan","2017/18","Syed Mushtaq Ali Trophy",8,"29.5",0,165,18,9.16666666666667,5.53072625698324,9.94444444444444,91,0,1,"5/15"
"S Gopal","Karnataka","2019/20","Syed Mushtaq Ali Trophy",11,"39.0",0,256,18,14.2222222222222,6.56410256410256,13,95,0,1,"5/19"
"Vasuki Koushik","Karnataka","2018/19","Syed Mushtaq Ali Trophy",10,"35.1",1,224,17,13.1764705882353,6.3696682464455,12.4117647058824,107,1,0,"4/19"
"TU Deshpande","Mumbai","2018/19","Syed Mushtaq Ali Trophy",9,"31.2",1,243,17,14.2941176470588,7.75531914893617,11.0588235294118,90,2,0,"4/19"
"DG Nalkande","Vidarbha","2019/20","Syed Mushtaq Ali Trophy",6,"21.4",1,159,16,9.9375,7.33846153846154,8.125,60,0,1,"5/18"
"CV Milind","Hyderabad (India)","2021/22","Syed Mushtaq Ali Trophy",6,"20.5",0,160,16,10,7.68,7.8125,63,0,2,"5/8"
"R Shukla","Jharkhand","2018/19","Syed Mushtaq Ali Trophy",8,"29.0",0,243,16,15.1875,8.37931034482759,10.875,69,0,1,"5/36"
"LI Meriwala","Baroda","2019/20","Syed Mushtaq Ali Trophy",6,"23.0",0,143,15,9.53333333333333,6.21739130434783,9.2,57,0,1,"5/21"
"PP Chawla","Uttar Pradesh","2015/16","Syed Mushtaq Ali Trophy",8,"31.0",1,179,15,11.9333333333333,5.7741935483871,12.4,78,1,0,"4/28"
