"striker","innings","Runs","BallsFaced","StrikeRate","Average","Fours","Sixes","NotOuts","Hundreds","Fifties","HighScore"
"A Balbirnie",16,301,225,133.777777777778,21.5,30,7,2,0,2,99
"A Carter",2,5,5,100,5,0,0,1,0,0,5
"A Flintoff",2,21,12,175,21,0,2,1,0,0,20
"A Hepburn",3,25,28,89.2857142857143,12.5,3,0,1,0,0,10
"A Javid",34,459,391,117.391304347826,25.5,34,7,16,0,1,51
"A Kapil",3,28,22,127.272727272727,9.33333333333333,2,1,0,0,0,15
"A Karvelas",4,9,20,45,4.5,0,0,2,0,0,6
"A Lyth",105,2995,1933,154.940506983963,29.6534653465347,326,120,4,1,23,161
"A Shahzad",6,32,42,76.1904761904762,8,0,1,2,0,0,11
"A Sheikh",2,21,20,105,10.5,0,2,0,0,0,14
"A Zampa",9,21,28,75,5.25,1,0,5,0,0,6
"AAP Atkinson",17,71,61,116.393442622951,7.88888888888889,4,3,8,0,0,14
"AB de Villiers",8,348,191,182.198952879581,69.6,21,20,3,0,4,88
"AC Agar",10,135,95,142.105263157895,27,9,7,5,0,0,41
"AC Lenham",6,15,34,44.1176470588235,15,0,0,5,0,0,7
"AC Thomas",4,37,26,142.307692307692,Inf,5,0,4,0,0,19
"AC Voges",6,216,158,136.708860759494,72,20,0,3,0,2,58
"AD Hales",114,3136,1972,159.026369168357,29.8666666666667,375,137,9,2,23,101
"AD Russell",3,95,51,186.274509803922,31.6666666666667,5,8,0,0,0,41
"AD Thomason",25,321,255,125.882352941176,17.8333333333333,16,14,7,0,0,47
"AEN Riley",3,10,12,83.3333333333333,5,1,0,1,0,0,5
"AF Milne",15,111,77,144.155844155844,13.875,9,4,7,0,0,17
"AG Prince",25,827,611,135.351882160393,35.9565217391304,87,15,2,0,7,78
"AG Salter",54,387,337,114.836795252226,13.3448275862069,26,13,25,0,0,39
"AG Wakely",66,1350,1149,117.493472584856,27,93,35,16,0,7,64
"AGH Orr",10,223,136,163.970588235294,22.3,25,11,0,0,0,41
"AHT Donald",58,978,728,134.340659340659,18.4528301886792,109,28,5,0,5,76
"AJ Ball",9,81,81,100,16.2,4,2,4,0,0,18
"AJ Blake",103,1843,1303,141.442824251727,23.6282051282051,134,88,25,0,10,71
"AJ Finch",57,2067,1302,158.755760368664,42.1836734693878,191,102,8,4,11,131
"AJ Hickey",3,25,25,100,8.33333333333333,4,0,0,0,0,15
"AJ Hodd",12,118,107,110.280373831776,11.8,11,5,2,0,1,70
"AJ Horton",2,1,6,16.6666666666667,1,0,0,1,0,0,1
"AJ Hose",87,2401,1610,149.130434782609,32.4459459459459,219,106,13,2,13,119
"AJ Ireland",2,7,6,116.666666666667,3.5,0,1,0,0,0,6
"AJ Mellor",5,20,26,76.9230769230769,6.66666666666667,0,0,2,0,0,10
"AJ Turner",19,408,266,153.383458646617,31.3846153846154,33,14,6,0,2,60
"AJ Tye",31,274,175,156.571428571429,17.125,14,19,15,0,0,38
"AJA Wheater",75,1487,1144,129.982517482517,21.8676470588235,151,29,7,0,4,78
"AK Russell",1,0,0,NA,NA,0,0,1,0,0,0
"AL Davies",102,2253,1723,130.760301799187,25.0333333333333,251,48,12,0,14,94
"AL Hughes",69,898,725,123.862068965517,17.6078431372549,66,27,18,0,0,43
"AM Ali",16,196,180,108.888888888889,14,9,5,2,0,0,35
"AM Hardie",3,29,21,138.095238095238,9.66666666666667,2,1,0,0,0,15
"AM Lilley",92,1663,1128,147.429078014184,20.280487804878,166,67,10,0,5,99
"AM Rossington",92,1867,1302,143.394777265745,21.2159090909091,214,67,4,0,10,95
"AN Cook",2,30,30,100,15,3,0,0,0,0,22
"AN Kervezee",17,252,221,114.027149321267,16.8,18,2,2,0,1,52
"AN Petersen",22,659,502,131.274900398406,38.7647058823529,42,16,5,1,2,103
"AO Morgan",7,59,63,93.6507936507936,9.83333333333333,4,3,1,0,0,24
"AP Agathangelou",8,98,86,113.953488372093,14,8,2,1,0,0,40
"AP Beard",3,26,17,152.941176470588,13,3,1,1,0,0,13
"AP Palladino",7,27,35,77.1428571428571,5.4,2,0,2,0,0,14
"AP Rouse",7,61,52,117.307692307692,12.2,7,1,2,0,0,35
"APR Gidman",14,232,204,113.725490196078,16.5714285714286,28,3,0,0,1,55
"ASS Nijjar",19,97,84,115.47619047619,8.81818181818182,8,3,8,0,0,27
"AT Carey",8,264,173,152.601156069364,37.7142857142857,26,10,1,0,2,78
"AT Thomson",13,111,77,144.155844155844,13.875,8,5,5,0,0,28
"AU Rashid",22,184,160,115,16.7272727272727,16,3,11,0,0,29
"AW Finch",8,50,46,108.695652173913,12.5,4,3,4,0,0,30
"AW Gale",22,423,392,107.908163265306,20.1428571428571,46,4,1,0,2,68
"AW Gorvin",4,41,38,107.894736842105,10.25,2,0,0,0,0,12
"AWR Barrow",1,17,19,89.4736842105263,Inf,1,0,1,0,0,17
"AZ Lees",64,1657,1342,123.472429210134,29.0701754385965,162,30,7,0,10,90
"Aaron Beard",4,14,16,87.5,14,0,0,3,0,0,7
"Abdur Rehman",2,33,18,183.333333333333,33,2,3,1,0,0,30
"Adeel Malik",1,0,0,NA,0,0,0,0,0,0,0
"Anuj Dal",20,192,165,116.363636363636,13.7142857142857,14,4,6,0,0,35
"Ashar Zaidi",31,633,432,146.527777777778,25.32,40,34,6,0,3,59
"Azeem Rafiq",13,35,41,85.3658536585366,11.6666666666667,2,0,10,0,0,7
"Azhar Mahmood",21,334,252,132.539682539683,22.2666666666667,29,12,6,0,0,42
"Azharullah",7,17,24,70.8333333333333,Inf,2,0,7,0,0,6
"B Muzarabani",2,9,13,69.2307692307692,9,1,0,1,0,0,9
"BA Carse",39,597,407,146.683046683047,19.258064516129,35,25,8,0,2,58
"BA Godleman",65,1422,1215,117.037037037037,24.5172413793103,121,39,7,0,9,92
"BA Hutton",7,50,47,106.382978723404,16.6666666666667,2,2,4,0,0,18
"BA Raine",74,1090,834,130.695443645084,18.4745762711864,75,53,15,1,4,113
"BA Stokes",23,537,403,133.250620347395,25.5714285714286,55,21,2,0,2,90
"BAC Howell",87,1601,1192,134.312080536913,24.2575757575758,116,61,21,0,4,57
