"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"DR Briggs",127,"450.4",0,3376,144,23.4444444444444,7.49112426035503,18.7777777777778,851,3,0,"4/15"
"BAC Howell",104,"376.1",2,2708,135,20.0592592592593,7.19893664155959,16.7185185185185,742,3,1,"5/18"
"CP Wood",116,"403.4",3,3319,132,25.1439393939394,8.22213047068538,18.3484848484848,927,3,1,"5/32"
"DA Payne",99,"354.5",7,2897,131,22.1145038167939,8.16439643024894,16.2519083969466,855,1,1,"5/24"
"TMJ Smith",114,"378.5",2,2794,130,21.4923076923077,7.37527496700396,17.4846153846154,685,0,2,"5/16"
"MG Hogan",94,"333.3",1,2768,125,22.144,8.29985007496252,16.008,748,2,2,"5/17"
"JT Ball",81,"280.4",2,2491,123,20.2520325203252,8.87529691211401,13.6910569105691,585,3,0,"4/11"
"SR Patel",130,"457.3",2,3413,123,27.7479674796748,7.46010928961749,22.3170731707317,826,1,0,"4/20"
"TS Mills",82,"297.5",2,2396,119,20.1344537815126,8.04476776720761,15.0168067226891,756,2,0,"4/22"
"ST Finn",81,"278.2",1,2391,111,21.5405405405405,8.59041916167665,15.045045045045,636,3,1,"5/16"
"CF Parkinson",89,"324.0",2,2417,105,23.0190476190476,7.45987654320988,18.5142857142857,653,3,0,"4/20"
"MW Parkinson",73,"261.4",0,1951,103,18.9417475728155,7.45605095541401,15.2427184466019,460,3,0,"4/23"
"NA Sowter",92,"313.2",0,2432,103,23.6116504854369,7.76170212765958,18.252427184466,589,4,1,"5/15"
"L Gregory",97,"290.5",1,2639,103,25.621359223301,9.07392550143267,16.9417475728155,565,2,1,"5/24"
"HF Gurney",75,"274.0",2,2278,101,22.5544554455446,8.31386861313869,16.2772277227723,611,2,1,"5/30"
"LA Dawson",90,"327.3",3,2332,99,23.5555555555556,7.1206106870229,19.8484848484848,691,2,1,"5/17"
"DJ Willey",88,"301.3",5,2441,99,24.6565656565657,8.09618573797678,18.2727272727273,779,1,0,"4/18"
"RS Bopara",112,"356.5",0,2712,99,27.3939393939394,7.60018682858477,21.6262626262626,611,1,0,"4/19"
"SR Harmer",90,"298.2",0,2398,98,24.469387755102,8.03798882681564,18.265306122449,547,4,0,"4/19"
"JS Patel",91,"345.0",2,2435,96,25.3645833333333,7.05797101449275,21.5625,727,2,0,"4/19"
"PR Brown",70,"235.5",1,2214,95,23.3052631578947,9.38798586572438,14.8947368421053,461,2,0,"4/21"
"CJ Jordan",82,"282.1",3,2267,95,23.8631578947368,8.03425871234495,17.8210526315789,604,2,0,"4/21"
"SJ Mullaney",116,"326.2",1,2590,95,27.2631578947368,7.93667007150153,20.6105263157895,520,1,0,"4/25"
"BA Raine",90,"287.5",3,2400,94,25.531914893617,8.33815865662999,18.3723404255319,613,1,0,"4/30"
"TT Bresnan",81,"247.4",4,2161,93,23.2365591397849,8.72543741588156,15.9784946236559,572,1,1,"6/19"
"MJJ Critchley",87,"276.0",0,2136,91,23.4725274725275,7.73913043478261,18.1978021978022,525,1,1,"5/28"
"MTC Waller",94,"319.2",1,2383,86,27.7093023255814,7.46242171189979,22.2790697674419,533,2,0,"4/25"
"AJ Tye",60,"215.2",1,1755,85,20.6470588235294,8.15015479876161,15.2,456,0,1,"5/38"
"RE van der Merwe",96,"322.0",1,2494,84,29.6904761904762,7.74534161490683,23,537,1,1,"5/32"
"C Overton",79,"255.0",3,2195,83,26.4457831325301,8.6078431372549,18.433734939759,626,1,0,"4/25"
"GG White",94,"298.3",1,2468,83,29.7349397590361,8.2680067001675,21.578313253012,486,2,0,"4/20"
"BW Sanderson",71,"234.3",2,2070,81,25.5555555555556,8.8272921108742,17.3703703703704,506,1,0,"4/28"
"TG Helm",69,"244.2",0,2212,79,28,9.05320600272851,18.5569620253165,555,0,1,"5/11"
"GJ Batty",95,"304.2",1,2224,79,28.1518987341772,7.30777656078861,23.1139240506329,540,2,0,"4/14"
"RF Higgins",80,"219.3",0,2054,78,26.3333333333333,9.35763097949886,16.8846153846154,378,1,1,"5/13"
"JK Fuller",76,"237.5",2,2118,78,27.1538461538462,8.90539593552908,18.2948717948718,528,2,1,"6/28"
"RJW Topley",59,"215.3",2,1809,77,23.4935064935065,8.39443155452436,16.7922077922078,518,3,0,"4/20"
"LJ Fletcher",68,"225.3",1,1984,77,25.7662337662338,8.79822616407982,17.5714285714286,423,0,2,"5/32"
"L Wood",78,"242.0",1,1978,76,26.0263157894737,8.17355371900826,19.1052631578947,576,1,0,"4/20"
"MS Crane",66,"228.3",0,1794,75,23.92,7.85120350109409,18.28,443,0,0,"3/15"
"TK Curran",63,"219.4",2,1880,73,25.7534246575342,8.55842185128983,18.0547945205479,475,1,0,"4/35"
