"striker","bowler","RunsScored","BallsFaced","Outs","Dots","Fours","Sixes","Economy","StrikeRate","Average"
"A Balbirnie","AC Thomas",9,3,0,0,2,0,18,300,Inf
"A Balbirnie","AW Finch",6,3,0,0,1,0,12,200,Inf
"A Balbirnie","Abdur Rehman",5,4,0,2,1,0,7.5,125,Inf
"A Balbirnie","BAC Howell",27,15,0,2,4,0,10.8,180,Inf
"A Balbirnie","BL D'Oliveira",3,3,0,0,0,0,6,100,Inf
"A Balbirnie","BW Sanderson",9,5,0,2,2,0,10.8,180,Inf
"A Balbirnie","C Overton",5,2,0,0,1,0,15,250,Inf
"A Balbirnie","CJ Liddle",11,6,0,1,2,0,11,183.333333333333,Inf
"A Balbirnie","DA Payne",21,15,1,6,2,1,8.4,140,21
"A Balbirnie","DKH Mitchell",3,3,0,0,0,0,6,100,Inf
"A Balbirnie","DR Briggs",0,2,1,2,0,0,0,0,0
"A Balbirnie","EG Barnard",5,4,0,2,1,0,7.5,125,Inf
"A Balbirnie","GG White",15,8,0,0,0,1,11.25,187.5,Inf
"A Balbirnie","GJ Batty",4,4,0,1,0,0,6,100,Inf
"A Balbirnie","GK Berg",6,3,0,0,1,0,12,200,Inf
"A Balbirnie","GR Napier",1,2,0,1,0,0,3,50,Inf
"A Balbirnie","HJH Brookes",14,8,0,2,1,1,10.5,175,Inf
"A Balbirnie","J Overton",1,1,0,0,0,0,6,100,Inf
"A Balbirnie","JB Lintott",2,6,1,4,0,0,2,33.3333333333333,2
"A Balbirnie","JE Burke",1,2,1,1,0,0,3,50,1
"A Balbirnie","JJ Cobb",8,6,0,1,1,0,8,133.333333333333,Inf
"A Balbirnie","JS Patel",9,8,0,2,1,0,6.75,112.5,Inf
"A Balbirnie","LA Procter",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Balbirnie","LP Goldsworthy",4,4,1,1,0,0,6,100,4
"A Balbirnie","MD Taylor",24,13,0,3,1,2,11.0769230769231,184.615384615385,Inf
"A Balbirnie","MTC Waller",4,7,1,3,0,0,3.42857142857143,57.1428571428571,4
"A Balbirnie","MW Machan",2,2,0,0,0,0,6,100,Inf
"A Balbirnie","NL Buck",6,9,1,3,0,0,4,66.6666666666667,6
"A Balbirnie","OP Stone",3,5,0,2,0,0,3.6,60,Inf
"A Balbirnie","ORT Sale",12,8,1,3,2,0,9,150,12
"A Balbirnie","PR Brown",6,2,1,1,0,1,18,300,6
"A Balbirnie","PR Stirling",13,9,0,2,1,0,8.66666666666667,144.444444444444,Inf
"A Balbirnie","RF Higgins",23,11,1,2,3,1,12.5454545454545,209.090909090909,23
"A Balbirnie","RJW Topley",1,2,1,1,0,0,3,50,1
"A Balbirnie","SA Piolet",2,4,1,2,0,0,3,50,2
"A Balbirnie","SA Zaib",4,3,0,0,0,0,8,133.333333333333,Inf
"A Balbirnie","TMJ Smith",16,11,0,2,2,0,8.72727272727273,145.454545454545,Inf
"A Balbirnie","TS Mills",3,5,1,2,0,0,3.6,60,3
"A Balbirnie","TT Bresnan",7,7,1,3,1,0,6,100,7
"A Balbirnie","WR Smith",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Balbirnie","Yasir Arafat",1,1,0,0,0,0,6,100,Inf
"A Balbirnie","ZS Ansari",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Carter","HF Gurney",0,1,1,1,0,0,0,0,0
"A Carter","JD Shantry",5,4,0,0,0,0,7.5,125,Inf
"A Flintoff","CR Woakes",6,4,0,0,0,0,9,150,Inf
"A Flintoff","JJ Cobb",1,4,1,3,0,0,1.5,25,1
"A Flintoff","OJ Hannon-Dalby",14,4,0,0,0,2,21,350,Inf
"A Hepburn","AM Lilley",4,3,1,2,1,0,8,133.333333333333,4
"A Hepburn","GC Viljoen",1,5,0,4,0,0,1.2,20,Inf
"A Hepburn","HF Gurney",7,7,0,3,1,0,6,100,Inf
"A Hepburn","Imran Tahir",4,7,0,4,0,0,3.42857142857143,57.1428571428571,Inf
"A Hepburn","JT Ball",2,2,0,0,0,0,6,100,Inf
"A Hepburn","Junaid Khan",2,1,0,0,0,0,12,200,Inf
"A Hepburn","MJ Henry",5,3,1,1,1,0,10,166.666666666667,5
"A Javid","A Shahzad",13,11,0,3,1,0,7.09090909090909,118.181818181818,Inf
"A Javid","AJ Ireland",9,3,1,0,2,0,18,300,9
"A Javid","AL Hughes",6,8,0,2,0,0,4.5,75,Inf
"A Javid","AM Lilley",7,8,0,2,0,0,5.25,87.5,Inf
"A Javid","AU Rashid",2,2,0,0,0,0,6,100,Inf
"A Javid","Azharullah",29,16,1,1,2,1,10.875,181.25,29
"A Javid","BA Raine",16,12,0,4,2,0,8,133.333333333333,Inf
"A Javid","BL D'Oliveira",2,2,0,0,0,0,6,100,Inf
"A Javid","CJ McKay",4,5,1,2,0,0,4.8,80,4
"A Javid","CJ Russell",11,5,1,2,1,1,13.2,220,11
"A Javid","CR Woakes",5,4,0,2,1,0,7.5,125,Inf
"A Javid","DJ Willey",19,19,0,8,2,0,6,100,Inf
"A Javid","EG Barnard",9,6,0,1,1,0,9,150,Inf
"A Javid","GC Viljoen",2,2,0,0,0,0,6,100,Inf
"A Javid","GD Elliott",1,4,1,3,0,0,1.5,25,1
"A Javid","GG White",26,28,1,8,1,0,5.57142857142857,92.8571428571429,26
"A Javid","GH Rhodes",1,2,1,1,0,0,3,50,1
"A Javid","HF Gurney",13,12,0,3,1,0,6.5,108.333333333333,Inf
"A Javid","J Leach",14,12,0,3,0,0,7,116.666666666667,Inf
"A Javid","JD Shantry",19,12,0,2,2,0,9.5,158.333333333333,Inf
"A Javid","JDS Neesham",4,1,0,0,1,0,24,400,Inf
"A Javid","JJ Cobb",8,7,0,0,0,0,6.85714285714286,114.285714285714,Inf
"A Javid","JKH Naik",2,2,0,0,0,0,6,100,Inf
"A Javid","JM Anderson",2,2,0,0,0,0,6,100,Inf
"A Javid","JP Faulkner",13,12,1,3,1,0,6.5,108.333333333333,13
"A Javid","Junaid Khan",4,6,1,2,0,0,4,66.6666666666667,4
"A Javid","KM Jarvis",8,3,0,0,0,1,16,266.666666666667,Inf
"A Javid","Kabir Ali",9,4,0,0,0,1,13.5,225,Inf
"A Javid","L Wood",5,2,0,0,1,0,15,250,Inf
"A Javid","LA Procter",2,4,0,2,0,0,3,50,Inf
"A Javid","LH Ferguson",3,4,0,0,0,0,4.5,75,Inf
"A Javid","LJ Fletcher",8,6,1,2,1,0,8,133.333333333333,8
"A Javid","MA Ashraf",5,3,0,1,1,0,10,166.666666666667,Inf
"A Javid","MD Fisher",7,3,1,1,0,1,14,233.333333333333,7
"A Javid","MJ Henry",5,5,1,3,1,0,6,100,5
"A Javid","MJ Waite",6,3,0,0,1,0,12,200,Inf
"A Javid","MRJ Watt",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Javid","MW Parkinson",5,3,0,1,1,0,10,166.666666666667,Inf
"A Javid","NJ Rimmington",1,2,1,1,0,0,3,50,1
"A Javid","NL Buck",6,5,1,2,1,0,7.2,120,6
"A Javid","OH Freckingham",15,5,0,0,1,1,18,300,Inf
"A Javid","OP Stone",11,13,0,5,1,0,5.07692307692308,84.6153846153846,Inf
"A Javid","PR Brown",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Javid","R Rampaul",4,3,0,1,0,0,8,133.333333333333,Inf
"A Javid","RJ Gleeson",3,2,0,0,0,0,9,150,Inf
"A Javid","RJ Sayer",1,1,0,0,0,0,6,100,Inf
"A Javid","RJ Sidebottom",7,4,0,0,1,0,10.5,175,Inf
"A Javid","RK Kleinveldt",4,5,0,2,0,0,4.8,80,Inf
"A Javid","RM Pyrah",11,12,0,6,1,0,5.5,91.6666666666667,Inf
"A Javid","RML Taylor",12,5,0,0,2,0,14.4,240,Inf
"A Javid","S Mahmood",2,5,1,4,0,0,2.4,40,2
"A Javid","SD Parry",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Javid","SJ Croft",7,9,1,2,0,0,4.66666666666667,77.7777777777778,7
"A Javid","SJ Mullaney",5,4,0,0,0,0,7.5,125,Inf
"A Javid","SKW Wood",6,5,0,0,0,0,7.2,120,Inf
"A Javid","SM Sharif",13,8,0,3,1,1,9.75,162.5,Inf
"A Javid","SP Crook",2,9,1,7,0,0,1.33333333333333,22.2222222222222,2
"A Javid","SR Patel",1,1,0,0,0,0,6,100,Inf
"A Javid","Saeed Ajmal",6,5,0,2,1,0,7.2,120,Inf
"A Javid","Shahid Afridi",10,12,0,6,1,0,5,83.3333333333333,Inf
"A Javid","TB Sole",8,8,0,1,0,0,6,100,Inf
"A Javid","TJ Lester",2,2,0,0,0,0,6,100,Inf
"A Javid","TT Bresnan",6,5,1,0,0,0,7.2,120,6
"A Javid","WD Parnell",2,2,0,0,0,0,6,100,Inf
"A Javid","WMH Rhodes",5,7,0,2,0,0,4.28571428571429,71.4285714285714,Inf
"A Kapil","AG Salter",2,2,0,0,0,0,6,100,Inf
"A Kapil","DA Cosker",11,7,1,2,0,1,9.42857142857143,157.142857142857,11
"A Kapil","DD Masters",5,4,0,2,1,0,7.5,125,Inf
"A Kapil","DI Stevens",0,1,1,1,0,0,0,0,0
"A Kapil","GR Napier",6,3,0,0,1,0,12,200,Inf
"A Kapil","RJW Topley",2,2,0,0,0,0,6,100,Inf
"A Kapil","SW Tait",2,3,0,1,0,0,4,66.6666666666667,Inf
"A Karvelas","CP Wood",1,2,0,1,0,0,3,50,Inf
"A Karvelas","GL van Buuren",1,3,0,2,0,0,2,33.3333333333333,Inf
"A Karvelas","J Shaw",0,3,1,3,0,0,0,0,0
"A Karvelas","MG Hogan",2,1,0,0,0,0,12,200,Inf
